순번_정류장ID,1-2800630,2-2806418,3-2806633,4-2806834,5-2805743,6-2804896,7-2806010,8-2805037,9-2805221,10-2805910,11-2805253,12-2805251,13-2805249,14-2805945,15-2800569,16-2807222,17-2800563,18-2807520,19-2807504,20-2804850,21-2803359,22-2803215,23-2804433,24-2803214,25-2806618
1-2800630,0,0.493759,0.9521029999999999,1.073018,1.3622049999999999,1.615683,1.760964,1.92238,2.163685,2.3521360000000002,2.5302290000000003,2.9919270000000004,3.4387590000000006,3.6768630000000004,5.130815,5.462338,5.817299,8.147081,17.988281,30.144178,30.153950000000002,30.161148,30.300945000000002,30.331626000000004,30.396368000000002
2-2806418,,0,0.458344,0.579259,0.8684459999999999,1.121924,1.267205,1.428621,1.669926,1.858377,2.03647,2.4981679999999997,2.945,3.1831039999999997,4.637055999999999,4.968578999999999,5.3235399999999995,7.653321999999999,17.494522,29.650419,29.660191,29.667389,29.807186,29.837867000000003,29.902609
3-2806633,,,0,0.12091500000000001,0.41010199999999997,0.6635800000000001,0.808861,0.9702770000000001,1.2115820000000002,1.400033,1.5781260000000001,2.0398240000000003,2.4866560000000004,2.7247600000000003,4.178712000000001,4.510235000000001,4.865196000000001,7.194978000000001,17.036178,29.192075,29.201847,29.209045,29.348842,29.379523000000002,29.444265
4-2806834,,,,0,0.28918699999999997,0.542665,0.687946,0.849362,1.090667,1.279118,1.457211,1.918909,2.365741,2.6038449999999997,4.057797,4.38932,4.744281,7.074063,16.915263,29.07116,29.080932,29.08813,29.227927,29.258608000000002,29.32335
5-2805743,,,,,0,0.25347800000000004,0.39875900000000003,0.5601750000000001,0.8014800000000001,0.9899310000000001,1.1680240000000002,1.6297220000000001,2.0765540000000002,2.314658,3.7686100000000002,4.1001330000000005,4.455094000000001,6.784876000000001,16.626076,28.781973,28.791745000000002,28.798943,28.938740000000003,28.969421000000004,29.034163000000003
6-2804896,,,,,,0,0.145281,0.306697,0.548002,0.736453,0.9145460000000001,1.376244,1.823076,2.06118,3.515132,3.846655,4.2016160000000005,6.531398,16.372598,28.528495,28.538267,28.545465,28.685262,28.715943000000003,28.780685000000002
7-2806010,,,,,,,0,0.161416,0.402721,0.591172,0.7692650000000001,1.230963,1.677795,1.915899,3.369851,3.7013740000000004,4.056335000000001,6.3861170000000005,16.227317,28.383214,28.392986,28.400184,28.539981,28.570662000000002,28.635404
8-2805037,,,,,,,,0,0.24130500000000002,0.429756,0.6078490000000001,1.069547,1.516379,1.754483,3.208435,3.5399580000000004,3.8949190000000002,6.224701,16.065901,28.221798,28.23157,28.238768,28.378565000000002,28.409246000000003,28.473988000000002
9-2805221,,,,,,,,,0,0.188451,0.366544,0.8282419999999999,1.2750739999999998,1.513178,2.96713,3.298653,3.6536139999999997,5.983395999999999,15.824596,27.980493,27.990265,27.997463,28.13726,28.167941000000003,28.232683
10-2805910,,,,,,,,,,0,0.178093,0.639791,1.086623,1.324727,2.7786790000000003,3.110202,3.465163,5.794945,15.636145,27.792042000000002,27.801814000000004,27.809012000000003,27.948809000000004,27.979490000000006,28.044232000000004
11-2805253,,,,,,,,,,,0,0.46169799999999994,0.9085299999999998,1.146634,2.600586,2.9321089999999996,3.2870699999999995,5.616852,15.458052,27.613948999999998,27.623721,27.630919,27.770716,27.801397,27.866139
12-2805251,,,,,,,,,,,,0,0.44683199999999995,0.684936,2.138888,2.4704110000000004,2.825372,5.155154,14.996354,27.152251,27.162023,27.169221,27.309018000000002,27.339699000000003,27.404441000000002
13-2805249,,,,,,,,,,,,,0,0.238104,1.6920560000000002,2.0235790000000002,2.37854,4.708322,14.549522,26.705419,26.715191,26.722389,26.862186,26.892867000000003,26.957609
14-2805945,,,,,,,,,,,,,,0,1.4539520000000001,1.7854750000000001,2.1404360000000002,4.470218,14.311418,26.467315,26.477087,26.484285,26.624082,26.654763000000003,26.719505
15-2800569,,,,,,,,,,,,,,,0,0.331523,0.6864840000000001,3.016266,12.857466,25.013363,25.023135,25.030333,25.17013,25.200811,25.265553
16-2807222,,,,,,,,,,,,,,,,0,0.354961,2.6847429999999997,12.525943,24.68184,24.691612000000003,24.69881,24.838607000000003,24.869288000000005,24.934030000000003
17-2800563,,,,,,,,,,,,,,,,,0,2.329782,12.170982,24.326878999999998,24.336651,24.343849,24.483646,24.514327,24.579069
18-2807520,,,,,,,,,,,,,,,,,,0,9.8412,21.997097,22.006869000000002,22.014067,22.153864000000002,22.184545000000004,22.249287000000002
19-2807504,,,,,,,,,,,,,,,,,,,0,12.155897,12.165669,12.172867,12.312664,12.343345,12.408087
20-2804850,,,,,,,,,,,,,,,,,,,,0,0.009772,0.01697,0.156767,0.187448,0.25219
21-2803359,,,,,,,,,,,,,,,,,,,,,0,0.007198,0.14699500000000001,0.177676,0.242418
22-2803215,,,,,,,,,,,,,,,,,,,,,,0,0.139797,0.17047800000000002,0.23522
23-2804433,,,,,,,,,,,,,,,,,,,,,,,0,0.030681,0.095423
24-2803214,,,,,,,,,,,,,,,,,,,,,,,,0,0.064742
25-2806618,,,,,,,,,,,,,,,,,,,,,,,,,0
