순번_정류장ID,24-2807482,25-2805699,26-2805701,27-2805696,28-2805694,29-2805636,30-2805692,31-2807625,32-2803157,33-2803651,34-2806491,35-2803182,36-2807480,37-2807580,38-2803680,39-2803677,40-2806803,41-2806565,42-2805474,43-2807037,44-2805631,45-2805677
24-2807482,0,0.643621,0.853654,1.6804169999999998,2.6593579999999997,3.0746629999999997,3.5103929999999997,3.7159869999999997,4.1566209999999995,4.510737,4.8329759999999995,5.259955,5.890547,6.151045,6.737956,7.0593069999999996,7.415933,7.774998,8.0416,8.248713,8.567061,9.09557
25-2805699,,0,0.210033,1.0367959999999998,2.0157369999999997,2.4310419999999997,2.8667719999999997,3.0723659999999997,3.513,3.8671159999999998,4.189355,4.616334,5.246926,5.507424,6.094335,6.415686,6.772312,7.1313770000000005,7.397979,7.605092,7.92344,8.451949
26-2805701,,,0,0.8267629999999999,1.805704,2.221009,2.656739,2.862333,3.302967,3.657083,3.9793220000000002,4.406301,5.036893,5.297391,5.884302,6.205653,6.562279,6.921344,7.187946,7.395059,7.713407,8.241916
27-2805696,,,,0,0.978941,1.3942459999999999,1.8299759999999998,2.03557,2.476204,2.83032,3.152559,3.5795380000000003,4.21013,4.4706280000000005,5.057539,5.37889,5.7355160000000005,6.094581000000001,6.3611830000000005,6.568296,6.886644,7.415153
28-2805694,,,,,0,0.41530500000000004,0.851035,1.056629,1.497263,1.851379,2.1736180000000003,2.6005970000000005,3.2311890000000005,3.4916870000000007,4.078598,4.399949,4.756575000000001,5.115640000000001,5.382242000000001,5.589355,5.907703000000001,6.436212
29-2805636,,,,,,0,0.43573,0.641324,1.081958,1.436074,1.758313,2.185292,2.815884,3.076382,3.6632930000000004,3.9846440000000003,4.341270000000001,4.700335000000001,4.966937000000001,5.17405,5.492398000000001,6.020907
30-2805692,,,,,,,0,0.205594,0.646228,1.0003440000000001,1.322583,1.749562,2.380154,2.640652,3.227563,3.548914,3.90554,4.2646049999999995,4.531206999999999,4.738319999999999,5.056667999999999,5.585176999999999
31-2807625,,,,,,,,0,0.440634,0.7947500000000001,1.116989,1.543968,2.17456,2.435058,3.0219690000000003,3.3433200000000003,3.699946,4.059011,4.325613,4.532725999999999,4.851074,5.379582999999999
32-2803157,,,,,,,,,0,0.354116,0.676355,1.103334,1.733926,1.994424,2.581335,2.902686,3.259312,3.618377,3.8849790000000004,4.092092,4.41044,4.938949
33-2803651,,,,,,,,,,0,0.322239,0.7492179999999999,1.37981,1.640308,2.227219,2.54857,2.9051959999999997,3.264261,3.530863,3.737976,4.056324,4.584833
34-2806491,,,,,,,,,,,0,0.426979,1.057571,1.318069,1.90498,2.226331,2.582957,2.942022,3.2086240000000004,3.4157370000000005,3.7340850000000003,4.262594
35-2803182,,,,,,,,,,,,0,0.630592,0.89109,1.478001,1.7993519999999998,2.1559779999999997,2.515043,2.781645,2.9887580000000002,3.307106,3.835615
36-2807480,,,,,,,,,,,,,0,0.260498,0.847409,1.16876,1.5253860000000001,1.884451,2.151053,2.358166,2.676514,3.205023
37-2807580,,,,,,,,,,,,,,0,0.586911,0.9082619999999999,1.264888,1.623953,1.890555,2.097668,2.416016,2.944525
38-2803680,,,,,,,,,,,,,,,0,0.321351,0.677977,1.037042,1.303644,1.5107570000000001,1.8291050000000002,2.3576140000000003
39-2803677,,,,,,,,,,,,,,,,0,0.356626,0.7156910000000001,0.9822930000000001,1.1894060000000002,1.5077540000000003,2.0362630000000004
40-2806803,,,,,,,,,,,,,,,,,0,0.359065,0.625667,0.83278,1.151128,1.679637
41-2806565,,,,,,,,,,,,,,,,,,0,0.266602,0.473715,0.792063,1.3205719999999999
42-2805474,,,,,,,,,,,,,,,,,,,0,0.20711300000000002,0.5254610000000001,1.05397
43-2807037,,,,,,,,,,,,,,,,,,,,0,0.318348,0.846857
44-2805631,,,,,,,,,,,,,,,,,,,,,0,0.528509
45-2805677,,,,,,,,,,,,,,,,,,,,,,0
