순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805632,6-2805634,7-2806163,8-2807626,9-2805703,10-2806807,11-2807439,12-2805702,13-2805700
1-2807429,0,0.420497,0.742504,1.086381,1.714056,2.017543,2.411597,2.738074,3.1349910000000003,3.3567420000000006,3.6556320000000007,3.8476850000000007,52.581424
2-2805676,,0,0.32200700000000004,0.665884,1.2935590000000001,1.5970460000000002,1.9911000000000003,2.3175770000000004,2.7144940000000006,2.9362450000000004,3.2351350000000005,3.4271880000000006,52.160927
3-2805630,,,0,0.343877,0.971552,1.275039,1.6690930000000002,1.9955700000000003,2.3924870000000005,2.6142380000000003,2.9131280000000004,3.1051810000000004,51.83892
4-2807038,,,,0,0.627675,0.931162,1.3252160000000002,1.6516930000000003,2.0486100000000005,2.2703610000000003,2.5692510000000004,2.7613040000000004,51.495043
5-2805632,,,,,0,0.303487,0.697541,1.0240179999999999,1.4209349999999998,1.6426859999999999,1.941576,2.133629,50.867368
6-2805634,,,,,,0,0.394054,0.720531,1.117448,1.339199,1.638089,1.830142,50.563881
7-2806163,,,,,,,0,0.326477,0.7233940000000001,0.9451450000000001,1.2440350000000002,1.4360880000000003,50.169827
8-2807626,,,,,,,,0,0.396917,0.618668,0.917558,1.109611,49.84335
9-2805703,,,,,,,,,0,0.22175100000000003,0.520641,0.712694,49.446433
10-2806807,,,,,,,,,,0,0.29889,0.490943,49.224682
11-2807439,,,,,,,,,,,0,0.192053,48.925792
12-2805702,,,,,,,,,,,,0,48.733739
13-2805700,,,,,,,,,,,,,0
