순번_정류장ID,22-2803394,23-2805673,24-2803403,25-2807535,26-2807528,27-2800108,28-2807508,29-2807498,30-2807501,31-2807560,32-2807559,33-2807555,34-2807516,35-2807541,36-2807545,37-2807552,38-2802597,39-2802596,40-2805059,41-2803771,42-2802359
22-2803394,0,1.526874,2.5547050000000002,4.461839,6.474907,8.278572,10.324773,11.990646,14.629757999999999,17.927941999999998,26.768366,32.741167000000004,35.469440000000006,39.495611000000004,41.568768000000006,48.328486000000005,49.081509000000004,50.318143000000006,52.08405200000001,54.60860100000001,56.879219000000006
23-2805673,,0,1.027831,2.934965,4.948033000000001,6.751698000000001,8.797899000000001,10.463772,13.102884,16.401068,25.241492,31.214293,33.942566,37.968737,40.041894,46.801612,47.554635,48.791269,50.557178,53.081727,55.352345
24-2803403,,,0,1.907134,3.920202,5.723867,7.770068,9.435941,12.075053,15.373237,24.213661000000002,30.186462000000002,32.914735,36.940906,39.014063,45.773781,46.526804,47.763438,49.529347,52.053896,54.324514
25-2807535,,,,0,2.013068,3.816733,5.862934,7.5288070000000005,10.167919000000001,13.466103,22.306527000000003,28.279328000000003,31.007601000000005,35.033772000000006,37.10692900000001,43.86664700000001,44.619670000000006,45.85630400000001,47.62221300000001,50.14676200000001,52.41738000000001
26-2807528,,,,,0,1.803665,3.849866,5.515739,8.154851,11.453035,20.293459,26.26626,28.994533,33.020704,35.093861000000004,41.853579,42.606602,43.843236000000005,45.609145000000005,48.133694000000006,50.404312000000004
27-2800108,,,,,,0,2.046201,3.712074,6.351186,9.64937,18.489794,24.462595,27.190868000000002,31.217039,33.290196,40.049914,40.802937,42.039571,43.80548,46.330029,48.600647
28-2807508,,,,,,,0,1.665873,4.304985,7.603168999999999,16.443593,22.416394,25.144667000000002,29.170838000000003,31.243995000000005,38.003713000000005,38.756736000000004,39.993370000000006,41.75927900000001,44.28382800000001,46.554446000000006
29-2807498,,,,,,,,0,2.639112,5.937296,14.77772,20.750521,23.478794,27.504965,29.578122,36.33784,37.090863,38.327497,40.093406,42.617955,44.888573
30-2807501,,,,,,,,,0,3.2981839999999996,12.138608,18.111409000000002,20.839682000000003,24.865853,26.939010000000003,33.698728,34.451751,35.688385000000004,37.454294000000004,39.978843000000005,42.249461000000004
31-2807560,,,,,,,,,,0,8.840424,14.813225000000001,17.541498,21.567669000000002,23.640826000000004,30.400544000000004,31.153567000000002,32.390201000000005,34.156110000000005,36.680659000000006,38.951277000000005
32-2807559,,,,,,,,,,,0,5.9728010000000005,8.701074,12.727245,14.800402,21.560119999999998,22.313142999999997,23.549776999999995,25.315685999999996,27.840234999999996,30.110852999999995
33-2807555,,,,,,,,,,,,0,2.728273,6.7544439999999994,8.827601,15.587318999999999,16.340342,17.576976,19.342885,21.867434,24.138052
34-2807516,,,,,,,,,,,,,0,4.026171,6.099328,12.859046,13.612069,14.848703,16.614612,19.139161,21.409779
35-2807541,,,,,,,,,,,,,,0,2.073157,8.832875,9.585898,10.822532,12.588441000000001,15.112990000000002,17.383608000000002
36-2807545,,,,,,,,,,,,,,,0,6.7597179999999994,7.512740999999999,8.749374999999999,10.515284,13.039833,15.310451
37-2807552,,,,,,,,,,,,,,,,0,0.753023,1.989657,3.755566,6.280115,8.550733000000001
38-2802597,,,,,,,,,,,,,,,,,0,1.236634,3.002543,5.527092000000001,7.79771
39-2802596,,,,,,,,,,,,,,,,,,0,1.765909,4.290458,6.561076
40-2805059,,,,,,,,,,,,,,,,,,,0,2.5245490000000004,4.795167000000001
41-2803771,,,,,,,,,,,,,,,,,,,,0,2.2706180000000002
42-2802359,,,,,,,,,,,,,,,,,,,,,0
