순번_정류장ID,1-2806800,2-2806656,3-2807047,4-2804977,5-2800507,6-2800503,7-2805796,8-2800509,9-2800511,10-2800514,11-2800516,12-2800518,13-2800522,14-2800531,15-2800540,16-2800551,17-2800557,18-2800564,19-2800577,20-2805679,21-2806742,22-2806657,23-2805025,24-2805873,25-2805844,26-2804905,27-2805413,28-2805842,29-2806172,30-2805231,31-2805400,32-2805038,33-2804895,34-2805744,35-2806419,36-2803673,37-2800663,38-2800655,39-2800666,40-2800678,41-2803556,42-2800345,43-2803643,44-2803791,45-2801474,46-2801464,47-2801178,48-2801179,49-2801439,50-2801492,51-2801524,52-2801602,53-2806837,54-2801647,55-2801634,56-2801667,57-2801680,58-2801698,59-2801714,60-2801712,61-2801701,62-2805300
1-2806800,0,0.21605700000000003,1.7836940000000001,2.017464,2.251439,2.380881,3.365859,3.6429549999999997,3.9308539999999996,4.081474,4.270771,4.45111,4.8112449999999995,5.277712999999999,5.536117999999999,5.783664999999999,6.060531999999999,6.366492999999999,6.564411999999999,6.879194999999999,8.234371,8.534934,8.697379999999999,8.897564999999998,9.146197999999998,9.381945999999997,9.640161999999997,10.387429999999997,10.899282999999997,11.397390999999997,11.597806999999998,11.880960999999997,12.469463999999997,13.009156999999997,13.531104999999997,14.450667999999997,14.704850999999996,14.958108999999997,15.427822999999997,15.738284999999996,15.997129999999995,16.565533999999996,18.496947999999996,18.855133999999996,19.095024999999996,19.515243999999996,20.097075999999994,20.386370999999993,20.904472999999992,21.205046999999993,21.678544999999993,21.923160999999993,22.303787999999994,22.589918999999995,23.009837999999995,23.373796999999996,23.904607999999996,24.262648999999996,24.374714999999995,24.657543999999994,24.783339999999995,25.115195999999994
2-2806656,,0,1.5676370000000002,1.8014070000000002,2.0353820000000002,2.1648240000000003,3.149802,3.4268980000000004,3.7147970000000003,3.8654170000000003,4.054714000000001,4.235053000000001,4.595188,5.061656,5.320061,5.567608,5.844475,6.150436,6.348355,6.663138,8.018314,8.318877,8.481323,8.681508,8.930140999999999,9.165888999999998,9.424104999999997,10.171372999999997,10.683225999999998,11.181333999999998,11.381749999999998,11.664903999999998,12.253406999999997,12.793099999999997,13.315047999999997,14.234610999999997,14.488793999999997,14.742051999999997,15.211765999999997,15.522227999999997,15.781072999999996,16.349476999999997,18.280890999999997,18.639076999999997,18.878967999999997,19.299186999999996,19.881018999999995,20.170313999999994,20.688415999999993,20.988989999999994,21.462487999999993,21.707103999999994,22.087730999999994,22.373861999999995,22.793780999999996,23.157739999999997,23.688550999999997,24.046591999999997,24.158657999999996,24.441486999999995,24.567282999999996,24.899138999999995
3-2807047,,,0,0.23376999999999998,0.46774499999999997,0.5971869999999999,1.5821649999999998,1.8592609999999998,2.14716,2.29778,2.4870769999999998,2.667416,3.027551,3.4940189999999998,3.7524239999999995,3.9999709999999995,4.276838,4.582799,4.780717999999999,5.095501,6.450677,6.75124,6.913686,7.1138710000000005,7.362504,7.5982520000000005,7.8564680000000005,8.603736000000001,9.115589000000002,9.613697000000002,9.814113000000003,10.097267000000002,10.685770000000002,11.225463000000001,11.747411000000001,12.666974000000002,12.921157000000001,13.174415000000002,13.644129000000001,13.954591,14.213436000000002,14.78184,16.713254,17.07144,17.311331,17.73155,18.313381999999997,18.602676999999996,19.120778999999995,19.421352999999996,19.894850999999996,20.139466999999996,20.520093999999997,20.806224999999998,21.226143999999998,21.590103,22.120914,22.478955,22.591020999999998,22.873849999999997,22.999646,23.331501999999997
4-2804977,,,,0,0.233975,0.363417,1.348395,1.625491,1.91339,2.06401,2.253307,2.433646,2.793781,3.260249,3.5186539999999997,3.7662009999999997,4.043068,4.349029,4.5469479999999995,4.861731,6.216907,6.51747,6.679916,6.880101000000001,7.128734000000001,7.364482000000001,7.622698000000001,8.369966000000002,8.881819000000002,9.379927000000002,9.580343000000003,9.863497000000002,10.452000000000002,10.991693000000001,11.513641000000002,12.433204000000002,12.687387000000001,12.940645000000002,13.410359000000001,13.720821,13.979666000000002,14.548070000000001,16.479484,16.83767,17.077561,17.49778,18.079611999999997,18.368906999999997,18.887008999999995,19.187582999999997,19.661080999999996,19.905696999999996,20.286323999999997,20.572454999999998,20.992373999999998,21.356333,21.887144,22.245185,22.357250999999998,22.640079999999998,22.765876,23.097731999999997
5-2800507,,,,,0,0.129442,1.11442,1.391516,1.6794149999999999,1.8300349999999999,2.019332,2.199671,2.559806,3.026274,3.2846789999999997,3.5322259999999996,3.809093,4.115054,4.3129729999999995,4.627756,5.982932,6.283495,6.445941,6.646126000000001,6.8947590000000005,7.130507000000001,7.388723000000001,8.135991,8.647844000000001,9.145952000000001,9.346368000000002,9.629522000000001,10.218025,10.757718,11.279666,12.199229,12.453412,12.70667,13.176384,13.486846,13.745691,14.314095,16.245509,16.603695,16.843586,17.263804999999998,17.845636999999996,18.134931999999996,18.653033999999995,18.953607999999996,19.427105999999995,19.671721999999995,20.052348999999996,20.338479999999997,20.758398999999997,21.122358,21.653169,22.01121,22.123275999999997,22.406104999999997,22.531900999999998,22.863756999999996
6-2800503,,,,,,0,0.984978,1.2620740000000001,1.549973,1.700593,1.88989,2.070229,2.430364,2.896832,3.1552369999999996,3.4027839999999996,3.679651,3.9856119999999997,4.1835309999999994,4.498314,5.85349,6.154053,6.316499,6.516684000000001,6.7653170000000005,7.0010650000000005,7.2592810000000005,8.006549,8.518402,9.01651,9.216926,9.50008,10.088583,10.628276,11.150224,12.069787,12.32397,12.577228,13.046942,13.357403999999999,13.616249,14.184652999999999,16.116066999999997,16.474252999999997,16.714143999999997,17.134362999999997,17.716194999999995,18.005489999999995,18.523591999999994,18.824165999999995,19.297663999999994,19.542279999999995,19.922906999999995,20.209037999999996,20.628956999999996,20.992915999999997,21.523726999999997,21.881767999999997,21.993833999999996,22.276662999999996,22.402458999999997,22.734314999999995
7-2805796,,,,,,,0,0.277096,0.5649949999999999,0.7156149999999999,0.9049119999999999,1.085251,1.445386,1.9118540000000002,2.170259,2.417806,2.6946730000000003,3.0006340000000002,3.1985530000000004,3.5133360000000002,4.868512,5.169075,5.331521,5.531706000000001,5.780339000000001,6.016087000000001,6.274303000000001,7.021571000000001,7.533424000000001,8.031532,8.231948000000001,8.515102,9.103605,9.643298,10.165246,11.084809,11.338992,11.59225,12.061964,12.372425999999999,12.631270999999998,13.199674999999997,15.131088999999998,15.489274999999997,15.729165999999998,16.149385,16.731216999999997,17.020511999999997,17.538613999999995,17.839187999999996,18.312685999999996,18.557301999999996,18.937928999999997,19.224059999999998,19.643978999999998,20.007938,20.538749,20.89679,21.008855999999998,21.291684999999998,21.417481,21.749336999999997
8-2800509,,,,,,,,0,0.28789899999999996,0.438519,0.6278159999999999,0.808155,1.1682899999999998,1.634758,1.893163,2.14071,2.417577,2.723538,2.921457,3.23624,4.591416,4.891979,5.054425,5.2546100000000004,5.503243,5.738991,5.997207,6.744475,7.256328000000001,7.754436000000001,7.954852000000001,8.238006,8.826509,9.366202,9.88815,10.807713,11.061895999999999,11.315154,11.784868,12.095329999999999,12.354174999999998,12.922578999999997,14.853992999999997,15.212178999999997,15.452069999999997,15.872288999999997,16.454120999999997,16.743415999999996,17.261517999999995,17.562091999999996,18.035589999999996,18.280205999999996,18.660832999999997,18.946963999999998,19.366882999999998,19.730842,20.261653,20.619694,20.731759999999998,21.014588999999997,21.140385,21.472240999999997
9-2800511,,,,,,,,,0,0.15062,0.339917,0.520256,0.880391,1.346859,1.605264,1.852811,2.129678,2.435639,2.6335580000000003,2.948341,4.303517,4.604080000000001,4.766526000000001,4.966711000000001,5.215344000000001,5.451092000000001,5.709308000000001,6.456576000000001,6.968429000000001,7.4665370000000015,7.666953000000001,7.950107000000001,8.53861,9.078303,9.600251,10.519814,10.773997,11.027255,11.496969,11.807431,12.066275999999998,12.634679999999998,14.566093999999998,14.924279999999998,15.164170999999998,15.584389999999997,16.166221999999998,16.455516999999997,16.973618999999996,17.274192999999997,17.747690999999996,17.992306999999997,18.372933999999997,18.659065,19.078984,19.442943,19.973754,20.331795,20.443861,20.726689999999998,20.852486,21.184341999999997
10-2800514,,,,,,,,,,0,0.189297,0.36963599999999996,0.729771,1.196239,1.454644,1.702191,1.979058,2.285019,2.4829380000000003,2.797721,4.152897,4.453460000000001,4.615906000000001,4.816091000000001,5.064724000000001,5.300472000000001,5.558688000000001,6.305956000000001,6.817809000000001,7.315917000000002,7.516333000000001,7.799487000000001,8.38799,8.927683,9.449631,10.369194,10.623377,10.876635,11.346349,11.656811,11.915655999999998,12.484059999999998,14.415473999999998,14.773659999999998,15.013550999999998,15.433769999999997,16.015601999999998,16.304896999999997,16.822998999999996,17.123572999999997,17.597070999999996,17.841686999999997,18.222313999999997,18.508445,18.928364,19.292323,19.823134,20.181175,20.293241,20.576069999999998,20.701866,21.033721999999997
