순번_정류장ID,32-2806737,33-2806735,34-2807048,35-2806733,36-2805337,37-2805730,38-2806191,39-2806160,40-2807302,41-2804861,42-2800565,43-2806015,44-2800567,45-2803766,46-2800351,47-2800549,48-2800543,49-2800385,50-2800536,51-2807212,52-2800530,53-2800523,54-2800519,55-2800517,56-2800515,57-2800508
32-2806737,0,0.271413,0.586141,1.035385,1.777225,2.637795,4.406092,5.096094,5.810779,6.3509210000000005,6.717329,6.913162000000001,7.8427810000000004,8.215137,8.457207,8.643992,8.996626000000001,9.647218,10.12443,10.569931,10.854818,11.099036,11.258075999999999,11.437722999999998,12.004158999999998,12.298031999999997
33-2806735,,0,0.314728,0.763972,1.505812,2.3663819999999998,4.134679,4.824681,5.539366,6.079508000000001,6.445916,6.641749000000001,7.5713680000000005,7.9437240000000005,8.185794,8.372579,8.725213,9.375805,9.853017,10.298518,10.583404999999999,10.827622999999999,10.986662999999998,11.166309999999998,11.732745999999997,12.026618999999997
34-2807048,,,0,0.449244,1.191084,2.051654,3.819951,4.509953,5.224638000000001,5.764780000000001,6.131188000000001,6.327021000000001,7.256640000000001,7.628996000000001,7.871066000000001,8.057851000000001,8.410485000000001,9.061077000000001,9.538289,9.98379,10.268677,10.512895,10.671935,10.851581999999999,11.418017999999998,11.711890999999998
35-2806733,,,,0,0.7418399999999999,1.60241,3.370707,4.060709,4.775394,5.315536000000001,5.6819440000000005,5.877777000000001,6.807396000000001,7.179752000000001,7.421822000000001,7.608607000000001,7.961241000000001,8.611833,9.089045,9.534546,9.819433,10.063651,10.222691,10.402337999999999,10.968773999999998,11.262646999999998
36-2805337,,,,,0,0.8605700000000001,2.628867,3.3188690000000003,4.0335540000000005,4.573696000000001,4.940104000000001,5.135937000000001,6.065556000000001,6.437912000000001,6.679982000000001,6.866767000000001,7.219401000000001,7.869993000000001,8.347205,8.792706,9.077593,9.321811,9.480851,9.660497999999999,10.226933999999998,10.520806999999998
37-2805730,,,,,,0,1.768297,2.4582990000000002,3.1729840000000005,3.7131260000000004,4.079534000000001,4.275367000000001,5.204986000000001,5.577342000000001,5.819412000000001,6.006197,6.358831,7.009423,7.486635,7.932136,8.217023,8.461241,8.620280999999999,8.799927999999998,9.366363999999997,9.660236999999997
38-2806191,,,,,,,0,0.690002,1.404687,1.944829,2.3112369999999998,2.5070699999999997,3.436689,3.809045,4.051114999999999,4.2379,4.590534,5.2411259999999995,5.718337999999999,6.163838999999999,6.448726,6.692944,6.851984,7.031631,7.598067,7.89194
39-2806160,,,,,,,,0,0.714685,1.2548270000000001,1.6212350000000002,1.8170680000000001,2.746687,3.119043,3.361113,3.547898,3.900532,4.551124,5.0283359999999995,5.473837,5.758724,6.002942,6.161982,6.341629,6.908065000000001,7.201938
40-2807302,,,,,,,,,0,0.540142,0.90655,1.102383,2.032002,2.4043579999999998,2.646428,2.8332129999999998,3.185847,3.836439,4.313651,4.759152,5.044039000000001,5.288257000000001,5.447297000000001,5.626944000000001,6.193380000000001,6.487253000000001
41-2804861,,,,,,,,,,0,0.366408,0.562241,1.49186,1.8642159999999999,2.106286,2.293071,2.645705,3.296297,3.773509,4.21901,4.503897,4.748115,4.907155,5.0868020000000005,5.653238,5.947111
42-2800565,,,,,,,,,,,0,0.19583299999999998,1.1254520000000001,1.497808,1.739878,1.926663,2.279297,2.929889,3.407101,3.852602,4.137489,4.3817070000000005,4.5407470000000005,4.720394000000001,5.28683,5.580703
43-2806015,,,,,,,,,,,,0,0.9296190000000001,1.301975,1.5440450000000001,1.73083,2.083464,2.7340560000000003,3.2112680000000005,3.6567690000000006,3.9416560000000005,4.185874,4.344914,4.524561,5.090997,5.384869999999999
44-2800567,,,,,,,,,,,,,0,0.372356,0.614426,0.801211,1.153845,1.804437,2.281649,2.72715,3.012037,3.256255,3.415295,3.594942,4.161378,4.455251
45-2803766,,,,,,,,,,,,,,0,0.24206999999999998,0.428855,0.781489,1.4320810000000002,1.9092930000000001,2.354794,2.639681,2.883899,3.042939,3.222586,3.789022,4.082895
46-2800351,,,,,,,,,,,,,,,0,0.18678499999999998,0.539419,1.1900110000000002,1.6672230000000001,2.112724,2.397611,2.641829,2.800869,2.980516,3.546952,3.840825
47-2800549,,,,,,,,,,,,,,,,0,0.352634,1.0032260000000002,1.4804380000000001,1.925939,2.210826,2.455044,2.614084,2.793731,3.360167,3.65404
48-2800543,,,,,,,,,,,,,,,,,0,0.6505920000000001,1.127804,1.573305,1.8581919999999998,2.10241,2.26145,2.441097,3.007533,3.301406
49-2800385,,,,,,,,,,,,,,,,,,0,0.47721199999999997,0.922713,1.2076,1.451818,1.6108580000000001,1.790505,2.356941,2.650814
50-2800536,,,,,,,,,,,,,,,,,,,0,0.44550100000000004,0.730388,0.9746060000000001,1.1336460000000002,1.3132930000000003,1.8797290000000002,2.1736020000000003
51-2807212,,,,,,,,,,,,,,,,,,,,0,0.284887,0.5291049999999999,0.688145,0.867792,1.434228,1.728101
52-2800530,,,,,,,,,,,,,,,,,,,,,0,0.244218,0.403258,0.582905,1.149341,1.443214
53-2800523,,,,,,,,,,,,,,,,,,,,,,0,0.15904000000000001,0.338687,0.9051229999999999,1.198996
54-2800519,,,,,,,,,,,,,,,,,,,,,,,0,0.179647,0.7460829999999999,1.0399559999999999
55-2800517,,,,,,,,,,,,,,,,,,,,,,,,0,0.5664359999999999,0.860309
56-2800515,,,,,,,,,,,,,,,,,,,,,,,,,0,0.293873
57-2800508,,,,,,,,,,,,,,,,,,,,,,,,,,0
