순번_정류장ID,15-2805646,16-2805979,17-2805162,18-2805158,19-2803416,20-2807467,21-2807468,22-2802365,23-2802590,24-2805206,25-2806021,26-2803519
15-2805646,0,1.9619830000000003,3.24134,5.625819,11.390767,16.431486,37.921351,41.162074000000004,42.275114,43.195282,44.376588,46.534189
16-2805979,,0,1.279357,3.6638360000000003,9.428784,14.469503,35.959368,39.200091,40.313131,41.233298999999995,42.414604999999995,44.572205999999994
17-2805162,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,34.680011,37.920734,39.033774,39.953942,41.135248,43.292849
18-2805158,,,,0,5.764948,10.805667,32.295531999999994,35.536255,36.649294999999995,37.56946299999999,38.75076899999999,40.90836999999999
19-2803416,,,,,0,5.040719,26.530583999999998,29.771306999999997,30.884346999999998,31.804515,32.985821,35.143422
20-2807467,,,,,,0,21.489864999999998,24.730587999999997,25.843628,26.763796,27.945102,30.102702999999998
21-2807468,,,,,,,0,3.240723,4.353763,5.273931,6.455237,8.612838
22-2802365,,,,,,,,0,1.11304,2.033208,3.2145140000000003,5.372115
23-2802590,,,,,,,,,0,0.920168,2.101474,4.259074999999999
24-2805206,,,,,,,,,,0,1.181306,3.338907
25-2806021,,,,,,,,,,,0,2.1576009999999997
26-2803519,,,,,,,,,,,,0
