순번_정류장ID,68-2804823,69-2801267,70-2801266,71-2801276,72-2801241,73-2801290,74-2801297,75-2801318,76-2801356,77-2801414,78-2801492,79-2801524,80-2801602,81-2801658,82-2801672,83-2801684,84-2801718,85-2801745,86-2801752,87-2801759,88-2801768,89-2801790,90-2801957,91-2801963,92-2801978,93-2801984,94-2802009,95-2802037,96-2802075,97-2802115,98-2802134,99-2806621,100-2806503,101-2806507,102-2802175,103-2802828,104-2802193,105-2802221,106-2802224,107-2802229,108-2802236,109-2802254,110-2802261,111-2802258,112-2802265,113-2802279,114-2802278,115-2802282,116-2802291,117-2802549,118-2802545,119-2802546,120-2802562,121-2802571,122-2802576,123-2802585,124-2802374
68-2804823,0,0.337906,0.561686,0.906929,1.243558,1.5353729999999999,1.8940739999999998,2.3214289999999997,2.870786,3.611002,3.911576,4.385074,4.975280000000001,5.337416000000001,5.776911000000001,6.259293000000001,6.819769000000001,7.230821000000001,7.727696000000001,7.955256,8.454094,9.081616,9.370059000000001,9.906703000000002,10.112631000000002,10.320381000000003,10.531980000000003,10.891475000000003,11.229029000000004,11.491457000000004,12.191531000000005,12.517674000000005,12.913165000000005,13.259315000000004,13.579535000000005,14.708887000000006,16.288107000000007,16.603658000000006,17.017135000000007,17.448196000000006,18.010627000000007,18.226999000000006,18.659696000000007,19.143887000000007,19.754092000000007,20.320232000000008,20.679267000000007,21.169951000000008,21.583199000000008,21.982537000000008,22.27446100000001,22.59823500000001,22.89174300000001,23.17001900000001,23.59698000000001,23.80519400000001,23.94377700000001
69-2801267,,0,0.22378,0.569023,0.9056519999999999,1.1974669999999998,1.556168,1.983523,2.53288,3.273096,3.57367,4.047168,4.637374,4.999510000000001,5.439005000000001,5.921387000000001,6.481863000000001,6.892915,7.3897900000000005,7.61735,8.116188,8.74371,9.032153000000001,9.568797000000002,9.774725000000002,9.982475000000003,10.194074000000002,10.553569000000003,10.891123000000004,11.153551000000004,11.853625000000005,12.179768000000005,12.575259000000004,12.921409000000004,13.241629000000005,14.370981000000006,15.950201000000005,16.265752000000006,16.679229000000007,17.110290000000006,17.672721000000006,17.889093000000006,18.321790000000007,18.805981000000006,19.416186000000007,19.982326000000008,20.341361000000006,20.832045000000008,21.245293000000007,21.644631000000008,21.93655500000001,22.26032900000001,22.55383700000001,22.83211300000001,23.25907400000001,23.46728800000001,23.60587100000001
70-2801266,,,0,0.34524299999999997,0.681872,0.973687,1.332388,1.7597429999999998,2.3091,3.049316,3.3498900000000003,3.8233880000000005,4.413594000000001,4.775730000000001,5.215225000000001,5.697607000000001,6.258083000000001,6.669135000000001,7.166010000000001,7.39357,7.8924080000000005,8.51993,8.808373,9.345017,9.550945,9.758695000000001,9.970294,10.329789000000002,10.667343000000002,10.929771000000002,11.629845000000003,11.955988000000003,12.351479000000003,12.697629000000003,13.017849000000004,14.147201000000004,15.726421000000004,16.041972000000005,16.455449000000005,16.886510000000005,17.448941000000005,17.665313000000005,18.098010000000006,18.582201000000005,19.192406000000005,19.758546000000006,20.117581000000005,20.608265000000006,21.021513000000006,21.420851000000006,21.712775000000008,22.036549000000008,22.330057000000007,22.60833300000001,23.035294000000007,23.24350800000001,23.38209100000001
71-2801276,,,,0,0.336629,0.628444,0.987145,1.4145,1.963857,2.704073,3.0046470000000003,3.4781450000000005,4.068351000000001,4.430487000000001,4.869982000000001,5.3523640000000015,5.912840000000001,6.323892000000001,6.820767000000001,7.0483270000000005,7.547165000000001,8.174687,8.46313,8.999774,9.205702,9.413452000000001,9.625051000000001,9.984546000000002,10.322100000000002,10.584528000000002,11.284602000000003,11.610745000000003,12.006236000000003,12.352386000000003,12.672606000000004,13.801958000000004,15.381178000000004,15.696729000000003,16.110206,16.541267,17.103698,17.32007,17.752767000000002,18.236958,18.847163000000002,19.413303000000003,19.772338,20.263022000000003,20.676270000000002,21.075608000000003,21.367532000000004,21.691306000000004,21.984814000000004,22.263090000000005,22.690051000000004,22.898265000000006,23.036848000000006
72-2801241,,,,,0,0.291815,0.6505160000000001,1.077871,1.6272280000000001,2.367444,2.668018,3.141516,3.7317220000000004,4.093858000000001,4.533353000000001,5.015735000000001,5.576211000000001,5.9872630000000004,6.484138000000001,6.711698,7.210536,7.838058,8.126501000000001,8.663145000000002,8.869073000000002,9.076823000000003,9.288422000000002,9.647917000000003,9.985471000000004,10.247899000000004,10.947973000000005,11.274116000000005,11.669607000000005,12.015757000000004,12.335977000000005,13.465329000000006,15.044549000000005,15.360100000000005,15.773577000000005,16.204638000000006,16.767069000000006,16.983441000000006,17.416138000000007,17.900329000000006,18.510534000000007,19.076674000000008,19.435709000000006,19.926393000000008,20.339641000000007,20.738979000000008,21.03090300000001,21.35467700000001,21.64818500000001,21.92646100000001,22.35342200000001,22.56163600000001,22.70021900000001
73-2801290,,,,,,0,0.35870100000000005,0.7860560000000001,1.335413,2.075629,2.3762030000000003,2.8497010000000005,3.4399070000000007,3.8020430000000007,4.241538,4.723920000000001,5.284396000000001,5.695448000000001,6.192323000000001,6.4198830000000005,6.918721000000001,7.5462430000000005,7.8346860000000005,8.37133,8.577258,8.785008000000001,8.996607000000001,9.356102000000002,9.693656000000002,9.956084000000002,10.656158000000003,10.982301000000003,11.377792000000003,11.723942000000003,12.044162000000004,13.173514000000004,14.752734000000004,15.068285000000003,15.481762000000003,15.912823000000003,16.475254000000003,16.691626000000003,17.124323000000004,17.608514000000003,18.218719000000004,18.784859000000004,19.143894000000003,19.634578000000005,20.047826000000004,20.447164000000004,20.739088000000006,21.062862000000006,21.356370000000005,21.634646000000007,22.061607000000006,22.269821000000007,22.408404000000008
74-2801297,,,,,,,0,0.42735500000000004,0.976712,1.716928,2.017502,2.4909999999999997,3.081206,3.443342,3.882837,4.365219,4.925694999999999,5.336746999999999,5.833621999999999,6.061181999999999,6.560019999999999,7.187541999999999,7.475984999999999,8.012628999999999,8.218556999999999,8.426307,8.637906,8.997401,9.334955,9.597383,10.297457000000001,10.623600000000001,11.019091000000001,11.365241000000001,11.685461000000002,12.814813000000003,14.394033000000002,14.709584000000001,15.123061000000002,15.554122000000001,16.116553,16.332925,16.765622,17.249813,17.860018,18.426158,18.785193,19.275877,19.689125,20.088463,20.380387000000002,20.704161000000003,20.997669000000002,21.275945000000004,21.702906000000002,21.911120000000004,22.049703000000004
75-2801318,,,,,,,,0,0.549357,1.2895729999999999,1.5901469999999998,2.0636449999999997,2.6538509999999995,3.0159869999999995,3.4554819999999995,3.9378639999999994,4.498339999999999,4.909391999999999,5.406266999999999,5.633826999999998,6.1326649999999985,6.760186999999998,7.048629999999998,7.585273999999998,7.791201999999998,7.998951999999998,8.210550999999999,8.570046,8.9076,9.170028,9.870102000000001,10.196245000000001,10.591736000000001,10.937886,11.258106000000002,12.387458000000002,13.966678000000002,14.282229000000001,14.695706000000001,15.126767000000001,15.689198000000001,15.90557,16.338267000000002,16.822458,17.432663,17.998803000000002,18.357838,18.848522000000003,19.261770000000002,19.661108000000002,19.953032000000004,20.276806000000004,20.570314000000003,20.848590000000005,21.275551000000004,21.483765000000005,21.622348000000006
76-2801356,,,,,,,,,0,0.740216,1.0407899999999999,1.5142879999999999,2.104494,2.46663,2.906125,3.3885069999999997,3.9489829999999997,4.360035,4.85691,5.08447,5.583308,6.21083,6.499273,7.0359169999999995,7.241845,7.4495949999999995,7.661193999999999,8.020688999999999,8.358243,8.620671,9.320745,9.646888,10.042379,10.388529,10.708749000000001,11.838101000000002,13.417321000000001,13.732872,14.146349,14.57741,15.139841,15.356213,15.78891,16.273101,16.883306,17.449446000000002,17.808481,18.299165000000002,18.712413,19.111751,19.403675000000003,19.727449000000004,20.020957000000003,20.299233000000005,20.726194000000003,20.934408000000005,21.072991000000005
77-2801414,,,,,,,,,,0,0.30057399999999995,0.7740719999999999,1.3642779999999999,1.726414,2.165909,2.648291,3.208767,3.619819,4.116694,4.344253999999999,4.8430919999999995,5.470613999999999,5.759056999999999,6.295700999999999,6.501628999999999,6.709378999999999,6.920977999999999,7.280472999999999,7.618026999999999,7.880454999999999,8.580528999999999,8.906671999999999,9.302162999999998,9.648312999999998,9.968532999999999,11.097885,12.677105,12.992655999999998,13.406132999999999,13.837193999999998,14.399624999999999,14.615996999999998,15.048693999999998,15.532884999999997,16.143089999999997,16.709229999999998,17.068264999999997,17.558949,17.972196999999998,18.371534999999998,18.663459,18.987233,19.280741,19.559017,19.985978,20.194192,20.332775
