순번_정류장ID,1-2803340,2-2803336,3-2803326,4-2803324,5-2803322,6-2803311,7-2803316,8-2803319,9-2803305,10-2803293,11-2803281,12-2803275,13-2803266,14-2803268,15-2803259,16-2803249,17-2803226,18-2803127,19-2805713,20-2803122,21-2803104,22-2803094,23-2803079,24-2803068,25-2807615,26-2803077,27-2803101,28-2803100,29-2803087,30-2802667,31-2802631,32-2802668,33-2802655,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800697,42-2801603,43-2801583,44-2801565,45-2801546,46-2801527,47-2801484,48-2801178,49-2801179,50-2801424,51-2801411,52-2801401,53-2801391,54-2801386,55-2801380,56-2805805,57-2800209,58-2800201
1-2803340,0,0.316447,0.46821999999999997,0.771083,1.217737,1.5706760000000002,2.4980890000000002,3.0407080000000004,3.5371520000000003,4.104919000000001,4.49476,4.759432,5.163699,5.726627000000001,5.920879,6.560891,6.7697899999999995,7.265471,7.460834999999999,7.68134,7.913469999999999,8.223659999999999,8.434871,8.698896,8.998536,9.3681,9.764891,10.056541000000001,10.441004000000001,10.849635000000001,11.126307,11.779534,12.139206,12.45821,13.160922,13.352630999999999,13.815484999999999,14.067319,14.485889,14.803294000000001,15.781884000000002,16.107253,16.376057,16.667393999999998,17.091993,17.542023,17.980136,18.561968,19.018494,19.297745,19.585189,19.846653,20.089582,20.319385,20.588229000000002,20.870956000000003,21.753878000000004,21.951604000000003
2-2803336,,0,0.151773,0.454636,0.9012899999999999,1.254229,2.181642,2.7242610000000003,3.220705,3.788472,4.178313,4.442985,4.847252,5.41018,5.604432,6.244444,6.453342999999999,6.949024,7.144387999999999,7.3648929999999995,7.597022999999999,7.907213,8.118424,8.382449,8.682089,9.051653,9.448444,9.740094000000001,10.124557000000001,10.533188,10.80986,11.463087,11.822759,12.141763,12.844475,13.036183999999999,13.499037999999999,13.750872,14.169442,14.486847000000001,15.465437000000001,15.790806000000002,16.059610000000003,16.350947,16.775546000000002,17.225576000000004,17.663689000000005,18.245521000000004,18.702047000000004,18.981298000000002,19.268742000000003,19.530206000000003,19.773135000000003,20.002938000000004,20.271782000000005,20.554509000000007,21.437431000000007,21.635157000000007
3-2803326,,,0,0.302863,0.749517,1.102456,2.029869,2.572488,3.0689319999999998,3.6366989999999997,4.02654,4.291212,4.695479,5.258407,5.452659,6.092670999999999,6.301569999999999,6.797250999999999,6.992614999999999,7.213119999999999,7.445249999999999,7.755439999999999,7.966650999999999,8.230675999999999,8.530316,8.89988,9.296671,9.588321,9.972784,10.381415,10.658087,11.311314,11.670986,11.989989999999999,12.692701999999999,12.884410999999998,13.347264999999998,13.599098999999999,14.017669,14.335074,15.313664000000001,15.639033000000001,15.907837,16.199174,16.623773,17.073803,17.511916000000003,18.093748,18.550274,18.829525,19.116969,19.378433,19.621362,19.851165,20.120009000000003,20.402736000000004,21.285658000000005,21.483384000000004
4-2803324,,,,0,0.446654,0.799593,1.7270059999999998,2.2696249999999996,2.7660689999999994,3.3338359999999994,3.7236769999999995,3.9883489999999995,4.392615999999999,4.955544,5.149795999999999,5.789807999999999,5.998706999999999,6.494387999999999,6.689751999999999,6.910256999999999,7.1423869999999985,7.452576999999999,7.6637879999999985,7.927812999999999,8.227452999999999,8.597017,8.993808,9.285458,9.669921,10.078552,10.355224,11.008450999999999,11.368122999999999,11.687126999999998,12.389838999999998,12.581547999999998,13.044401999999998,13.296235999999999,13.714806,14.032211,15.010801,15.336170000000001,15.604974,15.896311,16.32091,16.770940000000003,17.209053000000004,17.790885000000003,18.247411000000003,18.526662,18.814106000000002,19.075570000000003,19.318499000000003,19.548302000000003,19.817146000000005,20.099873000000006,20.982795000000007,21.180521000000006
5-2803322,,,,,0,0.352939,1.280352,1.822971,2.319415,2.8871819999999997,3.277023,3.541695,3.9459619999999997,4.50889,4.703142,5.343154,5.552053,6.047734,6.243098,6.463603,6.695733,7.005923,7.217134,7.481159,7.780799,8.150363,8.547154,8.838804000000001,9.223267000000002,9.631898000000001,9.908570000000001,10.561797,10.921469,11.240473,11.943185,12.134894,12.597748,12.849582,13.268152,13.585557000000001,14.564147000000002,14.889516000000002,15.158320000000002,15.449657000000002,15.874256000000003,16.324286000000004,16.762399000000006,17.344231000000004,17.800757000000004,18.080008000000003,18.367452000000004,18.628916000000004,18.871845000000004,19.101648000000004,19.370492000000006,19.653219000000007,20.536141000000008,20.733867000000007
6-2803311,,,,,,0,0.9274129999999999,1.4700319999999998,1.9664759999999997,2.5342429999999996,2.9240839999999997,3.1887559999999997,3.5930229999999996,4.155951,4.350203,4.990214999999999,5.199113999999999,5.694794999999999,5.890158999999999,6.110663999999999,6.342793999999999,6.652983999999999,6.864194999999999,7.128219999999999,7.427859999999999,7.7974239999999995,8.194215,8.485865,8.870328,9.278959,9.555631,10.208858,10.568529999999999,10.887533999999999,11.590245999999999,11.781954999999998,12.244808999999998,12.496642999999999,12.915213,13.232618,14.211208000000001,14.536577000000001,14.805381,15.096718000000001,15.521317000000002,15.971347000000002,16.409460000000003,16.991292,17.447818,17.727069,18.014513,18.275977,18.518906,18.748709,19.017553000000003,19.300280000000004,20.183202000000005,20.380928000000004
7-2803316,,,,,,,0,0.542619,1.0390629999999998,1.60683,1.996671,2.261343,2.66561,3.228538,3.42279,4.062802,4.271700999999999,4.767382,4.962745999999999,5.183250999999999,5.415380999999999,5.7255709999999995,5.936781999999999,6.200806999999999,6.500446999999999,6.870011,7.266802,7.558452,7.942915,8.351546,8.628218,9.281445,9.641117,9.960121,10.662833,10.854541999999999,11.317395999999999,11.56923,11.9878,12.305205,13.283795000000001,13.609164000000002,13.877968000000001,14.169305000000001,14.593904000000002,15.043934000000002,15.482047000000001,16.063879,16.520405,16.799656,17.0871,17.348564,17.591493,17.821296,18.09014,18.372867000000003,19.255789000000004,19.453515000000003
8-2803319,,,,,,,,0,0.49644399999999994,1.064211,1.454052,1.718724,2.122991,2.6859189999999997,2.880171,3.520183,3.729082,4.224763,4.420127,4.640632,4.872762,5.182952,5.394163,5.658188,5.957828,6.327392,6.724183,7.015833,7.400296,7.808927,8.085599,8.738826,9.098498,9.417501999999999,10.120213999999999,10.311922999999998,10.774776999999998,11.026610999999999,11.445181,11.762586,12.741176000000001,13.066545000000001,13.335349,13.626686000000001,14.051285000000002,14.501315000000002,14.939428000000001,15.521260000000002,15.977786000000002,16.257037,16.544481,16.805945,17.048874,17.278677000000002,17.547521000000003,17.830248000000005,18.713170000000005,18.910896000000005
9-2803305,,,,,,,,,0,0.567767,0.957608,1.22228,1.626547,2.189475,2.383727,3.023739,3.232638,3.728319,3.923683,4.144188,4.3763179999999995,4.686508,4.8977189999999995,5.161744,5.461384,5.830947999999999,6.227739,6.519388999999999,6.903852,7.312482999999999,7.589154999999999,8.242382,8.602053999999999,8.921057999999999,9.623769999999999,9.815478999999998,10.278332999999998,10.530166999999999,10.948737,11.266142,12.244732,12.570101000000001,12.838905,13.130242,13.554841000000001,14.004871000000001,14.442984000000001,15.024816000000001,15.481342000000001,15.760593000000002,16.048037,16.309501,16.55243,16.782233,17.051077000000003,17.333804000000004,18.216726000000005,18.414452000000004
10-2803293,,,,,,,,,,0,0.389841,0.6545129999999999,1.0587799999999998,1.621708,1.81596,2.455972,2.664871,3.160552,3.355916,3.5764210000000003,3.8085510000000005,4.118741000000001,4.3299520000000005,4.593977000000001,4.893617000000001,5.263181000000001,5.659972000000002,5.951622000000001,6.3360850000000015,6.744716000000001,7.021388000000001,7.674615000000001,8.034287,8.353291,9.056003,9.247712,9.710566,9.9624,10.380970000000001,10.698375000000002,11.676965000000003,12.002334000000003,12.271138000000002,12.562475000000003,12.987074000000003,13.437104000000003,13.875217000000003,14.457049000000003,14.913575000000003,15.192826000000004,15.480270000000004,15.741734000000005,15.984663000000005,16.214466000000005,16.483310000000007,16.766037000000008,17.64895900000001,17.846685000000008
