순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2803769,5-2804876,6-2803770,7-2803820,8-2806041,9-2805551,10-2804418,11-2802599,12-2802592,13-2802589,14-2802362,15-2802595,16-2802598,17-2802587,18-2802580,19-2802572,20-2802561,21-2802550,22-2802540,23-2802535,24-2802527,25-2802520,26-2802498,27-2802485,28-2802483,29-2802371,30-2802441,31-2802941,32-2802901,33-2802851,34-2802823,35-2802783,36-2802757,37-2802733,38-2802706,39-2802628
1-2805045,0,0.6510630000000001,0.9365970000000001,1.5422600000000002,2.096596,2.602997,2.915314,3.15527,3.363517,3.765821,4.157945,4.291453,4.564922,4.91856,5.204353,5.441217,7.183597,7.685651,8.147784,8.475665,8.674598999999999,8.976778,9.211751,9.505056,9.844351,10.118734,10.373511,10.481414000000001,10.892305,11.342106000000001,13.201434,13.526597,13.990303,14.172701,14.596722,15.072041,15.31034,15.732936,15.992074
2-2803524,,0,0.285534,0.891197,1.445533,1.951934,2.2642510000000002,2.504207,2.712454,3.114758,3.506882,3.64039,3.913859,4.267497,4.55329,4.790153999999999,6.532533999999999,7.034587999999999,7.496720999999999,7.824601999999999,8.023535999999998,8.325714999999999,8.560687999999999,8.853993,9.193287999999999,9.467671,9.722448,9.830351,10.241242,10.691043,12.550371,12.875534,13.33924,13.521638,13.945659,14.420978,14.659277,15.081873,15.341011
3-2803525,,,0,0.6056630000000001,1.159999,1.6663999999999999,1.9787169999999998,2.218673,2.42692,2.829224,3.221348,3.354856,3.628325,3.981963,4.267756,4.50462,6.247,6.749054,7.211187,7.539067999999999,7.738002,8.040181,8.275154,8.568459,8.907754,9.182137,9.436914000000002,9.544817000000002,9.955708000000001,10.405509000000002,12.264837000000002,12.590000000000002,13.053706000000002,13.236104000000001,13.660125,14.135444000000001,14.373743000000001,14.796339000000001,15.055477000000002
4-2803769,,,,0,0.5543359999999999,1.060737,1.373054,1.61301,1.8212570000000001,2.223561,2.615685,2.749193,3.022662,3.3763,3.662093,3.8989570000000002,5.641337,6.143391,6.605524,6.933405,7.132339,7.434518,7.669491,7.962796,8.302091,8.576474000000001,8.831251000000002,8.939154000000002,9.350045000000001,9.799846000000002,11.659174000000002,11.984337000000002,12.448043000000002,12.630441000000001,13.054462000000001,13.529781000000002,13.768080000000001,14.190676000000002,14.449814000000002
5-2804876,,,,,0,0.506401,0.8187180000000001,1.0586740000000001,1.2669210000000002,1.6692250000000002,2.0613490000000003,2.1948570000000003,2.4683260000000002,2.8219640000000004,3.1077570000000003,3.3446210000000005,5.087001000000001,5.589055000000001,6.051188000000001,6.379069,6.578003000000001,6.8801820000000005,7.115155000000001,7.408460000000001,7.747755000000001,8.022138,8.276915,8.384818000000001,8.795709,9.245510000000001,11.104838,11.430001,11.893707000000001,12.076105,12.500126,12.975445,13.213744,13.63634,13.895478
6-2803770,,,,,,0,0.312317,0.552273,0.76052,1.162824,1.554948,1.688456,1.961925,2.315563,2.601356,2.83822,4.5806000000000004,5.082654000000001,5.544787,5.872668,6.071602,6.373781,6.608754,6.902059,7.241354,7.515737000000001,7.770514,7.878417000000001,8.289308,8.739109000000001,10.598437,10.9236,11.387306,11.569704,11.993725,12.469044,12.707343,13.129939,13.389077
7-2803820,,,,,,,0,0.239956,0.448203,0.850507,1.242631,1.376139,1.649608,2.003246,2.289039,2.525903,4.268283,4.7703370000000005,5.23247,5.560351,5.759285,6.061464,6.296437,6.589742,6.929037,7.20342,7.458197,7.5661000000000005,7.976991000000001,8.426792,10.28612,10.611283,11.074989,11.257387,11.681408,12.156727,12.395026,12.817622,13.07676
8-2806041,,,,,,,,0,0.208247,0.610551,1.002675,1.136183,1.409652,1.76329,2.049083,2.285947,4.028327,4.530381,4.992514,5.3203949999999995,5.519329,5.821508,6.056481,6.349786,6.689081,6.963464,7.218241,7.326144,7.7370350000000006,8.186836000000001,10.046164000000001,10.371327,10.835033000000001,11.017431,11.441452,11.916771,12.15507,12.577666,12.836804
9-2805551,,,,,,,,,0,0.402304,0.7944279999999999,0.9279359999999999,1.2014049999999998,1.555043,1.840836,2.0777,3.82008,4.322134,4.784267,5.1121479999999995,5.311082,5.613261,5.848234,6.141539,6.480834,6.755217,7.009994,7.117897,7.5287880000000005,7.978589,9.837917000000001,10.16308,10.626786000000001,10.809184,11.233205,11.708524,11.946823,12.369419,12.628557
10-2804418,,,,,,,,,,0,0.392124,0.525632,0.7991010000000001,1.152739,1.438532,1.6753959999999999,3.417776,3.91983,4.381963,4.7098439999999995,4.908778,5.210957,5.44593,5.739235,6.07853,6.352913,6.60769,6.715593,7.1264840000000005,7.576285,9.435613,9.760776,10.224482,10.40688,10.830900999999999,11.30622,11.544519,11.967115,12.226253
