순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802476,50-2802484,51-2802486,52-2802503,53-2802521,54-2802531,55-2802534,56-2802542,57-2802546,58-2802562,59-2802571,60-2802576,61-2802581,62-2804851,63-2802597,64-2802594,65-2802591,66-2802590,67-2802593,68-2802600,69-2804872,70-2805550,71-2803821,72-2803767,73-2804877,74-2803768,75-2803522,76-2803523
40-2802708,0,0.255355,0.658325,1.124921,1.37981,1.868961,2.171284,4.037031,4.430682,4.885604,5.063713,5.271212,5.535551,5.813467,6.110144,6.438691,6.596243,6.9200170000000005,7.213525000000001,7.491801000000001,7.653873000000001,8.312429000000002,9.921664000000002,10.158574000000002,10.355819000000002,10.557020000000001,10.883072000000002,11.035043000000002,11.454822000000002,11.817374000000001,12.269623000000001,12.541248000000001,13.144194,13.675675,14.173807,14.428935,15.404276999999999
41-2802731,,0,0.40297,0.8695660000000001,1.124455,1.6136059999999999,1.9159289999999998,3.781676,4.175327,4.630249,4.808358,5.0158570000000005,5.280196,5.558112,5.854789,6.183336000000001,6.3408880000000005,6.664662000000001,6.958170000000001,7.236446000000001,7.398518000000001,8.057074000000002,9.666309000000002,9.903219000000002,10.100464000000002,10.301665000000002,10.627717000000002,10.779688000000002,11.199467000000002,11.562019000000003,12.014268000000003,12.285893000000003,12.888839000000003,13.420320000000002,13.918452000000002,14.173580000000001,15.148922
42-2802755,,,0,0.466596,0.7214849999999999,1.210636,1.512959,3.378706,3.7723570000000004,4.227279,4.405388,4.612887000000001,4.877226,5.155142000000001,5.451819,5.780366000000001,5.937918000000001,6.261692000000001,6.555200000000001,6.833476000000001,6.995548000000001,7.654104000000001,9.263339000000002,9.500249000000002,9.697494000000003,9.898695000000002,10.224747000000002,10.376718000000002,10.796497000000002,11.159049000000003,11.611298000000003,11.882923000000003,12.485869000000003,13.017350000000002,13.515482000000002,13.770610000000001,14.745952
43-2802776,,,,0,0.254889,0.74404,1.046363,2.91211,3.3057610000000004,3.760683,3.9387920000000003,4.146291000000001,4.41063,4.6885460000000005,4.985223,5.313770000000001,5.471322000000001,5.795096000000001,6.088604000000001,6.366880000000001,6.528952000000001,7.187508000000001,8.796743000000001,9.033653000000001,9.230898000000002,9.432099000000001,9.758151000000002,9.910122000000001,10.329901000000001,10.692453,11.144702,11.416327,12.019273,12.550754,13.048886,13.304013999999999,14.279355999999998
44-2802813,,,,,0,0.489151,0.791474,2.657221,3.050872,3.505794,3.683903,3.891402,4.155741,4.433657,4.730334,5.058881,5.216433,5.5402070000000005,5.833715000000001,6.111991000000001,6.274063000000001,6.932619000000001,8.541854,8.778764,8.976009000000001,9.17721,9.503262000000001,9.655233,10.075012000000001,10.437564000000002,10.889813000000002,11.161438000000002,11.764384000000002,12.295865000000001,12.793997000000001,13.049125,14.024467
45-2802853,,,,,,0,0.302323,2.16807,2.5617210000000004,3.016643,3.1947520000000003,3.402251,3.6665900000000002,3.944506,4.241183,4.569730000000001,4.727282000000001,5.051056000000001,5.344564000000001,5.622840000000001,5.784912000000001,6.443468000000001,8.052703000000001,8.289613000000001,8.486858000000002,8.688059,9.014111000000002,9.166082000000001,9.585861000000001,9.948413000000002,10.400662000000002,10.672287000000003,11.275233000000002,11.806714000000001,12.304846000000001,12.559974,13.535316
46-2802903,,,,,,,0,1.865747,2.259398,2.71432,2.892429,3.099928,3.364267,3.6421829999999997,3.9388599999999996,4.2674069999999995,4.424958999999999,4.748733,5.042241,5.320517,5.482589,6.141145,7.75038,7.98729,8.184535,8.385736,8.711788,8.863759,9.283538,9.646090000000001,10.098339000000001,10.369964000000001,10.97291,11.504391,12.002523,12.257651,13.232992999999999
47-2802942,,,,,,,,0,0.39365100000000003,0.848573,1.026682,1.234181,1.49852,1.7764360000000001,2.073113,2.40166,2.559212,2.882986,3.176494,3.45477,3.616842,4.275398,5.884633,6.121543,6.318788,6.519989,6.846041,6.998011999999999,7.417790999999999,7.780342999999999,8.232591999999999,8.504216999999999,9.107162999999998,9.638643999999998,10.136775999999998,10.391903999999997,11.367245999999996
48-2802439,,,,,,,,,0,0.45492200000000005,0.633031,0.84053,1.1048689999999999,1.382785,1.679462,2.008009,2.165561,2.4893349999999996,2.7828429999999997,3.0611189999999997,3.223191,3.881747,5.490982,5.727892,5.925136999999999,6.126338,6.452389999999999,6.604360999999999,7.024139999999999,7.386691999999999,7.838940999999999,8.110565999999999,8.713511999999998,9.244992999999997,9.743124999999997,9.998252999999998,10.973594999999998
49-2802476,,,,,,,,,,0,0.178109,0.38560799999999995,0.6499469999999999,0.9278629999999999,1.22454,1.5530869999999999,1.7106389999999998,2.034413,2.327921,2.606197,2.768269,3.426825,5.03606,5.27297,5.470215,5.671416,5.997468,6.149438999999999,6.569217999999999,6.931769999999999,7.3840189999999994,7.655644,8.25859,8.790071,9.288203,9.543330999999998,10.518672999999998
50-2802484,,,,,,,,,,,0,0.207499,0.471838,0.749754,1.0464310000000001,1.374978,1.53253,1.856304,2.149812,2.428088,2.59016,3.248716,4.857951,5.094861,5.2921059999999995,5.493307,5.8193589999999995,5.971329999999999,6.391108999999999,6.753660999999999,7.205909999999999,7.477535,8.080480999999999,8.611961999999998,9.110093999999998,9.365222,10.340563999999999
51-2802486,,,,,,,,,,,,0,0.264339,0.5422549999999999,0.838932,1.167479,1.3250309999999998,1.6488049999999999,1.942313,2.220589,2.3826609999999997,3.0412169999999996,4.650452,4.8873619999999995,5.084606999999999,5.285807999999999,5.611859999999999,5.763830999999999,6.183609999999999,6.546161999999999,6.998410999999999,7.270035999999999,7.8729819999999995,8.404463,8.902595,9.157723,10.133065
52-2802503,,,,,,,,,,,,,0,0.277916,0.574593,0.90314,1.060692,1.384466,1.6779739999999999,1.9562499999999998,2.118322,2.776878,4.386113,4.623023,4.8202679999999996,5.021469,5.3475209999999995,5.499491999999999,5.919270999999999,6.281822999999999,6.734071999999999,7.005697,7.608643,8.140124,8.638256,8.893384000000001,9.868726
53-2802521,,,,,,,,,,,,,,0,0.296677,0.625224,0.782776,1.10655,1.400058,1.678334,1.840406,2.498962,4.1081970000000005,4.3451070000000005,4.542352,4.743553,5.069605,5.221576,5.641355,6.003907,6.456156,6.727781,7.330727,7.862208000000001,8.36034,8.615468,9.59081
54-2802531,,,,,,,,,,,,,,,0,0.328547,0.48609899999999995,0.8098729999999998,1.1033809999999997,1.3816569999999997,1.5437289999999997,2.202285,3.81152,4.04843,4.245674999999999,4.446876,4.772927999999999,4.924898999999999,5.344677999999999,5.707229999999999,6.159478999999999,6.4311039999999995,7.03405,7.565531,8.063663,8.318791000000001,9.294133
55-2802534,,,,,,,,,,,,,,,,0,0.157552,0.4813259999999999,0.7748339999999999,1.05311,1.215182,1.873738,3.482973,3.719883,3.917128,4.118329,4.444381,4.5963519999999995,5.016131,5.378683,5.830932,6.102557,6.705503,7.2369840000000005,7.7351160000000005,7.990244000000001,8.965586
56-2802542,,,,,,,,,,,,,,,,,0,0.32377399999999995,0.6172819999999999,0.8955579999999999,1.0576299999999998,1.716186,3.325421,3.562331,3.759576,3.960777,4.286829,4.4388,4.858579,5.221131,5.67338,5.945005,6.547951,7.079432000000001,7.577564000000001,7.832692000000001,8.808034000000001
57-2802546,,,,,,,,,,,,,,,,,,0,0.293508,0.5717840000000001,0.7338560000000001,1.3924120000000002,3.001647,3.238557,3.4358020000000002,3.6370030000000004,3.9630550000000007,4.115026,4.534805,4.897357,5.3496060000000005,5.621231000000001,6.224177000000001,6.755658000000001,7.253790000000001,7.508918000000001,8.48426
