순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2802347,5-2803527,6-2803624,7-2802589,8-2802362,9-2802598,10-2805538,11-2802340,12-2805282,13-2805042,14-2803817,15-2804957,16-2801820,17-2801864,18-2801860,19-2801858,20-2802151,21-2802130,22-2802072,23-2802044,24-2801690,25-2800217,26-2800197,27-2800193,28-2800191,29-2800183,30-2800140,31-2803502,32-2807466,33-2803415,34-2805157,35-2805159,36-2805161,37-2805168,38-2805163,39-2805165,40-2803466,41-2806275,42-2806277,43-2803486,44-2803483
1-2805045,0,0.285534,1.700133,2.454554,3.252874,3.753857,4.107495,4.630152,4.977266,9.182082000000001,11.255305000000002,12.007133000000001,12.613406000000001,13.043622000000001,13.560582,14.159547,15.060544,16.541565,19.04321,19.514889999999998,20.089961,20.374223999999998,24.255211999999997,26.416578999999995,27.750047999999996,28.269678999999996,28.552909999999997,29.419024999999998,30.587578999999998,31.730559999999997,36.68358,42.578319,44.749547,45.564298,46.085929,46.608458,47.295738,47.707192,48.127945,48.68743,49.00843,50.008078999999995,51.112747999999996,53.019065999999995
2-2803524,,0,1.414599,2.1690199999999997,2.9673399999999996,3.468323,3.821961,4.344618,4.691732,8.896548,10.969771,11.721599,12.327872,12.758087999999999,13.275047999999998,13.874012999999998,14.775009999999998,16.256030999999997,18.757675999999996,19.229355999999996,19.804426999999997,20.088689999999996,23.969677999999995,26.131044999999993,27.464513999999994,27.984144999999994,28.267375999999995,29.133490999999996,30.302044999999996,31.445025999999995,36.398045999999994,42.292784999999995,44.464012999999994,45.278763999999995,45.800394999999995,46.32292399999999,47.010203999999995,47.421657999999994,47.84241099999999,48.401895999999994,48.72289599999999,49.72254499999999,50.82721399999999,52.73353199999999
3-2803525,,,0,0.754421,1.5527410000000001,2.053724,2.407362,2.9300189999999997,3.2771329999999996,7.481949,9.555172,10.307,10.913273,11.343489,11.860449,12.459413999999999,13.360411,14.841432,17.343077,17.814757,18.389828,18.674091,22.555079,24.716445999999998,26.049915,26.569546,26.852777,27.718892,28.887446,30.030427,34.983447,40.878186,43.049414,43.864165,44.385796,44.908325,45.595605,46.007059,46.427811999999996,46.987297,47.308296999999996,48.307945999999994,49.412614999999995,51.318932999999994
4-2802347,,,,0,0.79832,1.299303,1.6529410000000002,2.175598,2.522712,6.7275279999999995,8.800751,9.552579,10.158852,10.589068,11.106027999999998,11.704992999999998,12.605989999999998,14.087010999999999,16.588656,17.060336,17.635407,17.91967,21.800658,23.962024999999997,25.295493999999998,25.815125,26.098356,26.964471,28.133025,29.276006,34.229026,40.123765,42.294993,43.109744,43.631375,44.153904,44.841184,45.252638,45.673390999999995,46.232876,46.553875999999995,47.55352499999999,48.658193999999995,50.56451199999999
5-2803527,,,,,0,0.500983,0.854621,1.377278,1.724392,5.929208,8.002431,8.754259,9.360532,9.790747999999999,10.307707999999998,10.906672999999998,11.807669999999998,13.288690999999998,15.790335999999998,16.262016,16.837087,17.12135,21.002337999999998,23.163704999999997,24.497173999999998,25.016804999999998,25.300036,26.166151,27.334705,28.477686,33.430706,39.325445,41.496673,42.311424,42.833055,43.355584,44.042864,44.454318,44.875071,45.434556,45.755556,46.755205,47.859874,49.766192
6-2803624,,,,,,0,0.353638,0.8762949999999999,1.223409,5.428225,7.501448,8.253276,8.859549,9.289765,9.806725,10.40569,11.306687,12.787708,15.289353,15.761033,16.336104,16.620366999999998,20.501354999999997,22.662721999999995,23.996190999999996,24.515821999999996,24.799052999999997,25.665167999999998,26.833721999999998,27.976702999999997,32.929722999999996,38.824462,40.995689999999996,41.810441,42.332072,42.854600999999995,43.541881,43.953334999999996,44.37408799999999,44.933572999999996,45.25457299999999,46.25422199999999,47.35889099999999,49.26520899999999
7-2802589,,,,,,,0,0.5226569999999999,0.8697709999999998,5.074587,7.14781,7.8996379999999995,8.505911,8.936126999999999,9.453087,10.052052,10.953049,12.43407,14.935715,15.407395,15.982465999999999,16.266728999999998,20.147716999999997,22.309083999999995,23.642552999999996,24.162183999999996,24.445414999999997,25.311529999999998,26.480083999999998,27.623064999999997,32.576085,38.470824,40.642052,41.456803,41.978434,42.500963,43.188243,43.599697,44.02045,44.579935,44.900935,45.900583999999995,47.005252999999996,48.911570999999995
8-2802362,,,,,,,,0,0.347114,4.5519300000000005,6.625153000000001,7.376981000000001,7.9832540000000005,8.41347,8.930430000000001,9.529395000000001,10.430392000000001,11.911413000000001,14.413058000000001,14.884738,15.459809,15.744072,19.625059999999998,21.786426999999996,23.119895999999997,23.639526999999998,23.922757999999998,24.788873,25.957427,27.100407999999998,32.053428,37.948167,40.119395,40.934146,41.455777,41.978305999999996,42.665586,43.07704,43.497792999999994,44.057278,44.378277999999995,45.37792699999999,46.482595999999994,48.38891399999999
9-2802598,,,,,,,,,0,4.204816,6.278039,7.029866999999999,7.636139999999999,8.066355999999999,8.583316,9.182281,10.083278,11.564299,14.065944,14.537624,15.112694999999999,15.396957999999998,19.277945999999996,21.439312999999995,22.772781999999996,23.292412999999996,23.575643999999997,24.441758999999998,25.610312999999998,26.753293999999997,31.706313999999995,37.60105299999999,39.77228099999999,40.587031999999994,41.10866299999999,41.63119199999999,42.31847199999999,42.72992599999999,43.15067899999999,43.71016399999999,44.03116399999999,45.03081299999999,46.13548199999999,48.04179999999999
10-2805538,,,,,,,,,,0,2.073223,2.825051,3.431324,3.86154,4.378500000000001,4.9774650000000005,5.878462000000001,7.359483000000001,9.861128,10.332808,10.907879,11.192141999999999,15.073129999999999,17.234496999999998,18.567966,19.087597,19.370828,20.236943,21.405497,22.548478,27.501497999999998,33.396237,35.567465,36.382216,36.903847,37.426376,38.113656,38.52511,38.945862999999996,39.505348,39.826347999999996,40.825996999999994,41.930665999999995,43.836983999999994
11-2802340,,,,,,,,,,,0,0.7518279999999999,1.358101,1.788317,2.3052770000000002,2.904242,3.805239,5.2862599999999995,7.787904999999999,8.259585,8.834655999999999,9.118918999999998,12.999906999999999,15.161273999999999,16.494743,17.014374,17.297605,18.16372,19.332274,20.475255,25.428275,31.323014,33.494242,34.308993,34.830624,35.353153,36.040433,36.451887,36.87264,37.432125,37.753125,38.752773999999995,39.857442999999996,41.763760999999995
