순번_정류장ID,45-2803478,46-2806276,47-2806274,48-2805175,49-2805166,50-2805164,51-2805167,52-2805162,53-2805160,54-2805158,55-2803416,56-2807467,57-2807468,58-2800136,59-2800184,60-2800188,61-2800194,62-2800195,63-2800213,64-2800220,65-2801697,66-2802034,67-2802069,68-2802131,69-2802148,70-2801857,71-2801859,72-2801863,73-2801819,74-2804958,75-2803816,76-2805043,77-2805424,78-2802339,79-2802597,80-2802591,81-2802590,82-2803623,83-2803519,84-2804908,85-2803522,86-2803523
45-2803478,0,0.393949,0.877178,1.6775380000000002,2.0497500000000004,2.5409560000000004,3.0747530000000003,3.5996880000000004,4.35411,6.738589000000001,12.503537000000001,17.544256,18.594719,19.989289000000003,20.568402000000003,21.236639000000004,21.633691000000002,22.612635,23.11147,25.218588,28.963047,29.275471,29.872796,30.250898,32.739824,34.338777,35.232464,35.830818,36.348029000000004,36.80243900000001,37.38873400000001,38.20029900000001,40.14525100000001,44.717487000000006,45.15164300000001,45.352844000000005,45.93084,46.723358000000005,47.663627000000005,48.811629,49.066757,50.042099
46-2806276,,0,0.483229,1.283589,1.655801,2.1470070000000003,2.680804,3.2057390000000003,3.9601610000000003,6.34464,12.109588,17.150307,18.200770000000002,19.595340000000004,20.174453000000003,20.842690000000005,21.239742000000003,22.218686,22.717521,24.824639,28.569098,28.881522,29.478847000000002,29.856949,32.345875,33.944828,34.838515,35.436869,35.954080000000005,36.40849000000001,36.99478500000001,37.80635000000001,39.75130200000001,44.32353800000001,44.757694000000015,44.95889500000001,45.53689100000001,46.32940900000001,47.26967800000001,48.41768000000001,48.67280800000001,49.64815000000001
47-2806274,,,0,0.8003600000000001,1.1725720000000002,1.6637780000000002,2.1975750000000005,2.7225100000000007,3.4769320000000006,5.861411,11.626359,16.667078,17.717541,19.112111000000002,19.691224000000002,20.359461000000003,20.756513,21.735457,22.234292,24.34141,28.085869,28.398293,28.995618,29.37372,31.862645999999998,33.461599,34.355286,34.95364,35.470851,35.925261000000006,36.511556000000006,37.32312100000001,39.26807300000001,43.840309000000005,44.274465000000006,44.475666000000004,45.053662,45.846180000000004,46.786449000000005,47.934451,48.189579,49.164921
48-2805175,,,,0,0.372212,0.863418,1.397215,1.9221500000000002,2.676572,5.061051000000001,10.825999000000001,15.866718000000002,16.917181000000003,18.311751000000005,18.890864000000004,19.559101000000005,19.956153000000004,20.935097000000003,21.433932000000002,23.541050000000002,27.285509,27.597933,28.195258000000003,28.57336,31.062286,32.661239,33.554926,34.15328,34.670491000000005,35.12490100000001,35.71119600000001,36.52276100000001,38.46771300000001,43.03994900000001,43.47410500000001,43.675306000000006,44.253302000000005,45.045820000000006,45.98608900000001,47.134091000000005,47.389219000000004,48.364561
49-2805166,,,,,0,0.49120600000000003,1.025003,1.549938,2.30436,4.688839,10.453787,15.494506000000001,16.544969000000002,17.939539000000003,18.518652000000003,19.186889000000004,19.583941000000003,20.562885,21.06172,23.168838,26.913297,27.225721,27.823046,28.201148,30.690074,32.289027,33.182714,33.781068,34.298279,34.752689000000004,35.338984,36.150549000000005,38.095501000000006,42.667737,43.101893000000004,43.303094,43.88109,44.673608,45.613877,46.761879,47.017007,47.992349
50-2805164,,,,,,0,0.5337970000000001,1.058732,1.813154,4.197633,9.962581,15.0033,16.053763,17.448333,18.027446,18.695683000000002,19.092735,20.071679,20.570514,22.677632,26.422090999999998,26.734515,27.33184,27.709941999999998,30.198867999999997,31.797821,32.691508,33.289862,33.807073,34.261483000000005,34.847778000000005,35.65934300000001,37.60429500000001,42.17653100000001,42.61068700000001,42.81188800000001,43.38988400000001,44.18240200000001,45.12267100000001,46.27067300000001,46.52580100000001,47.501143000000006
51-2805167,,,,,,,0,0.524935,1.279357,3.6638360000000003,9.428784,14.469503,15.519966,16.914536000000002,17.493649,18.161886000000003,18.558938,19.537882,20.036717,22.143835,25.888294,26.200718,26.798043,27.176144999999998,29.665070999999998,31.264024,32.157711,32.756065,33.273276,33.727686000000006,34.313981000000005,35.12554600000001,37.07049800000001,41.642734000000004,42.076890000000006,42.278091,42.856087,43.648605,44.588874000000004,45.736876,45.992004,46.967346
52-2805162,,,,,,,,0,0.754422,3.138901,8.903849000000001,13.944568,14.995031,16.389601000000003,16.968714000000002,17.636951000000003,18.034003000000002,19.012947,19.511782,21.6189,25.363359,25.675783,26.273108,26.65121,29.140136,30.739089,31.632776,32.23113,32.748341,33.202751000000006,33.789046000000006,34.60061100000001,36.54556300000001,41.117799000000005,41.55195500000001,41.753156000000004,42.331152,43.123670000000004,44.063939000000005,45.211941,45.467069,46.442411
53-2805160,,,,,,,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,14.240609000000003,15.635179000000003,16.214292000000004,16.882529000000005,17.279581000000004,18.258525000000002,18.757360000000002,20.864478000000002,24.608937,24.921361,25.518686000000002,25.896788,28.385714,29.984667,30.878354,31.476708000000002,31.993919,32.448329,33.034624,33.846189,35.791141,40.363377,40.797533,40.998734,41.57673,42.369248,43.309517,44.457519,44.712647,45.687988999999995
54-2805158,,,,,,,,,,0,5.764948,10.805667,11.85613,13.2507,13.829813,14.49805,14.895102,15.874046,16.372881,18.479999,22.224458,22.536882,23.134207,23.512309,26.001234999999998,27.600188,28.493875,29.092229,29.60944,30.06385,30.650145,31.46171,33.406662,37.978898,38.413054,38.614255,39.192251,39.984769,40.925038,42.07304,42.328168,43.303509999999996
55-2803416,,,,,,,,,,,0,5.040719,6.091182,7.485752,8.064865,8.733101999999999,9.130154,10.109098,10.607933,12.715050999999999,16.459509999999998,16.771933999999998,17.369259,17.747360999999998,20.236286999999997,21.83524,22.728927,23.327281,23.844492,24.298902,24.885196999999998,25.696762,27.641714,32.21395,32.648106,32.849306999999996,33.427302999999995,34.219820999999996,35.16009,36.308091999999995,36.563219999999994,37.53856199999999
56-2807467,,,,,,,,,,,,0,1.050463,2.445033,3.024146,3.692383,4.089435,5.068379,5.567214,7.674332,11.418790999999999,11.731214999999999,12.328539999999998,12.706641999999999,15.195567999999998,16.794521,17.688208,18.286562,18.803773,19.258183,19.844478,20.656043,22.600995,27.173231,27.607387000000003,27.808588000000004,28.386584000000003,29.179102000000004,30.119371000000005,31.267373000000006,31.522501000000005,32.497843
57-2807468,,,,,,,,,,,,,0,1.39457,1.973683,2.64192,3.038972,4.017916,4.516750999999999,6.623868999999999,10.368327999999998,10.680751999999998,11.278076999999998,11.656178999999998,14.145104999999997,15.744057999999997,16.637745,17.236099,17.75331,18.20772,18.794014999999998,19.60558,21.550532,26.122768,26.556924000000002,26.758125000000003,27.336121000000002,28.128639000000003,29.068908000000004,30.216910000000006,30.472038000000005,31.447380000000006
58-2800136,,,,,,,,,,,,,,0,0.579113,1.24735,1.644402,2.6233459999999997,3.122181,5.229298999999999,8.973757999999998,9.286181999999998,9.883506999999998,10.261608999999998,12.750534999999998,14.349487999999997,15.243174999999997,15.841528999999998,16.358739999999997,16.813149999999997,17.399444999999996,18.211009999999998,20.155962,24.728198,25.162354,25.363555,25.941551,26.734069,27.674338000000002,28.822340000000004,29.077468000000003,30.052810000000004
59-2800184,,,,,,,,,,,,,,,0,0.668237,1.065289,2.044233,2.5430680000000003,4.650186,8.394644999999999,8.707068999999999,9.304393999999998,9.682495999999999,12.171421999999998,13.770374999999998,14.664061999999998,15.262415999999998,15.779626999999998,16.234036999999997,16.820331999999997,17.631897,19.576849,24.149085,24.583241,24.784442000000002,25.362438,26.154956000000002,27.095225000000003,28.243227000000005,28.498355000000004,29.473697000000005
60-2800188,,,,,,,,,,,,,,,,0,0.397052,1.375996,1.874831,3.9819489999999997,7.726407999999999,8.038832,8.636156999999999,9.014259,11.503184999999998,13.102137999999998,13.995824999999998,14.594178999999999,15.111389999999998,15.565799999999998,16.152095,16.96366,18.908612,23.480848,23.915004000000003,24.116205000000004,24.694201000000003,25.486719000000004,26.426988000000005,27.574990000000007,27.830118000000006,28.805460000000007
61-2800194,,,,,,,,,,,,,,,,,0,0.978944,1.477779,3.584897,7.329355999999999,7.641779999999999,8.239104999999999,8.617206999999999,11.106132999999998,12.705085999999998,13.598772999999998,14.197126999999998,14.714337999999998,15.168747999999997,15.755042999999997,16.566608,18.51156,23.083796,23.517952,23.719153000000002,24.297149,25.089667000000002,26.029936000000003,27.177938000000005,27.433066000000004,28.408408000000005
62-2800195,,,,,,,,,,,,,,,,,,0,0.49883500000000003,2.605953,6.3504119999999995,6.6628359999999995,7.260160999999999,7.638262999999999,10.127189,11.726142,12.619829,13.218183,13.735394,14.189803999999999,14.776098999999999,15.587663999999998,17.532615999999997,22.104851999999998,22.539008,22.740209,23.318205,24.110723,25.050992,26.198994,26.454121999999998,27.429464
63-2800213,,,,,,,,,,,,,,,,,,,0,2.107118,5.851576999999999,6.164000999999999,6.761325999999999,7.139427999999999,9.628353999999998,11.227306999999998,12.120993999999998,12.719347999999998,13.236558999999998,13.690968999999997,14.277263999999997,15.088828999999997,17.033780999999998,21.606016999999998,22.040173,22.241374,22.81937,23.611888,24.552157,25.700159,25.955287,26.930629
64-2800220,,,,,,,,,,,,,,,,,,,,0,3.7444589999999995,4.056882999999999,4.654207999999999,5.032309999999999,7.521235999999998,9.120188999999998,10.013875999999998,10.612229999999998,11.129440999999998,11.583850999999997,12.170145999999997,12.981710999999997,14.926662999999998,19.498898999999998,19.933055,20.134256,20.712252,21.50477,22.445039,23.593041,23.848169,24.823511
65-2801697,,,,,,,,,,,,,,,,,,,,,0,0.312424,0.9097489999999999,1.2878509999999999,3.7767769999999996,5.37573,6.269417,6.867770999999999,7.384981999999999,7.839391999999999,8.425687,9.237252,11.182204,15.75444,16.188596,16.389797,16.967793,17.760311,18.700580000000002,19.848582,20.10371,21.079052
66-2802034,,,,,,,,,,,,,,,,,,,,,,0,0.597325,0.975427,3.464353,5.063306,5.956993,6.555346999999999,7.072557999999999,7.526967999999999,8.113263,8.924828,10.86978,15.442016,15.876172,16.077373,16.655369,17.447887,18.388156000000002,19.536158,19.791286,20.766628
67-2802069,,,,,,,,,,,,,,,,,,,,,,,0,0.378102,2.867028,4.465981,5.359668,5.958022,6.475232999999999,6.9296429999999996,7.515937999999999,8.327503,10.272455,14.844691000000001,15.278847,15.480048,16.058044,16.850562,17.790831,18.938833000000002,19.193961,20.169303000000003
68-2802131,,,,,,,,,,,,,,,,,,,,,,,,0,2.4889259999999997,4.087879,4.981566,5.5799199999999995,6.097130999999999,6.551540999999999,7.137835999999999,7.949400999999999,9.894352999999999,14.466588999999999,14.900744999999999,15.101945999999998,15.679941999999999,16.472459999999998,17.412729,18.560730999999997,18.815858999999996,19.791200999999997
69-2802148,,,,,,,,,,,,,,,,,,,,,,,,,0,1.598953,2.49264,3.0909940000000002,3.6082050000000003,4.062615,4.64891,5.460475,7.4054269999999995,11.977663,12.411819,12.613019999999999,13.191016,13.983533999999999,14.923803,16.071804999999998,16.326932999999997,17.302274999999998
70-2801857,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8936870000000001,1.492041,2.009252,2.4636620000000002,3.049957,3.861522,5.806474,10.37871,10.812866,11.014066999999999,11.592063,12.384580999999999,13.32485,14.472852,14.727979999999999,15.703321999999998
71-2801859,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5983539999999999,1.115565,1.569975,2.15627,2.967835,4.912787,9.485023,9.919179,10.120379999999999,10.698376,11.490893999999999,12.431163,13.579165,13.834292999999999,14.809634999999998
72-2801863,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.517211,0.9716210000000001,1.557916,2.369481,4.314433,8.886669000000001,9.320825000000001,9.522026,10.100022000000001,10.89254,11.832809000000001,12.980811000000001,13.235939000000002,14.211281000000001
73-2801819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45441000000000004,1.040705,1.8522699999999999,3.7972219999999997,8.369458,8.803614,9.004814999999999,9.582811,10.375328999999999,11.315598,12.4636,12.718727999999999,13.694069999999998
74-2804958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.586295,1.39786,3.3428120000000003,7.9150480000000005,8.349204,8.550405,9.128401,9.920919,10.861188,12.00919,12.264318,13.239659999999999
75-2803816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.811565,2.756517,7.328753000000001,7.7629090000000005,7.964110000000001,8.542106,9.334624,10.274893,11.422895,11.678023,12.653364999999999
76-2805043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.944952,6.517188,6.951344,7.152545,7.730541,8.523059,9.463328,10.61133,10.866458000000002,11.841800000000001
77-2805424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.572236,5.006392,5.207593,5.785589,6.578107,7.518376,8.666378,8.921506,9.896848
78-2802339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43415600000000004,0.6353570000000001,1.2133530000000001,2.005871,2.9461399999999998,4.094142,4.34927,5.324612
79-2802597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.201201,0.7791969999999999,1.571715,2.511984,3.659986,3.915114,4.890456
80-2802591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.577996,1.370514,2.310783,3.4587849999999998,3.713913,4.689255
