순번_정류장ID,1-2806123,2-2806461,3-2806462,4-2806463,5-2806464,6-2806465,7-2806466,8-2806467,9-2806468,10-2806469,11-2806470,12-2806471,13-2806472,14-2806473,15-2806474,16-2806475
1-2806123,0,1.436469,1.74793,2.093,2.29244,2.807905,4.269909999999999,4.59892,4.8065869999999995,5.0395579999999995,5.377428999999999,6.615074,6.93797,7.163193,7.7976849999999995,9.630917
2-2806461,,0,0.311461,0.656531,0.855971,1.371436,2.833441,3.162451,3.3701179999999997,3.6030889999999998,3.9409599999999996,5.178604999999999,5.501500999999999,5.726723999999999,6.361215999999999,8.194448
3-2806462,,,0,0.34507,0.54451,1.0599750000000001,2.52198,2.85099,3.0586569999999997,3.2916279999999998,3.6294989999999996,4.867144,5.19004,5.4152629999999995,6.049754999999999,7.882986999999999
4-2806463,,,,0,0.19944,0.7149049999999999,2.17691,2.5059199999999997,2.7135869999999995,2.9465579999999996,3.2844289999999994,4.522074,4.84497,5.070193,5.704685,7.537916999999999
5-2806464,,,,,0,0.515465,1.9774699999999998,2.3064799999999996,2.5141469999999995,2.7471179999999995,3.0849889999999993,4.322633999999999,4.645529999999999,4.870752999999999,5.505244999999999,7.338476999999998
6-2806465,,,,,,0,1.462005,1.791015,1.998682,2.231653,2.569524,3.807169,4.130065,4.355288,4.98978,6.823011999999999
7-2806466,,,,,,,0,0.32900999999999997,0.536677,0.769648,1.107519,2.345164,2.66806,2.8932830000000003,3.527775,5.361007
8-2806467,,,,,,,,0,0.20766700000000002,0.44063800000000003,0.778509,2.0161540000000002,2.3390500000000003,2.5642730000000005,3.1987650000000007,5.0319970000000005
9-2806468,,,,,,,,,0,0.232971,0.570842,1.808487,2.131383,2.356606,2.991098,4.82433
10-2806469,,,,,,,,,,0,0.337871,1.5755160000000001,1.8984120000000002,2.123635,2.758127,4.591359
11-2806470,,,,,,,,,,,0,1.237645,1.5605410000000002,1.7857640000000001,2.420256,4.253488
12-2806471,,,,,,,,,,,,0,0.322896,0.548119,1.182611,3.0158430000000003
13-2806472,,,,,,,,,,,,,0,0.225223,0.859715,2.692947
14-2806473,,,,,,,,,,,,,,0,0.6344920000000001,2.467724
15-2806474,,,,,,,,,,,,,,,0,1.833232
16-2806475,,,,,,,,,,,,,,,,0
