순번_정류장ID,17-2806448,18-2806449,19-2806450,20-2806451,21-2806452,22-2806453,23-2806454,24-2806455,25-2806456,26-2806457,27-2806458,28-2806459
17-2806448,0,0.744049,1.303036,1.6210630000000001,2.115107,2.482529,2.9891550000000002,3.3289950000000004,3.7675800000000006,4.45708,4.745455000000001,7.122990000000001
18-2806449,,0,0.558987,0.877014,1.3710579999999999,1.7384799999999998,2.245106,2.584946,3.023531,3.713031,4.001406,6.378941
19-2806450,,,0,0.318027,0.812071,1.179493,1.686119,2.025959,2.464544,3.154044,3.4424189999999997,5.819953999999999
20-2806451,,,,0,0.494044,0.861466,1.3680919999999999,1.707932,2.1465170000000002,2.836017,3.124392,5.501927
21-2806452,,,,,0,0.36742199999999997,0.8740479999999999,1.2138879999999999,1.6524729999999999,2.341973,2.6303479999999997,5.007883
22-2806453,,,,,,0,0.506626,0.846466,1.2850510000000002,1.9745510000000002,2.262926,4.640461
23-2806454,,,,,,,0,0.33984000000000003,0.7784250000000001,1.4679250000000001,1.7563000000000002,4.133835
24-2806455,,,,,,,,0,0.43858500000000006,1.128085,1.41646,3.793995
25-2806456,,,,,,,,,0,0.6895,0.977875,3.35541
26-2806457,,,,,,,,,,0,0.288375,2.66591
27-2806458,,,,,,,,,,,0,2.377535
28-2806459,,,,,,,,,,,,0
