순번_정류장ID,1-2800727,2-2800691,3-2800667,4-2800340,5-2800624,6-2806214,7-2807582,8-2803502,9-2807466,10-2803415,11-2805157,12-2805159,13-2805161,14-2805168,15-2805163,16-2805165,17-2803466,18-2803486,19-2803483
1-2800727,0,0.56345,1.456588,1.9172690000000001,2.462518,3.2055490000000004,7.463851,12.57108,17.5241,23.418839,25.590066999999998,26.404818,26.926448999999998,27.448977999999997,28.136257999999998,28.547711999999997,28.968465,30.847599,31.952268
2-2800691,,0,0.8931379999999999,1.3538189999999999,1.8990679999999998,2.642099,6.900401,12.007629999999999,16.960649999999998,22.855388999999995,25.026616999999995,25.841367999999996,26.362998999999995,26.885527999999994,27.572807999999995,27.984261999999994,28.405014999999995,30.284148999999996,31.388817999999997
3-2800667,,,0,0.46068100000000006,1.00593,1.748961,6.007263,11.114492,16.067512,21.962251000000002,24.133479,24.948230000000002,25.469861,25.99239,26.67967,27.091124,27.511877000000002,29.391011000000002,30.495680000000004
4-2800340,,,,0,0.545249,1.2882799999999999,5.546581999999999,10.653811,15.606831,21.50157,23.672798,24.487549,25.00918,25.531709,26.218989,26.630443,27.051196,28.93033,30.034999000000003
5-2800624,,,,,0,0.743031,5.001333,10.108562,15.061581999999998,20.956320999999996,23.127548999999995,23.942299999999996,24.463930999999995,24.986459999999994,25.673739999999995,26.085193999999994,26.505946999999995,28.385080999999996,29.489749999999997
6-2806214,,,,,,0,4.258302,9.365531,14.318551,20.21329,22.384518,23.199269,23.7209,24.243429,24.930709,25.342163,25.762916,27.64205,28.746719000000002
7-2807582,,,,,,,0,5.107229,10.060248999999999,15.954987999999998,18.126216,18.940967,19.462598,19.985127,20.672407,21.083861,21.504614,23.383748,24.488417000000002
8-2803502,,,,,,,,0,4.9530199999999995,10.847759,13.018987,13.833737999999999,14.355368999999998,14.877897999999998,15.565177999999998,15.976631999999999,16.397385,18.276519,19.381188
9-2807466,,,,,,,,,0,5.8947389999999995,8.065966999999999,8.880717999999998,9.402348999999997,9.924877999999998,10.612157999999997,11.023611999999996,11.444364999999996,13.323498999999996,14.428167999999996
10-2803415,,,,,,,,,,0,2.1712279999999997,2.9859789999999995,3.5076099999999997,4.030139,4.7174190000000005,5.1288730000000005,5.549626000000001,7.4287600000000005,8.533429
11-2805157,,,,,,,,,,,0,0.814751,1.336382,1.858911,2.546191,2.957645,3.378398,5.257531999999999,6.362201
12-2805159,,,,,,,,,,,,0,0.5216310000000001,1.0441600000000002,1.73144,2.142894,2.563647,4.442781,5.54745
13-2805161,,,,,,,,,,,,,0,0.522529,1.209809,1.621263,2.042016,3.92115,5.025819
14-2805168,,,,,,,,,,,,,,0,0.68728,1.0987339999999999,1.5194869999999998,3.398621,4.50329
15-2805163,,,,,,,,,,,,,,,0,0.411454,0.8322069999999999,2.711341,3.8160100000000003
16-2805165,,,,,,,,,,,,,,,,0,0.420753,2.299887,3.4045560000000004
17-2803466,,,,,,,,,,,,,,,,,0,1.879134,2.983803
18-2803486,,,,,,,,,,,,,,,,,,0,1.1046690000000001
19-2803483,,,,,,,,,,,,,,,,,,,0
