순번_정류장ID,24-2803478,25-2805645,26-2805646,27-2803481,28-2805167,29-2805162,30-2805160,31-2805158,32-2803416,33-2807467,34-2807468,35-2801301,36-2801356,37-2801388,38-2801524,39-2806837,40-2801672,41-2801718,42-2801759,43-2801790,44-2802024,45-2802129
24-2803478,0,1.643128,2.305027,3.013111,3.294228,3.8280250000000002,4.35296,5.107382,7.491861,13.256809,18.297528,23.974702,24.559305000000002,24.858842000000003,26.149453,26.867567,27.575293000000002,28.49717,29.965573,30.691971,31.655773999999997,32.679621
25-2805645,,0,0.661899,1.369983,1.6511,2.1848970000000003,2.7098320000000005,3.4642540000000004,5.848733000000001,11.613681000000001,16.654400000000003,22.331574000000003,22.916177000000005,23.215714000000006,24.506325000000004,25.224439000000004,25.932165000000005,26.854042000000003,28.322445000000002,29.048843,30.012646,31.036493
26-2805646,,,0,0.708084,0.989201,1.522998,2.047933,2.802355,5.186834,10.951782000000001,15.992501,21.669675,22.254278000000003,22.553815000000004,23.844426000000002,24.562540000000002,25.270266000000003,26.192143,27.660546,28.386944,29.350747,30.374594
27-2803481,,,,0,0.281117,0.8149140000000001,1.339849,2.094271,4.47875,10.243698,15.284417000000001,20.961591000000002,21.546194000000003,21.845731000000004,23.136342000000003,23.854456000000003,24.562182000000004,25.484059000000002,26.952462,27.67886,28.642663,29.66651
28-2805167,,,,,0,0.5337970000000001,1.058732,1.813154,4.197633,9.962581,15.0033,20.680474,21.265077,21.564614000000002,22.855225,23.573339,24.281065,25.202942,26.671345,27.397743,28.361545999999997,29.385392999999997
29-2805162,,,,,,0,0.524935,1.279357,3.6638360000000003,9.428784,14.469503,20.146677,20.73128,21.030817000000003,22.321428,23.039542,23.747268000000002,24.669145,26.137548,26.863946,27.827748999999997,28.851595999999997
30-2805160,,,,,,,0,0.754422,3.138901,8.903849000000001,13.944568,19.621742,20.206345000000002,20.505882000000003,21.796493,22.514607,23.222333000000003,24.14421,25.612613,26.339011,27.302813999999998,28.326660999999998
31-2805158,,,,,,,,0,2.3844790000000002,8.149427000000001,13.190146000000002,18.867320000000003,19.451923000000004,19.751460000000005,21.042071000000004,21.760185000000003,22.467911000000004,23.389788000000003,24.858191,25.584589,26.548392,27.572239
32-2803416,,,,,,,,,0,5.764948,10.805667,16.482841,17.067444000000002,17.366981000000003,18.657592,19.375706,20.083432000000002,21.005309,22.473712,23.20011,24.163912999999997,25.187759999999997
33-2807467,,,,,,,,,,0,5.040719,10.717893,11.302496,11.602033,12.892644,13.610758,14.318484000000002,15.240361000000002,16.708764000000002,17.435162000000002,18.398965,19.422812
34-2807468,,,,,,,,,,,0,5.677174,6.261777,6.561314,7.8519250000000005,8.570039000000001,9.277765000000002,10.199642000000003,11.668045000000003,12.394443000000003,13.358246000000003,14.382093000000003
35-2801301,,,,,,,,,,,,0,0.584603,0.8841399999999999,2.1747509999999997,2.8928649999999996,3.6005909999999997,4.522468,5.990871,6.717269,7.681072,8.704919
36-2801356,,,,,,,,,,,,,0,0.299537,1.590148,2.308262,3.015988,3.9378650000000004,5.406268000000001,6.132666,7.096469000000001,8.120316
37-2801388,,,,,,,,,,,,,,0,1.290611,2.008725,2.716451,3.6383280000000005,5.106731000000001,5.8331290000000005,6.796932000000001,7.820779000000001
38-2801524,,,,,,,,,,,,,,,0,0.718114,1.42584,2.3477170000000003,3.8161200000000006,4.542518,5.506321000000001,6.530168000000001
39-2806837,,,,,,,,,,,,,,,,0,0.7077260000000001,1.6296030000000001,3.0980060000000003,3.8244040000000004,4.788207000000001,5.812054000000001
40-2801672,,,,,,,,,,,,,,,,,0,0.9218770000000001,2.39028,3.1166780000000003,4.080481000000001,5.104328000000001
41-2801718,,,,,,,,,,,,,,,,,,0,1.4684030000000001,2.194801,3.158604,4.182451
42-2801759,,,,,,,,,,,,,,,,,,,0,0.726398,1.690201,2.714048
43-2801790,,,,,,,,,,,,,,,,,,,,0,0.9638030000000001,1.98765
44-2802024,,,,,,,,,,,,,,,,,,,,,0,1.023847
45-2802129,,,,,,,,,,,,,,,,,,,,,,0
