순번_정류장ID,33-2803402,34-2803401,35-2803398,36-2803385,37-2803384,38-2805647,39-2805047,40-2803567,41-2803569,42-2803391,43-2803573,44-2803572,45-2807547,46-2807522,47-2807539,48-2807536,49-2807530,50-2807491,51-2807490,52-2807496,53-2800944,54-2800841,55-2800840,56-2800985,57-2800838,58-2801072,59-2801110,60-2801301,61-2801388,62-2801524
33-2803402,0,0.668988,1.206951,1.8492830000000002,2.389864,2.7346530000000002,3.6592070000000003,4.2153030000000005,5.639967,6.327676,7.21056,7.900353,8.449107,15.570004999999998,16.960523,18.111379999999997,19.532916999999998,22.891533,26.868501,29.864275999999997,39.194008999999994,39.90027499999999,40.400696999999994,40.959582,41.444862,42.198377,42.640801,43.617095000000006,44.501236000000006,45.791847000000004
34-2803401,,0,0.537963,1.180295,1.720876,2.065665,2.990219,3.5463150000000003,4.970979,5.658688,6.5415719999999995,7.231364999999999,7.780118999999999,14.901017,16.291535,17.442391999999998,18.863929,22.222545,26.199513,29.195287999999998,38.525020999999995,39.231286999999995,39.731708999999995,40.290594,40.775874,41.529389,41.971813000000004,42.94810700000001,43.83224800000001,45.122859000000005
35-2803398,,,0,0.642332,1.182913,1.5277020000000001,2.452256,3.0083520000000004,4.433016,5.120725,6.003609,6.693402,7.242156,14.363053999999998,15.753571999999998,16.904428999999997,18.325965999999998,21.684582,25.66155,28.657325,37.987058000000005,38.693324000000004,39.193746000000004,39.75263100000001,40.23791100000001,40.99142600000001,41.433850000000014,42.41014400000002,43.294285000000016,44.584896000000015
36-2803385,,,,0,0.5405810000000001,0.8853700000000001,1.809924,2.3660200000000002,3.790684,4.4783930000000005,5.361277,6.05107,6.599824,13.720721999999999,15.111239999999999,16.262096999999997,17.683633999999998,21.04225,25.019218,28.014992999999997,37.344725999999994,38.050991999999994,38.551413999999994,39.110299,39.595579,40.349094,40.791518,41.767812000000006,42.651953000000006,43.942564000000004
37-2803384,,,,,0,0.344789,1.269343,1.8254390000000003,3.250103,3.937812,4.820696,5.510489,6.0592429999999995,13.180140999999999,14.570659,15.721516,17.143053,20.501669,24.478637,27.474412,36.804145000000005,37.510411000000005,38.010833000000005,38.56971800000001,39.05499800000001,39.80851300000001,40.250937000000015,41.22723100000002,42.11137200000002,43.401983000000016
38-2805647,,,,,,0,0.9245540000000001,1.4806500000000002,2.905314,3.593023,4.475907,5.1657,5.714454,12.835352,14.22587,15.376727,16.798264,20.15688,24.133848,27.129623000000002,36.459356,37.165622,37.666044,38.224929,38.710209000000006,39.463724000000006,39.90614800000001,40.88244200000001,41.76658300000001,43.05719400000001
39-2805047,,,,,,,0,0.556096,1.98076,2.668469,3.5513529999999998,4.241146,4.789899999999999,11.910798,13.301316,14.452173,15.87371,19.232326,23.209294,26.205069,35.534802,36.241068,36.74149,37.300375,37.785655000000006,38.539170000000006,38.98159400000001,39.95788800000001,40.84202900000001,42.13264000000001
40-2803567,,,,,,,,0,1.424664,2.112373,2.9952569999999996,3.6850499999999995,4.233803999999999,11.354702,12.74522,13.896077,15.317614,18.67623,22.653198,25.648972999999998,34.978706,35.684972,36.185394,36.744279000000006,37.22955900000001,37.98307400000001,38.42549800000001,39.401792000000015,40.285933000000014,41.57654400000001
41-2803569,,,,,,,,,0,0.687709,1.5705930000000001,2.260386,2.80914,9.930038,11.320556,12.471413,13.89295,17.251566,21.228534,24.224308999999998,33.554041999999995,34.260307999999995,34.760729999999995,35.319615,35.804895,36.55841,37.000834000000005,37.97712800000001,38.86126900000001,40.151880000000006
42-2803391,,,,,,,,,,0,0.882884,1.572677,2.1214310000000003,9.242329,10.632847,11.783704,13.205241000000001,16.563857000000002,20.540825,23.5366,32.866333,33.572599,34.073021,34.631906,35.117186000000004,35.870701000000004,36.31312500000001,37.28941900000001,38.17356000000001,39.46417100000001
