순번_정류장ID,1-2800395,2-2800316,3-2800410,4-2800434,5-2800443,6-2800454,7-2800463,8-2800470,9-2800309,10-2800494,11-2800496,12-2805303,13-2800511,14-2800514,15-2800522,16-2800557,17-2800577,18-2800587,19-2805740,20-2800596,21-2806246,22-2800627,23-2800658,24-2800682,25-2800695,26-2800714,27-2800701,28-2800726,29-2800751,30-2800765,31-2800764,32-2800756,33-2800761,34-2801771,35-2801787,36-2801954,37-2802024,38-2802098,39-2802129,40-2801848
1-2800395,0,0.6186590000000001,2.194096,3.01227,3.308417,3.683282,4.4473270000000005,5.052815000000001,5.663335000000001,6.482558000000001,6.9144060000000005,8.222763,8.607829,8.895728,9.415983,10.748539000000001,11.331367,11.680826,13.153175,13.377987,13.68272,15.509533,16.21443,16.888951,17.341585,17.694968999999997,18.240954,18.929568,19.336947,19.555093,20.351108,20.496212,20.853348,22.236499000000002,23.344955000000002,24.391011000000002,25.200239000000003,25.852049000000004,26.224086000000003,27.681935000000003
2-2800316,,0,1.575437,2.393611,2.689758,3.064623,3.828668,4.434156,5.044676,5.863899,6.2957469999999995,7.6041039999999995,7.98917,8.277069,8.797324,10.12988,10.712708,11.062166999999999,12.534515999999998,12.759327999999998,13.064060999999999,14.890873999999998,15.595771,16.270291999999998,16.722925999999998,17.076309999999996,17.622294999999998,18.310909,18.718287999999998,18.936434,19.732449,19.877553,20.234689,21.61784,22.726296,23.772352,24.581580000000002,25.233390000000004,25.605427000000002,27.063276000000002
3-2800410,,,0,0.818174,1.114321,1.489186,2.253231,2.858719,3.469239,4.288462,4.72031,6.0286669999999996,6.413733,6.701632,7.221887,8.554443,9.137270999999998,9.486729999999998,10.959078999999997,11.183890999999997,11.488623999999998,13.315436999999998,14.020333999999998,14.694854999999999,15.147488999999998,15.500872999999999,16.046858,16.735472,17.142851,17.360997,18.157012,18.302116,18.659252000000002,20.042403000000004,21.150859000000004,22.196915000000004,23.006143000000005,23.657953000000006,24.029990000000005,25.487839000000005
4-2800434,,,,0,0.296147,0.6710119999999999,1.435057,2.040545,2.651065,3.470288,3.902136,5.210493,5.595559,5.883458,6.403713,7.736269,8.319097,8.668555999999999,10.140904999999998,10.365716999999998,10.670449999999999,12.497262999999998,13.20216,13.876681,14.329315,14.682699,15.228684,15.917297999999999,16.324676999999998,16.542823,17.338838,17.483942,17.841078,19.224229,20.332685,21.378741,22.187969000000002,22.839779000000004,23.211816000000002,24.669665000000002
5-2800443,,,,,0,0.374865,1.13891,1.7443980000000001,2.354918,3.174141,3.605989,4.914346,5.299412,5.587311000000001,6.107566,7.440122000000001,8.02295,8.372409,9.844757999999999,10.069569999999999,10.374303,12.201115999999999,12.906013,13.580534,14.033168,14.386552,14.932537,15.621151,16.02853,16.246676,17.042691,17.187795,17.544931000000002,18.928082000000003,20.036538000000004,21.082594000000004,21.891822000000005,22.543632000000006,22.915669000000005,24.373518000000004
6-2800454,,,,,,0,0.764045,1.3695330000000001,1.980053,2.799276,3.231124,4.539481,4.9245470000000005,5.212446000000001,5.7327010000000005,7.065257000000001,7.648085000000001,7.997544000000001,9.469893,9.694705,9.999438000000001,11.826251000000001,12.531148000000002,13.205669000000002,13.658303000000002,14.011687000000002,14.557672000000002,15.246286000000001,15.653665000000002,15.871811000000003,16.667826,16.81293,17.170066000000002,18.553217000000004,19.661673000000004,20.707729000000004,21.516957000000005,22.168767000000006,22.540804000000005,23.998653000000004
7-2800463,,,,,,,0,0.605488,1.216008,2.035231,2.467079,3.775436,4.160502,4.4484010000000005,4.968656,6.301212,6.88404,7.233499,8.705848,8.93066,9.235393,11.062206,11.767103,12.441624000000001,12.894258,13.247642,13.793627,14.482241,14.88962,15.107766000000002,15.903781000000002,16.048885000000002,16.406021000000003,17.789172000000004,18.897628000000005,19.943684000000005,20.752912000000006,21.404722000000007,21.776759000000006,23.234608000000005
8-2800470,,,,,,,,0,0.61052,1.4297429999999998,1.8615909999999998,3.1699479999999998,3.555014,3.842913,4.363168,5.695724,6.278552,6.628011000000001,8.10036,8.325172,8.629905,10.456718,11.161615000000001,11.836136000000002,12.288770000000001,12.642154000000001,13.188139000000001,13.876753,14.284132000000001,14.502278000000002,15.298293000000003,15.443397000000003,15.800533000000003,17.183684000000003,18.292140000000003,19.338196000000003,20.147424000000004,20.799234000000006,21.171271000000004,22.629120000000004
9-2800309,,,,,,,,,0,0.8192229999999999,1.2510709999999998,2.5594279999999996,2.9444939999999997,3.2323929999999996,3.7526479999999998,5.085203999999999,5.668031999999999,6.017491,7.489839999999999,7.714651999999999,8.019385,9.846198,10.551095,11.225616,11.67825,12.031634,12.577619,13.266233,13.673612,13.891758000000001,14.687773000000002,14.832877000000002,15.190013000000002,16.573164000000002,17.681620000000002,18.727676000000002,19.536904000000003,20.188714000000004,20.560751000000003,22.018600000000003
10-2800494,,,,,,,,,,0,0.43184799999999995,1.740205,2.125271,2.41317,2.933425,4.265981,4.848809,5.1982680000000006,6.670617,6.895429,7.200162,9.026975,9.731872000000001,10.406393000000001,10.859027000000001,11.212411000000001,11.758396000000001,12.44701,12.854389000000001,13.072535000000002,13.868550000000003,14.013654000000002,14.370790000000003,15.753941000000003,16.862397,17.908453,18.717681000000002,19.369491000000004,19.741528000000002,21.199377000000002
