순번_정류장ID,1-2801611,2-2801598,3-2801623,4-2801653,5-2801674,6-2801693,7-2801709,8-2801721,9-2801736,10-2801744
1-2801611,0,0.25380199999999997,0.42255499999999996,0.713594,1.061454,1.395165,1.522196,1.907314,2.610619,2.916362
2-2801598,,0,0.168753,0.459792,0.807652,1.1413630000000001,1.2683940000000002,1.653512,2.3568170000000004,2.6625600000000005
3-2801623,,,0,0.291039,0.638899,0.97261,1.099641,1.484759,2.188064,2.493807
4-2801653,,,,0,0.34786,0.681571,0.808602,1.19372,1.897025,2.202768
5-2801674,,,,,0,0.33371100000000004,0.46074200000000004,0.8458600000000001,1.5491650000000001,1.854908
6-2801693,,,,,,0,0.127031,0.512149,1.215454,1.521197
7-2801709,,,,,,,0,0.38511799999999996,1.0884230000000001,1.3941660000000002
8-2801721,,,,,,,,0,0.7033050000000001,1.009048
9-2801736,,,,,,,,,0,0.305743
10-2801744,,,,,,,,,,0
