순번_정류장ID,24-2801601,25-2801501,26-2801450,27-2801383,28-2801347,29-2801319,30-2801296,31-2801275,32-2801270,33-2801255,34-2801250,35-2801248,36-2801246,37-2801245,38-2801244,39-2805070,40-2801261
24-2801601,0,0.6364380000000001,1.121546,1.828701,2.140479,2.486818,2.958985,3.5166890000000004,3.6414500000000003,4.17466,4.487204,4.761311,4.86198,4.994672,5.2567129999999995,5.483109,5.725191
25-2801501,,0,0.485108,1.192263,1.504041,1.85038,2.322547,2.8802510000000003,3.0050120000000002,3.538222,3.850766,4.124873,4.225542,4.3582339999999995,4.6202749999999995,4.846671,5.088753
26-2801450,,,0,0.707155,1.018933,1.365272,1.837439,2.395143,2.519904,3.053114,3.365658,3.6397649999999997,3.7404339999999996,3.8731259999999996,4.135166999999999,4.361562999999999,4.603644999999999
27-2801383,,,,0,0.311778,0.6581170000000001,1.130284,1.687988,1.812749,2.345959,2.658503,2.93261,3.033279,3.165971,3.428012,3.6544079999999997,3.8964899999999996
28-2801347,,,,,0,0.346339,0.818506,1.37621,1.5009709999999998,2.034181,2.3467249999999997,2.6208319999999996,2.7215009999999995,2.8541929999999995,3.1162339999999995,3.3426299999999993,3.5847119999999992
29-2801319,,,,,,0,0.472167,1.029871,1.1546319999999999,1.6878419999999998,2.0003859999999998,2.2744929999999997,2.3751619999999996,2.5078539999999996,2.7698949999999996,2.9962909999999994,3.2383729999999993
30-2801296,,,,,,,0,0.557704,0.682465,1.215675,1.528219,1.8023259999999999,1.9029949999999998,2.035687,2.2977279999999998,2.5241239999999996,2.7662059999999995
31-2801275,,,,,,,,0,0.124761,0.6579710000000001,0.970515,1.2446220000000001,1.345291,1.477983,1.740024,1.96642,2.208502
32-2801270,,,,,,,,,0,0.5332100000000001,0.8457540000000001,1.1198610000000002,1.2205300000000001,1.3532220000000001,1.6152630000000001,1.8416590000000002,2.0837410000000003
33-2801255,,,,,,,,,,0,0.312544,0.586651,0.68732,0.8200120000000001,1.0820530000000002,1.3084490000000002,1.5505310000000003
34-2801250,,,,,,,,,,,0,0.274107,0.374776,0.507468,0.769509,0.995905,1.237987
35-2801248,,,,,,,,,,,,0,0.10066900000000001,0.233361,0.495402,0.721798,0.9638800000000001
36-2801246,,,,,,,,,,,,,0,0.132692,0.394733,0.621129,0.8632110000000001
37-2801245,,,,,,,,,,,,,,0,0.26204099999999997,0.488437,0.730519
38-2801244,,,,,,,,,,,,,,,0,0.22639600000000001,0.46847800000000006
39-2805070,,,,,,,,,,,,,,,,0,0.24208200000000002
40-2801261,,,,,,,,,,,,,,,,,0
