순번_정류장ID,36-2801729,37-2801714,38-2801712,39-2801701,40-2805300,41-2801168,42-2801686,43-2801182,44-2801679,45-2805798,46-2805799,47-2805800,48-2805801,49-2807214,50-2805803,51-2805806,52-2804915,53-2804429,54-2804431,55-2801643,56-2801646,57-2801640,58-2801579,59-2801190,60-2801227,61-2801503,62-2801479,63-2801466,64-2801453,65-2801442,66-2801416,67-2801198
36-2801729,0,0.374252,0.486318,0.769147,0.894943,1.0398370000000001,1.2948950000000001,1.4936360000000002,1.6771670000000003,1.9356490000000002,2.1809950000000002,2.3255890000000004,2.4902040000000003,2.800491,3.125117,3.759842,4.047338,4.417263,4.6766000000000005,4.843384,4.939418000000001,5.193040000000001,5.759816000000001,5.977893000000001,6.149977000000001,6.556816,6.798586,7.011478,7.125492,7.234097,7.492546,7.6955469999999995
37-2801714,,0,0.11206600000000001,0.394895,0.520691,0.665585,0.920643,1.119384,1.302915,1.561397,1.806743,1.951337,2.115952,2.426239,2.7508649999999997,3.3855899999999997,3.6730859999999996,4.043011,4.302348,4.469132,4.5651660000000005,4.8187880000000005,5.3855640000000005,5.6036410000000005,5.775725,6.182564,6.424334,6.637226,6.75124,6.859845,7.118294,7.321294999999999
38-2801712,,,0,0.282829,0.408625,0.553519,0.808577,1.007318,1.190849,1.449331,1.694677,1.839271,2.003886,2.3141730000000003,2.638799,3.273524,3.56102,3.930945,4.190282,4.357066,4.4531,4.706722,5.273498,5.491575,5.663659,6.070498,6.3122679999999995,6.52516,6.639174,6.7477789999999995,7.006227999999999,7.209228999999999
39-2801701,,,,0,0.125796,0.27069,0.525748,0.7244889999999999,0.9080199999999999,1.166502,1.411848,1.556442,1.721057,2.031344,2.3559699999999997,2.9906949999999997,3.2781909999999996,3.6481159999999995,3.9074529999999994,4.074236999999999,4.170271,4.423893,4.990669,5.208746,5.38083,5.787668999999999,6.029438999999999,6.242330999999999,6.356344999999999,6.464949999999999,6.723398999999999,6.926399999999999
40-2805300,,,,,0,0.144894,0.399952,0.5986929999999999,0.7822239999999999,1.040706,1.286052,1.4306459999999999,1.5952609999999998,1.9055479999999998,2.230174,2.864899,3.152395,3.5223199999999997,3.7816569999999996,3.9484409999999994,4.044474999999999,4.298096999999999,4.864872999999999,5.082949999999999,5.255033999999999,5.661872999999999,5.903642999999999,6.116534999999999,6.230548999999999,6.339153999999999,6.5976029999999986,6.800603999999998
41-2801168,,,,,,0,0.255058,0.453799,0.63733,0.8958119999999999,1.141158,1.285752,1.450367,1.760654,2.08528,2.720005,3.007501,3.377426,3.6367629999999997,3.8035469999999996,3.8995809999999995,4.1532029999999995,4.7199789999999995,4.938056,5.1101399999999995,5.516978999999999,5.758748999999999,5.971640999999999,6.085654999999999,6.194259999999999,6.452708999999999,6.655709999999999
42-2801686,,,,,,,0,0.198741,0.382272,0.640754,0.8861000000000001,1.030694,1.195309,1.505596,1.830222,2.464947,2.752443,3.122368,3.3817049999999997,3.5484889999999996,3.6445229999999995,3.8981449999999995,4.4649209999999995,4.6829979999999995,4.8550819999999995,5.261920999999999,5.503690999999999,5.716582999999999,5.830596999999999,5.939201999999999,6.197650999999999,6.400651999999999
43-2801182,,,,,,,,0,0.183531,0.442013,0.687359,0.831953,0.9965680000000001,1.306855,1.6314810000000002,2.2662060000000004,2.5537020000000004,2.923627,3.182964,3.349748,3.445782,3.699404,4.26618,4.484257,4.656341,5.06318,5.30495,5.517842,5.631856,5.740461,5.9989099999999995,6.201910999999999
44-2801679,,,,,,,,,0,0.258482,0.5038279999999999,0.6484219999999999,0.813037,1.123324,1.44795,2.082675,2.370171,2.740096,2.999433,3.1662169999999996,3.2622509999999996,3.5158729999999996,4.082649,4.300726,4.47281,4.879649,5.1214189999999995,5.334311,5.448325,5.5569299999999995,5.815378999999999,6.018379999999999
45-2805798,,,,,,,,,,0,0.245346,0.38994,0.554555,0.864842,1.189468,1.824193,2.111689,2.481614,2.740951,2.9077349999999997,3.0037689999999997,3.2573909999999997,3.8241669999999996,4.042243999999999,4.214327999999999,4.621166999999999,4.862936999999999,5.075828999999999,5.189842999999999,5.298447999999999,5.556896999999998,5.759897999999998
46-2805799,,,,,,,,,,,0,0.144594,0.309209,0.619496,0.9441220000000001,1.5788470000000001,1.866343,2.236268,2.495605,2.6623889999999997,2.7584229999999996,3.0120449999999996,3.5788209999999996,3.7968979999999997,3.9689819999999996,4.375820999999999,4.617590999999999,4.830482999999999,4.944496999999999,5.053101999999999,5.311550999999999,5.514551999999998
47-2805800,,,,,,,,,,,,0,0.164615,0.474902,0.799528,1.434253,1.721749,2.091674,2.3510109999999997,2.5177949999999996,2.6138289999999995,2.8674509999999995,3.4342269999999995,3.6523039999999996,3.8243879999999995,4.231227,4.4729969999999994,4.6858889999999995,4.799903,4.908507999999999,5.166956999999999,5.369957999999999
48-2805801,,,,,,,,,,,,,0,0.310287,0.6349130000000001,1.269638,1.557134,1.927059,2.1863960000000002,2.35318,2.449214,2.702836,3.269612,3.487689,3.659773,4.066612,4.308382,4.521274,4.635288,4.743893,5.002342,5.205342999999999
49-2807214,,,,,,,,,,,,,,0,0.324626,0.9593510000000001,1.246847,1.616772,1.876109,2.042893,2.138927,2.392549,2.9593249999999998,3.177402,3.3494859999999997,3.756325,3.9980949999999997,4.210986999999999,4.325000999999999,4.433605999999999,4.692054999999999,4.8950559999999985
50-2805803,,,,,,,,,,,,,,,0,0.634725,0.922221,1.292146,1.551483,1.718267,1.814301,2.067923,2.634699,2.852776,3.02486,3.431699,3.673469,3.886361,4.000375,4.10898,4.367429,4.57043
51-2805806,,,,,,,,,,,,,,,,0,0.28749600000000003,0.657421,0.916758,1.083542,1.179576,1.433198,1.999974,2.218051,2.390135,2.796974,3.038744,3.251636,3.36565,3.474255,3.732704,3.935705
52-2804915,,,,,,,,,,,,,,,,,0,0.369925,0.629262,0.796046,0.89208,1.145702,1.712478,1.930555,2.102639,2.509478,2.751248,2.96414,3.078154,3.186759,3.445208,3.648209
53-2804429,,,,,,,,,,,,,,,,,,0,0.259337,0.42612099999999997,0.5221549999999999,0.7757769999999999,1.342553,1.5606300000000002,1.732714,2.1395530000000003,2.381323,2.594215,2.708229,2.816834,3.075283,3.278284
54-2804431,,,,,,,,,,,,,,,,,,,0,0.166784,0.262818,0.51644,1.0832160000000002,1.3012930000000003,1.4733770000000002,1.880216,2.121986,2.3348780000000002,2.4488920000000003,2.557497,2.8159460000000003,3.0189470000000003
55-2801643,,,,,,,,,,,,,,,,,,,,0,0.09603400000000001,0.34965599999999997,0.916432,1.134509,1.306593,1.7134319999999998,1.9552019999999999,2.168094,2.282108,2.390713,2.649162,2.852163
56-2801646,,,,,,,,,,,,,,,,,,,,,0,0.25362199999999996,0.820398,1.038475,1.210559,1.617398,1.859168,2.07206,2.186074,2.294679,2.553128,2.756129
57-2801640,,,,,,,,,,,,,,,,,,,,,,0,0.5667760000000001,0.784853,0.956937,1.363776,1.6055460000000001,1.8184380000000002,1.9324520000000003,2.0410570000000003,2.2995060000000005,2.5025070000000005
58-2801579,,,,,,,,,,,,,,,,,,,,,,,0,0.218077,0.390161,0.7969999999999999,1.03877,1.251662,1.3656760000000001,1.4742810000000002,1.73273,1.935731
59-2801190,,,,,,,,,,,,,,,,,,,,,,,,0,0.172084,0.578923,0.8206929999999999,1.033585,1.147599,1.256204,1.514653,1.717654
60-2801227,,,,,,,,,,,,,,,,,,,,,,,,,0,0.406839,0.648609,0.861501,0.9755149999999999,1.08412,1.342569,1.5455699999999999
61-2801503,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24176999999999998,0.454662,0.568676,0.6772809999999999,0.93573,1.138731
62-2801479,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.212892,0.32690600000000003,0.43551100000000004,0.69396,0.896961
63-2801466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.114014,0.222619,0.481068,0.684069
64-2801453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.108605,0.367054,0.570055
65-2801442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.258449,0.46144999999999997
66-2801416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.203001
67-2801198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
