순번_정류장ID,19-2801197,20-2801346,21-2801327,22-2801308,23-2801284,24-2801276,25-2801282,26-2801290,27-2801297,28-2801318,29-2801325,30-2807166,31-2801351,32-2803551,33-2801331,34-2801344,35-2801357,36-2805405
19-2801197,0,0.358026,0.618156,0.86934,1.335647,1.685901,1.967351,2.367772,2.659587,3.018288,3.198699,3.6017479999999997,4.012346,4.373979,4.869260000000001,5.216228000000001,5.508952000000001,5.910923
20-2801346,,0,0.26013000000000003,0.511314,0.9776210000000001,1.3278750000000001,1.6093250000000001,2.0097460000000003,2.3015610000000004,2.6602620000000003,2.8406730000000002,3.243722,3.65432,4.015953,4.511234,4.858202,5.150926,5.552897
21-2801327,,,0,0.251184,0.717491,1.067745,1.349195,1.749616,2.041431,2.400132,2.580543,2.983592,3.3941899999999996,3.7558229999999995,4.251104,4.598072,4.890796,5.2927669999999996
22-2801308,,,,0,0.46630699999999997,0.816561,1.098011,1.4984320000000002,1.7902470000000001,2.1489480000000003,2.329359,2.7324080000000004,3.143006,3.504639,3.99992,4.346888,4.639612,5.041582999999999
23-2801284,,,,,0,0.350254,0.631704,1.0321250000000002,1.3239400000000001,1.6826410000000003,1.8630520000000002,2.266101,2.6766989999999997,3.0383319999999996,3.5336129999999994,3.8805809999999994,4.173304999999999,4.575275999999999
24-2801276,,,,,,0,0.28145,0.681871,0.973686,1.3323870000000002,1.512798,1.915847,2.326445,2.688078,3.183359,3.5303269999999998,3.8230509999999995,4.225021999999999
25-2801282,,,,,,,0,0.400421,0.6922360000000001,1.0509370000000002,1.231348,1.634397,2.044995,2.406628,2.901909,3.248877,3.541601,3.943572
26-2801290,,,,,,,,0,0.291815,0.6505160000000001,0.8309270000000001,1.2339760000000002,1.6445740000000002,2.0062070000000003,2.501488,2.848456,3.1411800000000003,3.5431510000000004
27-2801297,,,,,,,,,0,0.35870100000000005,0.539112,0.942161,1.352759,1.7143920000000001,2.209673,2.556641,2.8493649999999997,3.251336
28-2801318,,,,,,,,,,0,0.180411,0.58346,0.9940579999999999,1.3556909999999998,1.8509719999999998,2.19794,2.4906639999999998,2.892635
29-2801325,,,,,,,,,,,0,0.403049,0.813647,1.1752799999999999,1.670561,2.017529,2.3102530000000003,2.7122240000000004
30-2807166,,,,,,,,,,,,0,0.41059799999999996,0.7722309999999999,1.267512,1.61448,1.907204,2.3091749999999998
31-2801351,,,,,,,,,,,,,0,0.361633,0.856914,1.203882,1.4966059999999999,1.898577
32-2803551,,,,,,,,,,,,,,0,0.495281,0.842249,1.134973,1.536944
33-2801331,,,,,,,,,,,,,,,0,0.346968,0.6396919999999999,1.041663
34-2801344,,,,,,,,,,,,,,,,0,0.292724,0.6946950000000001
35-2801357,,,,,,,,,,,,,,,,,0,0.401971
36-2805405,,,,,,,,,,,,,,,,,,0
