순번_정류장ID,1-2805765,2-2805001,3-2805892,4-2805894,5-2805897,6-2802243,7-2802239,8-2802232,9-2801863,10-2801904,11-2804910,12-2801833,13-2802219,14-2802216,15-2802209,16-2802202,17-2802188,18-2802186,19-2804814,20-2802156,21-2802151,22-2802130,23-2802126,24-2802120,25-2802085,26-2802096,27-2802111,28-2801845,29-2801849,30-2802136,31-2802152,32-2802163,33-2802174,34-2802618,35-2802828,36-2802882,37-2802393,38-2802395,39-2802399,40-2802406,41-2802412,42-2802442,43-2802453,44-2802250,45-2802253,46-2802260,47-2802263,48-2803792,49-2801816,50-2801861,51-2802277,52-2802269,53-2802259,54-2801841,55-2802240
1-2805765,0,0.5471689999999999,0.9040499999999999,1.131751,1.400468,1.524195,1.737435,2.6404940000000003,2.9977700000000005,3.3572630000000006,3.9398880000000007,4.277738000000001,4.426033000000001,4.6444860000000014,5.084421000000002,5.593895000000002,6.224605000000001,6.7133280000000015,7.103739000000002,7.419902000000002,7.891582000000002,8.222382000000003,8.910556000000003,9.299565000000003,9.526981000000003,10.044387000000002,10.408885000000001,10.725820000000002,11.166461000000002,11.957299000000003,12.312887000000003,12.751596000000003,13.019076000000004,13.284173000000004,13.941217000000005,14.700105000000006,15.137409000000005,15.623338000000006,16.268039000000005,16.619314000000006,17.101418000000006,17.335714000000007,17.636574000000007,18.178337000000006,18.613718000000006,18.994243000000004,19.422799000000005,19.752737000000003,20.161570000000005,20.529161000000006,20.923039000000006,21.355608000000007,21.691774000000006,22.621329000000006,22.979222000000007
2-2805001,,0,0.356881,0.584582,0.853299,0.9770260000000001,1.190266,2.093325,2.4506010000000003,2.8100940000000003,3.3927190000000005,3.7305690000000005,3.8788640000000005,4.097317,4.5372520000000005,5.0467260000000005,5.677436,6.166159,6.556570000000001,6.872733000000001,7.344413000000001,7.675213000000001,8.363387000000001,8.752396000000001,8.979812,9.497218,9.861716,10.178650999999999,10.619291999999998,11.410129999999999,11.765718,12.204426999999999,12.471907,12.737004,13.394048000000002,14.152936000000002,14.590240000000001,15.076169000000002,15.720870000000001,16.072145000000003,16.554249000000002,16.788545000000003,17.089405000000003,17.631168000000002,18.066549000000002,18.447074,18.87563,19.205568,19.614401,19.981992,20.375870000000003,20.808439000000003,21.144605000000002,22.074160000000003,22.432053000000003
3-2805892,,,0,0.22770100000000001,0.496418,0.6201450000000001,0.833385,1.736444,2.0937200000000002,2.4532130000000003,3.035838,3.373688,3.521983,3.740436,4.180371,4.689845,5.320555,5.809278,6.199689,6.515852000000001,6.987532000000001,7.318332000000001,8.006506,8.395515,8.622931,9.140336999999999,9.504834999999998,9.821769999999997,10.262410999999997,11.053248999999997,11.408836999999998,11.847545999999998,12.115025999999999,12.380123,13.037167,13.796055,14.233359,14.719288,15.363989,15.715264,16.197368,16.431664,16.732524,17.274287,17.709668,18.090193,18.518749,18.848686999999998,19.25752,19.625111,20.018989,20.451558000000002,20.787724,21.717279,22.075172000000002
4-2805894,,,,0,0.268717,0.392444,0.605684,1.508743,1.866019,2.225512,2.8081370000000003,3.1459870000000003,3.2942820000000004,3.512735,3.9526700000000003,4.462144,5.092854,5.581577,5.9719880000000005,6.288151000000001,6.759831000000001,7.090631000000001,7.778805000000001,8.167814000000002,8.395230000000002,8.912636000000001,9.277134,9.594069000000001,10.03471,10.825548000000001,11.181136000000002,11.619845000000002,11.887325000000002,12.152422000000003,12.809466000000004,13.568354000000005,14.005658000000004,14.491587000000004,15.136288000000004,15.487563000000003,15.969667000000003,16.203963,16.504823000000002,17.046586,17.481967,17.862492,18.291048,18.620986,19.029819,19.39741,19.791288,20.223857000000002,20.560023,21.489578,21.847471000000002
5-2805897,,,,,0,0.123727,0.336967,1.240026,1.597302,1.956795,2.53942,2.8772699999999998,3.025565,3.2440179999999996,3.683953,4.193427,4.8241369999999995,5.31286,5.703271,6.019434,6.4911140000000005,6.8219140000000005,7.5100880000000005,7.899097,8.126513000000001,8.643919,9.008417,9.325351999999999,9.765992999999998,10.556830999999999,10.912419,11.351128,11.618608,11.883705,12.540749000000002,13.299637000000002,13.736941000000002,14.222870000000002,14.867571000000002,15.218846000000001,15.70095,15.935246000000001,16.236106,16.777869,17.21325,17.593774999999997,18.022330999999998,18.352268999999996,18.761101999999998,19.128693,19.522571,19.95514,20.291306,21.220861,21.578754
6-2802243,,,,,,0,0.21324,1.1162990000000002,1.4735750000000003,1.8330680000000004,2.415693,2.753543,2.901838,3.120291,3.560226,4.0697,4.70041,5.189133,5.579544,5.895707000000001,6.367387000000001,6.698187000000001,7.386361000000001,7.775370000000001,8.002786,8.520192,8.884689999999999,9.201625,9.642266,10.433104,10.788692000000001,11.227401,11.494881000000001,11.759978000000002,12.417022000000003,13.175910000000004,13.613214000000003,14.099143000000003,14.743844000000003,15.095119000000002,15.577223000000002,15.811519000000002,16.112379,16.654142,17.089523,17.470048,17.898604,18.228541999999997,18.637375,19.004966,19.398844,19.831413,20.167579,21.097134,21.455027
7-2802239,,,,,,,0,0.9030590000000001,1.260335,1.619828,2.202453,2.540303,2.6885980000000003,2.907051,3.3469860000000002,3.85646,4.48717,4.975893,5.366304,5.682467000000001,6.154147000000001,6.484947000000001,7.173121000000001,7.562130000000001,7.7895460000000005,8.306952,8.67145,8.988385000000001,9.429026,10.219864000000001,10.575452000000002,11.014161000000001,11.281641000000002,11.546738000000003,12.203782000000004,12.962670000000005,13.399974000000004,13.885903000000004,14.530604000000004,14.881879000000003,15.363983000000003,15.598279000000003,15.899139000000003,16.440902000000005,16.876283000000004,17.256808000000003,17.685364000000003,18.015302000000002,18.424135000000003,18.791726000000004,19.185604000000005,19.618173000000006,19.954339000000004,20.883894000000005,21.241787000000006
8-2802232,,,,,,,,0,0.35727600000000004,0.716769,1.299394,1.637244,1.785539,2.003992,2.4439270000000004,2.9534010000000004,3.5841110000000005,4.072834,4.463245000000001,4.779408000000001,5.251088000000001,5.581888000000001,6.270062000000001,6.659071000000001,6.886487000000001,7.403893000000001,7.768391000000001,8.085326000000002,8.525967000000001,9.316805000000002,9.672393000000003,10.111102000000002,10.378582000000003,10.643679000000004,11.300723000000005,12.059611000000006,12.496915000000005,12.982844000000005,13.627545000000005,13.978820000000004,14.460924000000004,14.695220000000004,14.996080000000005,15.537843000000004,15.973224000000004,16.353749000000004,16.782305000000004,17.112243000000003,17.521076000000004,17.888667000000005,18.282545000000006,18.715114000000007,19.051280000000006,19.980835000000006,20.338728000000007
9-2801863,,,,,,,,,0,0.359493,0.942118,1.279968,1.428263,1.646716,2.0866510000000003,2.5961250000000002,3.2268350000000003,3.715558,4.105969,4.422132,4.8938120000000005,5.2246120000000005,5.9127860000000005,6.301795,6.529211,7.046617,7.411115000000001,7.7280500000000005,8.168691,8.959529000000002,9.315117,9.753826,10.021306000000001,10.286403000000002,10.943447000000003,11.702335000000003,12.139639000000003,12.625568000000003,13.270269000000003,13.621544000000002,14.103648000000002,14.337944000000002,14.638804000000002,15.180567000000002,15.615948000000001,15.996473000000002,16.425029000000002,16.754967,17.163800000000002,17.531391000000003,17.925269000000004,18.357838000000005,18.694004000000003,19.623559000000004,19.981452000000004
10-2801904,,,,,,,,,,0,0.582625,0.9204749999999999,1.06877,1.287223,1.727158,2.236632,2.8673420000000003,3.356065,3.746476,4.062639,4.534319,4.865119,5.553293,5.942302,6.169718,6.687124,7.051622,7.368557,7.809198,8.600036000000001,8.955624,9.394333,9.661813,9.926910000000001,10.583954000000002,11.342842000000003,11.780146000000002,12.266075000000003,12.910776000000002,13.262051000000001,13.744155000000001,13.978451000000002,14.279311000000002,14.821074000000001,15.256455,15.636980000000001,16.065536,16.395474,16.804307,17.171898000000002,17.565776000000003,17.998345000000004,18.334511000000003,19.264066000000003,19.621959000000004
11-2804910,,,,,,,,,,,0,0.33785,0.486145,0.7045980000000001,1.144533,1.654007,2.284717,2.77344,3.1638509999999997,3.4800139999999997,3.951694,4.282494,4.970668,5.359677,5.587092999999999,6.104499,6.468997,6.785932,7.226573,8.017411000000001,8.372999,8.811708,9.079188,9.344285000000001,10.001329000000002,10.760217000000003,11.197521000000002,11.683450000000002,12.328151000000002,12.679426000000001,13.16153,13.395826000000001,13.696686000000001,14.238449000000001,14.67383,15.054355000000001,15.482911000000001,15.812849000000002,16.221682,16.589273000000002,16.983151000000003,17.415720000000004,17.751886000000002,18.681441000000003,19.039334000000004
12-2801833,,,,,,,,,,,,0,0.148295,0.366748,0.806683,1.316157,1.9468670000000001,2.43559,2.8260009999999998,3.1421639999999997,3.613844,3.944644,4.632817999999999,5.021826999999999,5.249242999999999,5.766648999999999,6.1311469999999995,6.448081999999999,6.888723,7.679561,8.035149,8.473858,8.741338,9.006435000000002,9.663479000000002,10.422367000000003,10.859671000000002,11.345600000000003,11.990301000000002,12.341576000000002,12.823680000000001,13.057976000000002,13.358836000000002,13.900599000000001,14.335980000000001,14.716505000000002,15.145061000000002,15.474999000000002,15.883832000000002,16.251423000000003,16.645301000000003,17.077870000000004,17.414036000000003,18.343591000000004,18.701484000000004
13-2802219,,,,,,,,,,,,,0,0.218453,0.658388,1.167862,1.798572,2.287295,2.6777059999999997,2.9938689999999997,3.4655489999999998,3.7963489999999998,4.484522999999999,4.873531999999999,5.100947999999999,5.618353999999999,5.982851999999999,6.299786999999999,6.740428,7.531266,7.886854,8.325562999999999,8.593043,8.85814,9.515184000000001,10.274072000000002,10.711376000000001,11.197305000000002,11.842006000000001,12.193281,12.675385,12.909681,13.210541000000001,13.752304,14.187685,14.56821,14.996766000000001,15.326704000000001,15.735537,16.103128,16.497006000000003,16.929575000000003,17.265741000000002,18.195296000000003,18.553189000000003
14-2802216,,,,,,,,,,,,,,0,0.439935,0.949409,1.5801189999999998,2.0688419999999996,2.4592529999999995,2.7754159999999994,3.2470959999999995,3.5778959999999995,4.266069999999999,4.655078999999999,4.882494999999999,5.399900999999999,5.764398999999999,6.081333999999999,6.521974999999999,7.312812999999999,7.668400999999999,8.107109999999999,8.37459,8.639687,9.296731000000001,10.055619000000002,10.492923000000001,10.978852000000002,11.623553000000001,11.974828,12.456932,12.691228,12.992088,13.533851,13.969232,14.349757,14.778313,15.108251000000001,15.517084,15.884675000000001,16.278553000000002,16.711122000000003,17.047288,17.976843000000002,18.334736000000003
15-2802209,,,,,,,,,,,,,,,0,0.509474,1.140184,1.628907,2.019318,2.335481,2.8071610000000002,3.1379610000000002,3.8261350000000003,4.2151440000000004,4.44256,4.9599660000000005,5.324464000000001,5.641399000000001,6.082040000000001,6.872878000000001,7.228466000000001,7.667175000000001,7.934655000000001,8.199752000000002,8.856796000000003,9.615684000000003,10.052988000000003,10.538917000000003,11.183618000000003,11.534893000000002,12.016997000000002,12.251293000000002,12.552153000000002,13.093916000000002,13.529297000000001,13.909822000000002,14.338378000000002,14.668316000000003,15.077149000000002,15.444740000000003,15.838618000000004,16.271187000000005,16.607353000000003,17.536908000000004,17.894801000000005
