순번_정류장ID,31-2801697,32-2801925,33-2802034,34-2802061,35-2802105,36-2806098,37-2802187,38-2802201,39-2802210,40-2802220,41-2801903,42-2804878,43-2801815,44-2802261,45-2802252,46-2802456,47-2802509,48-2802365,49-2804851,50-2803664,51-2804436,52-2806047,53-2806048,54-2803579,55-2803767,56-2804877,57-2803768
31-2801697,0,2.084469,3.760459,4.146421,4.763987,5.903031,6.3523380000000005,7.527659,7.95216,8.311967000000001,9.523042,10.235056,10.691581,11.392016,12.259986,13.301431,13.954702,15.221532,16.197663,17.775252,18.616653,19.481465,19.890522,20.830536000000002,22.188981000000002,22.791927,23.323408
32-2801925,,0,1.67599,2.0619520000000002,2.6795180000000003,3.818562,4.267869,5.4431899999999995,5.867691,6.227498,7.438573,8.150587,8.607111999999999,9.307547,10.175517,11.216961999999999,11.870232999999999,13.137063,14.113194,15.690783,16.532184,17.396996,17.806053000000002,18.746067000000004,20.104512000000003,20.707458000000003,21.238939000000002
33-2802034,,,0,0.38596199999999997,1.003528,2.142572,2.591879,3.7672,4.191701,4.551508,5.762583,6.474597,6.931122,7.631557,8.499527,9.540972,10.194243,11.461073,12.437204000000001,14.014793000000001,14.856194,15.721006000000001,16.130063,17.070077,18.428522,19.031468,19.562949
34-2802061,,,,0,0.617566,1.7566099999999998,2.205917,3.3812379999999997,3.805739,4.165546,5.376621,6.088635,6.54516,7.245595,8.113565,9.155009999999999,9.808281,11.075111,12.051242,13.628831,14.470232,15.335044,15.744101,16.684115000000002,18.04256,18.645506,19.176987
35-2802105,,,,,0,1.139044,1.5883509999999998,2.7636719999999997,3.188173,3.54798,4.759055,5.471069,5.927594,6.628029,7.495998999999999,8.537443999999999,9.190714999999999,10.457545,11.433676,13.011265,13.852666,14.717478,15.126535,16.066549000000002,17.424994,18.02794,18.559421
36-2806098,,,,,,0,0.44930699999999996,1.6246279999999997,2.0491289999999998,2.4089359999999997,3.620011,4.332025,4.78855,5.488985,6.356954999999999,7.3984,8.051670999999999,9.318501,10.294632,11.872221,12.713621999999999,13.578434,13.987491,14.927505,16.28595,16.888896,17.420377
37-2802187,,,,,,,0,1.1753209999999998,1.5998219999999999,1.9596289999999998,3.1707039999999997,3.8827179999999997,4.339243,5.039677999999999,5.907647999999999,6.9490929999999995,7.602364,8.869194,9.845325,11.422914,12.264315,13.129127,13.538184000000001,14.478198,15.836643,16.439589,16.97107
38-2802201,,,,,,,,0,0.424501,0.784308,1.995383,2.707397,3.163922,3.864357,4.732327,5.773772,6.427043,7.693873,8.670004,10.247593,11.088994,11.953806,12.362863,13.302877,14.661322,15.264268,15.795748999999999
39-2802210,,,,,,,,,0,0.35980700000000004,1.570882,2.282896,2.739421,3.4398560000000002,4.307826,5.349271000000001,6.002542000000001,7.269372000000001,8.245503000000001,9.823092,10.664493,11.529305,11.938362000000001,12.878376000000001,14.236821,14.839767,15.371248
40-2802220,,,,,,,,,,0,1.211075,1.923089,2.379614,3.0800490000000003,3.9480190000000004,4.989464000000001,5.642735000000001,6.909565000000001,7.885696,9.463285,10.304686,11.169498,11.578555000000001,12.518569000000001,13.877014,14.47996,15.011441
