순번_정류장ID,28-2803394,29-2805673,30-2803403,31-2805014,32-2807528,33-2800108,34-2807508,35-2807498,36-2807501,37-2807560,38-2807559,39-2807555,40-2807278,41-2807511,42-2807544,43-2807533,44-2807532,45-2807525,46-2802061,47-2802006,48-2806611,49-2801834,50-2802092,51-2802724,52-2802643,53-2802735,54-2802810
28-2803394,0,0.9875230544636047,0.9989275917757657,0.999181757916175,1.0018709338817777,1.0017420332690092,1.0042992152341441,1.044377267342603,1.039005541989752,1.0318880508553143,1.0275588611223523,1.0196202105217993,1.0184561763351976,1.0189975878469226,1.0162757585619495,1.0158761065899065,1.0311213295797341,1.1423807123085972,1.2330661211640117,1.2528944375171087,1.2757002460681528,1.276411598482233,1.2740163106570628,1.288953672737315,1.2827763862122712,1.2908274658456491,1.2843822240458354
29-2805673,,0,1.0064345941499375,1.0028436215700112,1.0050988870977768,1.0039437336885872,1.006335904308663,1.0501526289280132,1.04348005433114,1.0350227641564345,1.0298557456261863,1.0208427084728482,1.0195352335877048,1.020040301663384,1.017108577262063,1.0166638041631428,1.032245519376561,1.0894725564420782,1.1764418799850156,1.1965989307661342,1.2188464223982451,1.2204258023952175,1.2188069983092187,1.2342958105478747,1.2294403022992353,1.238988159870074,1.23425182510143
30-2803403,,,0,0.9947798354759293,1.0016627458582374,1.0015529229544158,1.0051149718660919,1.057112358347661,1.0482739468794837,1.0378019725144392,1.0315722962127976,1.021396713053168,1.0199672903591956,1.0204761098432866,1.0173622930493507,1.016907759382716,1.0330478673085344,1.0303383556336088,1.0949969189470592,1.1155579380565792,1.1371679548259408,1.1397306874042623,1.1393243495926135,1.1555170571985744,1.1523717289386322,1.164131302736763,1.161712373954015
31-2805014,,,,0,1.0107919524048854,1.0050135730110554,1.0085362678438314,1.0727670314574345,1.0590267262436097,1.0443628620204848,1.0358922891163203,1.0233264915045663,1.021620625514235,1.022068088496637,1.0186164670882831,1.0180048978561456,1.0348460222443596,1.0318476087127628,1.0300213580193718,1.036881394389632,1.0544625024099918,1.0580216558386555,1.058727720645151,1.075534306515346,1.074067629998143,1.0877858810265324,1.0875401387425734
32-2807528,,,,,0,1.0013928491126558,1.0077858686760777,1.0872415964068514,1.0676413285491264,1.0487236473595327,1.0383297745917883,1.0240512301821434,1.0221844000174778,1.0226205096386316,1.0189937139390497,1.0183255018273514,1.0357595820930725,1.032570699745683,1.0306470345010974,1.0376730040107685,1.0369303737040017,1.03633249903332,1.0358713781871804,1.0434620816213755,1.0426482466309686,1.0434865369915203,1.0598149266968315
33-2800108,,,,,,0,1.0068156889232496,0.9983530491152339,1.0000351733146953,0.999460857309189,1.001775515502151,1.0023262451953712,1.0026423219274274,1.0043314940698418,1.002550807984317,1.0033226920972655,1.0228497427705876,1.0208709165921999,1.0195239260989242,1.0271669023743786,1.0266711894522218,1.0262349085863554,1.025888929830847,1.0339947646186867,1.0333667524795356,1.031706507575452,1.0516297452809285
34-2807508,,,,,,,0,0.990530854958122,0.996505856234346,0.9972351127646597,1.000735199482363,1.0018361601971748,1.0022359308445488,1.0040877621071964,1.0022511071859737,1.0031006407345016,1.0237773361458813,1.0215656452181878,1.0201387850225736,1.0281486908295563,1.0276059091846095,1.02710682761651,1.0267314453038072,1.0351643875676877,1.0344367350823394,1.0327039457438936,1.0533812935803575
35-2807498,,,,,,,,0,1.003943762810148,1.0004534010189092,1.0035173140175173,1.003261045174466,1.0035221998545734,1.0054663377894792,1.0032416966842737,1.0040564613097647,1.0261537254753785,1.0235257217335723,1.0219174478856565,1.0302718857247248,1.0296154509422346,1.0291038537418788,1.0286743347199705,1.0374686486747573,1.0367042148910108,1.0347471092973852,1.0563888749320893
36-2807501,,,,,,,,,0,0.9930037408200906,1.0010291354587746,1.0022315639611916,1.0026623096829264,1.004847595202178,1.0025894145222802,1.0035306347018076,1.026978753877263,1.024110424713731,1.022383231028059,1.031150699900385,1.0304687209911119,1.0298878002328005,1.0294251383826696,1.0385526288827416,1.0377041475979465,1.0356152750397551,1.0581284448034904
37-2807560,,,,,,,,,,0,1.007544554171133,1.0042604887139697,1.004433116442226,1.0068135317286007,1.0039214745070428,1.0048132589315164,1.0306495709003969,1.0270569855610758,1.024896692435715,1.0343375910470476,1.0334743438763903,1.0327804992452132,1.0322263782249388,1.0419857200079266,1.040990106814867,1.038542129240008,1.0625817394121166
