순번_정류장ID,1-2805981,2-2807034,3-2805982,4-2806072,5-2803328,6-2803305,7-2802994,8-2803011,9-2803018,10-2803022,11-2803030,12-2802644,13-2802965,14-2802959,15-2802641,16-2803003,17-2803008,18-2803013,19-2803004,20-2802997,21-2802990,22-2802636,23-2802955,24-2802936,25-2802918,26-2802864,27-2802824,28-2802618,29-2802176,30-2806506,31-2806502,32-2806620,33-2802135,34-2802124,35-2802114,36-2802097,37-2802068,38-2802032,39-2802007,40-2802006,41-2802016,42-2802028,43-2806611,44-2802031,45-2802010,46-2801983,47-2801956,48-2801945,49-2803645,50-2801666,51-2801633,52-2801192,53-2801636,54-2801604,55-2801564,56-2801520,57-2801485,58-2801450,59-2801438,60-2805321,61-2801461,62-2801462,63-2804438,64-2803790,65-2803644,66-2800676,67-2800667,68-2800657,69-2800646,70-2800629,71-2800613,72-2800615,73-2806215,74-2807461,75-2806729,76-2806175,77-2806603,78-2806657,79-2805025,80-2805873,81-2805844,82-2804905,83-2805409,84-2805414,85-2805537,86-2805993,87-2805411,88-2806158,89-2806602,90-2807420,91-2807181,92-2806169,93-2807223,94-2806865
1-2805981,0,1.1114212075460188,1.0830957120289106,2.3820699710490634,1.6913579989316956,1.5266274671384488,1.4267758451705996,1.3551539385723532,1.3299812466750742,1.314369900984126,1.2828349526243872,1.2638859702936702,1.2063787568394573,1.1898752271806992,1.2685502731186007,1.365579855062779,1.3389226039889657,1.3161509279787669,1.304444610081482,1.2970147793390867,1.2871886371496164,1.2768967371669693,1.2656655488824533,1.2582495000737062,1.2449302227686687,1.2225958722182506,1.217227794089792,1.215240701832125,1.2149014398419566,1.2088816099698896,1.2001389030785874,1.1940840032185542,1.2034479677772136,1.2268381340878298,1.219518485185656,1.2090111048149015,1.2029112470166947,1.1992829460029113,1.2117603232351783,1.277720457683489,1.3221046369583558,1.395948200229733,1.4698691767893919,1.4832043944641748,1.4757042850557751,1.4982330807411168,1.5052333220153828,1.4989958723689636,1.498665585578164,1.5060047197113464,1.5350282645150877,1.5814815372134507,1.6154667629363277,1.603806748342321,1.5930356209862093,1.581603093844661,1.6270572003976167,1.6322542162870486,1.6723381212730661,1.789427480045143,1.8208174186023414,1.8569269475398062,1.9529197837496615,1.985291703213077,2.5065293656222614,2.698262622149721,2.6449297313234923,2.6181683193232717,2.5652879056229603,2.4830697147904233,2.429605826975748,2.4952533512488904,2.5119406457771167,2.611129504343392,2.5645703419416126,2.5658674580242886,2.558938682469798,2.520744273563889,2.6014275236233524,2.6395113248103166,2.6949738134308734,2.768057837950461,2.7438815136615187,2.759826295292447,2.764897357728261,2.803014204962374,2.7345319002014716,2.7080897848268743,2.6640395242823334,2.5997821787795528,2.5174166513621645,2.488671365436032,2.4781029989467935,2.4275848116504797
2-2807034,,0,0.9989414676941708,0.9947719912540071,0.9997933163284395,0.9987765380458135,1.003493235860848,1.0017874283540797,1.0015225170460438,1.001832352622264,1.0028783249892033,1.0004317536018699,1.0000909617711213,1.0025087371441759,1.0754035855502524,1.1654158911508024,1.1536604464715134,1.1435534346169716,1.1384522690786794,1.1351979372042604,1.1309920387284373,1.126386597014407,1.128558066173897,1.125464698180532,1.1182634292314422,1.107848272015324,1.1056189537271996,1.1072121472919354,1.1091422359019543,1.1071577629793132,1.102306449382566,1.099190141139428,1.1123900481443467,1.1358897078555525,1.1313626796943759,1.125200254851727,1.121499511752137,1.1191724524340465,1.1325616147972601,1.1952882632190254,1.2373061141742323,1.307872666494835,1.377329370735911,1.3912521602396526,1.3849765583745803,1.4068784739100777,1.4147281879428633,1.4095250479849992,1.4207423771389889,1.4286995708358377,1.4574777892230473,1.501566161773265,1.5347172386173178,1.524798062881074,1.5155055254622984,1.5059735127515985,1.5498184542605598,1.5554247244413568,1.5946430156424594,1.7066232301170847,1.7366389160054598,1.7713551152639446,1.863839380214129,1.8946079846998518,2.3911227560281,2.5738774351652363,2.5255573361188324,2.5013671115910507,2.4525067983039133,2.37741912420863,2.328884496977847,2.392044895464357,2.410129931396204,2.505213208206488,2.462363136239423,2.46464456866804,2.4599058857564504,2.4273256521968314,2.5039949490696123,2.541142713992089,2.5941247767457685,2.6643450061888685,2.642418378077369,2.65843116841564,2.6657190690247887,2.702504021043638,2.638693556834678,2.613901755389242,2.57286013851999,2.5130955683103258,2.4359357690781924,2.4093612058578153,2.40035070455451,2.3531275505254152
3-2805982,,,0,0.993251948285959,0.9999416310027289,0.9987546958004939,1.0039731403369148,1.0020369744130406,1.0020690623452821,1.0023760607014693,1.0034364956810724,1.00079685976636,1.0003591717537101,1.0028640806331595,1.079195547847471,1.173596937420393,1.1605185855582367,1.149720909896683,1.144184143547435,1.1404857603902836,1.1361101177795654,1.1311543777969375,1.1329737422564266,1.129638724965307,1.1220295350711607,1.1109764616856272,1.1086024835148056,1.1101400881049734,1.112172704443881,1.1098073328927758,1.1048462969167863,1.1015805951085955,1.1149669298912255,1.1388660722565944,1.134055829079975,1.1276458475093405,1.123979405303398,1.1214747433671064,1.1351728690773526,1.198914408481318,1.24213300233144,1.3140829427537588,1.3853090473212424,1.3994975250659625,1.3930870752226672,1.415469677051857,1.4234012548109447,1.4177509561671855,1.4282723356779357,1.4362265205538194,1.4652821980416095,1.5105114848172818,1.5442957292009996,1.533693040434279,1.5241853157183953,1.514331436274151,1.5590477227926451,1.5648682627653028,1.6046986464780084,1.719233741187758,1.749934858319257,1.7853132760856643,1.8800701618998288,1.9114548351877663,2.4217184659691378,2.6107056511770237,2.560130357670211,2.535078476075156,2.4840369279713976,2.4059529088468987,2.3554307817577045,2.419916085704749,2.437846913660146,2.5357042332889512,2.490932873301618,2.49325386645711,2.4877166563876862,2.452992024829471,2.532230254229108,2.569576888090858,2.624390949749658,2.6963585655951063,2.6734225165608207,2.689642353173028,2.696411305944126,2.7341259962824633,2.667787263175072,2.6422948301315716,2.5998085468175964,2.5376669450495966,2.458372315323119,2.4307706431168463,2.421340884647232,2.3725861429898707
4-2806072,,,,0,1.003334010359888,1.0001804472183333,1.0071086905651454,1.0038678385370183,1.0033073721472077,1.003619337266333,1.0047627217441257,1.0014565727642097,1.0007809882094405,1.0036023501553983,1.0911526286047324,1.1999744785062867,1.1829343401412376,1.169040816404797,1.1620138089864012,1.1574054688051751,1.1518661903306817,1.1457423189150167,1.1463165036963923,1.1421908748288496,1.1332766309676547,1.1201946892700603,1.1174968587696392,1.1187116234843513,1.1205728784462823,1.117836060698215,1.11220310456592,1.1084791653597188,1.1225058680535067,1.1480971646661688,1.1424863441722803,1.1352921040080726,1.131271056391292,1.1284890332866464,1.1427378636349694,1.2105011283863114,1.2559043495374924,1.332682434018354,1.408730932134863,1.4238279077998002,1.416521178443313,1.4408409358846468,1.4486046408503337,1.4426833418026161,1.450238595852777,1.4584716749534612,1.4889390652652197,1.5368223930932023,1.5722251130291756,1.5608971600018886,1.5501591757644715,1.539208144264865,1.5868629107615118,1.5925417347176474,1.6346118304148591,1.7564073005301153,1.7891501638180847,1.826748087671676,1.9277260663865425,1.9612219887089468,2.51426280346432,2.720723224213952,2.6628525844670223,2.634433591642783,2.5766872466833477,2.4886227241109067,2.43231268424604,2.502099802414608,2.5194603856696096,2.6248126534353804,2.5752350820240855,2.576022733787301,2.5689878751815494,2.5284735803297904,2.613534546089422,2.653935442980159,2.712648272485749,2.7906918188537784,2.7644303430897295,2.7812379194912027,2.786346972443919,2.827065251657304,2.753628948925091,2.7254360119807215,2.678385097045957,2.61029036204748,2.523588826669129,2.493196304024974,2.4820476345124094,2.4293062599493735
5-2803328,,,,,0,0.9950557157765982,1.0100999258469818,1.0041476571763837,1.0032946194588777,1.0037376836104122,1.0052498549959212,1.0008758732575953,1.0002344361588658,1.0036522507663632,1.1079125459884567,1.2384798698719608,1.2147126715538752,1.1957434226287755,1.186338920269454,1.1803060557873166,1.1729520031524923,1.1650463434236205,1.1635769753544698,1.1582902952594227,1.1475211144855648,1.1317462418546897,1.1281306895015386,1.129189687040037,1.1310908701636337,1.1275518931295045,1.121028796858321,1.1167015632472341,1.1312517330715828,1.1585715123863056,1.1523143874976696,1.1442288383565695,1.139641590177133,1.1365119779095019,1.1513336486012349,1.2237918874763933,1.27320398551045,1.355941984057279,1.4384107284365488,1.4543367337148303,1.4457167803593511,1.4715735271052393,1.479826557770132,1.4728002724708413,1.4759657131265584,1.484523516016065,1.5168074961933644,1.5687153392548292,1.60612055805696,1.5931814220877945,1.5819114781858759,1.5690821678011955,1.6199430212373254,1.625550024169444,1.6700773310361343,1.800803754296473,1.8360714416950346,1.876740875980683,1.9856467751453066,2.0221606262142005,2.629606481676363,2.8588916184971107,2.7921160072243083,2.758581086254025,2.692158823378839,2.591386281450353,2.526965332810336,2.6032593783538993,2.6199230939094407,2.734845786726952,2.6782050123989443,2.6776632680217003,2.6686534804643327,2.619309658128316,2.711671258304431,2.756362310187662,2.820514136670432,2.9057543880185053,2.8756784466133074,2.8931655118983133,2.8959706301447907,2.9399577587975005,2.8576519853271836,2.8260021576883765,2.7733644271693976,2.6976894470158834,2.601280634907276,2.56776298241598,2.5544197428647695,2.4963755090391
6-2803305,,,,,,0,1.0179077064360602,1.0052589455573413,1.0038705226120235,1.0043950745066483,1.0061594753480942,1.000660313475134,0.9999986394645749,1.0038911799338288,1.121932142397612,1.270674817511181,1.240543313005333,1.2169431351903541,1.2054262895541812,1.1981524294290211,1.1892216811323253,1.1798008248995835,1.1764707259506102,1.1702313726889846,1.157990965729255,1.1398265846328306,1.135871852811839,1.1366799414095585,1.1383447240333748,1.1344335933370078,1.1272474424420562,1.1224719574154651,1.1375404795499962,1.1658743761039643,1.1591897753970337,1.1502697141708162,1.145062692184186,1.1419026522854911,1.1571240921172388,1.2330111463883324,1.2841209198681338,1.3711509208341002,1.4577687636158096,1.4744876076053344,1.465418600248245,1.4925064007837203,1.5010417701860086,1.4929638696147605,1.493510791185254,1.5022764244397275,1.535830860607934,1.5892894962765498,1.6292962845086612,1.6149762273843713,1.6024506557980478,1.5893564297801621,1.6420072473709966,1.6476752036064835,1.6939402709566784,1.8307845625451642,1.8677903269411724,1.9104762762711487,2.02484439674803,2.063339541205906,2.708823667366928,2.954634292036822,2.880590339741786,2.8443363943522724,2.7708090080538437,2.661270493309644,2.5911904509982437,2.671516613983384,2.6876756118437717,2.809423587169402,2.747898855439878,2.746200805793284,2.7361649398113563,2.680820578132648,2.7779276763470317,2.8251551938529533,2.893344490635613,2.9840510793646624,2.950533157460406,2.968452971750279,2.969799371442236,3.0159395225227486,2.9274828595115485,2.893643605616569,2.8366207499003506,2.7557612308225594,2.6530697054348513,2.617270259377222,2.602386198301355,2.5406334761457003
7-2802994,,,,,,,0,0.9945831696122078,0.9955934633663222,0.9979541611759966,1.002413287001317,0.9956783214236183,0.9969906117131597,1.0020014321058108,1.1393231858343127,1.3138711213752325,1.2739049813784655,1.2434560849974463,1.2289119570002276,1.219892416843772,1.2087659516296017,1.1972772205630318,1.1913812952755052,1.1838988132382071,1.1697792851361508,1.1488174463382852,1.1444295240764761,1.1447598964426466,1.1464622929670114,1.1417803762708414,1.1338064295378945,1.1285037062151742,1.131603918764071,1.1611551281350745,1.1546253499358843,1.1453903849111318,1.1401728259050525,1.1371139853807413,1.1531701188004333,1.2311006449351982,1.2845712380753427,1.3747252097915812,1.4651194067913316,1.4820043418544027,1.4729057976752005,1.5009362544824534,1.5093931938734255,1.5014971949919416,1.500705058995763,1.509449565551215,1.5443266569124374,1.5994487850174146,1.640398371501827,1.625931593953935,1.612771018045112,1.5987812903196637,1.6535214355619323,1.6590841240898682,1.7068688654501738,1.8488782538361976,1.887361452960113,1.9317727627810402,2.02582073582301,2.0239956566763895,2.6628574659552022,2.906954764365818,2.8345236108417273,2.7987487504091586,2.7268625749513102,2.6192748830631576,2.550825914556592,2.6312921827844407,2.647841687390912,2.769023494861936,2.7089900397305193,2.708174467877029,2.698124168213039,2.6449007019822557,2.7414916742949393,2.7621306227576667,2.828955217821404,2.9172126975486212,2.885915717107707,2.9036715063011957,2.9065654196475665,2.9520492215587897,2.8664748904036146,2.8337237794096857,2.7795579829187083,2.7010978159373535,2.6023671937627197,2.5679696332930053,2.5542892925791687,2.4948583713069628
8-2803011,,,,,,,,0,0.9977872476079301,1.0021997503867917,1.007291513947492,0.9962042509072058,0.99754665102906,1.0033787683950268,1.1670825926786255,1.3776472267538464,1.321588843465608,1.2804724892386192,1.2613685636451173,1.2497772101440976,1.2354270031975052,1.2209736097797121,1.2111193009230428,1.2019224780835402,1.185309904693881,1.1606401829169704,1.1552859684318104,1.15531167914702,1.1568128238482052,1.151312878206696,1.1423470379033467,1.1363775996457899,1.1315649616108585,1.1613510268745282,1.1542630074416684,1.144784065205835,1.1394950241626673,1.136104931546924,1.1346578243589758,1.2140700698222342,1.2681454652583422,1.3597230905082505,1.4520042935611124,1.469863511517121,1.4602879533246498,1.4517952373200744,1.4495031240277936,1.4420999442998557,1.4468385019156165,1.4563383754868606,1.4907538406549545,1.5443420736472282,1.5841864457437567,1.5710865106542777,1.5593679363848152,1.5466854452674788,1.6001234084136944,1.6063018024321245,1.6532897579850172,1.7911484863771734,1.828474213356632,1.8715943699950646,1.9633923544044534,1.962016354413908,2.5810734683201932,2.8169909053278057,2.748519131550574,2.715114774733824,2.6468015918724648,2.5458198095793727,2.481145419237449,2.559144777096988,2.5768148725562194,2.6947424509620466,2.6380666090183844,2.6383981574850424,2.629614915527213,2.5810572484327667,2.6750461355377118,2.689847124747243,2.6992868575778104,2.781537988818323,2.754304625729235,2.7719572862222384,2.777830296720635,2.8207395881908446,2.743239771127423,2.7138128506952826,2.6642406836085133,2.59308936259056,2.502945129985688,2.471517790845575,2.460473393071679,2.4058969367945884
9-2803018,,,,,,,,,0,1.0082934092969056,1.0111155542310029,0.9957547414705449,0.9975185702679298,1.0039015739109585,1.1834839384789788,1.4161295225068626,1.3492174796544711,1.3012593610945258,1.2793271071978525,1.266171074466622,1.249878197129358,1.23367342556291,1.2214500005107956,1.2112829894214585,1.19329120432807,1.1667996405073664,1.1610078221257143,1.1605792454803079,1.1617890374616624,1.1560323272849375,1.1465496962208397,1.140234828287425,1.1350049612150042,1.1442082108594558,1.137744783056522,1.1291860784591312,1.1322916913040304,1.1290235256631127,1.124322247066076,1.199890013577137,1.2536856848153517,1.3455194473261103,1.4376817070994936,1.4557142181987148,1.446035471879966,1.4381017145352817,1.4357639700767326,1.4288160425835212,1.4286049282883175,1.4378483873124386,1.446309301220171,1.4982405628022584,1.5373871221019197,1.5253951592954942,1.5146014650526007,1.5033492693471389,1.5549747740664774,1.5617262936345482,1.6074770844919863,1.7404936323928077,1.7764586571900969,1.818035373889644,1.9069484378440362,1.9063189832614602,2.499234857382609,2.7241441848999,2.6615745213139292,2.629704010899058,2.5672799839720364,2.4726713666081683,2.4122768267174726,2.48713815878781,2.5066587640206195,2.620072850396176,2.5667163454507698,2.568164573571301,2.560459324009823,2.5171305681763845,2.6081937545348235,2.6224855408267733,2.631724595564389,2.7111970910273757,2.6858942716780674,2.7034598625179806,2.7105703691164185,2.752344401746058,2.679001950404865,2.6509568504823164,2.604201020440634,2.536710863172194,2.4508436374575493,2.4212177555047973,2.411263022266116,2.359219952750312
10-2803022,,,,,,,,,,0,1.0122758172787718,0.9925075243157734,0.9965017009097776,1.0035821616904756,1.1967005726985211,1.4484150393542994,1.3716688517251303,1.317736173051323,1.2933927489676014,1.2789200562940117,1.261005863551209,1.2433586609649354,1.229195781326904,1.2182545064826202,1.1991738191460672,1.1711147504808985,1.1647960440233152,1.1643582197264053,1.1654763789581604,1.1593958054821456,1.1495226290548548,1.1429483351275993,1.1374091054205764,1.1340574295000256,1.1279489805058662,1.1199182574735649,1.134293040805941,1.1309268942335753,1.1260838465979064,1.1715356098217873,1.2245522315083104,1.3140611207019972,1.4037791391196217,1.421586151326587,1.4131230865716857,1.4056697912312337,1.4041329884807705,1.3977198541003213,1.402478934797944,1.411921379875776,1.4150270837461933,1.466121100648218,1.5046008079805162,1.4932093506812611,1.4831089951610452,1.4730143319456395,1.5232415377016875,1.5301707218464282,1.575275978393195,1.7049543669868223,1.7399830443642947,1.7804977894149057,1.8674230977945638,1.8668958668653926,2.442291230999883,2.6607469721366415,2.6011989372696065,2.5712347362689445,2.511987198940602,2.421806123753364,2.3643122724044665,2.4374254444154086,2.457464469483013,2.5681897465518646,2.5172498104292234,2.5189981358452185,2.5118049940028815,2.4722635662798167,2.561638304301796,2.5748696781604323,2.584345961491353,2.661735516378218,2.637757391415485,2.655257163218145,2.66358915199705,2.7039699039518514,2.6339273957204865,2.60698089400614,2.5618167162150196,2.496860981782312,2.414249972151252,2.385586822874564,2.3765020394863834,2.3262167817254906
