순번_정류장ID,61-2806621,62-2806503,63-2806507,64-2802175,65-2801848,66-2802172,67-2802162,68-2802153,69-2801846,70-2802103,71-2802052,72-2801847,73-2801990,74-2801952,75-2801805,76-2801799,77-2801777,78-2801772,79-2801770,80-2801762,81-2800774,82-2800762,83-2800757,84-2800769,85-2800766,86-2800748,87-2800721,88-2800703,89-2800699,90-2800693,91-2800683,92-2800676,93-2800667,94-2800657,95-2800340,96-2800624,97-2800619,98-2806215,99-2807461,100-2806729,101-2806731,102-2805743,103-2804896,104-2805564,105-2804968,106-2804905,107-2805413,108-2805842,109-2805498,110-2805576,111-2805225,112-2805227,113-2805742,114-2805229,115-2805231,116-2807633
61-2806621,0,0.9858773030243487,1.0141120192469841,1.0070412838412626,0.9943192879418381,1.0153137379790185,1.0022749092223722,1.1751446622000414,1.6025021820434064,1.5227177401061869,1.428105609511516,1.390902645689754,1.3498697294052686,1.3630567777412448,1.3249516422021073,1.2982580581865177,1.2640042029919731,1.2511460293866281,1.2317192137002508,1.2223949988231713,1.2227058601277063,1.212839998243266,1.202317885904936,1.2202629492689347,1.296509371723133,1.2868745017551235,1.2849117490096444,1.279340580381225,1.266502092309032,1.2599017981339078,1.2498732467588152,1.2667834313818531,1.2582408721799552,1.25369354258558,1.246673331299531,1.2350896557673556,1.2291833424311651,1.2536265036646292,1.2587220631041365,1.2511038205611151,1.243367148015185,1.2391892196886425,1.2361943048939112,1.2294163306490467,1.2229095547601685,1.2179587358668822,1.2288065789778069,1.2482896796021183,1.2435303814583514,1.2391958026307854,1.257355062337487,1.3248147380531285,1.355564779188006,1.3897514154357915,1.4415150657785725,1.7009122815486832
62-2806503,,0,1.0278446996572042,1.0110947058157909,0.9931509416468908,1.0193008702248256,1.0030822441292488,1.2089361600325823,1.7285852671130246,1.6147151686544439,1.4881900431795867,1.440137524286807,1.389301286538961,1.336768036366961,1.2942965236269384,1.2692016424893136,1.2377179622741337,1.2255312822829885,1.2076086378503168,1.199470489713642,1.2016481541067112,1.1927492588657682,1.1828902195140871,1.2013409008717257,1.2793932029363322,1.2702967090660728,1.2689999993705265,1.263764527637503,1.2514276670467248,1.2450950975525041,1.2355020973569084,1.2609407474498069,1.2525379560154009,1.2479932884474558,1.241223044264474,1.2292377479573624,1.2235818380317023,1.2425450565664466,1.253776290540308,1.2464713126881821,1.2387463038408828,1.2347118351626862,1.231564774011224,1.2249766674949139,1.2184112157430544,1.2135794445083221,1.2243543860448598,1.2440283508258099,1.239452684338862,1.2351482043194597,1.253373362576697,1.3219559925553537,1.3531218451234919,1.3877853300091851,1.4404025774410525,1.7034828049019093
63-2806507,,,0,0.9926131117266851,0.9719306611984071,1.0161367785923483,0.9961198137218295,1.2613654832418377,1.9566446046816521,1.7673491955450982,1.5796024127092005,1.512160566174833,1.4447999854605278,1.376484321592466,1.3236727291968309,1.2933853841397294,1.2559466124912488,1.2417915716634134,1.2209096835356623,1.211582216904651,1.2128533364760037,1.2028460279451654,1.191687018996048,1.211205237314735,1.2934657704869101,1.2833939655847046,1.2814461330981899,1.275588531108931,1.2620868353103087,1.25517953843248,1.2445933011958703,1.2707828919252049,1.2615737354448777,1.2566916335454787,1.2492952790405942,1.236583466577583,1.230429957195589,1.2498630724209878,1.2612878304561843,1.2534244599547528,1.245144199055553,1.2409182354049773,1.2377542540751274,1.2305405851945672,1.2237187956537634,1.2186245112459666,1.22966785009618,1.2499715603992358,1.245067782708863,1.2405233138719467,1.2592567030456292,1.3299545992652464,1.3618914795825887,1.3977458391821178,1.4519730343029265,1.722995641004952
64-2802175,,,,0,0.9428383565538812,1.0265324013262582,0.9963409831440307,1.002119900167317,1.6616746816057362,1.5317659292169843,1.4013357933503856,1.3554730686348428,1.3072344316920534,1.2614646708323054,1.2251879347303154,1.2039791349257851,1.1785821518969617,1.1685866501559863,1.2018935061939586,1.1927865593804228,1.1957791412797945,1.1867276824366033,1.1759722823759553,1.1961589786867985,1.281250545075811,1.2713231373473513,1.269875352937313,1.2643733498765133,1.2507798386751396,1.2440110537802365,1.233807980397862,1.2809690134227516,1.271324675224777,1.2660860859685086,1.2581520638268981,1.2446694697529872,1.2381014038601696,1.2470497828701226,1.2694013000149924,1.2610577603884414,1.2523974505274749,1.2476586924516297,1.2443803648817604,1.2367972112949839,1.2297034493723218,1.2241516429037766,1.2356231024497915,1.2563576747796803,1.2512003101011593,1.2464032268092233,1.2658013486017454,1.3382827152298389,1.371244151112605,1.4080639392284633,1.4640662571744432,1.7423582993611428
65-2801848,,,,,0,1.0839798198620176,1.016699891534556,1.0180649120844767,1.1623252446745298,1.137343558741975,1.1069783501147858,1.0978235611187637,1.0826408233900562,1.074387042212312,1.0653791379051973,1.0593200083726058,1.0537349065949142,1.110033085511919,1.2173579012918014,1.207141224190683,1.2087230546074563,1.198123595873986,1.1863893973567712,1.2074749771518802,1.2959356113856857,1.2852373646521678,1.2828860213880013,1.2767695026457258,1.2621896997974624,1.2548568421387234,1.2436668056788753,1.2919983939363087,1.2813634695098695,1.275776361408725,1.2674486181544053,1.252963834880482,1.2461132853054924,1.2549988663124725,1.2775555530557834,1.2688641211321403,1.2596350637278975,1.2545874188317943,1.2511033512701466,1.2432672144733357,1.2356373744253697,1.2300891506366438,1.2416802910288764,1.2628549903918245,1.2574548486018968,1.2524134583393614,1.2721472916640104,1.3464131108343997,1.3801810387664186,1.4178170879657928,1.4752639294694938,1.7602168436277463
66-2802172,,,,,,0,0.933001110780642,0.9740611752593175,0.9837680574395947,0.9895192249101213,0.9906189923575349,0.9942121293412266,0.9901185665431314,0.9960554775924099,0.9978320275913745,0.9975600546956913,0.9998861555580904,1.0243193385393519,1.1312222232670182,1.1269649048955224,1.1363377571024416,1.1296986608015605,1.1222231521729058,1.1443316174566935,1.2340495905702211,1.225421473989893,1.2261107302083518,1.2215610243762156,1.209991891354055,1.2041107473747505,1.1953264176874494,1.246289611647742,1.2373204300490308,1.2326814638217953,1.2254986665690548,1.2133592039907906,1.207325299675177,1.2182186539308675,1.2416935036126153,1.2339867707865773,1.2259883168794627,1.2218574285853137,1.2188891349763622,1.2118177024723193,1.2053166364885768,1.2004488831215814,1.2121201018760104,1.2332979434925884,1.2286031027064082,1.224153170680779,1.2438416618431687,1.3173039369284973,1.3507329815299507,1.3881038668550265,1.444996603262971,1.729970743418612
67-2802162,,,,,,,0,1.0180364369179762,1.001398632354677,1.0044656400938075,1.0010717428746525,1.0038469578080782,0.9978756172369537,1.0031348646772082,1.0039998521938611,1.0030993553209788,1.0048184382099128,1.031154397260361,1.1462375781016871,1.1408000057861063,1.1489381810404051,1.1413701409838615,1.1325441604561612,1.1554779412434055,1.2498513399336224,1.240546740377909,1.2405085841615757,1.235093880247552,1.2222615962702283,1.2160825656191336,1.2063668043268467,1.2584629429622136,1.2488271137427707,1.243790783493092,1.2358654237115292,1.2227354131828894,1.2164819302160057,1.2272342555786602,1.2511589964338357,1.242918173708072,1.23427957328602,1.229797967633139,1.2266942271196977,1.2193134189127726,1.2123152343958095,1.206956271030988,1.2189766132877284,1.2406932932678991,1.2356317380261645,1.2309927508004794,1.2511062176885206,1.3267107584456088,1.3611177824721126,1.3997183200480015,1.458269287019906,1.7512691882758908
68-2802153,,,,,,,,0,0.9918676776784728,0.998951350096827,0.997380184462174,1.0012523113078302,0.994760145562674,1.0012910205698589,1.0025574764184106,1.0017285808843115,1.0037909614726233,1.0031045286243234,1.0537699081196665,1.0549928714453332,1.0723053344003037,1.0687109386294458,1.0651203781996437,1.0885999528513501,1.1827512292434201,1.1761539416411437,1.1793180139327253,1.176119796057009,1.1666409300330074,1.1618423480883413,1.154476542611588,1.2091733125041664,1.2012425916606546,1.197176421184397,1.1909120511888112,1.1803897431002726,1.1752486243926885,1.1881800742450987,1.2124813922863373,1.2055412843938298,1.1982295047934648,1.1949992106508172,1.1922997591581879,1.1861189351212071,1.1800193689269196,1.1756419795214632,1.1879136310169005,1.2094405483952486,1.2050881413292793,1.2013068042024322,1.220930199791167,1.2951808321049958,1.3290031623043623,1.3667300184899072,1.423982970157097,1.7142614424988767
69-2801846,,,,,,,,,0,1.0142542273071422,1.0019670576161286,1.0070437088664415,0.9961372098644242,1.0045719838028582,1.005476142489406,1.004064815675718,1.0061000583284527,1.0051247916591992,1.0044233504521534,1.0097390628614735,1.0329317930455757,1.032124872035358,1.0303584671905208,1.0565947396811208,1.1579691924310882,1.151556278447299,1.1560477552632935,1.1534478967130346,1.1447166914249691,1.1404813116451826,1.1340705584555244,1.163491589304668,1.157300622875284,1.153875420676652,1.1488460028785954,1.1407134648554735,1.1363600497819382,1.1685490656836184,1.1772890345601852,1.1711472184691394,1.164984539483584,1.1625467066132358,1.1605469836323732,1.1549660853087773,1.149938439658099,1.1463867843292699,1.1589107884735792,1.1807413701790213,1.1769515783013509,1.173719137978835,1.1937352210284438,1.268122908510188,1.3019955106533645,1.3400147010438175,1.3977116205577977,1.692436263758788
70-2802103,,,,,,,,,,0,0.9921793677463584,1.0028111251756953,0.9900749768191285,1.0020638175003973,1.0037175336047137,1.0023942094925022,1.0046313033598055,1.0036829607280082,1.0033682436635185,1.0091618519385817,1.033914063378427,1.032783839571754,1.030872112427475,1.0587242924505205,1.1653245962634968,1.1582608377646257,1.1627880239851878,1.1598239504344074,1.150323309742863,1.145561025464153,1.138630754303797,1.1686307764562405,1.1622908647292935,1.1586425625038188,1.153153744036232,1.144142046228248,1.139792386748507,1.1730262321366893,1.181641962634855,1.175404241704714,1.1688209116753672,1.166309172641903,1.16408148534582,1.1583570581148592,1.1530989572701347,1.1492876944767203,1.1619955434842093,1.184426664539023,1.1802877408115753,1.1769003433885994,1.1973786603859313,1.273777950629978,1.308319893292455,1.34744774735926,1.4064968461513192,1.7087983476562003
