순번_정류장ID,1-2807327,2-2802586,3-2802584,4-2802349,5-2802577,6-2802581,7-2802373,8-2802336,9-2802338,10-2802333,11-2802328,12-2802314,13-2802315,14-2802303,15-2801865,16-2802291,17-2802549,18-2802545,19-2802540,20-2802363,21-2802488,22-2802472,23-2802436,24-2802430,25-2802434,26-2802444,27-2802457,28-2802494,29-2802512,30-2805600,31-2802371,32-2802441,33-2802941,34-2802901,35-2802851,36-2802823,37-2802783,38-2802757,39-2802733,40-2802628
1-2807327,0,0.9448464638213042,0.9932319041032733,0.9948004285200157,0.9974069042614645,0.9971329184129061,3.7045829968915416,2.0019631469441297,1.8068208757358137,1.697313870170598,1.5726571755444423,1.8421963945885662,1.7644895656275943,1.5887691427207948,1.669603429723361,2.338333111797283,3.0706141656802157,3.2612482374630205,3.5613175311418113,3.1899088348396,2.8410987928991895,2.669716722778057,2.448912636488447,2.4413810307982042,2.896586298193668,3.042797651456068,3.08771188424314,3.913363907613256,4.186521654109579,4.227725765379883,3.6350453142859003,3.2929337083401604,2.509976702114167,2.4243233836240825,2.318479363230642,2.2806462977685418,2.1986727856260906,2.1224479421387983,2.084462150332763,2.0246152991445356
2-2802586,,0,1.0300544673427916,1.017663254904078,1.0117619813299492,1.007979176296008,2.396391573558673,1.791954720170689,1.6426387114050751,1.557511685393665,1.460386126999987,1.6409402306362697,1.5947525169819967,1.4632194538637189,1.5421518128490104,2.1430952024330248,2.7847978902303345,3.4507146256123167,3.8115121201095006,3.370959791075065,2.967887602288565,2.7735409131119635,2.5267549591632066,2.5141710007663276,3.0049158210868567,3.161708992851495,3.205821040259188,4.1120478570067505,4.414694835437082,4.455620713689151,3.7846463968321578,3.4048113130042696,2.5585878126427537,2.467134872872043,2.3551597673361417,2.315258061383406,2.2293719170015396,2.1490687877225483,2.109063360273888,2.0462582324251763
3-2802584,,,0,0.990779977654531,0.9992680051714958,0.9981335755684627,1.3939048012042716,1.3516262935318537,1.2941921171926458,1.2590587917626537,1.219035683218395,1.677742877523339,1.6225312039913642,1.4765612663858967,1.559586383130044,2.2106885751511616,2.9291014960268726,3.7828921734657244,4.215056282178915,3.6511364469291614,3.156430701395642,2.92483390944673,2.6371429050480817,2.617700621554226,3.164551022543741,3.3332450995728564,3.375705119752627,4.4092389293589695,4.764940191513141,4.80245213240444,4.0037466935512445,3.566367117421369,2.6242939785476778,2.525141923568583,2.404811113641823,2.3619506573690665,2.2696849715259995,2.184437605148125,2.141687717498769,2.0752910015595902
4-2802349,,,,0,1.0031679669976459,1.0000364651705527,1.1118626206500133,1.196505934718101,1.1663412780565785,1.1463680511402412,1.1612096942526628,1.7167292960604812,1.6530002190959903,1.4946096329179976,1.5808774488031088,2.26730369421596,3.0382054878079408,3.9714209788365724,4.446125269604484,3.8064697180826403,3.2581119738068987,3.00541404893277,2.6950810601724067,2.561250121814237,3.0937136968127232,3.2603824221546813,3.303348066579417,4.306121953619866,4.649915576688819,4.688669507744585,3.923024939756047,3.5025018886898756,2.5888286647513175,2.492393837908253,2.3748719890416448,2.3335336215643405,2.2436040365611785,2.1601876431238902,2.1190609300009893,2.0540194131881444
5-2802577,,,,,0,0.9959988312532424,1.0125883360798276,1.00627570587152,1.005668944207216,1.003936037185581,1.1779591068519255,1.8145433636386112,1.7270703984497644,1.5364517850146577,1.6285790534242497,2.4037950285126484,3.3174768791776783,4.482774720109121,5.082381888838466,4.214568773985054,3.5147666798262933,3.2050809155517435,2.8354173851233346,2.6020138788927683,2.8493086240139682,3.0062759300977273,3.0541142516760815,3.9379671215755425,4.23562011541228,4.277712730500496,3.5627727867514047,3.2171511954006364,2.4416641556172576,2.3575249908651332,2.254468881594256,2.2177114431694336,2.13850169924887,2.064228597049609,2.027516481752203,1.9706933439250425
6-2802581,,,,,,0,1.0158895399925003,1.006794341187163,1.006041523148487,1.0041110392503947,1.1936170167340614,1.910563106218008,1.7969267792558756,1.573999731975116,1.6724549172005132,2.5310786962394873,3.5914403432379776,4.046118591510883,4.571679315949962,3.857535302936678,3.2649963238281132,2.997848822664667,2.674720745729504,2.4682885480239447,2.7025222284298,2.8541546767634745,2.90466516771199,3.724257456230097,3.997555863865404,4.041292927382047,3.396352178510915,3.0818445020843828,2.3668483705003096,2.2884144553442596,2.1921513843234446,2.1577475664545114,2.083469093656041,2.0137595723895454,1.979183499831066,1.9264002142247743
7-2802373,,,,,,,0,1.0010238600827137,1.0013173697710174,0.9993760049919599,1.0012979626189134,1.3870234196538325,1.3713573180878071,1.269673670805476,1.3680883132014316,2.0752304474996532,2.9154924939679927,3.1534523047231398,2.9080143402464556,2.6227267033328054,2.3636179220146323,2.233862191337854,2.163173411276905,2.0358799523130613,2.1831831103463917,2.3135276664535995,2.37096230907054,2.9717193279364413,3.1629230938708415,3.210538754590161,2.8508152216500857,2.6319253317810336,2.110282508007186,2.0503414008528607,1.9769758520025713,1.9501393204566961,1.892416408332845,1.838578991334692,1.8107613135810783,1.7716167180968827
8-2802336,,,,,,,,0,1.0022235512976219,0.994488287099364,1.0003866482210635,0.99724892841941,0.9962572017569938,0.9918229655761699,1.0003875669429525,1.1545652469096628,1.5331609057586242,1.6930874452447837,1.6594677910648752,1.5890883298804084,1.5198129766381092,1.482497630133702,1.4834574490806756,1.441044389255919,1.6279071710300643,1.7365388766413292,1.7959840076179927,2.205475357273195,2.3305056748517363,2.376310043761315,2.193620174053455,2.071923259350041,1.764654358281579,1.7275324580259517,1.6812078948372347,1.6640950003679171,1.6271134291386562,1.5919293867623288,1.5741737262590039,1.5520439030435498
9-2802338,,,,,,,,,0,0.9847718075643188,0.9995132529531937,0.9959403268587049,0.9951373483991792,0.9904677118061814,1.0001773177786701,1.006973431028646,1.2739956769918521,1.4185802478362906,1.4108377838694883,1.3701443581122983,1.3310495417449693,1.3093005834204843,1.3223705861763284,1.2958404721672157,1.463168866468569,1.5647355921520423,1.6237560019658126,1.980870684946429,2.089077467902142,2.133157883062024,1.9940744718653105,1.898184954367239,1.6515687348384325,1.620927047150375,1.5831062999255516,1.569165567131607,1.5382760284481363,1.5092916465268584,1.4942167079662705,1.4776883747205032
10-2802333,,,,,,,,,,0,1.0084917763111723,0.9988987617784876,0.996956984331827,0.9890165696329682,0.99987355452984,1.007260393381314,1.2967866574213573,1.453696914263825,1.4321570052165042,1.386674354648625,1.3508806764920358,1.3264474676144298,1.3389407692515707,1.309686407517514,1.3863678043580383,1.4861679914078667,1.5455181005976162,1.884635680839697,1.986931353911318,2.031469771572535,1.8811749122910417,1.7985381080503642,1.5840411138537036,1.557563959176793,1.5241098848778742,1.5116235405559584,1.484481065484137,1.458734066336908,1.4451399227643267,1.4322194142097144
11-2802328,,,,,,,,,,,0,0.9915156281395092,0.9922861644299651,0.984459348498683,0.9981780677798548,1.0070771349217755,1.345729098706556,1.5289273055701027,1.496501361191801,1.437402907772447,1.390565371657071,1.3603384175761701,1.3713015559533175,1.3363897575526043,1.4197783391676555,1.5280421691935537,1.5920363039639256,1.9708195564254467,2.087040639510854,2.1351438699508956,1.9564287252511132,1.8595281566295478,1.6160224966870884,1.5863872378144073,1.5494551333841038,1.535744369367702,1.5060577872565686,1.478167432427808,1.4634480924883804,1.448588946200539
12-2802314,,,,,,,,,,,,0,0.9931416974718555,0.9813766955267634,1.0004659223779253,1.0108075884632735,1.4459724854784468,1.6801129546540308,1.6192006307853266,1.5303596804741988,1.4613146710640978,1.4196297271370188,1.4266714670809386,1.381289706660846,1.4747239301896384,1.5970083140342686,1.667508505047636,2.114995596265075,2.2557563266077056,2.309330087321775,2.0773584783046637,1.9567718336897468,1.664495892422185,1.6301894265448977,1.5877547783095527,1.5723481901108587,1.5384681232824526,1.5069965353010706,1.4905589451642838,1.4731580611979134
13-2802315,,,,,,,,,,,,,0,0.9737446546282983,1.0037454470852216,1.0156720430462658,1.0056647512669525,1.1961182184479286,1.1999130996249443,1.1743047591009668,1.1606355009036853,1.148359188991817,1.1777013365919409,1.1605055714648502,1.2489677871173415,1.3608615112812097,1.4305546604879522,1.8010084076135722,1.9151083446660395,1.966954727799135,1.8082762421413965,1.7238667171824027,1.5144804876044924,1.4891842120039869,1.4576104671219763,1.4463408374426827,1.4208755452521358,1.3973866818292275,1.3849441201194734,1.3747245043302823
14-2802303,,,,,,,,,,,,,,0,1.0632229626185925,1.0441981738108814,1.0206896976689908,1.0157234464003937,1.0135131049161588,1.010810284796153,1.0366234662714182,1.034598614385191,1.2011174953454904,1.1781275946112435,1.1599630586825511,1.268950785227487,1.3441172766349418,1.7242602526124067,1.8425189404829903,1.898539977557568,1.7427267658275842,1.6612309840243986,1.4633987665137096,1.4400970992228797,1.411063720683971,1.4004567865408746,1.376907747946957,1.3552259123074308,1.3437291643486386,1.3358899924893226
15-2801865,,,,,,,,,,,,,,,0,1.032948627268975,1.0074358654130164,1.0052087549116087,1.0045733259879261,1.0023763623849913,1.032954441229425,1.0310799450817318,1.1362707245871515,1.1202730033672554,1.157350881681527,1.2852821164904824,1.3666095514933352,1.7880815275956792,1.9215254631642193,1.982270945789619,1.798346605404972,1.7045129513976878,1.4833665944167433,1.4576713472312852,1.4261397626019332,1.4146754700455473,1.3893371424533774,1.366433533681992,1.3539967478445014,1.3448973654718352
16-2802291,,,,,,,,,,,,,,,,0,0.9678279096455377,0.9831782395167995,0.9883645754719039,0.989475103189288,1.031812306946012,1.0295598442346274,1.0876380248891013,1.0758692855704084,1.1828578892904031,1.3371439553453952,1.4327717815077767,1.9704048941647299,2.149500805210005,2.2223528980664433,1.9494269983492207,1.8185825292852698,1.5327209682545588,1.5017245869897708,1.4637761004080254,1.4501305654657564,1.4202781073007007,1.3934568019918105,1.3787539484021505,1.3677525986395933
17-2802549,,,,,,,,,,,,,,,,,0,0.999584484761104,1.0005575872185992,0.998410683609063,1.0516260932061845,1.0455598066549028,1.113967394213389,1.0957248866628186,1.2207845693485413,1.4024669203511815,1.5122750600207044,2.1875098260970995,2.4249058296894255,2.509514729241529,2.11658431666113,1.9417180717925748,1.5831777779625504,1.546107216449886,1.5013402057804435,1.4855034620263443,1.4513931759896443,1.420459592022766,1.404086044698856,1.3903840873974682
18-2802545,,,,,,,,,,,,,,,,,,0,1.0017737263268536,0.9976720853421704,1.0012874599872494,1.0039623252824734,1.0048967698740199,1.004478974651278,1.2645032503190952,1.4823635231851988,1.609923191378899,2.4893511740230467,2.8223942078072026,2.9210256312300977,2.3282876706154942,2.0884376865004017,1.6356604028451915,1.5922001708722187,1.5401934246396134,1.5218601584020695,1.4824633247540866,1.4474676029856957,1.4292834588262664,1.4126184066046137
19-2802540,,,,,,,,,,,,,,,,,,,0,0.99350966571289,1.0010744332844084,1.0046631745449777,1.005591600211025,1.0049548565463375,1.2450794269564371,1.4903496767759434,1.6338059260724205,2.4164187203346925,2.762924125033396,2.8690671125920577,2.4028305844752067,2.1275393560861553,1.6371684609084758,1.5913370632939396,1.5373431956639672,1.5184074008244024,1.4778795951023598,1.4418566060623603,1.4235480515202248,1.406868277295822
20-2802363,,,,,,,,,,,,,,,,,,,,0,0.9972015772493728,1.0039300737980525,1.0054008623255426,1.0046807041308923,1.071360466846363,1.3168642951251646,1.4673172813668793,2.153129590225371,2.049949048759886,2.151141249360273,2.240156578623947,1.9962442600097783,1.5628823101402174,1.5227160168929483,1.4747437467731428,1.4582935288243841,1.4221012038778469,1.3906157396875434,1.3742937319396407,1.3618123441846641
21-2802488,,,,,,,,,,,,,,,,,,,,,0,1.0144139112302653,1.010252987154775,1.0075584816830956,1.0388547309258123,1.3430412201239967,1.2733482188554932,1.4773833928342004,1.4409219931577593,1.5309904922373332,1.6607329770794501,1.549250151351044,1.3327002870645457,1.3109881447830558,1.286902080713599,1.2953615658494746,1.2981032666868666,1.2767248269180087,1.275356826360687,1.2710071536539942
22-2802472,,,,,,,,,,,,,,,,,,,,,,0,1.0077049191542147,1.0053103936700205,1.0076617392000864,1.016140443918724,1.0155259048577852,1.1741164229387202,1.1592757986399382,1.2436510265039011,1.3834575874516268,1.326885754119113,1.3442848270295185,1.320375332274584,1.3011505993459413,1.309756696911501,1.3118148171810982,1.2886284790654854,1.2866237184258882,1.2811732680599806
23-2802436,,,,,,,,,,,,,,,,,,,,,,,0,1.0025498870952054,1.0076376140068362,1.0142261061380966,1.0139087386457992,1.0131646381280397,1.0077103686344453,1.0220796424957075,1.2543582530506876,1.3775539432619381,1.3428311608085428,1.3172615754918027,1.297016527232045,1.306279041579081,1.3086741319971704,1.2839762073263368,1.282450506587022,1.2770873133553657
24-2802430,,,,,,,,,,,,,,,,,,,,,,,,0,1.012422068515433,1.007388036874209,1.0091371274432857,1.009683669832101,1.0034179524766533,1.020745269467661,1.2933494456700436,1.4357961430289694,1.2420423761550656,1.2240485480943735,1.203139947971434,1.1960262782080362,1.1795561247433408,1.166694596987324,1.15834625431394,1.1636553461264496
25-2802434,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0026425989751189,1.0075062378112616,1.008859964860277,1.0009658148650686,1.0227405119963402,1.3590195366856055,1.5292835822850868,1.266953388883724,1.2454318470090255,1.2204165002051284,1.212009174161883,1.1931080011654909,1.1777369501432433,1.1689388832560232,1.173288053225121
26-2802444,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0025201069633993,1.0073751373608475,0.9965125783821341,1.0263318414068998,1.4720097444009914,1.3444139866483353,1.172019883098286,1.1576597282837253,1.1417384284727432,1.1360748276692725,1.1234216280439708,1.1138365933784071,1.1074824192016992,1.1175285852962256
