순번_정류장ID,81-2803661,82-2801697,83-2801724,84-2801915,85-2801926,86-2801922,87-2801940,88-2801950,89-2801961,90-2801987,91-2802006,92-2802016,93-2802028,94-2806611,95-2802047,96-2802054,97-2802064,98-2802092,99-2802106,100-2802113,101-2802122,102-2802720,103-2802724,104-2802732,105-2802755,106-2802776,107-2802800,108-2802815,109-2802852,110-2802888,111-2802912,112-2802949,113-2802967,114-2802963,115-2802956,116-2802984,117-2803020,118-2802390,119-2802452,120-2802470,121-2802465,122-2802473,123-2802495,124-2802517,125-2802506,126-2802489,127-2802499,128-2802369,129-2802529,130-2802539,131-2802558,132-2802569,133-2802560,134-2802555,135-2802556,136-2802566,137-2802366,138-2802349,139-2802577,140-2802581,141-2804851,142-2802597,143-2802594,144-2802591,145-2802590,146-2802593,147-2802600,148-2802601,149-2802604,150-2802348,151-2804908,152-2803767,153-2804877,154-2803768,155-2803522
81-2803661,0,0.994517812729884,0.9924488980001532,0.9973456409485838,0.9969522384968261,1.000258011838284,1.0007686588279905,1.0021293155745823,1.000391505454969,1.0013557279655483,1.0011879873863474,1.0012982564374797,1.0020219631549276,1.106715483328901,1.1386055972824585,1.1300740101260442,1.1233636732114045,1.1251778419067533,1.1157118270394055,1.1138820220999064,1.1107750452094969,1.1767482824265112,1.2191840001678647,1.2081668890420574,1.1967017544110878,1.186933473853191,1.1804227988506202,1.1750485370418429,1.1969691810832948,1.1922643725173807,1.1875213014152388,1.1824510323117683,1.176746482416406,1.1687434671933863,1.1654276695240249,1.1624705248554863,1.1825281231722786,1.176969813317077,1.1717732068448312,1.2249488944632443,1.2725280927073286,1.2924166188557047,1.286979768613688,1.2833025675135772,1.2879174250534955,1.3128217896057375,1.3042415224465478,1.3153857578094605,1.3103396026623984,1.3087195536869591,1.3266346509919795,1.4334040362888676,1.5513511785692047,1.5835403195040143,1.5709168160108629,1.630320753549218,1.6167526691417946,1.6615610943382815,1.703082048990121,1.7064737471429063,1.721628276102358,1.6488857139170456,1.6395088068410943,1.6321594291634172,1.6535134292682816,1.6631551589100377,1.6569121820249246,1.6503207686788262,1.6418049423997718,1.6331444796530195,1.6088755263186336,1.6749364228021,1.6499274450926693,1.632185584403894,1.6415117062956468
82-2801697,,0,0.9882692227061181,0.9977603177362573,0.9971437899890145,1.001087498228636,1.0015925091793199,1.003111494931765,1.0010344368921726,1.0021026906955597,1.0018648655133222,1.0019563919783485,1.0027183094150136,1.0138814409788255,1.0461339041269915,1.0435674333435758,1.041416839118649,1.0484387572053016,1.0442264196113082,1.0438904123576982,1.042683637370734,1.0416504868750924,1.0518574516349022,1.0490374726694596,1.0467176609490574,1.0441003441842531,1.080798421389696,1.0790720087783612,1.0693605054875193,1.0786909665059303,1.0769272057535038,1.0748740577824607,1.0862176204686507,1.0822975308093075,1.0812782041786804,1.0797341604299973,1.1197363895387427,1.1188306331597926,1.1521554663039002,1.212404123980467,1.2610668309814292,1.2815504266733881,1.2761744516189253,1.2725477029420473,1.2774098999442771,1.3030064500001057,1.2944737268928366,1.2919562653142151,1.2961756112320961,1.299369611341922,1.3179473829369595,1.4271016542811974,1.5478610851247365,1.5809190052132378,1.597700154589587,1.660075297017539,1.645453952998963,1.692547152332192,1.7365386844707855,1.7399133410829275,1.7551281235603848,1.6758450555334914,1.6655679757218729,1.6578139506159872,1.653128063254737,1.662894586446042,1.656508928130906,1.6498715465337945,1.6551964794852307,1.645972215212814,1.6205624687267213,1.6750491542301553,1.6493247087022809,1.631328680494119,1.6490935917086935
83-2801724,,,0,1.0016846196113844,0.9993334226900759,1.0038002391499874,1.0040268957191247,1.0055797981170038,1.0029626916738148,1.0040683084111448,1.0036571480205305,1.0036624359425954,1.0043768396819515,1.0166525446460974,1.0524068237823292,1.0491271055763371,1.0464453300515464,1.0537400207062415,1.048782996946563,1.0483158874042064,1.0468839622391928,1.0456347019662107,1.0447613015666737,1.0421113062733653,1.0401718041786387,1.0377177603558543,1.0865649861738174,1.0845225725804475,1.0754246621658798,1.0835343199939385,1.0815592498623028,1.0792787871320018,1.0911179874179882,1.0867976328957316,1.085605717853993,1.0838236617433317,1.125627712537945,1.1242358090961406,1.1589729574002898,1.2220001250321069,1.273012478486744,1.294359051933473,1.288491770499426,1.2845320269428437,1.2894553795743018,1.316097656551521,1.306840074517904,1.3039724492641398,1.3083729284935814,1.3115282735642957,1.3305246394919967,1.4446629677629268,1.571536114876837,1.6061201416218875,1.6233848890885785,1.68896048018797,1.6729243149274184,1.7224546993456002,1.7688553052211833,1.7721971629329853,1.7875459500278579,1.7016184856077288,1.6908946233275566,1.6822000331846265,1.6770794504657076,1.6870338602565893,1.680183508623974,1.6730664834897255,1.6784971203668644,1.6683939670909533,1.641421921729309,1.6977336586131884,1.6703576584943487,1.6512807820674917,1.6692881296894986
84-2801915,,,,0,0.9958542877505746,1.0060191150778277,1.0058820123132433,1.0082011160375748,1.0036983910870685,1.0053166293777622,1.0045804187539271,1.0045161422560411,1.0054114491456447,1.021957387788118,1.0704320574290844,1.0643702684768552,1.0597276281127082,1.06783601286108,1.0603338414391807,1.05942780884573,1.0572596740718698,1.055315815593028,1.053770480432502,1.050091760919877,1.0471254357217081,1.0438697999669826,1.0648356820544918,1.063442208853135,1.074439897270643,1.0734388453788617,1.0715014827282203,1.0692494737606157,1.0743218779839008,1.0703622838436297,1.0695540997156663,1.0682889195828786,1.1140406677579242,1.1134866079053136,1.1512212676571913,1.2197189047905603,1.275417058773952,1.298735575326189,1.2922390749885488,1.2878664906828348,1.2931805420877607,1.322158152638051,1.3119216054082428,1.3088469089792067,1.3134769449633572,1.316817490688072,1.3371980379503954,1.4611956470413574,1.6004239453932123,1.638133655483577,1.6570722413063141,1.7288802492915107,1.7105514295389137,1.7651881914466634,1.8166321840838804,1.81999132932546,1.8355200798537574,1.7373095122351714,1.7249053845656204,1.7153235093928765,1.7093088806954562,1.7197724825551808,1.7121878116127156,1.7041922978165884,1.709634880342507,1.6985287301214231,1.6682845904824957,1.7285152050477575,1.6982376991766046,1.6769728105640347,1.696058611222169
85-2801926,,,,,0,1.0307589153620844,1.0174305539499406,1.0185002558496534,1.008692675811694,1.01049986467357,1.0086177180282663,1.0080834082052244,1.0087642586964696,1.0301784671761045,1.0940035837277748,1.0833735740330401,1.075749568383908,1.0839590551118155,1.0731437421962335,1.0716307325523944,1.0685348028407675,1.0657154806557154,1.0634989274630067,1.0586230411546218,1.0545931534246855,1.0504466764095137,1.0559257772837136,1.054518761357992,1.0833899440988806,1.0819190071348408,1.079517456292346,1.0767723932531954,1.073446950847823,1.0691921005273468,1.0684633256896954,1.0692084163983648,1.0949617590142853,1.0960427719992698,1.1298232465634015,1.2010390106353146,1.2591128114455536,1.2836765531961674,1.2772066697494024,1.2728698102204141,1.2786439160631695,1.3090531397389595,1.2987687511322314,1.2957388375649794,1.300680513795771,1.3043659924214397,1.325977578216177,1.4551072649920336,1.6006785914055612,1.6403959543715774,1.6235053666626282,1.6898134300765157,1.6721013780461684,1.7272654594634174,1.7791494135659423,1.7865589629013852,1.803358255388791,1.706816424235145,1.6946845390047638,1.685452724076765,1.7142546973167123,1.7251098580873079,1.716911364911452,1.7085416799795519,1.6975426893503243,1.6862010330967263,1.6555712511918734,1.7337253985789,1.702147679067085,1.6801201397374392,1.6902197718095742
86-2801922,,,,,,0,1.0005799042551387,1.0092509340563949,0.9989537499904013,1.0030344725527824,1.0021431916756602,1.0023565849345355,1.0041414288591863,1.0292611971046814,1.1025490521509271,1.0893798517226343,1.0802453010870408,1.0887518754482377,1.0763915282260632,1.074630596516497,1.071142748019772,1.067972803315636,1.0654543500198639,1.0601161202736573,1.055717999796275,1.0512593353198616,1.0568256963644933,1.0557468809685906,1.085828794637028,1.0840477072190449,1.0814695295647903,1.0786665188531983,1.0750059938931185,1.0704976984134054,1.0695839769563806,1.0705190857863736,1.0971758822717568,1.0979947570186985,1.132881482513784,1.2066142878888237,1.266858968480842,1.292250166806701,1.28535409896648,1.2807325659090885,1.2865866677786901,1.3179761379048172,1.3070630901536027,1.3038172512930746,1.308848505277194,1.312518511635832,1.3345436927504706,1.4682014812923128,1.6194061379035474,1.6605665934057519,1.6425755793284853,1.7111733351040874,1.6924703419668385,1.7498076402445106,1.8038603133300335,1.8114117210790495,1.8281868150656038,1.7259596478308306,1.7132772208756957,1.7032692157707585,1.732889782749671,1.7440285532419302,1.7353915446991535,1.7265761922044802,1.714821504163971,1.703129729432426,1.6707307525857085,1.7512069303739206,1.7180329384760427,1.6948625458262492,1.7051164464449569
87-2801940,,,,,,,0,1.021310557077872,0.9978878160335407,1.0042131509498813,1.0026989237944333,1.0028801587948524,1.0049673532132497,1.0043347441543824,1.045579587510501,1.0397514012359346,1.035564023314755,1.0503953163226536,1.0422433097736377,1.0417024432755841,1.0396415177493303,1.0379928318598033,1.0373265612470268,1.0337628476675285,1.0313607907219977,1.028348407635453,1.0358509917274374,1.0354867115932636,1.067700565710099,1.0667921836322447,1.064697421052766,1.0622628870612834,1.0592541445128294,1.0554905639751508,1.0550814584113055,1.0566142097012712,1.0842408300712063,1.0863728892279827,1.122084835239729,1.1972493023352708,1.2587570358632059,1.2848141231788948,1.277932772991575,1.2733306882680946,1.2794296043956304,1.3115784277838884,1.3006377502725655,1.2974149997200648,1.3026100602379973,1.3064605840469137,1.3291289003563156,1.4655009965794896,1.6201804875953623,1.6623442046520518,1.6438791223649212,1.7142925100164075,1.6949159610286466,1.7536571399867575,1.8090930167611012,1.8168038245682656,1.8338468689579832,1.728805330197118,1.7158158878093,1.7053111634541696,1.7358051442280167,1.7470089086479956,1.7382996714868602,1.7292778979648347,1.7172470904391195,1.705049174423849,1.672330812539698,1.754051568635865,1.720299414397501,1.6966646301788924,1.7070654918349435
88-2801950,,,,,,,,0,0.971238832496392,0.9916674498566319,0.9940047559648979,0.9961175582004018,1.000345950291057,1.000502980047914,0.9993910026613783,1.000677950320499,1.001044947292218,1.001602040138994,0.999790888444053,1.0009467365359428,1.0009138016089125,1.0013744340144455,1.0031880877816597,1.0020724264110736,1.0023190163133735,1.0012337226963737,1.0153886496176252,1.0163815575786814,1.0458033855501974,1.0458506704600097,1.0444212213302515,1.0428020828661633,1.0403858798673389,1.037746699228751,1.037854195244959,1.0403398134153332,1.0685752367626142,1.0721980241254216,1.1148662629893664,1.1912261348501025,1.2537883363859068,1.2803790543192526,1.2734764583944538,1.2688672874962472,1.2751450320891984,1.3079031168041195,1.2968955476319601,1.2936725358343655,1.2989894690467025,1.302965509048375,1.326115787302338,1.4647397836332365,1.6223046108418544,1.6652871041460133,1.6465479510326895,1.7181693930161703,1.6981754421579471,1.7582312136398681,1.8148151903705216,1.822646822720512,1.8398656131462374,1.7322193212661625,1.7189625353329532,1.7083800008751622,1.7393805088062626,1.750865953671935,1.7419766507103598,1.7327714723478829,1.7203635823334948,1.7080562575489837,1.6745026829562775,1.7575367878209889,1.7230611084604313,1.6993569117129061,1.7097491938604414
89-2801961,,,,,,,,,0,1.0083986078605787,1.00273902652857,1.00305368236262,1.0062215129801726,1.0050295606311939,1.0032309715447978,1.0039909637827873,1.0039396975769723,1.0040713578222606,1.0017150309290903,1.0028933419008108,1.0027485608215474,1.0031365883615477,1.0047283595152947,1.0036236973602375,1.0037451879796275,1.0024917045709247,1.0175107155831815,1.0181203867541782,1.049030477659186,1.0487823751566798,1.047327997801483,1.0453935204729665,1.043031584045569,1.0398881983737989,1.0399198055945513,1.0423923033877762,1.0716872028755275,1.0750223286141547,1.1191753522497139,1.198226945191356,1.2631287362067982,1.290591883930165,1.2831944367779717,1.2782546530665049,1.2845928811830776,1.3183785824804901,1.3066495166699839,1.3031755881430345,1.3085729121363943,1.3125061554001662,1.33603779489416,1.479623737773721,1.6432975400708763,1.687828599496162,1.6676733688382686,1.7420749431520899,1.720763475557844,1.7830143010675208,1.8419627086991022,1.8499256201116363,1.8670173249982307,1.7528312028045268,1.7388281591251036,1.727933537543758,1.7598049873276491,1.771287678334939,1.7619197248580651,1.752223627038839,1.7392385843297484,1.7262809090320963,1.6911565756041322,1.7763592256575376,1.7402640787547337,1.7153214736645859,1.7257326235152477
90-2801987,,,,,,,,,,0,0.991794408187775,0.997071564113014,1.003487744573745,1.002841305667397,1.0010186970622847,1.0023483497555112,1.0025485295853627,1.0029465137527633,1.0006008291756374,1.0019126066125728,1.0018169177731555,1.0022878026832678,1.0040342775280118,1.0029315015006603,1.0031242492687353,1.0018644173677138,1.0175235295194485,1.0183213333137815,1.0501471736098702,1.0499896467445993,1.0482977848829056,1.0462660726650803,1.0436626439357986,1.0405202903991535,1.0406498698410651,1.0429175983307593,1.0729268237718952,1.0763192344910326,1.1214774570424706,1.2024691892293535,1.269064810220267,1.2971680377370074,1.2894218061342722,1.2842502548500023,1.2906400641423426,1.3251758383889063,1.3129382519082922,1.309167236364879,1.3147485195574975,1.318658281112659,1.3424797465197598,1.4894137456628203,1.6574833601172707,1.703306340331369,1.6822342740210374,1.758719272114492,1.7361103722037852,1.800240884341225,1.8609168204737165,1.8689742603867776,1.8859685495793799,1.766876611804631,1.7523388589844342,1.741031782043826,1.7736209913529506,1.7852007812616721,1.7754904349368648,1.7654433462558592,1.7520916929526327,1.7386696298327848,1.7020978588244982,1.7890505119075815,1.7519337329990194,1.7260740543534883,1.7366180839526486
