순번_정류장ID,1-2805268,2-2805266,3-2805265,4-2805263,5-2805261,6-2805259,7-2805256,8-2800313,9-2806263,10-2806261,11-2806259,12-2806257,13-2806255,14-2806253,15-2806251,16-2806264,17-2800492,18-2805286,19-2800486,20-2800477,21-2800474,22-2800329,23-2800365,24-2800454,25-2800461,26-2800463,27-2800466,28-2800470,29-2800353,30-2803672,31-2800309,32-2800480,33-2800491,34-2800494,35-2800496,36-2800499,37-2805303,38-2800514,39-2800516,40-2800518,41-2800522,42-2800531,43-2800540,44-2800551,45-2800557,46-2800564,47-2800577,48-2805679,49-2806902,50-2800582,51-2800579,52-2800570,53-2800558,54-2800552,55-2800338,56-2800537,57-2800533,58-2800529,59-2800527,60-2800997,61-2800991,62-2800982,63-2800985,64-2800838,65-2801042,66-2801072,67-2801106,68-2801094,69-2801078,70-2801057,71-2801035,72-2801027,73-2800998,74-2800971,75-2800941,76-2800927,77-2800925,78-2800923,79-2800874,80-2805941,81-2800821,82-2800876,83-2800846,84-2807334,85-2804991,86-2800830,87-2800828,88-2803432,89-2803438,90-2803453,91-2805172,92-2803433,93-2805763
1-2805268,0,0.9910507332993794,0.9951938969464071,0.9992288780553293,1.2333521225695834,1.8203324042122357,3.779029392900438,2.7408712147387972,3.3636139011616555,3.821765059020262,4.209401888692257,2.966187940250554,2.461599945410079,2.3385351880274152,2.151001197271411,2.062870044096675,1.9102238883816913,1.851099995082271,1.7825198643700642,1.7047476353508288,1.7471449693241672,1.7014156077297795,1.6687406717357933,1.6435768867157952,1.5852607861330288,1.5767096491323103,1.6122410882576308,1.636438643431937,1.7659740937703667,1.751615237423427,1.704222740074712,1.6852593060333942,1.6725113023102836,1.6401560891654394,1.6077467927359117,1.5862296906441449,1.5235073715147238,1.486673567435869,1.4803883373646949,1.473897737875007,1.4650830171063756,1.4495220783426972,1.4309973002112457,1.4213419054888494,1.4129587873393181,1.4032202965336777,1.3937785688850335,1.38780463071642,1.3944042358637987,1.4263070861424723,1.4488702802851956,1.4677809580959582,1.5153409041405907,1.5748370615891107,1.6354413195512083,1.6664095912020982,1.6400680626089834,1.6185272956429428,1.6031983281716515,1.5385702808357173,1.5243924172744743,1.5142832154619295,1.503666044148763,1.4883752251003621,1.4815412329190485,1.471447795208093,1.4578833064336534,1.4480160807564022,1.4509835929453776,1.4508100480605057,1.4880978302507415,1.5118953575462883,1.574957065622616,1.6304698671125297,1.6457383905678864,1.6315726537781896,1.6225901580721935,1.7004752485541466,1.722108278543751,1.71379450335958,1.7021514320268658,1.6882452401264632,1.679924272085801,1.6778159819951004,1.6593054705373693,1.7293635798552172,1.7775570484420673,1.7864251200448469,1.7706397742098297,1.7272708858685766,1.7132301604526776,1.6923642692877154,1.7852929504707522
2-2805266,,0,0.9976554378814544,1.001842454627894,0.9994890590299886,1.1954461234214986,2.2219654970403093,2.069958560653861,2.4944727732391776,2.7887419257443633,3.0870751819206874,2.3955939759626,2.0767535407570348,1.995918584167971,1.868727272387719,1.8078215594623352,1.7008017394279333,1.658258485855125,1.6085726845118855,1.5511788864297982,1.5915463952436657,1.557476549567776,1.532802782760949,1.5134800826953594,1.4692032661225627,1.4638243978374161,1.4991135823573454,1.523354642954494,1.6441776535760468,1.6327963468488298,1.5943046172527642,1.5789424460441532,1.5697650050987064,1.5433138119577117,1.5169692270324024,1.4992423556739598,1.4476103181466908,1.4168698388268393,1.4117269963865697,1.406537837963736,1.3991186613657567,1.3861042879279655,1.3705952278913776,1.362494695551041,1.3554994669475169,1.3472865626977464,1.339391569475093,1.3343806968481757,1.3407913787939973,1.3712592080168595,1.39373482407554,1.412345568690517,1.4577890503453215,1.514558721860287,1.5723193154734967,1.6023662996842567,1.5790785675065113,1.5600180189571922,1.546432148155898,1.489077160094841,1.4764781155935924,1.467445648611417,1.457956816059817,1.4443029349614207,1.438490451854255,1.4294743129352105,1.4172352782512383,1.4084736997399405,1.4117831770311875,1.4120393309212727,1.4482892217887813,1.4713261861096876,1.53234191314651,1.58610281862905,1.6016652438029986,1.5886031140204033,1.5804576193793456,1.6558522151262702,1.6770678412130458,1.6693314244050386,1.6585938433767609,1.6457595185710345,1.6381667720236603,1.6365164436418644,1.6193096344785396,1.690416291339596,1.7374083468401502,1.7484357927215077,1.7335277380851004,1.6927864185401,1.6795757596793621,1.6600566894362518,1.750998183595594
3-2805265,,,0,1.0067163785708466,1.0005984918006623,1.0000159227614938,1.080297485142531,1.3573528785917544,1.6163346477438483,1.7838591430803437,1.9986704695041686,1.7329025426539455,1.5910771348939572,1.5539800784875257,1.4922312097531456,1.462061281280514,1.4084693449077805,1.3863268165355012,1.359992679283828,1.3288559608223762,1.3655185946622566,1.3465420597592486,1.3323658037816153,1.3207859326825857,1.2953417517383434,1.294233949312873,1.328940850121925,1.3530657428265174,1.4613356788790615,1.454023638143128,1.4278148845878011,1.4177889082479074,1.413232700317039,1.3950856449963356,1.3773346680879865,1.3650204137049173,1.3293901082901571,1.307559634361246,1.304093996914893,1.3008176244601044,1.29545971302556,1.2862159891524112,1.275191719912178,1.2694126159810482,1.2644936471951127,1.2585696206967718,1.2530001731864204,1.2494402732453236,1.2555550912031133,1.2838133583739335,1.3061119574443631,1.3242358529649823,1.3664204802354982,1.419001778120892,1.472402882699927,1.5010124126265514,1.4823208398689962,1.467006784159759,1.4560614818332678,1.4097956567175658,1.3996193338502243,1.3922429938879395,1.384492741699486,1.3733655938623595,1.3691299098195395,1.3617832508831167,1.3517345270180336,1.3444871143192707,1.3483229762945028,1.3492457851850612,1.383922290186271,1.4057574781042161,1.4636255196120436,1.5143902615437863,1.5303884018770273,1.5192794012574886,1.5122107938684781,1.5839044342760153,1.6042074677000486,1.5974386587663432,1.5882016625268784,1.5769566802638915,1.57035878423761,1.5694236677153166,1.5544849926613453,1.6273797627336313,1.6720170778278667,1.6864257291576097,1.6731189017018153,1.6365398951446084,1.6245788149566296,1.607089367607927,1.695014528496153
4-2805263,,,,0,0.9939611831193881,0.9957159288715024,0.9945966945809296,1.2368624141766713,1.504757901066839,1.6790461431694037,1.9107128675080398,1.6544281243089696,1.5217328141559197,1.4877741694679933,1.431247987788772,1.4038977548141902,1.3558872073264596,1.335705763101527,1.3122142175596603,1.2844901728276417,1.3223275444773783,1.3053044059555519,1.2925145918387084,1.2819527438153298,1.259226530293601,1.2589232815354015,1.2946917859894564,1.3195938237399107,1.4291622786328013,1.4222996402386767,1.3973839107183559,1.3881749743031373,1.38412177725208,1.3669519991093582,1.3502955804296322,1.3386700132743878,1.30523860176974,1.2846836369210253,1.281481024160279,1.278522162016126,1.273469992826683,1.264808898212701,1.2544957281587596,1.2490911307313024,1.2445168756709948,1.23896832760684,1.2336998297064263,1.2304831333971984,1.2365531191785122,1.264956924377191,1.2876273838365488,1.3059798902013908,1.3482801898975936,1.4010200418615075,1.4546064379366561,1.483483717119527,1.4652439777452342,1.450316892101652,1.4396529287881576,1.3946671550874328,1.3847926026498063,1.3776213611234234,1.3700907942926321,1.3592934691490945,1.3553059796986344,1.3481083529207702,1.338436903683462,1.3314130663680817,1.3354037751609389,1.3364713507830743,1.37126250755882,1.3931442879686768,1.4511510828295662,1.5020539787835372,1.518325453705261,1.5073067838417853,1.500433081759073,1.5721947237692546,1.5928817389703491,1.5862832718305206,1.576978763616739,1.5658671891721831,1.5593512817607564,1.5584373300961403,1.5438436132249096,1.6176246248621833,1.6625586528348448,1.677509679565279,1.6643685711391536,1.6280551629726163,1.6161150058396507,1.5988473920773791,1.6870871879605247
5-2805261,,,,,0,0.9982570264796453,0.994954234199308,1.296353031585073,1.6439875234007097,1.880238862669234,2.1814513528701855,1.7835997362324043,1.6012063789567552,1.5563489547947746,1.4841798709543428,1.4499910118074157,1.3910119899841689,1.3668648870679376,1.3390186057489568,1.3066516727289528,1.3473681080411348,1.327631610835721,1.3129772597287133,1.3010195625410803,1.2752399181642604,1.2745307224723996,1.3122009737749143,1.3383699277495047,1.454923240697341,1.4471614516062832,1.4192180439428257,1.4089097402641306,1.4042744517659578,1.3853299741993608,1.366954795298709,1.3542395359691428,1.3178062830862896,1.295636881408681,1.2921628144898647,1.288920377984404,1.2835074153272188,1.2742184308034767,1.2631812987070612,1.2574101792473447,1.252521530363755,1.2466182873965657,1.241104462371146,1.237581728565898,1.2439360858281285,1.2732043350487008,1.2964959750714915,1.3153810551851581,1.3591537143803982,1.4138012911963278,1.4694040988496577,1.499252617346613,1.4798446287927198,1.4639908455005293,1.4526851266901644,1.4051408107708498,1.3947374008772078,1.3872024017999218,1.3792961593538466,1.367966991863687,1.3637087842037565,1.3562500147943353,1.3460568986849277,1.3387936086071024,1.342797239310212,1.3437328271313842,1.3792759253820635,1.4017056738408675,1.4612915001216888,1.5135629488788227,1.530055719230395,1.5186250093641387,1.5113592218798837,1.5851788988293598,1.6061896555000645,1.5991954854784438,1.589659654923932,1.5779762991839157,1.571350319466297,1.5702942353336808,1.5549239248540707,1.6295190589441058,1.675447863855824,1.6900181877922253,1.676317554587124,1.638720897150935,1.6263790829952207,1.6085216548556882,1.6984429074123388
6-2805259,,,,,,0,0.9928418193769278,1.3570312541905842,1.7937116591192377,2.10460183330205,2.4845601325456204,1.9062257346825413,1.671180091823802,1.615543993866892,1.5285019745514465,1.4880189205128667,1.4192240474602138,1.391984572423409,1.3603777094678489,1.324076914106328,1.3667743171469782,1.3447925182289908,1.3286128787074012,1.3155247115255764,1.2872886378251605,1.286245140726973,1.3253518565914042,1.3524739940069328,1.4743854793238813,1.4659054291576925,1.4359281663326386,1.4245357358186723,1.4192920457488492,1.3989639772178946,1.3792551240831912,1.3657002144094132,1.3269709893004829,1.3035804787674359,1.299901541856705,1.2964447662092626,1.290760976737935,1.2810015576816915,1.2694239347332128,1.2633799531373846,1.2582574794076806,1.252091335786163,1.2463255224296867,1.2426467659123017,1.2491396518421511,1.2791066426813167,1.3028479755180873,1.322119418335969,1.3669673662160589,1.4230110108466503,1.480092634582245,1.5106506180693515,1.4903727463828922,1.4738309912501264,1.462050040337593,1.4126199242178175,1.401828670569908,1.3940274576610885,1.3858465679858156,1.3741292595824037,1.3697571902619525,1.3618855719724068,1.3514520483309518,1.343885124554396,1.3479739140719138,1.3488657774732102,1.3850805318885844,1.4079074951656891,1.4684938172566393,1.5217513336163198,1.5383998184056378,1.5266083575434533,1.519118654623841,1.5941059189149902,1.6154734918393632,1.6084453773599938,1.5985228188523837,1.5867555394466162,1.5797518171331542,1.5785067565040003,1.5627791588584126,1.637943801716337,1.6847308751902417,1.6988716060071485,1.6848226461148386,1.646225392168884,1.6336671392058502,1.6153845828191198,1.7065067341129314
7-2805256,,,,,,,0,1.5253294950717484,2.246086507063978,2.83429484940658,3.47567611845846,2.1995227349726014,1.820575999095284,1.7385091031050501,1.6169515436278687,1.5625024624359949,1.4727201356737813,1.4380390356237154,1.398945960608963,1.3550016502557896,1.4020455924377373,1.3757118431269073,1.3566157747401748,1.3413913222128033,1.3085460369259516,1.3068541014549706,1.3484279424778203,1.3771782449728829,1.5085038479649955,1.4986939063197247,1.464625891289796,1.4518434918625913,1.4452538695280321,1.4224339586743977,1.4003346020460063,1.3852866535284973,1.3425054352666412,1.3169856313734183,1.3129497131655654,1.3091183688573753,1.3029661177451917,1.2923939920471545,1.2798857993886243,1.273373336627913,1.2678495856327332,1.2612340602031884,1.2550374305792016,1.2510926160208058,1.2578140222506118,1.2889406526413452,1.3134178422445038,1.3333242052598717,1.3799591411217138,1.4383279746766746,1.4978783355965957,1.5296131394645587,1.5078517909857319,1.4901402834653596,1.4775533616252867,1.4249395708084795,1.4134968331678877,1.405249414316155,1.3966086377694775,1.3842423805921438,1.3794533275636771,1.3712516016319725,1.3602843357868195,1.3523379862486924,1.3563601132085004,1.357255153876955,1.3945194891353632,1.417910798796394,1.480261105656057,1.5350383448489737,1.5520260949088966,1.5396353932451305,1.531774090584414,1.6091607164411927,1.6310202428210272,1.6234332177894657,1.61301944502214,1.6007714736605227,1.5932499861500908,1.59200964883726,1.575551744042453,1.651691674018752,1.6996530718708032,1.7132879753800798,1.6986648711144634,1.6585396854842358,1.6455805097999945,1.6264565831569047,1.7195170804618083
8-2800313,,,,,,,,0,0.9774107735880875,1.010154495080159,0.9965403018945436,0.9996862438292922,0.9971468595553994,0.9997446912477875,0.9988764857218663,0.9992407968830989,1.0023497372975254,1.0016393530649943,1.0016420748283286,1.0010357203708897,1.046273681184482,1.0443026563399695,1.0419834747560088,1.0389934903936089,1.151867792041989,1.2340313695271097,1.2827592554777951,1.3164656279693834,1.465320910870853,1.454874562497292,1.4194649374771307,1.4066010162822686,1.400935924299683,1.3779115291587274,1.3561122079268129,1.3412609498593924,1.2999853807872408,1.2754293844688762,1.271865401317839,1.2683576148262745,1.262517279979046,1.2526312043367158,1.2410227328397718,1.2350053123887226,1.2299700506917854,1.223979584664869,1.2182587688422561,1.2147919504978004,1.2219288628031164,1.254506407777596,1.281029769463855,1.302347547189393,1.351387488772796,1.4130795117553747,1.4763716497180774,1.5103211242766774,1.4878968056658977,1.4697492596006365,1.4567784255067344,1.4037232796610668,1.3922698657683252,1.3840108492659087,1.3752837681171401,1.3629857803410133,1.35852505673839,1.3504058178006804,1.3395602385069325,1.331727537366195,1.3361547678777406,1.3373298286121946,1.3760522596276847,1.4001657544926376,1.4650834932818488,1.5223639785647902,1.5400448076773872,1.5273611933173552,1.519511716410392,1.6001148527881641,1.622876962203747,1.6153425144590152,1.6043937162598785,1.5917756712181073,1.5842238846200207,1.582843938663702,1.5659489651511573,1.6457089179684499,1.6955265005331814,1.7098514718943514,1.6948347573993143,1.6535160791087677,1.6401331225928744,1.6206163033743017,1.7168144377673134
9-2806263,,,,,,,,,0,1.0822946046765536,1.0034027352756638,1.0034639720719891,0.9992582996774113,1.0020039293521803,1.000646774083775,1.0008873565152854,1.003997808059312,1.0031053017424905,1.0029730603892486,1.0024123345100726,1.0504780948389414,1.048089466175143,1.0454371524505088,1.0421396965143004,1.0667585327516373,1.1433701108697114,1.1919784193932612,1.2257948259661018,1.367211140086756,1.3594505277741682,1.3320994250881875,1.322321804924609,1.3195439822861916,1.3015539510324947,1.284868057163739,1.2731777097778407,1.240876470782206,1.221410378197196,1.2186247193150683,1.2163087851969403,1.2115850250653668,1.2037319457142572,1.1945206705156475,1.1897349638734034,1.1857976822725864,1.1808973287438724,1.176507197982474,1.1736905396966821,1.1806958287677556,1.2123268529453628,1.2387389604496108,1.2598742373991711,1.3074755793653967,1.3671575493282666,1.4282044222010408,1.461505239759845,1.441478268887806,1.4252694236656815,1.4137808073939435,1.3662316586209442,1.355993262937369,1.3485605443055348,1.3407944283497055,1.3297454000428586,1.3259804385647964,1.3186865112782136,1.308993692241628,1.301859107844362,1.3067190272952764,1.3080737561376146,1.3459904116680552,1.3698225869165623,1.4331251875932216,1.489098179491432,1.507243941110081,1.4954546569905471,1.4879786489011504,1.5669022745537582,1.5894191709380239,1.5822878997033796,1.5722125330212628,1.5601994088672289,1.5531222181584012,1.5521889405050917,1.5363244996042382,1.617118840731315,1.666077336268302,1.6819905262722816,1.6676715113561438,1.6282675890985956,1.6156372972431141,1.5969712926415147,1.6917447652471584
10-2806261,,,,,,,,,,0,0.9765637493873971,0.9935817978570505,0.9925791891629815,0.9962963621770772,0.9958883305031084,0.9966037314266564,1.0006107218752245,0.9999443127420619,1.0001089687585474,0.9996174951284532,1.0494621624894056,1.04707573324403,1.0444023334289845,1.0410578337091654,1.037729117677401,1.0888306072007656,1.1370298798456906,1.1706784728702466,1.3068290305192911,1.3009232204563435,1.2780748517942888,1.2705252369963413,1.2692552042422602,1.2543380413503777,1.240769771957452,1.2310160819705507,1.2043147692685126,1.1880161112337233,1.1857924613193074,1.1841141512365065,1.179954098495028,1.173473154954129,1.1657350534301367,1.1617068313086916,1.1584437801072425,1.1542843434922092,1.1506430957009173,1.1482921295297686,1.1551974155320754,1.1860964850756428,1.2123276159870353,1.233395859986772,1.2799097160619155,1.3380635080735948,1.3977530360595636,1.4304239594630566,1.41206683278696,1.39698059284911,1.3863656879537238,1.3425321260808376,1.3329741018329688,1.3261650188704717,1.3189514788977847,1.308702000362813,1.3054330987324492,1.298665700474873,1.2895752798288187,1.2829416117136219,1.2878072590947032,1.2895255575820797,1.3269184286306128,1.3503691858602918,1.412729672162141,1.4677739299005412,1.485962242960466,1.4748555153201721,1.4676599151923553,1.5453699565117378,1.567914269779597,1.5609229646706964,1.5512958227377804,1.5399028206160763,1.5330486912164987,1.5323419288157418,1.5171606214324473,1.5984016376335237,1.646668044184593,1.663645577561395,1.6498003691216359,1.6117680811412236,1.599397269731473,1.581430525320492,1.675327558083385
