순번_정류장ID,29-2802708,30-2802731,31-2802755,32-2802776,33-2802813,34-2802854,35-2802865,36-2802876,37-2802888,38-2802912,39-2802949,40-2802978,41-2803006,42-2803002,43-2804818,44-2802956,45-2802984,46-2803578,47-2802646,48-2803032,49-2803031,50-2803025,51-2803023,52-2803016,53-2802995,54-2802957,55-2802933,56-2802911,57-2802916
29-2802708,0,1.0086039183449789,0.9983218386755335,0.9936609539741503,0.9954023816143269,1.0011087315527494,1.0026551457229416,1.0034080946109312,1.1233815325068777,1.1118557502944741,1.1010407468721026,1.0948927192315925,1.0870850959293754,1.0776433640070908,1.1909824025061473,1.201750674159509,1.190596825758599,1.2462093404921062,1.2269245460339864,1.2140604158036121,1.2053674155196366,1.199925949223193,1.1946700393871343,1.2606691930664575,1.3471658279708913,1.4621680820599594,1.5487301685543935,1.634578173489253,1.8686183955658497
30-2802731,,0,0.9838639454733898,0.9854972882264269,0.9902848435284084,0.9993092500626607,1.0014569898259063,1.0025555485617172,1.1427253327594735,1.1278612474461254,1.1134848047783077,1.105711773806158,1.0955030438297972,1.0844521166332435,1.209499840654394,1.2199983069745144,1.2059680297674797,1.266075662959399,1.2436900239619213,1.2286929899950745,1.2187056993155594,1.2124946357648319,1.2068808912042357,1.2713831048763524,1.370411593103529,1.494924339030169,1.5892070461966714,1.6831981461996075,1.9418380696610642
31-2802755,,,0,0.9817282627232197,0.9899284277441252,1.000901354725063,1.003105997637692,1.0040027722452083,1.0587185437224844,1.0526333896675966,1.0464532186299138,1.0428358198974639,1.0416910809708837,1.0348462320370417,1.1617325723774115,1.1749944708592532,1.1655838161138414,1.227636437561134,1.2081406113237805,1.1952749022241411,1.1865632224029716,1.1812795323027476,1.1761743915813427,1.2408765478287054,1.3398565515958283,1.464496024549139,1.558978891576545,1.6532598967922385,1.9132287540473987
32-2802776,,,,0,0.997119313422119,1.010136431652143,1.010776770150934,1.0098781171943627,1.0065128203138811,1.006105426965393,1.004826078534466,1.0040726455802147,1.0090854870252421,1.0045530631739388,1.1422769552858325,1.157777762547924,1.1496655003202065,1.2165858128026485,1.1968014765172827,1.1838567084598224,1.1752313668618422,1.1700252526856847,1.1648590455707761,1.2329585506939638,1.3373919748258327,1.4696406042213663,1.570444043509455,1.6715170556283936,1.9527159354101773
33-2802813,,,,,0,1.0259937365117628,1.0202293198658576,1.0153635648542945,1.0098017429144996,1.0087414692139258,1.0067428262771922,1.0056356430887474,1.0112613172721974,1.005764100228203,1.1662810035345779,1.1825566728005827,1.170107388316151,1.2451233836660551,1.2201809680537317,1.2042048566478512,1.1935300792059558,1.187143964610368,1.1811104695063237,1.2563402250573323,1.3728835206945884,1.5219828916744156,1.6368347438060544,1.7530679253981432,2.08204323889094
34-2802854,,,,,,0,1.0126427014951966,1.0081336903553009,1.0022184554515263,1.0024395859966442,1.0011336392423444,1.0004397690123565,1.0082159672639632,1.002237148152494,1.1878300206774468,1.2047981379346768,1.1875376543688396,1.2709137116772953,1.2404863336954952,1.2213996817847463,1.2086712051581452,1.2011236353455406,1.1942444991557921,1.2764537268031027,1.4050237728452182,1.5711864252345271,1.7005353719184952,1.832669790066785,2.213310014613773
35-2802865,,,,,,,0,1.00494645774094,0.9976190404203792,0.9992020117132505,0.9983482080295998,0.9979072359591458,1.0075348880327752,1.0008545148613655,1.2115590599417103,1.2285731121277585,1.205658000952786,1.2966968731594095,1.260506777118862,1.2382341881253418,1.22341830276446,1.2147018887745513,1.2070011227693533,1.2954897135009453,1.435071836882695,1.6171154495238325,1.7601836383822407,1.9075871196102823,2.3392463245203285
36-2802876,,,,,,,,0,0.9854193350894577,0.9945162538394118,0.994908784491219,0.9949795023185077,1.0082550258301988,0.9999063556477918,1.2605833359651113,1.276065964032981,1.2401616289697424,1.3447199661890457,1.2968168332133931,1.2683020096715756,1.2494614139283495,1.238526254682348,1.2293157084518185,1.3285490852617552,1.4873768362369995,1.6977759057035806,1.8658763493408494,2.0416855414288455,2.5719486537759484
37-2802888,,,,,,,,,0,1.003255714921704,0.9992341105488877,0.9981630423989676,1.0128374685934727,1.0022487573856567,1.306332918357876,1.3185759378457387,1.2572538345897828,1.3841529938695654,1.3258796595642304,1.292046211013979,1.269830971306729,1.25706349438133,1.2466489017741136,1.3025281825524124,1.465082346433178,1.6815771467387082,1.8554600631974116,2.0382017634006604,2.5949465979038435
38-2802912,,,,,,,,,,0,0.995603704350865,0.9954614438358809,1.0153664749476086,1.0020450282160636,1.3697267979921406,1.3751736281207028,1.291458766576182,1.4332544348578555,1.3605779819760555,1.3196804751087976,1.293095433082784,1.277999606583845,1.2660833138593897,1.2508961953493087,1.2850255269964335,1.4700819227198936,1.6169254011841312,1.7695586329002952,2.2249996019805454
