순번_정류장ID,85-2800086,86-2800083,87-2800082,88-2800084,89-2800080,90-2800088,91-2800093,92-2800095,93-2800061,94-2800096,95-2802014,96-2807182,97-2801997,98-2802002,99-2802005,100-2802034,101-2802061,102-2802077,103-2802085,104-2802096,105-2802083,106-2802070,107-2802055,108-2802058,109-2802082,110-2802086,111-2802074,112-2802047,113-2802054,114-2802098,115-2802129,116-2802158,117-2802168,118-2802175,119-2801848,120-2802181,121-2802178,122-2802797,123-2802795,124-2802778,125-2802792,126-2802800,127-2802815,128-2802826,129-2802803,130-2802774,131-2802754,132-2802726,133-2802725,134-2802735,135-2802761,136-2802762,137-2803139,138-2803138,139-2803231,140-2803226,141-2803127,142-2805712,143-2803122,144-2803104,145-2803094,146-2803079,147-2803068,148-2807615,149-2803044,150-2803041,151-2803066,152-2803064,153-2802652,154-2803058,155-2800805,156-2800798,157-2800786,158-2800754,159-2800716,160-2805583,161-2800690,162-2800677,163-2800668,164-2800335,165-2800638,166-2800635,167-2800639,168-2800327,169-2805935
85-2800086,0,0.9731087041011172,1.0110638431409469,1.0226486754167334,1.0153578593050623,1.0132432844823682,1.008365399696401,1.0883260387276716,1.1471434943541052,1.1159586773430694,1.0953192059688783,1.08203747271615,1.0721380370690474,1.066440897473668,1.0675364180104792,1.0618681873678837,1.0554749920087174,1.0559495505943752,1.0535346949231972,1.051643056474374,1.050639856442865,1.0560465806909671,1.0543864622967531,1.0535588041621249,1.0498525656433924,1.0492722387831313,1.0821271434219242,1.146702244237096,1.1403980153340625,1.1308783633627821,1.1500350806678161,1.2007993687738112,1.195300598293111,1.1964456644867385,1.18976300139495,1.186469780696458,1.1798492307848707,1.1763950074384197,1.2115376238185072,1.27712739051418,1.2644024438800976,1.2565359956753355,1.2502265415168246,1.2395912666996383,1.2400537270055711,1.3079693051653278,1.3450640435444625,1.3445343222873987,1.3322345569098675,1.3219309652247517,1.305945871166244,1.2985912973920086,1.2917460067829685,1.283181638872163,1.2774697079682478,1.2716181162278697,1.2676309077304553,1.29191764169098,1.306541505675142,1.3066521914158944,1.3373195851789945,1.3655622036326251,1.389792084666076,1.4280945192719046,1.4772236890580106,1.4904671420535593,1.516012008803286,1.568794844426548,1.6469476334724502,1.7108459475262572,1.74444613393678,1.7327272170124848,1.713071852593057,1.6986430709422822,1.7541647801617912,1.7450070150949148,1.736740496856304,1.7179361336776167,1.7007910058993636,1.685805461180377,1.6775185269360327,1.6694587828229654,1.6563860852120809,1.6495281636493553,1.6350490517854717
86-2800083,,0,1.0635527471911164,1.0561826284292015,1.0346426593566957,1.0218372180704138,1.0139570487196792,1.1054319318859755,1.1717358736914292,1.1315154577820015,1.1058931001096854,1.090168347144466,1.078503998402768,1.07190570693186,1.0728477715010896,1.0663065522759314,1.0593308641936243,1.0596623349674081,1.0570379137849304,1.054952463606796,1.053811417413621,1.059414191721443,1.0575993031545083,1.0566639291401523,1.0526533252670718,1.0520205603120416,1.0860379150010615,1.1530683762177374,1.146245996944168,1.1359908402363754,1.1556656758848527,1.2080274495831593,1.2021226456698797,1.2031057016743347,1.196046336799413,1.192476470834491,1.185452123143398,1.1817929650142422,1.2179655455739682,1.2854761671637305,1.2719210601565734,1.2636854754331395,1.2570160600468012,1.2459161067865985,1.24622466980314,1.316055817744946,1.3539899050151416,1.3532553553905329,1.340279743171838,1.3294955430607354,1.3125140014619758,1.3048511000323244,1.2980641352150661,1.2893194091426285,1.2830532449508296,1.2768876011962107,1.272761690481468,1.2973913667044925,1.3125851816637917,1.31256059032644,1.343851367357594,1.372565986322347,1.3972926278494813,1.4364181768394158,1.486635203905708,1.5001234766716138,1.5262510543980812,1.5802628298418087,1.660296867202201,1.7258235737677696,1.7598652615240389,1.7479003310893027,1.727326940979712,1.712599126204751,1.7689373718907253,1.7596539829427686,1.7510588896992672,1.7316336225946716,1.713437476539551,1.69811646353698,1.6895362302328705,1.6811814966299112,1.6676705644333747,1.6606341560438127,1.6457595507312521
87-2800082,,,0,1.0491116438509622,1.0203967910399647,1.0141938765200387,1.0075317354356073,1.1104680705635823,1.1840475101328707,1.1373250760981648,1.1087189996927456,1.091686960064939,1.0792326270221009,1.0722750036831883,1.0732416464484178,1.066409674482801,1.059182766807817,1.059531863881548,1.056826030702181,1.0546821637606434,1.0535144844123607,1.0592888538278078,1.0574241156475495,1.0564660022207835,1.052357762631871,1.0517115745524166,1.0866365716021078,1.155506692394305,1.148390377901579,1.137728815646301,1.1578352320546206,1.2114216787562948,1.2052690705976166,1.2061813279205456,1.1988844222976986,1.1951555670547247,1.1878886253898575,1.1841076362837852,1.2210355004595517,1.2899721825110582,1.2760592332975988,1.2675139350302151,1.2605052620931205,1.2491006467638874,1.2494293989913055,1.320375632072411,1.3591187817222017,1.3581373991449572,1.3446768407672391,1.333971952042725,1.316126063849794,1.3083499145138242,1.3012110188488666,1.2920897846404236,1.2860042157259888,1.279686844683983,1.2755477486328792,1.3004148065174936,1.3157266105209964,1.31567006817782,1.347488305514965,1.3766898719717067,1.401607519995079,1.441416763470086,1.4924248732831262,1.5060962065021852,1.532648486127569,1.5875574341726866,1.6691962843024009,1.7356908580662942,1.7702388741712487,1.7580500902725829,1.7368947915286264,1.7215389885251537,1.778794129642769,1.769377781666475,1.7605476509923357,1.7404973813986813,1.7218428766358231,1.7062438895132348,1.6974542594491389,1.6888898206958323,1.6751614753361133,1.6678418177571224,1.6524477808883882
88-2800084,,,,0,0.9900435299523018,1.0059455952104985,1.0010347379305662,1.1192686082436791,1.202222282577534,1.145959410540943,1.113178884548975,1.0943809768735202,1.0808462169048942,1.0733945311848447,1.0743580658663925,1.0671140792638876,1.0595647670577788,1.0599090637321111,1.0570967384620806,1.0548707979923002,1.0536589033589727,1.0596204055207106,1.0576873172095864,1.056693032108848,1.0524522023169411,1.0517861842618015,1.087708630042726,1.1586179930007812,1.1511503868714716,1.1400034874176916,1.1605735741904029,1.2154989720069587,1.2090569008235088,1.2098766889859922,1.2023069435225542,1.1983909434429785,1.1908434921243731,1.1869215461831353,1.2246762178825013,1.2951716982415147,1.2806059402709127,1.2717176663526046,1.2646668072860308,1.252810729331132,1.252944233075776,1.325540038949496,1.3650504664714624,1.363557000306631,1.3498793620197644,1.3386233998542167,1.32052061501726,1.3124210106480712,1.3049877494039175,1.2958752291445255,1.2892909561564587,1.2827266031750455,1.2784910276994408,1.303930073596262,1.3194530783491492,1.3192776330619123,1.3514987005813193,1.3811330614583155,1.4066113691235371,1.4468880605336822,1.4988439915819305,1.51271157387788,1.5397234629769185,1.5956043744103527,1.678626012537748,1.746652309467531,1.7816211630745302,1.7689326631051803,1.747146662072762,1.731227034757544,1.7898235397052227,1.7796678990195478,1.7709291513509808,1.750089125304456,1.7311482132446265,1.7147214890258138,1.7057101359997209,1.69741859539854,1.682866513531091,1.6758178368348324,1.6596807021481947
89-2800080,,,,,0,1.0050419325012812,0.9996560934508729,0.9975991490259236,1.0062307722263328,1.0036553468111544,1.0043775176375866,1.0024306534728935,1.0029854023635603,1.0031293142731053,1.0070162031384087,1.0078261066937704,1.0044078934317036,1.0072173877180681,1.006007899982799,1.0055664143398644,1.0058841837187225,1.0121172382534258,1.011527109977388,1.011686981007345,1.0100612506601836,1.009899146282574,1.0455584334316967,1.114435988349712,1.1092221914639258,1.1013942614848176,1.1224170039245396,1.1767389047286356,1.171691753542739,1.1736121484161057,1.1671595032547253,1.1643491060809696,1.1581938200643354,1.1549929167017057,1.1918370917703431,1.260926699827118,1.2481387757861921,1.2406848290452182,1.2344061636509664,1.2237371161078758,1.224547907504299,1.295435707153226,1.3344582361909598,1.3343928816147008,1.3218699765886337,1.3116311196179287,1.2949660061596087,1.2878467139181506,1.2813229965538,1.2727213467061684,1.2665295678014463,1.2607194452078014,1.2568040057362293,1.281859751619456,1.297502643948314,1.2975523203399468,1.329253591679737,1.3585080585191545,1.3835190136494824,1.4232078057600541,1.4742819641555271,1.4880530729863017,1.5145995165066657,1.5695202443436385,1.6512257448053043,1.7175306642687262,1.7524604411792661,1.7405919397360758,1.71966633193048,1.7045519845747419,1.7625344731725627,1.7531334936324194,1.7443266540864046,1.7244786673099628,1.70652350598623,1.6909587394527947,1.6823051643112488,1.6739881507506824,1.6601777056192653,1.6532130028915768,1.6377977425207042
90-2800088,,,,,,0,0.991442123197036,0.9907239501670616,0.9985006547652148,0.997688641874535,1.000403137634988,0.9987116777333767,1.0000492666032677,1.0005498843269227,1.0052364801465568,1.0064080724657753,1.0026255121371113,1.005894354490633,1.0045751254937592,1.004134708286851,1.0045389324822875,1.0115121177486246,1.0108736009936747,1.0110689755929585,1.009314035571003,1.0091450057492006,1.0484197463558202,1.1245230268079667,1.1182580416288421,1.1089786753814395,1.1317058507330133,1.1907884347458706,1.1847955706439042,1.1864523015915063,1.1790925070824643,1.1756774856681098,1.1685993900887344,1.1649352162625284,1.2046528246096777,1.2791845483852258,1.2646822784722394,1.2559298672391506,1.2487550620101917,1.2370235756273198,1.2375067015891206,1.3132687461688894,1.3548288982147831,1.3539882915974666,1.339662333949326,1.328326875712307,1.310095011534547,1.3021055823367913,1.2947063113569135,1.2853538721187918,1.278742066759978,1.2723493184458543,1.2679291720616006,1.2942118721812255,1.310253381936553,1.3104169544568118,1.3437759958747728,1.3745196310318144,1.4009529336683297,1.4428611461453933,1.49678565559192,1.5112287682160437,1.5393565527420234,1.5976244316003756,1.684500489618961,1.755646659782947,1.7920683611353623,1.7785053250478666,1.755616621088337,1.7386215081871121,1.799685022333944,1.7897108636926882,1.779763876976116,1.7584113799077372,1.738508246638474,1.7211734791605198,1.7117373440291597,1.7026419067993495,1.6877566827485113,1.6800893801308123,1.6638553691434894
91-2800093,,,,,,,0,0.9896207838404371,1.0046007417668352,1.0002435575641537,1.0027020002439968,1.000158884155751,1.0014055933686499,1.001801642051803,1.0070267422533936,1.0080593291474926,1.0037553941743125,1.0072734670890364,1.0057830796472833,1.0052534329918945,1.0056504253567775,1.0131992542794193,1.0124529232179806,1.012616891016964,1.0106288480265047,1.0104295883136998,1.0525240188591143,1.1343734652496165,1.1271084708533072,1.1164615258245254,1.1404441467436108,1.2031705138487638,1.196337041273944,1.1976967322387146,1.1895624711156272,1.1856046852827662,1.1777301892965348,1.1736676222088895,1.2155751160307229,1.2942449583282696,1.2780911164242197,1.2683532931195136,1.26055932096479,1.2477751629620124,1.2480707573460796,1.3276939031072177,1.371234034953684,1.3695209036300002,1.3539982829527069,1.3415898714574823,1.3218935396857894,1.3132903199296215,1.305242383011266,1.2954194003485753,1.2882621821085303,1.2814151291645883,1.2768078811435282,1.3039132522265275,1.3204674755695243,1.3204400312247528,1.355098090027878,1.3869257476093768,1.4142423037913325,1.4577745278485426,1.5138594892454997,1.5287857009814234,1.5580783037975736,1.6188149805959888,1.7091331098642213,1.7838557303550693,1.8220373114573265,1.8074394507184186,1.7824525470633497,1.7642890499499584,1.8277526748765296,1.816816728701022,1.8065503100749611,1.7831048809868366,1.7621328796620428,1.7438031641910778,1.7338813945109366,1.7241908981520184,1.7085212976431026,1.70021268329198,1.6827232874499323
92-2800095,,,,,,,,0,1.0238824274880938,1.0040986062894475,1.0053247241166319,1.001728000272394,1.0027531281833386,1.0029986093044276,1.008633348293895,1.009486454191004,1.0047507202567834,1.008442924571673,1.0068125025412618,1.0062050390833364,1.0065878492266815,1.014564455637357,1.0137285076753202,1.0138616312412756,1.0116857503830405,1.0114613266245815,1.0556190797662495,1.141701892354671,1.1336524918810789,1.121945977627731,1.1468198283107378,1.212169723251122,1.2046947087193447,1.2058120674914612,1.1970988308603452,1.1927294463185565,1.184261145042966,1.1799027221340233,1.223370713729543,1.3049909266370119,1.2877062628184812,1.2772354827217673,1.2689001339004835,1.2554308354985915,1.2556164752375711,1.3377679574784873,1.3826981850434392,1.380085482871563,1.3643068650410237,1.350961064073807,1.3301007066425405,1.3209579244533178,1.3128075306178735,1.3021419297141914,1.2948465789580195,1.2875018673581438,1.2827949857291778,1.3105491474932758,1.3274543385694926,1.3273487864612954,1.3627531475214534,1.3953236047991977,1.42340667222713,1.4680645943828086,1.5257587322382664,1.5409082044632216,1.5710110142021376,1.6334674859309144,1.7267067398109295,1.8036492132878532,1.8427782664268335,1.8273017808021157,1.801361898565375,1.7817091431191683,1.8470482084519064,1.835604893461128,1.824725642806852,1.8004671297252735,1.7784511656658537,1.759688140538352,1.7492312967376615,1.7388978808903945,1.7227173559929259,1.7139222804686811,1.6960597305802052
93-2800061,,,,,,,,,0,0.9947323549113941,1.0011448632645863,0.9982955356288639,1.0002944246567702,1.0009339518695588,1.007137318883588,1.0083014394164622,1.0034061017000468,1.0073814797245493,1.0057096083086141,1.0051233617953272,1.0055688392454345,1.0139301329463488,1.013079689335124,1.0132398998439882,1.0110215329961019,1.0107979795300175,1.0567087752131419,1.146333871524849,1.1376888726777794,1.1251947747858595,1.150834625887872,1.2183740338388656,1.2103976817747821,1.2113419916958603,1.2021759849030305,1.197494421361904,1.18857228974025,1.183989291057392,1.2287266541094743,1.3127608713330003,1.294578975512314,1.2836668352700586,1.2747759419422684,1.2607696886590338,1.2606762126718172,1.3449461516100758,1.3911367042358251,1.388139580456296,1.3710820767217808,1.3574378963736953,1.3357713402369016,1.3266019519123946,1.3178481557247654,1.3071129915515292,1.2995687137044398,1.291971069524654,1.2872074261173716,1.3153298459987826,1.3325179369364202,1.3323535255584131,1.3684265424407853,1.4015957232006107,1.430120100957135,1.4756764729840102,1.5345728860949615,1.5499873766498102,1.5807390713032143,1.644575590414835,1.7395532140875563,1.8183507378916997,1.8586803948365842,1.8427525389274952,1.8158294517385198,1.7950210541599045,1.8621780121474285,1.8497781788612242,1.83904607870283,1.8138000896845303,1.791040999204484,1.7710714796306815,1.7607524020558059,1.7498562291168949,1.7331940006253974,1.7244225066078815,1.7055094473439947
94-2800096,,,,,,,,,,0,1.0039812825802572,0.9984771463869058,1.0010725732170256,1.0017327050210814,1.0093864696401094,1.010315703945698,1.0043503221279582,1.0088937196514132,1.0068961221482473,1.0061621200163369,1.0066202769968335,1.0161065866961716,1.0150549905988853,1.0151628620154511,1.0125311870406544,1.0122571881780222,1.0633155405697234,1.1635756768706345,1.152808135537563,1.1375316773322774,1.1652822355716352,1.239130313021735,1.2294894185233303,1.2297594816402702,1.219142301184207,1.2134177183687926,1.2030272753936322,1.1977198947888343,1.2461048049757388,1.3370565504937055,1.316082235619197,1.3032389916037979,1.2931688750843426,1.2775345204727353,1.2768812446337166,1.367475831751671,1.4167198860031414,1.4115274952318384,1.3933741022760262,1.3775735221616214,1.3537956906615851,1.3431764044402843,1.3337245649886031,1.3219273210839861,1.313457378126259,1.3052178810539135,1.3001318003225113,1.329290530840918,1.3475296693156746,1.3469916566052056,1.3848011627322663,1.4197052873016043,1.449603398401352,1.4977548752474426,1.5599884659017318,1.5761230766701444,1.608679854771808,1.676358763765119,1.7775828512037264,1.8615286228954486,1.9038267914189035,1.8858774535837948,1.856303773155252,1.8330535413275695,1.9038485256378421,1.8909754293800791,1.8782977382409858,1.8506359583825973,1.8259196353294134,1.8044284097889696,1.7929459545037174,1.7815635995857524,1.7633945262000583,1.753550784285951,1.7335511906415193
