순번_정류장ID,73-2802155,74-2807105,75-2802127,76-2802109,77-2802072,78-2802061,79-2802077,80-2802068,81-2802032,82-2802007,83-2801989,84-2801958,85-2801947,86-2801939,87-2801934,88-2801940,89-2801951,90-2801962,91-2801979,92-2801967,93-2801973,94-2801956,95-2801945,96-2801169,97-2805307,98-2801700,99-2801706,100-2801713,101-2801703,102-2801681,103-2801666,104-2801633,105-2801192,106-2801636,107-2801604,108-2801564,109-2801518,110-2801490,111-2801458,112-2801434,113-2801399,114-2801370,115-2801341,116-2801316,117-2801297,118-2801318,119-2801325,120-2807166,121-2801351,122-2803551,123-2801331,124-2801344,125-2801357,126-2801360,127-2800384,128-2800607,129-2800618,130-2800623,131-2800631,132-2800642,133-2800664,134-2800333,135-2803555,136-2800688,137-2805582,138-2800715,139-2800729,140-2800743,141-2800755,142-2800308,143-2800317,144-2800369
73-2802155,0,1.0027124668248941,1.0021227399723818,1.2144554984373659,1.165260211859094,1.2368378097787693,1.7646264505797444,1.9383405504222262,1.7899353053656875,1.6275733753737123,1.5366131572773885,1.5316774268855724,1.4830342197384407,1.4493293495795412,1.415451939684212,1.5288545344940365,1.6318050367158539,1.8571783123473316,2.018220194176396,1.9247889504603162,1.8425931226608836,1.7386603377732006,1.7083627757024518,1.4120356772375073,1.4022336278458158,1.394558532415976,1.38247721290217,1.412846700230223,1.4390729146778094,1.5754857219122271,1.6725811943842712,1.6364119038411176,1.6152681749431923,1.5877669135630268,1.5678822720980554,1.56900402152443,1.6315988793707208,1.6178556608692032,1.5950060115948705,1.5779926213370563,1.5611909157449935,1.5440317036698248,1.5293079307505955,1.5122172081814038,1.4979290556213183,1.5476114445535964,1.5652886245657816,1.543593195107094,1.5307010800305163,1.5462219232932448,1.6293199361506745,1.6097669926452685,1.5943502170726505,1.580251685680307,1.5489291517624086,1.5389215536154386,1.5718850077962305,1.637349599872115,1.694920979510412,1.7677973530590008,1.8654799057634597,1.9403824543535335,1.961461617129094,2.0100137956409063,2.0654190897636533,2.1147277141622234,2.145710246736464,2.097358575104065,2.055279779956009,2.0589329065267457,2.134270111190735,2.234997175636731
74-2807105,,0,0.9989493479777156,0.9992690991472493,1.0123571926416257,1.2826030649344047,1.9612757104267633,2.181254602223877,1.9553109364307923,1.727240425144461,1.6073285933420105,1.5958568548728471,1.5361458817212468,1.4946231414154356,1.4538501084065356,1.5782735745457979,1.6920433030064,1.946958973953105,2.127262579995784,2.0142116564782526,1.9154563066453307,1.7942572767835185,1.7594303486169647,1.4285494803578287,1.417498139027748,1.4092353127532151,1.3964308152672997,1.42798491202822,1.454991780630013,1.5970793378982433,1.6988913090751674,1.6597557841633899,1.6368001223517714,1.6073248046410635,1.5865398021804678,1.5871059458667962,1.6515913668299957,1.636938029863971,1.612852469618767,1.5948383429782096,1.5772088459274372,1.55889308729437,1.5433613819710252,1.525358046030293,1.5103180984311362,1.5612408426755116,1.5795287227136388,1.5567406340923202,1.5431012241859243,1.558845506569678,1.64426149956624,1.6239246919035142,1.6074989156437944,1.5927714778121378,1.5603643457316096,1.5499504646337101,1.5836844021555632,1.650716465256013,1.709989338627445,1.784920171313002,1.885496784627783,1.962728299942099,1.9838423670618617,2.0338467129655635,2.0908358195488495,2.141766584227118,2.1734220638360857,2.1229795925241097,2.07896076253329,2.0822931904387953,2.1595416849375932,2.2629431030796168
75-2802127,,,0,0.9999412299640573,1.0045701083227965,0.9898460076588784,1.466700611723151,1.7194659264611547,1.5637036773009865,1.416650373901625,1.3437069105102135,1.3550671716132048,1.3139383410902041,1.2892267114378246,1.2638895913189834,1.3937932842720753,1.5103747128614016,1.7623042621545046,1.9494703360231895,1.8483129435026124,1.7630020184217947,1.6570771144978158,1.6267915449184431,1.3490964345425764,1.3401105794597774,1.3329759992785948,1.3226319043643742,1.3543984471580441,1.3829020914284829,1.5252031217503075,1.6266040529416377,1.5914608203744303,1.570743167195796,1.5439593839903374,1.5247536914189022,1.526651583968299,1.5922502288139122,1.5787817312848584,1.5563795161240974,1.5396728859645081,1.5233304865243906,1.506644349479423,1.4923477288559277,1.4758039829973204,1.4618977096154462,1.51334074681851,1.5317208231890895,1.5105299719588805,1.4982835229392462,1.514746523780276,1.6001579205443888,1.580839125600146,1.565501749218122,1.5517618537799265,1.5208781478449749,1.511170362668536,1.544980678068793,1.6117613742828865,1.670973444932484,1.7455533655356208,1.8459246328427998,1.9230538991984703,1.9452535076105806,1.9955916524024775,2.0527523450907625,2.1040883230655045,2.1361876524640118,2.0861961985001294,2.04347829531833,2.0469256714644177,2.124733899571152,2.2285424104698732
76-2802109,,,,0,1.0091493268053857,0.984596777176789,1.0103059452947845,1.194698259982808,1.1545613180434517,1.1167965343792872,1.0989803783106487,1.1306687409690306,1.111239929056408,1.104324117694742,1.0951572758288943,1.2193164682675266,1.3284998186997585,1.55271909059463,1.7276377758008732,1.6519539744487757,1.5903614206062648,1.5099235724678965,1.486681400725046,1.275924821279696,1.2689590291538042,1.2635027487526587,1.2553738679507362,1.2866741672515507,1.3156390722215547,1.452856998720718,1.5508926347333865,1.5206977436681948,1.5027682228194188,1.4796269498312444,1.4628338541889185,1.4660156290466833,1.5305623839071478,1.5187340877653708,1.498920053874448,1.4840083275568128,1.4697503094795534,1.4547819864803913,1.4420695306623679,1.4275106347534727,1.4151784551217845,1.465496416063677,1.4838447761024856,1.464593910874793,1.4541398653136581,1.4710987740889216,1.554643321408844,1.5368092136753064,1.522897962633597,1.510169135658054,1.4818267642687828,1.4731142001307447,1.506250242665442,1.5713586836938616,1.6290175950383443,1.7019418696282216,1.799837259445401,1.875019174990233,1.8983585658748956,1.9485489520584156,2.0037527290598627,2.0537833729140265,2.085353094855632,2.038310969307762,1.997469024523723,2.0021953581356504,2.0782079362581594,2.1795129395503277
77-2802072,,,,,0,0.957393211799846,1.0109599926436017,1.004253613089215,1.0008923036833193,1.1013135734870776,1.0834797334926438,1.1217196701733656,1.1004314169100873,1.0936345648429955,1.0843770260631072,1.2231084100607528,1.3454846121770307,1.6013793010921427,1.801277420323078,1.7083611096306792,1.63355187080699,1.539611045979002,1.5129714902095346,1.280275981283843,1.2728761731062113,1.26709816795659,1.2584969651074287,1.2909597264368198,1.3210975488160042,1.4648561490459837,1.567733478306259,1.5351610041336976,1.5159607704838391,1.4912505477759697,1.4734167119437913,1.4764841439852818,1.5434659151419625,1.5308901119003084,1.509901456552567,1.4941700800821158,1.479120329103317,1.4633716948947608,1.4500245391127475,1.4347629867412688,1.42185411451335,1.4737009705122517,1.4925827355526116,1.4724417261826308,1.4612957848992165,1.478478907738391,1.564471747128345,1.5459938424996122,1.531480722648653,1.518085702430869,1.4887586273588955,1.4795996659446546,1.5136805526335066,1.5806760568663198,1.6399654050202153,1.715040030875556,1.8159836496080668,1.893633356507167,1.9168346529093732,1.968288632437325,2.025919226425198,2.0774991521874346,2.110043876043284,2.0607233111197187,2.0181432782753017,2.0224485761666737,2.100715685938579,2.2055412826880088
78-2802061,,,,,,0,1.0595732068761115,1.0282283269607009,1.0159285153890483,1.0104532540438982,1.010944066254134,1.061098501813912,1.0445419201595465,1.0428447017367228,1.0379173553419125,1.1868547781797463,1.31794396225316,1.5927213611751099,1.8101089161772554,1.7088894007024404,1.6288996910401645,1.5301929930030926,1.5025336229791617,1.26821010801593,1.2607260930939688,1.2552480420500725,1.2468331571927458,1.280117731286294,1.3111893428165389,1.458422315203876,1.5639847261803854,1.530808191438229,1.5112887221664226,1.486228586348345,1.468163822999029,1.4714179300098411,1.5398934124633283,1.5271310608810849,1.5058526788310753,1.4899176932365956,1.4747087518948856,1.4588057928808793,1.4453427275902846,1.4299693826121298,1.416985211974563,1.469693296259876,1.4889067038555568,1.4685775239885117,1.4573854575115497,1.475034867152178,1.5625208352425057,1.5436614154202897,1.5289853596116534,1.515311601216027,1.4858525575872974,1.4766167577969376,1.5110295336427297,1.5789246125636127,1.6390517285348147,1.7152449548894626,1.817793735680751,1.8967574924828128,1.920260984109273,1.9723347988116708,2.0311706741352022,2.083692582692549,2.116594479631925,2.0665593379835068,2.0227298997709178,2.02719791678188,2.106585958380087,2.213436137071651
79-2802077,,,,,,,0,0.981095203906484,0.9853497175257401,0.9921092299773092,0.9978723705044106,1.0606166721709807,1.0410110172396008,1.0394499100690402,1.034184570566509,1.2051394269247562,1.3565326631817496,1.6839622123359146,1.9427028420361059,1.8079335967761037,1.7033609390770064,1.5814566080959134,1.548192644688364,1.2787068228942744,1.2705443083318453,1.2643710602580744,1.2552304777172691,1.2903165622342514,1.3226824613035502,1.4773270800054592,1.5887562418033012,1.5525828295592747,1.531090142260517,1.50413739650136,1.4846700069370402,1.4874597739799948,1.5587271856590534,1.5451878879179148,1.5223508659557936,1.505144768107915,1.4888912023802692,1.471964045909506,1.4578366872840933,1.4413706154197086,1.4276256495312742,1.4822294636724467,1.5020364658698064,1.4803954322987982,1.4686080803833215,1.4866161780409837,1.5769378697271805,1.5569038734808345,1.5413131459512788,1.527388508231915,1.4960935550633632,1.4864456561406227,1.522041460031608,1.591954074928449,1.6537994311431619,1.732614147326935,1.8386744583825199,1.920295257414175,1.944314234069641,1.9977757201716915,2.058595995424248,2.113128085882532,2.147345531394136,2.093706060076586,2.0479801093223107,2.051730538757811,2.1344706400514735,2.2445030998532376
80-2802068,,,,,,,,0,0.9892798881379631,0.9959448244330956,1.0017016492323587,1.0758933098022236,1.0507618808847288,1.0476660364929493,1.040705987906429,1.2328964420358153,1.4042959381009386,1.7874570997693784,2.0892268747808393,1.9145909961562448,1.781874105835945,1.6349213607986206,1.5957795711902607,1.2905117429633315,1.2819120271982316,1.2752508670999843,1.2653664702245793,1.301543407227771,1.3348994508668606,1.496180784342436,1.6125694236500427,1.573118229231983,1.5502997954379434,1.5211690899747674,1.5004392320258813,1.5031517482077463,1.5766813971083393,1.5620306153102674,1.537807573640004,1.519839307332159,1.5026393044531035,1.4847864948884615,1.4697381163860441,1.452604681654086,1.4381693555165294,1.4940128938950326,1.5142864682016932,1.491786159030829,1.4791715454367218,1.4974327785568544,1.5897025039638066,1.5691152647943667,1.553157936295983,1.5383468945962206,1.5059412769721026,1.4960613961552596,1.5321347781103123,1.6036703671653045,1.6671734018058024,1.7478272612148167,1.856721405367567,1.940840400779078,1.9643175994597388,2.019248399188626,2.0816107643106605,2.1379819481895943,2.1730788538983172,2.117143679115986,2.069308508024314,2.073121283954746,2.157517918978181,2.2712553765900076
81-2802032,,,,,,,,,0,0.9920632827949902,1.001441817292339,1.0948180967898353,1.0609023640657513,1.0556499173590181,1.0464693548701531,1.2679942736005247,1.4674092894338993,1.9337838724602148,2.300226846829076,2.0601736112345885,1.884138063292457,1.7013278746052174,1.6541274633968917,1.3029843478617005,1.2936264864630853,1.2864143114769793,1.2756961299590517,1.3135954554548157,1.348088627594089,1.516456769836002,1.638538413347706,1.5955866378778205,1.5709510446323989,1.5398400143720798,1.5174188637771482,1.5200297551628392,1.5961207965565662,1.5802126951121298,1.5546320570156211,1.5355746554170933,1.5173074419988075,1.498415371893688,1.4825249553342292,1.4644596345807772,1.449257455638031,1.5066626987608325,1.5274589691554021,1.5036556629489612,1.4904537624188625,1.508839792119037,1.6039743073351909,1.5822345926980266,1.565223374209099,1.55006729387213,1.5164206801825446,1.505871026397422,1.542754473804425,1.6160808709407388,1.6814093499390492,1.764108609827845,1.8763441052824767,1.9628386193429894,1.9865509142928894,2.042481398112445,2.1067943119729886,2.1645272683654264,2.201068263310426,2.1423247951755857,2.0921555390430453,2.0960174142061327,2.1829110285785047,2.3000867976272614
82-2802007,,,,,,,,,,0,1.0126342487263482,1.0387894380305849,1.0053782870262113,1.0101132380808642,1.006940137898561,1.2882839002079576,1.6356780933346393,2.36687843558591,2.9390674172929043,2.454695086022605,2.1383040742365695,1.8543361774744032,1.7860932662203095,1.3283584630862613,1.3174097134102096,1.3090500371652423,1.2965945357894006,1.3370949390799478,1.3736771526674132,1.5564539050125186,1.6896402864291904,1.6394942510780124,1.6111707628070515,1.5753211751886405,1.5500087019161883,1.5519249182867678,1.6327780446443405,1.6148426291502278,1.586188153452341,1.5648012767702697,1.544696669180588,1.5238087681876074,1.5061151728928077,1.4864649982730425,1.469804791241019,1.5300613916193042,1.5518050432218784,1.526013698287091,1.5112189008377483,1.5300812907678556,1.6296765110452327,1.6060945451765782,1.5878526973664966,1.5713254977170044,1.5351320144467426,1.5238398814638923,1.5624762783758435,1.6390767994845588,1.7072969549241803,1.7942094030522597,1.9120577256254374,2.003493325073428,2.027630166415549,2.0848411852360447,2.1536810519851484,2.214543785588445,2.2524198275674774,2.188386752757203,2.134433847641169,2.1369875051288907,2.228407368221785,2.3525709181393144
