순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2805746,5-2805747,6-2806935,7-2806814,8-2806816,9-2807638,10-2806819,11-2806825,12-2807055,13-2806828,14-2806827,15-2806826,16-2806820,17-2806818,18-2806817,19-2806815,20-2806936,21-2807051,22-2805748,23-2805749,24-2800680,25-2806689,26-2800722,27-2800307,28-2800758,29-2800744,30-2800730,31-2800727,32-2800714,33-2800701,34-2800704,35-2800708,36-2800720,37-2800737,38-2800757,39-2800769,40-2800782,41-2800803,42-2800809,43-2800816,44-2800818,45-2802653,46-2802657,47-2802663,48-2802664,49-2802675,50-2802681,51-2802676,52-2802670,53-2802692,54-2802713,55-2802744,56-2802767,57-2802778,58-2802792,59-2802800,60-2802815,61-2802826,62-2802834,63-2802833,64-2802832,65-2802807,66-2807054,67-2802768,68-2802746,69-2802633,70-2802772
1-2805726,0,0.9427561043740694,0.9553776213878155,0.9872434767907978,0.9868512141856285,0.9939389235903271,0.9941261967481898,0.991824824510139,0.9997896746317065,0.9962085088807571,0.9973387738550195,0.9980820710709079,0.9971051709350076,1.1050775362546705,1.2211021644591464,1.8041281422435398,2.258352450355181,2.693119767865871,3.3622441562883654,4.673898796328194,4.2002778517437385,3.937623124116701,4.3079196004787645,5.0037139344250035,5.847870909562026,7.643975285097443,12.162861598008332,9.482195865626132,7.417740655283803,6.27821069388676,5.64897010991673,5.2440658512681,4.637299692700727,4.352819868660842,4.030080009279472,3.8533159901511107,3.710888766038165,3.9651375121306445,4.251526110868519,4.70937920552651,5.049467248362334,4.7284519859719385,4.684678056688505,4.6291322925776,4.838390357560509,4.6411447029303625,4.536868710725118,4.361763076826611,4.218341172906362,4.1203115662436725,3.9676389941585857,3.7640475161170945,3.6617141793506716,3.525541444746607,3.3844304309929223,3.2887788617892526,3.1967192672128113,3.487572981262919,3.568673273854958,3.652333755650421,3.9060014444773477,4.058242177465764,4.210439888753497,4.780400402921178,5.253992017418655,5.670664757246185,5.381726805650702,5.733451387099905,5.956460233469273,6.356813602897248
2-2805739,,0,0.9633030465334819,0.9953439909373732,0.9934252125242969,1.00004514099258,0.9988418975868671,0.9954740962360348,1.0037291492549552,0.9994820452150982,0.9999609002535895,1.0006317234604607,0.9993401645474044,1.113328825837872,1.2362030378369606,1.8660962030679362,2.369056627655421,2.8641925736317035,3.6455274536637305,5.26069595841941,4.637437781779752,4.302579801036066,4.73842142025611,5.599265797373268,6.6864876494922845,9.165752789515883,16.485481939510485,11.743387863840317,8.634336394790951,7.076506980831757,6.260543239904297,5.750434025258647,5.002365849378474,4.659750763359883,4.280955206960644,4.073241495677183,3.9087500509605135,4.194571830619676,4.518462717112216,5.042068717604289,5.4270665134538145,5.043888280658291,4.990634303083429,4.922458059610972,5.159252362083048,4.928979450339925,4.807149323941903,4.605216855099291,4.440962063638023,4.3301008292997265,4.156166145738875,3.926022282610885,3.810692533777365,3.659401201764964,3.5035275598924565,3.3983705705358918,3.2970195130428697,3.6091251877991675,3.6948692792814057,3.7839128717225563,4.058380832572211,4.2238126718403,4.3889480794473545,5.015293687914827,5.541084199511872,6.006852839720851,5.676469644783991,6.070242496820017,6.321535518234223,6.767943269454792
3-2800372,,,0,1.0043623494574148,0.9994180139982949,1.0059262005009777,1.0030591887174622,0.9985410905768396,1.0071357338025086,1.0020194017333965,1.0019398462390914,1.002555805641719,1.001110369079561,1.1209751703924564,1.250961779289952,1.929669553842467,2.4864628278219985,3.0488490607951,3.9649230278034815,5.976344602894835,5.147277630911372,4.718153250762253,5.234533813204954,6.313984564166892,7.741509553322953,11.29298698706192,24.69194541804199,15.163290535198827,10.21626054760925,8.040329871926602,6.9686003592449834,6.320745107044564,5.4003541978672915,4.990040091818576,4.544207658074816,4.303363176287014,4.114143052642856,4.261688534173596,4.601073103538113,5.152578805737226,5.556957054221758,5.149673883435398,5.090478132802833,5.017588662470758,5.266155334943126,5.022172167298103,4.893200737620331,4.68045716937026,4.507945428972934,4.39177786025887,4.209938474742296,3.970734034396201,3.849205803524256,3.6936462010943454,3.532493343680835,3.4235313736791753,3.320485648411985,3.6402577063235824,3.727425175749432,3.818654993008679,4.101220730286834,4.271676199936877,4.4422128199454916,5.091230955689747,5.638826158105491,6.125577589280079,5.776606509183159,6.188180776882252,6.452998382441227,6.920279394346457
4-2805746,,,,0,0.9874942586783747,1.0055929474239191,1.0007918072589999,0.9946391744957016,1.0075430216257697,1.0006419705621763,1.0009360665076215,1.001745323919738,1.0000410166012308,1.146300078454283,1.3090439142287575,2.2370263587713968,3.1093420388131143,4.122266190879951,6.127443060801689,13.144376572606994,9.159122074230622,7.6502566908950085,5.677074353218329,5.586192685565977,6.824183165863776,8.865455603272302,16.193432451996568,11.279764825975144,8.182893704765524,6.669252163261956,5.886649668425449,5.400911396942105,4.693191358855211,4.370914686975346,4.016050421498359,3.821888645234129,3.668624465938963,3.565014315011472,3.429583643750846,3.748649096874211,4.016688936681047,3.8065946577136263,3.787773809356114,3.7556314489448233,3.914778106238119,3.781967986089574,3.7132818846319444,3.5933336788818053,3.494021990301241,3.425591439356613,3.318372978148415,3.1739813880120256,3.1061319273680494,3.007280825279699,2.9038791328092812,2.833291834692037,2.7659671874513463,3.0066173958389517,3.078943233630799,3.1508775405381897,3.35859846289788,3.4846544369738246,3.607458721662846,4.065297680759999,4.436670481202932,4.763424817915071,4.554987832607828,4.828981520244002,4.999995778309904,5.318280697998853
5-2805747,,,,,0,1.0273159796521425,1.0065405615527176,0.9965640454538258,1.0118563246143086,1.0027385760446115,1.0024025260845688,1.0032052840460226,1.0012460291837222,1.1623252286078234,1.3442115806241872,2.437544298323292,3.55890268048255,4.997888893280272,8.369047415618121,31.32078554411362,14.66430657009237,10.905206572021052,7.083040904377198,6.884340498798994,8.892525498436381,12.688678567580183,10.060221574489015,7.929273495634884,6.277604535309426,5.35519249599422,4.845059324258892,4.51596618181226,4.017725752075527,3.7832301811187987,3.5194441557779372,3.3721761651597726,3.2549347640248634,3.1765936368931222,3.070780436500105,3.339166110208146,3.5723990090156073,3.4077871786268985,3.399537999783713,3.3760957675637635,3.512276647480354,3.406649422727739,3.352865021227107,3.256486453564097,3.1761586905010586,3.1210010515221778,3.0330526573299665,2.9153634881835515,2.8623025033318554,2.7792106819910414,2.6925536135380406,2.633127062616882,2.5761660735833574,2.7933815226205727,2.860094520644714,2.926987777159673,3.111336646096883,3.2245088168046294,3.333276040077519,3.7353757571321244,4.059502864769335,4.341902602077415,4.169110186399996,4.405639396686078,4.553073128583973,4.8301402309333055
6-2806935,,,,,,0,0.9948418723444322,0.9876638990971371,1.008479615595325,0.9989726075388826,0.9999111670584461,1.0009549377181133,0.9989781002984555,1.1747179176267666,1.3759830216425857,2.655191838545132,4.1015824262973775,6.202198761859176,9.481583882886149,64.91712147639677,18.587123300923906,12.719904499266073,7.65060820808462,7.392564286500706,9.842482802757214,14.865569411638253,7.527542179771937,6.275039450433044,5.203713349368286,4.559722322158626,4.1892690374221075,3.944534380650597,3.564657847452699,3.3819419504855697,3.173448412504329,3.0553544745457257,2.9608558721415883,2.8985962087627977,2.8119413706652203,3.0468359739000297,3.256762072161773,3.121841867013179,3.119281592817124,3.101892087470862,3.2227008688431837,3.134840428055253,3.090831625832323,3.0100962095536046,2.9424766849986335,2.8958895697836815,2.821388552639909,2.721666436443443,2.677823808925466,2.6069867000633544,2.5321044024159765,2.480580875313127,2.4314812941293997,2.6304548901816376,2.694173036734481,2.756517108090704,2.925077217453551,3.028383848589144,3.127195231348808,3.4905896953455997,3.7810888591191523,4.033577345100742,3.8853252864274364,4.09624530928884,4.227087615240757,4.476663462176432
7-2806814,,,,,,,0,0.9800717845157656,1.0171216912669585,1.0005165351766505,1.0010058121710896,1.0021691929584975,0.9997338670329803,1.2097497966332957,1.45854342861477,3.282074626426262,6.0112391049953775,12.281762451712414,10.11264244470293,10.407730016413447,7.463337255793427,6.3129963539143015,4.77978236527537,4.731087980340089,5.775001946450254,7.487964583237807,5.0597581590642635,4.47321142392902,3.9158867334995953,3.5494868756125904,3.328214643358263,3.17745925760744,2.9352597249224757,2.8151921156439284,2.6754348604475755,2.594482659790304,2.5293454916508127,2.4879687062385036,2.426658113694375,2.6154205380238786,2.7928059342222484,2.6969816787682834,2.7015781237503984,2.692092760425448,2.791563116260434,2.727536023501698,2.696657643181834,2.637230108903935,2.5870717621534283,2.552338478911314,2.496563335094186,2.422372959592488,2.3927902301179356,2.338159937436353,2.2802813957177177,2.2402539009982663,2.2017996442401206,2.3740492338949704,2.4323482707744626,2.4885202745138963,2.6330919705740747,2.7223452405759048,2.8062072561982934,3.1132461542242122,3.355509445788149,3.5659609510011228,3.451768542268103,3.626363640679027,3.7333415952400313,3.9438551909444306
8-2806816,,,,,,,,0,1.072518959661285,1.0116983200099392,1.006376976138037,1.0072813498463644,1.0038405180832246,1.261598935672531,1.581800532722858,4.560382379113427,6.06801590527026,13.93158728022101,10.917323015841358,5.410208897179109,4.512703856500682,4.078369503971413,3.403337506083453,3.4128917139265167,4.005516873187719,4.901022630378719,3.7614207493836296,3.437775595057863,3.111933736266375,2.8847763449894526,2.7433841286669636,2.6450817557438207,2.483175603115539,2.4011560065752016,2.3043535254387995,2.247211562150945,2.2011794875599806,2.1734561638244054,2.1290860116346275,2.2861004798529856,2.4406045204829523,2.3706893251238994,2.3793945506618748,2.3750714211841877,2.4594450153486536,2.4115601651179395,2.389577060728838,2.344826354601124,2.306813956427662,2.280387277011365,2.2378355466239443,2.181360526214976,2.1614867654357464,2.119184139958769,2.0740697589861963,2.042401581193724,2.012866959180457,2.1650418576456802,2.2181559271398865,2.269244224787616,2.3955767281697464,2.4741471351280873,2.5473256748167787,2.8125646611054385,3.01964902601951,3.1988962914715073,3.1086691542588163,3.256997368493933,3.347762056742016,3.53004081791888
9-2807638,,,,,,,,,0,0.9766177445368499,0.9926754948823882,0.9953399486985579,0.9926888573350724,1.295220661996331,1.6878023247593752,6.620888884613218,7.679305783798951,6.7484282543348995,6.152640711770488,3.9392901462811096,3.4546555881865593,3.2023780652088685,2.786582089877584,2.8131059776522407,3.248532305915685,3.887629274876719,3.1538326358560256,2.9295778228975156,2.6978774017605716,2.5311081352541542,2.425796253693701,2.3518293076795476,2.2282870930338627,2.164954836472629,2.089674005878764,2.0446808362672972,2.0085012409081537,1.9878435901157203,1.9523824503332514,2.0922434140332515,2.2342472144971652,2.1775901995446802,2.1888224630783175,2.187164447013758,2.2633073406384434,2.2239703811206364,2.2066991331241685,2.1698178274394473,2.1383651487626887,2.116449668279273,2.0811209187357957,2.034556853990837,2.020585288492097,1.984808275323814,1.946557959896541,1.9199451167553232,1.8944424850103283,2.0347263055281233,2.0859759152064075,2.1338924753832345,2.2493100485958526,2.3217323233573377,2.3888654891387353,2.6304379760333445,2.817856200542838,2.980059220809186,2.9028468580054563,3.037000990313447,3.1185852072005398,3.284831248165685
10-2806819,,,,,,,,,,0,1.0016739057198547,1.0040431485411108,0.9989858380085201,1.4372224704102998,2.0893384071437398,36.91419803231339,6.5861396808075305,4.242469527188002,3.2444296901469816,2.5514190825030525,2.3590921606549875,2.2507770709900528,2.060907711088652,2.0998687847640833,2.380807694734809,2.782098562689705,2.4147866289542734,2.2912086924105877,2.1598053453210713,2.060514285559987,1.9967533764005594,1.9513904740380816,1.8740040312658204,1.8336515276724363,1.7852599698064087,1.755678814353896,1.732098422768745,1.7204570900478626,1.6965859730320205,1.8132991328287247,1.9370447553317818,1.8983077613894088,1.9119014656384106,1.913611686203034,1.9783463974528472,1.9503064893035071,1.9392325263284758,1.9128564128869314,1.8902150218910645,1.874387022299005,1.8488510071333388,1.8157920775140282,1.8091691596115387,1.7827671733782704,1.7543884518177097,1.7344391475222638,1.7161028426270142,1.8390177711764317,1.885993733068459,1.9294964510867165,2.030015367540963,2.0935645831881633,2.151459550193077,2.3595476785526777,2.519000664313072,2.657570041687831,2.5980634537572027,2.7112226469462137,2.780285943448887,2.924492283701635
