순번_정류장ID,45-2803210,46-2803361,47-2803180,48-2803295,49-2803292,50-2803649,51-2803284,52-2803290,53-2803297,54-2803310,55-2805831,56-2803190,57-2807053,58-2805813,59-2805149,60-2807040,61-2806036,62-2807341,63-2807344,64-2806484,65-2807326,66-2805694,67-2805636,68-2806053,69-2806032,70-2806025,71-2805697,72-2805699,73-2805701,74-2805638,75-2806605,76-2806538,77-2803160,78-2805975,79-2803158,80-2803654,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677
45-2803210,0,0.9788567952592128,1.0777137678102051,1.07573669849154,1.0760627206786266,1.0712127433889123,1.070108917716152,1.1317804432793832,1.1800580241160874,1.1746623480361458,1.259251053556105,1.3609696625932977,1.392632514818735,1.6001540971678074,1.7648307421932956,1.8432360312729905,1.9487740805049185,2.230149580623379,2.2962311171155223,2.2376839794616568,2.0678362491650613,1.8758849848758115,1.8432864094542931,1.8141810425765996,1.8214695123369904,1.8473661421468652,1.8337906852591057,1.8294188499047643,1.879056510795389,1.892335255929438,1.8660520288112714,1.8337515008358825,1.899831927513993,2.0392200504827165,2.017424625656624,2.097539263619375,2.1818997778724443,2.15013722906787,2.3167911467424545,2.3602348781758837,2.3213382301799004,2.3059087967767544
46-2803361,,0,1.0813828198311912,1.079236558933982,1.079506506067873,1.0743772998895762,1.073137665612841,1.1369107460074013,1.1868135536418347,1.1809478227284416,1.268291037051541,1.373582044472578,1.4060699883607282,1.6221604625365935,1.794477014390331,1.8768012026940228,1.987885607215146,2.2856220550070323,2.3554932386427505,2.2917184147299317,2.107905128732135,1.9027351014193894,1.868159153418123,1.8373893009248463,1.8446244936453244,1.8711701902713362,1.8568246920015798,1.851168138762288,1.902494266522062,1.916176545776772,1.8886707062971568,1.8547148681831676,1.9222868295246995,2.0662083729131733,2.043291974956572,2.1260911724844034,2.2133429204422965,2.1799493083188453,2.352870247371193,2.397487456996773,2.3565111745333,2.3397799228011946
47-2803180,,,0,1.0008379851113545,1.0401035918115566,0.9901509104096224,1.0033679474932982,1.6592142669574252,2.1871453595436647,1.8183621706554023,2.504515859699264,3.7214595795023744,3.293583480775696,2.429001001701605,2.148830407239267,2.054534482523252,1.951754335973861,1.7886278576786354,1.7424733744594043,1.684709796708101,1.540273300878973,1.4049123446602407,1.3843386267213356,1.365576708226928,1.3819784011111738,1.418693612893481,1.4099278523363523,1.428374689061658,1.4854021068081897,1.5056242070300643,1.4857713921396243,1.4619694302869044,1.613512126799815,1.8265466916836448,1.9143706753777876,2.05212575224978,2.2207982000313016,2.3561697649392594,2.677745385987831,2.8743704958741905,3.0856980073623395,3.4562586614431554
48-2803295,,,,0,1.0932073299433944,0.9849075484011311,1.0041294031147652,1.5405833133574216,2.120273886512458,1.7505201619146267,2.480787084463106,3.7939067797326667,3.321681406259991,2.4123280653443353,2.1268990110091357,2.031759580326132,1.9285707558949314,1.7661730865645944,1.7204691280240991,1.663309830157166,1.5214095172891715,1.3894522577017727,1.3694833018450605,1.3512261852034855,1.3679931706773407,1.4051048045423382,1.3965642330793435,1.4157874985327759,1.4730191273785116,1.4934901384888615,1.4739429262707562,1.4508319786475552,1.603005299968995,1.8173411908568713,1.9057162878808245,2.044441591132105,2.2144696075187604,2.3510613292247102,2.676035903393413,2.8750779146200722,3.0887717284956717,3.4656191905719815
49-2803292,,,,,0,0.923251812707386,0.9785749061125341,1.0847408726588146,1.559702928870293,1.4055071968222674,2.033755318566475,3.0616388140161725,2.796653281790507,2.1447854422840273,1.9288410854685916,1.8547730989925777,1.7733297064739137,1.6445444356758694,1.6077618902358475,1.5609172688190394,1.444592018192267,1.3348425600075553,1.3181008492221034,1.3025316646212706,1.3196664255330373,1.3562177140064529,1.3489211930919733,1.3705040561046227,1.4257838336646333,1.4459908249274016,1.4286063896434624,1.4079345604425946,1.555874061139046,1.7621784726611838,1.8471281319142443,1.9802968587974643,2.1431538713744485,2.273654513099264,2.583315460567171,2.7723874749126156,2.975174494643683,3.330319096682892
50-2803649,,,,,,0,1.0347737125021674,1.0107722434367854,0.9907123708168941,1.0065901990327346,1.516840751349907,2.258458003166149,2.175515089695703,1.7943223423131323,1.6600696245962279,1.6118088735929694,1.5575539170051609,1.47191618999508,1.446859883794008,1.4137456808158877,1.3321560344645103,1.2535260201675946,1.2413885012645376,1.2296757270187244,1.2472809356749155,1.2829261423466845,1.277424216220184,1.302461289917113,1.3544185678623446,1.3745783436282877,1.3603414574514847,1.3434457328374985,1.484166488726825,1.678587349257545,1.758372903079547,1.8831811872810271,2.035283051743583,2.1566806417232347,2.443556276217956,2.6182604022116074,2.804267526322768,3.1284851135189915
51-2803284,,,,,,,0,0.9962962033470109,0.9772495838273892,1.0006239521274565,1.622065525124525,2.579020621975273,2.412147638067175,1.8951193391509091,1.7268711792819833,1.6685522410506837,1.6041674526186895,1.5041681965363327,1.4754854724442836,1.4381524429752084,1.3472956100096471,1.2618591453430474,1.2488537005801887,1.236398578121664,1.2545061364106669,1.291334123915535,1.2854639081083163,1.3106848891093836,1.3646405494275522,1.3853829188950764,1.3702967823324044,1.3524263105495478,1.4978140413836074,1.6999055297475456,1.7828479818922975,1.9134468153022637,2.0729040938975674,2.200639995766838,2.5039462128725054,2.689246838402834,2.887439822807662,3.235584132260762
52-2803290,,,,,,,,0,0.9576876069945722,1.0029645095834756,1.977066233855601,3.7946321725903167,3.154562502056169,2.148722711726788,1.8841595664544295,1.7995346572375674,1.7096423719169496,1.5749653001186255,1.5378693554407734,1.4909825837990571,1.3796592206554066,1.2797661253156754,1.2649499375076891,1.2509657467441218,1.2699339241865668,1.3088981534671327,1.302275050099104,1.3278659876858145,1.3852675688004363,1.407040371617335,1.3901186645350232,1.370479303190248,1.524578568575631,1.7403974251194674,1.8298135407715348,1.9703882686088574,2.1439644635120856,2.283737440144438,2.618158485192997,2.825204252242387,3.048803733619743,3.444988986429823
53-2803297,,,,,,,,,0,1.0533250510673373,3.2349026374168104,5.603883040935672,2.8653411589135813,1.9591067013339891,1.7330027783674842,1.6608709147373988,1.5843910687030556,1.4722625369590259,1.4414200576844753,1.4017726444504242,1.3097350816768698,1.2278964315916687,1.2158220461403084,1.2041038952134697,1.223941353410544,1.2633853571547344,1.2577851591022182,1.286399932389356,1.342889553372813,1.3652392385825318,1.350052474326508,1.332045752691454,1.4855984003931995,1.6997384166786533,1.788527403159476,1.9284796003304276,2.1008511000965906,2.239617878821193,2.573690502235839,2.77999750105,3.0034511029874116,3.400192651180734
54-2803310,,,,,,,,,,0,1.2457091454081224,2.0226340353498315,1.610062837104153,1.3645795509655536,1.308184583015827,1.2815396921472606,1.2516002796071364,1.210569816448806,1.1985383807207615,1.1806781475327817,1.1425664193989526,1.107846787618493,1.1026644316642544,1.0967047543450477,1.117246257609348,1.155343535728988,1.1524242316534035,1.1859892394260851,1.2377822920344461,1.2598172219618897,1.2492101781962492,1.2369965540987793,1.3767465241363137,1.5723577418476335,1.653034264223513,1.7797761394440725,1.9350164215924948,2.0594911511134515,2.3561849015729246,2.5381525247218955,2.733526444859191,3.0776580017484987
