순번_정류장ID,1-2802588,2-2802586,3-2802584,4-2802575,5-2802567,6-2802553,7-2802543,8-2802364,9-2802548,10-2802290,11-2802292,12-2802287,13-2802283,14-2802280,15-2802281,16-2802270,17-2802262,18-2802238,19-2802226,20-2802222,21-2802192,22-2802185,23-2802169,24-2802154,25-2801846,26-2802103,27-2802052,28-2801847,29-2801990,30-2801952,31-2801805,32-2801799,33-2801777,34-2801772,35-2801775,36-2801789,37-2801796,38-2800812,39-2800808,40-2800802,41-2800807,42-2804926,43-2800773,44-2800760,45-2800741,46-2800725,47-2800691,48-2800684,49-2800676,50-2800667,51-2800657,52-2800340,53-2800624,54-2800619,55-2806214,56-2806242,57-2806244,58-2801157,59-2801155,60-2801151,61-2801149,62-2801324,63-2801332,64-2801379,65-2801433,66-2801474,67-2801464,68-2801178,69-2801179,70-2801439,71-2801180,72-2801495,73-2801506,74-2801512,75-2801523,76-2801563,77-2801598,78-2801623,79-2801653,80-2801676,81-2801186,82-2801710,83-2801727,84-2801741,85-2801750,86-2801755,87-2801765
1-2802588,0,0.9981620000065644,1.0113759344586242,1.0051005280030423,1.006641430467655,1.0018634805574287,1.0045721305934103,1.0439281756919736,1.3926707851016613,1.4741739653900612,1.4396892823245084,1.3741918978517862,1.3459148255006421,1.2947262698928683,1.2793496354325617,1.2487301043033605,1.2415881799603108,1.2659666076130625,1.2634529388935773,1.2779145687623854,1.333046583627885,1.4644457962650903,1.4243670382475322,1.3981051577366048,1.3803952514272673,1.367107201577665,1.3466837665246039,1.3369065337257875,1.3243044779518032,1.309199392238884,1.3151113380293775,1.3246682230173383,1.3393026553074003,1.365776230264275,1.4478860823219857,1.5067971491650074,1.5309281851429366,1.5092865891995393,1.4905595452906906,1.4785779772074872,1.5189895515562066,1.5303919338690113,1.5324770386364082,1.5215683968323934,1.5091336607225694,1.4986863984367096,1.4831152767164455,1.4755479315913131,1.4652380523976916,1.4546599482214075,1.44882704423332,1.4401180012906858,1.4245094878963165,1.4170005973497677,1.4051321780048025,1.3978522566421667,1.3904893029951095,1.414607575132873,1.4614717757252789,1.5037241012882598,1.572927139318481,1.6291280284472383,1.654470651796587,1.7172121235957791,1.8105254898157257,1.8888922676877533,1.8733953618287467,1.876882497852201,1.9079390113040369,1.9379114766716208,2.050042379505621,2.109312079141018,2.090978656042721,2.0890950175150995,2.1459978889051765,2.2454854654140695,2.284813972318723,2.3464978952139344,2.3898686417098247,2.4860313483294654,2.597703173911876,2.6663953783377994,2.741368538027796,2.8405003218540017,2.971340284522774,3.10757795224437,3.2527831325244283
2-2802586,,0,1.0300544673427916,1.0075758420513872,1.008677663539092,1.0019758910929544,1.0052293182367198,1.0510208120755782,1.299872939265396,1.3156287351820803,1.2955113590827474,1.2497389207195106,1.2313344653064122,1.1964847549059876,1.191752007003801,1.170954099974641,1.1895587163119152,1.21692453643812,1.2167280538570469,1.262135154151247,1.3162728559100862,1.4513696154917832,1.4116106188856903,1.3855352604824136,1.3681322429715754,1.355046886507688,1.3347753669872862,1.3253457628890792,1.312925861692204,1.2981702130501238,1.304556363369022,1.3143313099442833,1.3297719798534824,1.3567432377098791,1.4394966404854839,1.498955579153967,1.5238134942831805,1.502003078537492,1.483300887855641,1.4713477838141198,1.5327117041330414,1.5441481928331995,1.5460893066467127,1.5341083423910935,1.5215664368054755,1.51048064076062,1.4941931501687942,1.48593165671531,1.4755913186901695,1.4643293504049406,1.4583548896083784,1.449275314498969,1.4331167349331748,1.4251171305650885,1.412785184774467,1.405130259785541,1.397329970257377,1.4094378576104674,1.4565542398184563,1.4991092467237634,1.5691295126234701,1.6254888129573284,1.6510423852728735,1.7143273062748587,1.8086259525257118,1.8875171678997777,1.871883941351209,1.8755533911811582,1.9069322339847388,1.9373375240540889,2.050504651520421,2.110420971133278,2.0918743867911305,2.089964058961993,2.1476457625879757,2.247967008755269,2.2879331909974137,2.350735332813702,2.3943048067523884,2.4915444937755096,2.60518085780142,2.674883559519485,2.7512303337364665,2.851675904525909,2.9841485447307807,3.1230155921444442,3.2711978635326795
3-2802584,,,0,0.9867644658976716,1.000433024371041,0.9952844739230854,1.0000625916011827,1.0538386169914862,1.3349419458321903,1.321653748763882,1.2987376729475661,1.2493063627939134,1.2297564275361215,1.193245325197112,1.1886485491298282,1.1673025265036134,1.1977746604756088,1.22603222009118,1.225370318343613,1.2724706942167372,1.3270074945098753,1.4663335457358262,1.4238813376888877,1.3962941463581762,1.3778172070020982,1.3640032450242638,1.34285359887036,1.3327774269063613,1.3197975023881983,1.3041996920583017,1.3106473137168426,1.3205133340389206,1.336070932517676,1.3636233595930032,1.448577045390948,1.5094427508488644,1.5347819365530542,1.5120415120972674,1.4924108777497824,1.4803843137912631,1.5424484198379846,1.5536807626848634,1.555560399694853,1.543406799802533,1.5300506812589518,1.5185865789166804,1.5016642632312565,1.493588320111431,1.4825795924545284,1.4708670667681738,1.4648241426075004,1.4553770552030052,1.4388599671042241,1.430640529750367,1.4178851705521351,1.4100541244528952,1.402228941701477,1.4142860335949383,1.4620085995697023,1.5053114518929605,1.5763605367290696,1.6336602090716723,1.659760495664925,1.7241665041138103,1.8203420516857105,1.9005914433099884,1.88462941816764,1.8880530862373568,1.9198412349323033,1.95077106414642,2.066201348596474,2.1272751775897527,2.1081595980206718,2.1059426306170983,2.1646604823961155,2.267629213292061,2.308490680452495,2.3725523663013814,2.4173283714792175,2.516922797780645,2.6332130241707388,2.704730138431885,2.783124836115254,2.8862790092854915,3.022276710034256,3.165603681871318,3.318153138865533
4-2802575,,,,0,1.0101962564646843,0.9982370511106279,1.0041732741835114,1.0038028878845946,1.088614144420266,1.1123056045494675,1.1088691133629667,1.0881949057705769,1.081910319473433,1.0686628683189567,1.0774001702794322,1.069038364727375,1.099717226292781,1.1320499669147426,1.1359590165856106,1.190762188349684,1.2578290394662162,1.396452855354787,1.3617337747567804,1.338258622815495,1.3231605656209566,1.3112960639409232,1.2934607043795743,1.2853654309688387,1.2739231812376892,1.2610817055132244,1.307705503686136,1.3177867702860517,1.3335421803709915,1.3611019718738901,1.4477183116377104,1.5095432197823169,1.5352874518379585,1.512328312225924,1.4922522947000774,1.4799200110883861,1.5544681163958305,1.565436614254778,1.5669304088029172,1.5544087462098792,1.5406553494050808,1.5287330625307831,1.51118082156215,1.5029058711803727,1.4911495381481745,1.4793503236940213,1.47309712892086,1.4632192208395696,1.446147293465952,1.4374690406469426,1.4245939019224187,1.4163420693472206,1.4081096119491214,1.4039807070935781,1.4517317879601983,1.4949625946143286,1.5659012331077398,1.6230143590752169,1.6490753273719674,1.7133936346678782,1.8094525159553416,1.8897990307223593,1.8737161235432667,1.8545933378405124,1.8864770805010747,1.9166670125526677,2.029649149423491,2.089600421682089,2.07130220957105,2.095767479571084,2.154621770423852,2.257582690221517,2.297927913790403,2.362157626854006,2.4069334818741854,2.5065419836824474,2.6226553207139567,2.694427053047384,2.772871979339176,2.9051654804192575,3.0443087648652627,3.1893330651803327,3.345716258575381
5-2802567,,,,,0,0.9869560185185184,1.001244148474352,1.0019558337816006,1.0025525505511643,1.0125684987142252,1.0183672733013103,1.0089610631559336,1.009226003011728,1.0059728439716011,1.0222347746821443,1.019456086902301,1.0661656295565607,1.1015664163381542,1.1071500570692134,1.203930462243413,1.2727044045085436,1.4181024104170719,1.3793286043037207,1.3536853550488748,1.337069851541293,1.3245007923514986,1.3050097423716822,1.2959213068034965,1.284117100342851,1.2701281321051139,1.3180661762213768,1.328559568879836,1.3441863105096752,1.3732465671421483,1.4630499412776663,1.5278183608674545,1.5541825299147152,1.529285186803069,1.508138600047301,1.4946817755775519,1.571109982598256,1.5820378333919087,1.5832974146890848,1.5698963028764719,1.5553758032777452,1.5426582839227099,1.5241970585701425,1.5153533975585025,1.5033516804964846,1.4908423667128818,1.484068820010282,1.4738344833804398,1.4561754252858132,1.447009032638423,1.4333736408013729,1.4248438617469017,1.4163642060070114,1.4115039298570982,1.4606059709313977,1.504880708845939,1.5774986888040203,1.6359925826231816,1.662972492500299,1.7293059646005209,1.8279163647948917,1.9107633751510815,1.8939328478934387,1.873849504913895,1.9061114144999958,1.9373654925291701,2.0538359240587543,2.1157289267648185,2.0963995004110108,2.1215661561029617,2.18218152777904,2.288281138593348,2.330743159678345,2.3971004298215144,2.443526898651072,2.54691758924274,2.6676336521152852,2.7416433092542247,2.8241300547990686,2.962008030746465,3.1078348287572637,3.260204722301157,3.4242455546989015
6-2802553,,,,,,0,1.0133266203924,1.007289939016611,1.0059123704156347,1.0046495935808124,1.0122679558142347,1.0024839316785625,1.003376467225003,1.0007313125392647,1.0191880458075206,1.0165387745913899,1.0730307449940255,1.1110277914073197,1.1165456926310602,1.2207796850902979,1.2907304262876345,1.4447607459835323,1.4008599647183988,1.3725090462519463,1.3539936369102685,1.3401420491261458,1.3190003507536694,1.30905403581604,1.2959673011652688,1.2810602084893503,1.3217203770132302,1.332315358796944,1.3485537346344638,1.3782066520850575,1.4709891380345204,1.5380371399062394,1.5649833548665497,1.5391691352539665,1.5169801251710813,1.5027389082540057,1.5811141912769366,1.5923172001316535,1.592905699139718,1.5790758961767826,1.563826862781865,1.5508656794284779,1.5315758351281352,1.5225156851861743,1.5099520444546302,1.4968858206391127,1.490338167910942,1.479533395635009,1.4609853167938545,1.4518479415149357,1.4377997167864136,1.4288702205119463,1.4201565115492993,1.415503305961918,1.4651031071015423,1.510356025744333,1.5846985673866303,1.6445936156062033,1.6716223747957544,1.7394784449145804,1.8407380835591918,1.925654288976834,1.9083451682642822,1.8955361020108008,1.928491215197779,1.9606471464614323,2.0810361397429604,2.1447769806160597,2.1246015238737335,2.140529876753785,2.2031397847742418,2.3123031551665534,2.3558470408245378,2.4242273463520565,2.4721084494968375,2.5788417137761135,2.703879691895837,2.780998857773472,2.8660042430734514,3.0091464008007267,3.160479371364826,3.319562840951932,3.489775362493534
7-2802543,,,,,,,0,1.002997286506098,1.0034473682062666,1.0025860092664114,1.0120473551373792,1.0006507045147683,1.0018720107242587,0.9991785529288502,1.0198131771346624,1.0168366694729205,1.0785769634544122,1.1195271910798952,1.1249985229515727,1.2380620782481953,1.3087611866705589,1.4720146195294337,1.422703968424704,1.3914107167237126,1.3708466513714594,1.3556256119822916,1.3325669827274602,1.3217258801953435,1.3077794384271033,1.291459775635733,1.3333665288184535,1.3440933149629368,1.3606129458342258,1.3911999083453603,1.487950376817029,1.5578519879879595,1.5858425679233386,1.5581076145930526,1.5341407005699248,1.5193755740338946,1.5996832575596556,1.6103273360798969,1.610753680728312,1.596065473175583,1.5799233073475236,1.566060678758407,1.5457231232529525,1.5361488876292184,1.5230364118162523,1.5092869711725827,1.502057006627865,1.4909547684498192,1.4716211625989701,1.4621616540950315,1.4473661705970724,1.4379150250979593,1.4287373793206908,1.4236578890569023,1.4747182431265469,1.520821607324416,1.5971036316365306,1.6585162162774003,1.6866519554451538,1.7564812368152276,1.8605607461409406,1.9482382986600928,1.9298029654004787,1.9166189822003012,1.9502610604119452,1.9833170988603839,2.107635826971747,2.1733865742721976,2.1521972100411833,2.1685282079433423,2.2331186799353615,2.345991904376795,2.391135699776474,2.4620921659299153,2.511826316300239,2.623275283302967,2.75332959953032,2.833808728587036,2.922640642307746,3.0722194719640834,3.231282512852279,3.3986023403749397,3.578895727293338
8-2802364,,,,,,,,0,0.9981069803670631,0.9990914030988514,1.0130444707261048,0.9978812019338873,0.9997999160824512,0.997008889230173,1.0215997620759718,1.0179124668990278,1.0888631945181848,1.1347351011498306,1.1399061901871599,1.205654074029909,1.2874945750284126,1.4606674367511863,1.410220888322576,1.3783696542667507,1.3577447536690517,1.3424821088032375,1.319227725473001,1.3084704590027707,1.294560131505411,1.2784946821453254,1.2868260807240528,1.2986498705036889,1.316967830551148,1.3474653864570665,1.4432427356672008,1.5122549270413617,1.5407505586364962,1.5146898141718286,1.4928960661035746,1.4791454304366447,1.5332654639772854,1.5462048773693524,1.5481739339290428,1.53519581123293,1.5206903661125968,1.5084264902290208,1.4903801587800147,1.4819536065950742,1.470437335697052,1.4579850224943107,1.4516339444713717,1.4418458047406961,1.424416163459782,1.415881928319084,1.4027854902249286,1.3950215799983503,1.3867926744601236,1.4086701512835909,1.4597874282805163,1.5062808628149176,1.5829323398587514,1.6447927434827554,1.6730922205895258,1.7431095798023888,1.848171980229491,1.9362892720639477,1.9181517116697493,1.9213737012281995,1.9556741450019384,1.9894363826183956,2.116649751836459,2.183955428979047,2.1621241819468335,2.159246084548466,2.224609212888183,2.3388082149251366,2.384440777864949,2.456196950071277,2.5065142971199346,2.6186499890549433,2.750874167434646,2.83247648199207,2.9223277354112227,3.041393628748594,3.199046219451282,3.3662279521731815,3.546471278480456
9-2802548,,,,,,,,,0,1.0004159060976454,1.0246481325756611,0.9967024446847226,0.999704731360848,0.9960630607508794,1.0270517087914919,1.0216155210786562,1.020844421988461,1.0769230511021135,1.0867916692997264,1.123386503570644,1.233929838112638,1.4173962990495519,1.3700081609276613,1.3398709407245641,1.3210236911718811,1.3069310726498102,1.2855626304030443,1.2757311191057823,1.2625884273101182,1.2480600458379265,1.2578638962559845,1.2706553565448366,1.2903628652744175,1.3215539884576781,1.4185204229078858,1.4888010775572245,1.518227852194078,1.4929668739672743,1.471176744884079,1.4577801270101092,1.4298958696796624,1.4454557327040185,1.450071778930648,1.4399653644043677,1.4283208115698065,1.4186078403857683,1.4040231003027668,1.3974231240591972,1.3880419022712773,1.378264291737001,1.373128629598089,1.365156238492389,1.351117024553104,1.3443132986619142,1.3335663470721575,1.3519723529749077,1.3444881305714536,1.394872364731018,1.4464748179244218,1.4931980312834707,1.5707046871112973,1.6334564423230589,1.6619590718168145,1.7328103392737344,1.8390924063457534,1.9286271510659845,1.9100359271917113,1.913720888282463,1.9486249116931638,1.9829052508627567,2.1120490162462007,2.1804706022049043,2.158326164115732,2.1556003835352073,2.2218615459327107,2.338036176922265,2.384099352975812,2.4576061918678715,2.5086878630753278,2.6235661129472825,2.7584340155695743,2.841910063043651,2.933911551241161,3.0550148887356636,3.2174316261365914,3.3889561113316184,3.5741927356272263
10-2802290,,,,,,,,,,0,1.072041579832777,0.9941124226449689,0.9993521617940918,0.9947316748533808,1.033206925683693,1.025467471189034,1.023522102804771,1.0210096925178487,1.0179342658595816,1.0187011571421571,1.1094871973169727,1.292154006004275,1.2605182763742269,1.238922625343743,1.2269587378353068,1.217416671698569,1.2025003465308042,1.1957427110167407,1.1862460174826308,1.1767669122233482,1.1891377344514185,1.2031125621187628,1.2251909121616402,1.255990801407359,1.3482186781784289,1.4151862638014987,1.4446514591578636,1.423208596708212,1.4054241294162055,1.3940875363198413,1.3724660379590585,1.389305929705488,1.3952714576771432,1.3863396901091365,1.376422883595965,1.3679298510638984,1.3551610646076666,1.349633554024104,1.3414006525020237,1.3329181846220168,1.328625058984053,1.3215777519475573,1.3094371420702065,1.3035035391678702,1.2942053179431416,1.312872049023666,1.3064151439388088,1.3561576601143002,1.4066264465241571,1.4523138765054118,1.5273377298738795,1.5882450600789733,1.616168850136532,1.6848943877897586,1.7883490310636834,1.8753210238260194,1.858241572734623,1.8623587019540686,1.897094422077926,1.9306521132382508,2.056006508897024,2.122713980621714,2.1019033275019416,2.0996980873985125,2.1638221614001014,2.276443557264279,2.321654444525691,2.392465499874735,2.4421229610994133,2.5530524021481273,2.6834167820178894,2.7640415293588974,2.8525567407335,2.9703959075522044,3.12632395898676,3.2920859210980646,3.4693767663370867
