순번_정류장ID,1-2800269,2-2804581,3-2804582,4-2807389,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804045,14-2804048,15-2804593,16-2804049,17-2804595,18-2804052,19-2804053,20-2804597,21-2804603,22-2804054,23-2804600,24-2804057,25-2800292,26-2804599,27-2804063,28-2804061,29-2804059,30-2804060,31-2804605,32-2804607,33-2804609,34-2804554,35-2804552,36-2804550,37-2804548,38-2804072,39-2804545,40-2804546,41-2804068,42-2804542,43-2804540,44-2804538,45-2804536,46-2804065,47-2800296,48-2800298,49-2804064,50-2804535,51-2804537,52-2804572,53-2804066,54-2804611,55-2804086,56-2804613,57-2804089,58-2806223,59-2804091,60-2804093,61-2804615,62-2804617,63-2804094,64-2804619,65-2804097,66-2804621,67-2804623,68-2804098,69-2804625,70-2803915,71-2806315,72-2804627,73-2803913,74-2803911,75-2803908,76-2803907,77-2807376,78-2803905,79-2803903,80-2804629,81-2806221,82-2803901,83-2803899,84-2807378,85-2807381,86-2803897,87-2806317,88-2803895,89-2803893,90-2803891,91-2806220,92-2803889,93-2803887,94-2803885,95-2803883,96-2803881,97-2803879,98-2803877,99-2803875,100-2803874,101-2803876,102-2803878,103-2803880,104-2806321,105-2806323,106-2806357,107-2804631,108-2807383,109-2803703,110-2804580,111-2804213,112-2804211,113-2804209,114-2804207,115-2804205,116-2804204,117-2806290,118-2804202,119-2806292,120-2804578,121-2806232,122-2803608,123-2803607,124-2803606,125-2806297,126-2803616,127-2803853,128-2803850,129-2803617,130-2806299,131-2803618,132-2806300,133-2803600,134-2800273,135-2803601,136-2804331,137-2803581,138-2800271,139-2805489,140-2807150,141-2804581,142-2804582,143-2800267,144-2804032
1-2800269,0,0.9983519064087785,1.005736807194533,1.013281550224891,2.5121502995663887,1.7958800653609508,1.6720369557092718,1.5486194829570779,1.4702364035199638,1.3988356948779557,1.3556450974413743,1.2664344519963697,1.2066449770214474,1.1914932138810135,1.1757481051781697,1.1320742389151115,1.1187886988481968,1.1089140164031965,1.092866878359342,1.1181277053144536,1.1090280582676022,1.1058155030863401,1.0970099559768989,1.093854440797317,1.0918112137012936,1.0886814300892473,1.0856023028692052,1.0843485459063837,1.0827128329901772,1.1171629165322297,1.116886086451133,1.1150969740739118,1.113134228666124,1.222072583532047,1.2810664064888428,1.3435684447366865,1.3676184554589597,1.4231126935399836,1.4582519574138255,1.5189314679873642,1.545980158265814,1.6042903658177952,1.6367139909146171,1.770213906228154,1.8728514711506017,1.9172098766949075,2.110803899239912,2.091560303123446,2.0550565676491703,2.034358366022214,1.9996171591080074,1.975331811727224,1.9218765681775631,1.875716841931868,1.8449743770862996,1.8224613084230832,1.8001039357265558,1.775520041942571,1.765312171885447,1.74346209464801,1.7324012504921917,1.7051150749059134,1.690733682881928,1.682449410532613,1.6627577349461966,1.6467435416884724,1.6268448790970218,1.6189830285149174,1.6062647845258973,1.5991138767900828,1.5926528246260785,1.5833712833858429,1.5758650851559146,1.565693079276608,1.5551360194411756,1.5465600748005999,1.5639853279090892,1.6041498845535034,1.6459516217458288,1.7296067353444757,1.781195963068971,1.8136246938678349,1.84402066028751,1.8702534034028355,2.0149686997980027,2.039818628134485,2.0749115665907256,2.124708720344798,2.168748587792513,2.2367503847139365,2.4787141355601197,2.609530470515075,2.682360274511786,2.8162095675059797,2.910484755483606,2.9304238027873306,2.9298431317622566,3.0013158358631706,3.2169101949931673,3.217806224428646,3.1069614945475457,3.064781037433185,3.155305096110018,3.51786358309535,4.288328933624986,4.811618893005306,5.2396675269956186,4.761203452644211,5.051522409006315,5.1382895315316235,5.399623069782664,5.599641457729984,5.892724956745611,6.13398785397051,6.661044619127464,6.8443072695975875,7.1406081182893955,7.516391031874578,7.764695406211146,8.14550895795532,8.744515013984433,9.171076447898718,9.906362046101664,10.382970283005335,11.40370870144971,12.085113096453744,12.547198965453402,13.57554250827104,15.444563746451427,17.546342387292903,18.838546018690206,20.624690232506918,25.860824731366243,31.06865359019324,34.18632987519285,37.22246392916827,42.89513155658244,59.556162900588745,100.4131117121818,200.80374693362862,216.73066905768331,117.91689882302128,92.79592482776454,402.9204158190209
2-2804581,,0,1.0110687855548655,1.0230556736081597,1.3453836494613705,1.2114569225914606,1.1880128301529196,1.158986906545682,1.1393314955702087,1.1202764269700534,1.1061803759061108,1.084852502864133,1.0665378499833411,1.0637174807125898,1.0578905996990735,1.0449315834182866,1.040537995244456,1.0375882562829797,1.0321377556890732,1.0574457706598888,1.0532580647955745,1.0518067436520877,1.0478422517867438,1.0471615287306677,1.0460413029743885,1.0444753123673962,1.0430918565657221,1.0428776544387885,1.0420039270764705,1.0750645505532694,1.075866218336439,1.0746991930129137,1.0733072709418847,1.2057678199363813,1.2644202799140734,1.3267958741850865,1.3509050783983676,1.4060082158729672,1.4409156744370881,1.5013527628968264,1.5282941868765105,1.5862801456494608,1.6189017765395113,1.7518417915261908,1.8540237499303256,1.8981123885879474,2.0916071152214504,2.072473852692105,2.036685649866686,2.016126157242193,1.9823053104147117,1.9583663099055884,1.905786551137172,1.8598369776458155,1.8294679813804302,1.8072033825526836,1.7856963892816735,1.7612030399844558,1.7512541077419888,1.7297503640336886,1.7188692866831883,1.6918586305911654,1.677877432913478,1.6697288981303193,1.6502090757561318,1.6346859094655706,1.6149714198752485,1.6071791382693001,1.5950107989484361,1.5876483316358214,1.5814287861430758,1.5721795729667254,1.5648652729054755,1.5548085197342394,1.5444361756266038,1.5361866389027978,1.5535385766533685,1.5934929064676995,1.6353292142092846,1.718674732595981,1.7701568783058703,1.8025218749005303,1.8328576094219327,1.859199553477172,2.0036761954739077,2.0284896462133015,2.0633421527995988,2.113061276793873,2.1570352157001254,2.224939568136228,2.4666088379066173,2.5972993918667044,2.6703649165209105,2.80383380992683,2.898060862933031,2.918066224952843,2.9176530466594106,2.9891018955440596,3.2050595210231734,3.2059680665599606,3.095034241069805,3.052977685235644,3.1435541910426754,3.5066116992168674,4.277331348934043,4.801545527577283,5.231555242577721,4.752187064772502,5.0433782034496035,5.1295447477033145,5.392454727521516,5.593105034161525,5.886138088889805,6.1282422967547845,6.657385846682158,6.841455433430165,7.1391512572647695,7.516860833226384,7.766535258189895,8.149600040371427,8.754768940573392,9.18460392698073,9.926092012754493,10.407098016442493,11.438268909670738,12.127395295417891,12.595067485164458,13.636848069036894,15.533894925077707,17.672710545047956,18.99060347310658,20.81593747589226,26.191598609477456,31.575190838218106,34.815846229252344,37.98445328526778,43.93911629048843,61.690800216395424,106.9533982020788,229.84333902998506,inf,255.37833565471294,115.30441602316601,141.83657642673413
3-2804582,,,0,1.049512211382475,1.0014419148058271,0.9952065678269505,1.0004275111666714,0.9999618715154801,1.0005892326658092,0.9994908079827836,0.9965629848034216,1.001485245726854,1.0007601060898836,1.0032871188072958,1.0017614824040209,1.0025724955561266,1.0022641594495891,1.0025361887154665,1.0020664212459571,1.0276258049797533,1.0256243981970576,1.025122061068514,1.023454216549484,1.0239639848415485,1.0232827603445904,1.022370474234066,1.021896041346429,1.0221866639778048,1.0215921943543842,1.0542724966910728,1.0555995364856101,1.0547259641141133,1.0536017305044691,1.1695303197147884,1.2263967554527164,1.2866024270318732,1.3097307398922298,1.3628237282714915,1.3968206793423639,1.454990661490794,1.4809374402195625,1.5368598327327685,1.5680345270294842,1.6957502293923463,1.7939898769498341,1.8361196782022196,2.021648495817353,2.0043082436065816,1.971705935082645,1.9526804585460382,1.9212598726332142,1.8994133354086853,1.8509853992713161,1.8089072979745844,1.7806446618726195,1.7601321591235302,1.739921340635086,1.7176689058666357,1.7080868317683005,1.6882974123066616,1.6781960836144771,1.6529991755300848,1.6399181863213192,1.6324112838859466,1.6143722512639456,1.5997637559824542,1.5813583385170373,1.574165817014011,1.562670943804508,1.5558515934092998,1.5500439423372958,1.5413999464245394,1.5346208931004164,1.5252721732732235,1.5155637592183426,1.507677451188978,1.5246491604408943,1.5638212470613304,1.6045736877208572,1.6862274425438837,1.7363367062983823,1.7680634029074407,1.7976544004015655,1.823191816674359,1.963972864104787,1.987961483426646,2.0220689508798135,2.0704509167720375,2.1134222046474846,2.17924272811618,2.4141200806439596,2.540815718491337,2.611031495432462,2.7404633955269824,2.831541108850871,2.8512673420569414,2.8517596611475264,2.9208141651558432,3.1287010833135174,3.1296553635285465,3.024738017453666,2.9849358820707126,3.0728575619696814,3.4226939056212444,4.163267744418158,4.664786839297373,5.072736878717943,4.621817344318872,4.9024475103623715,4.986216017216153,5.235012447815245,5.4257672700852435,5.7048242960365405,5.934190323179447,6.4338837194335685,6.607266426607426,6.887123070195701,7.242923510849716,7.474918626153369,7.832431686515253,8.3950941733002,8.793155241006517,9.476912254524937,9.918414782393075,10.859476971756564,11.484432399036184,11.906703377748862,12.842142083194208,14.526948890607388,16.39864260634643,17.53747239272208,19.09683174739051,23.572536441334027,27.886216066008952,30.405808322377318,32.81661317787671,37.20830211435274,49.32528739525041,74.85924469638807,120.19457373268206,253.3561980836033,inf,208.58207540709702,91.364359661094
4-2807389,,,,0,0.9948679089312162,0.9906551397662543,0.9968833388870199,0.9969561116595662,0.9980025418633934,0.9972034860226803,0.9943625629605641,0.999981209687821,0.9995559448229882,1.0022397775428442,1.0007570216130528,1.0018295983430212,1.0015890141665926,1.0019218583757288,1.0015345978667745,1.0273836173720021,1.0253801720633922,1.0248805898749072,1.0232184759208223,1.0237442096016665,1.0230613881483723,1.0221486125063048,1.0216789848362615,1.021977038441789,1.0213814921517714,1.0543089914580706,1.0556449523043028,1.054764352080165,1.0535747410384937,1.1531867597801146,1.2091323411219241,1.2684774107762329,1.2911681707763234,1.3436499269313527,1.3767667824309635,1.4341418799635663,1.459650299584487,1.5145216766013017,1.5451495071192454,1.6706761270645003,1.766827365451077,1.8084057369287574,1.9906011047227532,1.9735289285322917,1.9426066638127852,1.924179872680861,1.8941214110648932,1.8728767921061158,1.826275443860965,1.7856489589015245,1.7586272683261475,1.7390368096061555,1.7195254297789624,1.6976840669690292,1.688523509416915,1.669585549104327,1.6598293399991786,1.6353942832943043,1.6228260059522184,1.6154923512676178,1.5979004609223824,1.5837722132275711,1.5660907135101927,1.5590693541255474,1.547938030382178,1.5413956219189757,1.5357720917763658,1.5273988926587427,1.520891337824176,1.5116561720199286,1.5023065556246924,1.494775600105139,1.5116043248436155,1.5503742633740345,1.5907003625249851,1.671346435151828,1.7210396451588181,1.752270643931314,1.7815241810932037,1.80676914002135,1.9458872120988142,1.9697623454825774,2.0034574451253455,2.051245912356994,2.0934886065163902,2.158669037677127,2.390185195740536,2.515084062986741,2.5845590963043445,2.712082821619666,2.8017743348786643,2.82137635765541,2.8222640057739032,2.8902650446747318,3.0950520589625636,3.096025594916981,2.9935493854807658,2.9544863345622616,3.0412386644381653,3.385465673542859,4.11268396837612,4.603289707447392,5.003164847323494,4.564438649377294,4.840502372119191,4.921754464697081,5.165968626268866,5.352480183748863,5.625097809341799,5.848990436426979,6.336070401391142,6.504889402954134,6.777144799224481,7.1213915783864365,7.34813620555018,7.6966155777123895,8.23962166207296,8.624364747772823,9.284042720681445,9.709151335529654,10.613054221170383,11.21172522677449,11.615489470896678,12.507840786636729,14.10767132547129,15.874108071394375,16.94332037299261,18.400534314403192,22.540166246283405,26.4700915277304,28.739042647937943,30.8924289256908,34.77018766953471,45.180821525428904,65.8226352200426,98.66436468630587,174.03098957852143,560.370363785862,330.3453722054171,88.452652752229
5-2804034,,,,,0,0.9839866068636616,0.9991376838937255,0.9986199066155653,0.9999782903386261,0.998376693594555,0.9941419689210821,1.0014995738069226,1.0005892709809163,1.003703637393964,1.0018273195036393,1.0027406925896696,1.0023730988436979,1.0026676092847886,1.0021298025473697,1.0302462214519712,1.0278455410161198,1.0272228677560176,1.0252267617021682,1.0256824411235665,1.0249157471575847,1.0238828694760427,1.0233138278256475,1.0235880890700884,1.0229299648718224,1.0578390842825331,1.0591566790105718,1.0581725676592373,1.0569283539024317,1.0805590065741482,1.1335414105827955,1.1898040846285798,1.2113754591689188,1.260925777861937,1.2924090877143868,1.346668307043474,1.3707666865752304,1.422684958243661,1.4515861511399129,1.5698071255319332,1.660367732633966,1.69935376097953,1.8707870549370735,1.8564223738403218,1.830215879613855,1.8145444440946301,1.788558724666772,1.7702634960459038,1.7300425870084801,1.6949264239582997,1.6714130158447302,1.6542035886104145,1.637212008475,1.6182673717703453,1.6102889305289596,1.5936345450097142,1.5851408297961844,1.5640175831861112,1.5528975689214117,1.5465580687400855,1.5312924561843597,1.5187896620241659,1.503272747044109,1.4972049740699749,1.4874269740858101,1.4817388069663269,1.4766895228028205,1.469338026283659,1.463514032078151,1.4555023690670312,1.4472320536374301,1.4405683115799344,1.4570117033406147,1.4944790039951743,1.533547142799832,1.61140835733031,1.6592201624797658,1.689346144568325,1.717687580145908,1.7420269947678715,1.875873440611378,1.8988601774136606,1.9314531047345453,1.9772446469602845,2.018041489038889,2.080485680514086,2.3026155373622483,2.4222393306438796,2.488737443330999,2.6109549209333887,2.6963273378622,2.715971737291014,2.7177773577948225,2.7827252302036087,2.9780551351299183,2.9791025134932587,2.884249591594288,2.8478174888073355,2.9314573596478666,3.2601523903798917,3.9506170766553725,4.413942213220473,4.789812305022998,4.3843375169776015,4.648631617536613,4.725298553647271,4.956122568905238,5.13072228471692,5.387488792544004,5.5963164294418375,6.052225819190886,6.208318890714767,6.462653582062042,6.780589527231385,6.990323878396838,7.310286354041746,7.811144218309025,8.163492895663362,8.765162346973769,9.151148083725166,9.967334497444707,10.504694471095815,10.865609678575105,11.659128697066611,13.067349508068013,14.601500289427872,15.519659522587434,16.758464476044193,20.201486651487112,23.368216469571493,25.153476136005523,26.82034683339715,29.753917426159294,37.22846686873908,50.51743459156288,68.26666801925967,70.27699613483654,66.54041327167616,99.10578653006336,146.73575988643586
6-2804035,,,,,,0,1.0356309674628432,1.0134646887439627,1.0105589271315196,1.0050658878497707,0.998008837804849,1.0055444280165096,1.0032751272954425,1.0065318659924332,1.0041413521636489,1.0044309768903554,1.0038363370433407,1.004004776347187,1.0032142792443193,1.0329705479461755,1.0302046981712465,1.0294650807943952,1.0271587511456344,1.0275288499071988,1.0266901252570821,1.0255521475171099,1.0248894522044893,1.0251328496016714,1.0244219003683823,1.0607178685409742,1.062004500254611,1.0609387718274097,1.0596086660102397,1.0546277653942497,1.1071052070678242,1.1630488195359714,1.1845039253652285,1.233797608444912,1.2339012870476989,1.2619199140975532,1.2842879179822124,1.332363678127171,1.3591242483193384,1.468457400326214,1.551956736773913,1.587826713692706,1.7456323541588084,1.7339071573132776,1.712821451780771,1.6998792232085194,1.6783913137034163,1.6635272469543916,1.63004646537083,1.6005492849067164,1.5810581219908186,1.566899322971162,1.5525484452578477,1.5365533134212426,1.5300779187263014,1.515837916916211,1.5088408700539688,1.4909374882402677,1.4816012877606848,1.4761104516765557,1.4631149072051193,1.4526271544267149,1.4394167586728923,1.4341732298241017,1.4258381089290475,1.421048140634936,1.4169078068104393,1.410581969697802,1.4055538748716816,1.3987611291832869,1.3917401957551694,1.3860459451863874,1.40193448372229,1.4377273292164483,1.4749054854608805,1.5490757690830868,1.594726225261311,1.6234033436945672,1.6502888592881442,1.67343038289328,1.8006440256281229,1.8223692193922967,1.8530928156853328,1.8966966129210068,1.9351264654553608,1.994325948623122,2.2037451137289406,2.3161645534095947,2.378573519770705,2.4926675620843572,2.572874718982869,2.5915351337741646,2.595292017396229,2.6561431875878045,2.8379788940236823,2.8390960666677065,2.754055442125548,2.7213866871024686,2.8001193991415056,3.1057627793693667,3.7432484900384564,4.16717985010396,4.509819858222276,4.150082913053463,4.396590171482241,4.466876342099131,4.675852209123502,4.834937859577551,5.066202119010465,5.2556076645450265,5.662022259984077,5.802733494929708,6.027601103505261,6.310101214832932,6.4955536440742145,6.775702426151418,7.2116242601467615,7.516720059819985,8.034053406946112,8.363393386300595,9.05332087751924,9.501684176651851,9.801550470747431,10.456783221475485,11.597868440819399,12.814323625473818,13.529330392497194,14.47591337404332,17.031331240584674,19.270645288716732,20.49037334232039,21.603593477007028,23.502089188502506,28.01203981348291,35.08952159522701,42.98187114301439,43.85335714154051,42.41949462743782,53.897463996691386,65.87752038825236
7-2804037,,,,,,,0,0.9973356941107036,1.0010619981656395,0.9977563646641752,0.9909437974404459,1.0023534433600536,1.000945240827841,1.0046889449641476,1.0023491155973274,1.0032181140497338,1.0027498967699997,1.003036130844286,1.002389246699256,1.0329037690408966,1.0300806593415708,1.0293293158617742,1.0269906210282982,1.02737710184711,1.026526251076769,1.0253739723480426,1.024707691399054,1.0249599689314144,1.024240733041425,1.0611305429766071,1.062425955920866,1.0613366526351462,1.059916712769149,1.0548392305044172,1.1081440221961596,1.1649505741843824,1.18674821812414,1.2368533354838513,1.23692477540431,1.2321129241126259,1.253930131067861,1.3008141823606307,1.32689749993996,1.4334887101771223,1.5146482796253218,1.5495438519259865,1.703279603135338,1.6926166119447532,1.672810362389209,1.6608436002926346,1.6408245771447159,1.6268822368993752,1.5956071431821897,1.568199934407701,1.549975099489006,1.5364738640593318,1.5230980152369595,1.5082494191802756,1.5019631806745937,1.4888167183438221,1.4821203967437782,1.465310486479634,1.4564785392871125,1.45131890883524,1.4392287677997229,1.4293677995161256,1.4169865633009353,1.4120034346256134,1.404207060331015,1.3995332850070936,1.3956404939505307,1.3897883972844642,1.3850482197961846,1.3785973686954314,1.3719324315767163,1.36656924065229,1.3792689972221495,1.4143907620828313,1.4508592634081752,1.5235249803780726,1.568260352583051,1.5963584303527207,1.6226265857239333,1.645289150422174,1.7699390217590192,1.7912718815114956,1.821169513778052,1.863720740026241,1.9012805438036702,1.9591153425615289,2.1636968323672217,2.273285356156298,2.334090624309634,2.445045275395689,2.5229274107598356,2.5415091795668494,2.545973984031069,2.6047484084437125,2.78203234662302,2.7831754462569487,2.701561974571971,2.6700167569104187,2.7470175759677153,3.044395909937813,3.661162114100074,4.06968733422168,4.4000893444684,4.057806449005613,4.29768682106671,4.365114097597443,4.5666015013977175,4.7195666868942805,4.941634004853411,5.122024642329638,5.512646545735986,5.6455833400792965,5.860027060618415,6.12901004132598,6.304678198736389,6.572509137655528,6.9846475199153,7.272827116839882,7.760197138278444,8.069574520852083,8.715435922650219,9.134857817507166,9.413902293109578,10.020269696330855,11.072163594730387,12.184922781068098,12.83483919849997,13.693232246495299,15.974557362679068,17.944708587177693,19.00589803377565,19.967519894110215,21.59139644268882,25.38075763886499,31.093584418447463,37.187661044800706,37.8647765005596,36.80712312421369,45.22284224670197,53.48691747671766
8-2804039,,,,,,,,0,1.005106741264544,0.991142437045985,0.9839117759496662,1.0008099358509757,0.9997987731634277,1.0040449598125927,1.0015799884329506,1.0027546646235446,1.0023227032690534,1.002667488483011,1.0020620775329343,1.033654444996371,1.0306725163342876,1.0298757105265417,1.027417077517765,1.027789220788147,1.026907584281939,1.0257131598135714,1.0250163337082068,1.025265902532547,1.0245248812462402,1.0622607870628353,1.0635518946690252,1.0624205102300754,1.0609536686087335,1.0557455237280586,1.1100845303740536,1.168117068008867,1.1904017167177878,1.2416614138942552,1.2416799074819895,1.2366611902529634,1.2590533162727595,1.30704559820935,1.333682535525614,1.4429926945295553,1.5262681059569614,1.5621474524262138,1.7205082093610713,1.7093054192246677,1.6883584650509698,1.6757248957875803,1.655000955542609,1.6404260716241672,1.6077151579902915,1.5792842653418213,1.5603380940606237,1.5463256873325124,1.5326178404526787,1.5172287192091025,1.5107177622921528,1.4971109764399764,1.490111654389254,1.4727446967038582,1.4634950217235654,1.4583704592320952,1.445774887976976,1.4356162020869232,1.4228740855563138,1.4178036846429607,1.4097300337119563,1.4049832648005944,1.4009263478565694,1.3948070171805935,1.39004852284848,1.383375839416844,1.3765902353566009,1.3711393355185815,1.367235212663234,1.383468743678525,1.4189996722960543,1.4898696755453211,1.533406569004911,1.560746671173289,1.5862932716121996,1.6082679969469134,1.7293709877908947,1.7500864301060102,1.779106321224399,1.8204668472634646,1.8568952493625492,1.9130406302163594,2.110886224726576,2.21666897306179,2.2754888339274744,2.3827645790917065,2.457822481699104,2.475986463856368,2.480915188078002,2.5380728519706395,2.7081217731194003,2.709445610370237,2.632515223977305,2.603194606835953,2.677772294393441,2.963167919557042,3.554503949629946,3.943790982629117,4.257196184078801,3.9376625447073423,4.167747700075933,4.231904415616257,4.423322616690164,4.568416091093895,4.778679857586807,4.949599651374274,5.317809476737809,5.443783108158536,5.645188035602885,5.897309005699322,6.061611261239453,6.310384399523488,6.693746744776662,6.960924639141416,7.41043697655314,7.6960881638886605,8.288062283843999,8.670694528757,8.92444338449708,9.473679014989651,10.419272272069263,11.410025916104646,11.982087701844076,12.735022213657372,14.708687460329275,16.384863181759485,17.27000989512337,18.07345252193272,19.407758000968286,22.443728460537166,26.85893528069903,31.33800197876743,31.829676808309593,31.108458168815986,36.98078788947937,42.434147976770525
9-2804041,,,,,,,,,0,0.9798119811288064,0.9739894918289617,1.0000102128354917,0.9992023424463512,1.0039428892507074,1.0012812860918836,1.0026257645244603,1.0021904236510095,1.002564512513028,1.001956967978161,1.0346240461861171,1.0314589874737257,1.030608016866829,1.028008110633043,1.0283547947353322,1.0274390316454791,1.0261967947526935,1.0254625083071456,1.0257050107823242,1.0249397592874738,1.0635047900049022,1.0647861009315152,1.0636105991292795,1.0621616463389916,1.0566290640585059,1.112092758435466,1.1713230376533708,1.1940840489947315,1.2464744261360592,1.2464376094208836,1.2412105500250892,1.2640940967708416,1.3131681359347644,1.340507789692328,1.452502189759573,1.53807404848571,1.574936628545666,1.7376806967086733,1.7258068159576485,1.7040561893054054,1.6906229937664903,1.6689754989060643,1.6536608631786807,1.6199109336114896,1.5901700623084252,1.5706818273756797,1.5559864343163157,1.5416309436475286,1.5257972926672332,1.5189905247943105,1.5048648364220047,1.497934156628949,1.4798781125840867,1.4704839370983247,1.4651356430807203,1.4521688169815563,1.4418419989917184,1.4286806384764632,1.4234087333315713,1.4151763590749158,1.4102467493558828,1.4061944115701277,1.399969470019575,1.3949249177308594,1.3882431820191454,1.3811313527091256,1.3755467175568088,1.371651317930657,1.3663086721897222,1.3903788603771206,1.4595584353091358,1.5018616739311754,1.5286413857122851,1.553426966315956,1.5749074914798877,1.6927942291201443,1.7130312073987934,1.741273339930301,1.781433239687113,1.8170873528176688,1.8715029749103682,2.063558130383738,2.165985566061104,2.2228477649396163,2.3268857284804043,2.3993316140137884,2.417363377347445,2.4297483462972878,2.4850180726335567,2.6503201026126764,2.6515198969088423,2.57837120428885,2.5502818403030187,2.615557652394214,2.8916488027078833,3.4592491266379555,3.831766315955593,4.131004532341825,3.83053241238214,4.053095318868233,4.1144352470992684,4.297199508822111,4.435543127424183,4.636754677435769,4.799305578606016,5.147726747212122,5.266955077696101,5.45634247966711,5.694101120065987,5.850349525859424,6.083077556723381,6.443652216896,6.693438800120669,7.1132679959883784,7.377134658567826,7.925078176385414,8.277849920212374,8.51115816510202,9.015681573301363,9.87553020866349,10.77222223441158,11.287669433546228,11.960149305103272,13.70084403491657,15.155338559253138,15.920442324007787,16.60362874187789,17.73405946762512,20.26751998459838,23.83870803477249,27.3275798993762,27.729826727911895,27.192556696904525,31.620919722601617,35.594117339064326
10-2804589,,,,,,,,,,0,0.9660450482080644,1.0060169924460023,1.0023188719491694,1.0071857841237417,1.0037835426999406,1.0042780854128959,1.0035822273364883,1.0038116429179542,1.0029409435394276,1.0370185773619869,1.033494179240587,1.032528830215093,1.0296347189474513,1.0298940589018284,1.0289141856056612,1.0275784086806956,1.026759089521499,1.0269709472736601,1.0261604049565207,1.065811696742902,1.0670567528811659,1.0658113677371943,1.0642221644848044,1.0584345808366165,1.115286947264208,1.1760803321425601,1.1994637746809598,1.253333150826042,1.25321422248863,1.2477737249077019,1.271223099329882,1.3217963651881932,1.349952430745858,1.465368936348316,1.5538185741416268,1.5919668732953838,1.7604797033490358,1.7479920317270468,1.7248390020878266,1.7108708886927078,1.6878502855318378,1.6715621433536973,1.6360162832413072,1.6046780488252614,1.5841466463534175,1.5689469283270558,1.5539389359404776,1.5374000299934345,1.530376741264859,1.5157219481274524,1.5082676321050765,1.489554200078759,1.4799272599080562,1.4742305785853105,1.4607694713354342,1.4499284292374803,1.4363605287852041,1.4309603413060632,1.4225007022703988,1.417286876439438,1.413152224468681,1.4066625010943374,1.4015638042228389,1.394554482217638,1.387270146632798,1.3815079393221532,1.3774428618197836,1.372086198504423,1.3665131397151395,1.4236640618146092,1.4648356667027094,1.4907136875956313,1.5148695753187726,1.53570428213465,1.6500093823629098,1.6695433804451691,1.6969537626792917,1.7358161035601398,1.7701538367767258,1.8228291120232254,2.0082036838167956,2.107090363705768,2.161639260501148,2.26147891421488,2.3311826252035237,2.34890655134864,2.459991865520305,2.5170629934147604,2.687604060125137,2.688802950346441,2.612415953127955,2.5831247491373217,2.543057794944466,2.8079053053340184,3.3502476971899453,3.7040713835151307,3.987589582635693,3.7076846057379806,3.921190906596192,3.979367488129365,4.15328536665473,4.283827375269163,4.473106346186621,4.626261151239898,4.953944413085192,5.064896352422674,5.2438152621458975,5.465465853680998,5.610104242353418,5.827070097702641,6.16023484223271,6.391653600773757,6.77837948776999,7.0205863598682665,7.522271480031184,7.842443932030491,8.055080863133192,8.510156095410643,9.283246270337344,10.079873347221655,10.535311092537958,11.124164445676744,12.639147580073654,13.879183250320978,14.5256002579621,15.099040313436321,16.039221103561385,18.10969765174903,20.93838560004112,23.631099190611327,23.94048792875296,23.549912802486624,26.840649278752636,29.709692229987244
