순번_정류장ID,19-2804160,20-2804158,21-2804155,22-2804153,23-2804672,24-2804741,25-2804673,26-2804675,27-2804677,28-2804681,29-2804683,30-2803744,31-2804666,32-2803745,33-2803746,34-2803747,35-2803748,36-2804688,37-2807370,38-2803604,39-2800266,40-2807368,41-2804602,42-2803580,43-2800263,44-2800267,45-2804032
19-2804160,0,0.968815123223515,0.981142492365556,1.0010404566269702,0.992326761893519,1.0007092178994668,0.9915402740399111,0.995255934870575,1.0021403919650467,1.0006062487896858,1.0005480928454114,1.0016481387306257,1.0003988950742586,0.9995130958652244,1.205734484732081,1.594794310884047,1.5384205596601808,1.4917939917512943,1.479104853930887,1.449941320925622,1.399641737313924,1.3809536677556182,1.3673151505626249,1.3580599950767487,1.3462460172251696,1.3342053243835148,1.3067642848181966
20-2804158,,0,0.989187863719181,1.0099555944470093,0.9969647115398701,1.0053251489675963,0.994128364957867,0.9979141448125496,1.0050878031423143,1.0029603512829428,1.00264498636224,1.0035907928071452,1.0021291052468704,1.0007345647336978,1.2181589035798241,1.633487495125621,1.5701346756628818,1.518177338034042,1.5041199956910036,1.4720363853120926,1.417085206695744,1.3968055764201928,1.3820789416906605,1.3721310740116728,1.3594300765625738,1.346499569448703,1.3171622585996385
21-2804155,,,0,1.025236176118257,1.0003334840187048,1.0099233447212663,0.9951727276288864,0.9995031273899339,1.007579444510735,1.0047223283344442,1.004160998588267,1.0050262253911355,1.0033149021152878,1.001637034061632,1.2381640549193134,1.7008936202073848,1.6243179814618076,1.562492848989041,1.5459378476977992,1.5085840225903058,1.4453859624573753,1.4223323186927368,1.4057237373041451,1.394585941203074,1.3803663730346556,1.3659214933224222,1.33338910334795
22-2804153,,,,0,0.9646852485306793,1.0002453001811242,0.9830539435650145,0.9910403687068353,1.0028001549142689,1.0004036831449479,1.000350459447025,1.0018591644313406,1.0001966631720904,0.9988315265849527,1.2668552205684886,1.812886975977366,1.7112796004737356,1.6315224968152044,1.6105398123025731,1.5640082986194308,1.486883468306835,1.4592742253425468,1.4396172705550099,1.4265695377857766,1.4099318532367051,1.3930973186827018,1.3556038214882415
23-2804672,,,,,0,1.0283570076994117,0.9902540492371226,0.9989009443637795,1.011687699624019,1.0065628472628567,1.0055062574856928,1.0064288857582497,1.0041147408985631,1.0022294123536761,1.2982537222189108,1.9239638413724076,1.7955306365143857,1.6972767711322756,1.6718277547414468,1.6161970449739507,1.525583731783734,1.4936505196414644,1.4711326683613808,1.4563093485574001,1.4374254862206652,1.4183789081364737,1.3763343282897509
24-2804741,,,,,,0,0.952780891005884,0.9810546998613373,1.0047139639013267,0.992594485845356,0.9940560400346291,0.9971602658130359,0.9955817564798793,0.9948367579982045,1.31850705654362,2.0595796394468047,1.890785265472641,1.7666222200437927,1.7351773240811235,1.6676599565192662,1.5603612570368552,1.5233487719050172,1.497543436499374,1.4807063481086846,1.4593248882042384,1.4378714869888267,1.3910334185805493
25-2804673,,,,,,,0,1.0264187133801868,1.0431604311721716,1.008185104791651,1.006113581796355,1.0073176427709887,1.0039886280302817,1.0011810301132738,1.0196616424240972,1.5620791206028308,1.4850077817394511,1.4268101930831771,1.411761103257315,1.3779941379370864,1.3234711329861912,1.3042987011833507,1.2904951009193644,1.2811252455234168,1.2695296072665743,1.2580277427012099,1.2324425061631574
26-2804675,,,,,,,,0,1.0575029526548219,1.0022981220714062,1.0015936314783496,1.0041395026737534,1.0008596735748885,0.9985618838971041,1.0006516488391581,1.5093674868279707,1.4372775571436327,1.383589435875057,1.3697919324487529,1.3387063906043306,1.288973747809997,1.2715962422536375,1.2590331697720807,1.2504387018012697,1.239912878194082,1.229546662687237,1.206493968427797
27-2804677,,,,,,,,,0,0.9689097748739269,0.9819652645158383,0.9912772730261503,0.9898422718053751,0.9904376449604096,0.9941665025301432,1.5736359656710743,1.4828116973196366,1.4171786219507077,1.4006136928190906,1.3639427488765394,1.306390310634902,1.28662494283249,1.2724909772051198,1.2629119622198732,1.2511888292801676,1.2396788316697729,1.2143264599911763
28-2804681,,,,,,,,,,0,1.0000268537838324,1.0035161897382676,0.9979288269629073,0.9956511363187633,0.9991358200558268,1.110459659108886,1.095102433928076,1.085553596424956,1.0832107677310496,1.0762590454452725,1.0663101042262226,1.0629923315492362,1.0600435149066432,1.0574784715256358,1.0549913810001241,1.0529363774035396,1.048021503179117
29-2804683,,,,,,,,,,,0,1.0067076016210244,0.9968368257141224,0.9944660449785669,0.9989555241827573,0.9967745355873017,0.99655665658473,0.9990948653648799,0.9999228253580101,0.9996290065161876,1.0008336145128318,1.0015005755206903,1.0012726818127466,1.0004032304475436,1.0002051933989193,1.0005351870533292,1.000841713418415
30-2803744,,,,,,,,,,,,0,0.9838431139196295,0.9893161510039098,0.9967624696698734,0.9949167973526556,0.9949578336557059,0.9980655077203676,0.9990439797928188,0.9987955977579899,1.00025416008451,1.0010216960697131,1.0007970345499861,0.9998691151225096,0.9996785197905287,1.0000589367432504,1.0004379964452954
31-2804666,,,,,,,,,,,,,0,0.9918857937619004,1.000299238711928,0.996750110828181,0.9964680272539286,0.9996935497779902,1.0007025353728856,1.0002638992495545,1.0015832473831239,1.0023123215859364,1.002004132141016,1.0009711929104474,1.0007164766307795,1.0010683171398171,1.0013536585539944
32-2803745,,,,,,,,,,,,,,0,1.0120653593383375,0.9993995821885974,0.9983341413221996,1.00220965002863,1.0033717580442978,1.0024795900625258,1.0036046797218803,1.004298591423817,1.0038128024722417,1.0025302675866754,1.0021493338641791,1.0024717871408588,1.002614309040082
33-2803746,,,,,,,,,,,,,,,0,0.9913196960809946,0.9926935532275738,0.9992584461457643,1.0009697926884789,1.0002441324039466,1.0021226905465324,1.003073760884911,1.002603396801114,1.001196614552009,1.0008478267958416,1.0012946533604057,1.0016198316742795
34-2803747,,,,,,,,,,,,,,,,0,0.9951767779504247,1.0062830275537313,1.0083424319415482,1.005386470055176,1.0062117183310038,1.0069332061696903,1.0059686393934237,1.0039702888340427,1.003316052430824,1.0036701539096797,1.0036546684877112
35-2803748,,,,,,,,,,,,,,,,,0,1.0169175314343646,1.017963599885354,1.0101575107055285,1.0091303950344968,1.0095402381309524,1.0080982137587884,1.0055859506923337,1.0046757467700407,1.0049571947864753,1.0046940006147296
36-2804688,,,,,,,,,,,,,,,,,,0,1.0213376326505896,1.0037134720740188,1.0061575262386948,1.007316797159569,1.0058082285268597,1.0028953140044934,1.002087691993989,1.0027077497253631,1.002899214896465
37-2807370,,,,,,,,,,,,,,,,,,,0,0.9963163844678448,1.0020829931821016,1.004303774000843,1.0031191140207254,1.0002258921689313,0.9996759495711768,1.0006162188232375,1.0012965124752349
