순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804164,18-2804166,19-2804656,20-2804168,21-2806206,22-2804171,23-2804173,24-2804745,25-2804177,26-2806147,27-2806148,28-2804178,29-2806374,30-2804180,31-2804182,32-2804184,33-2804744,34-2804746,35-2804640,36-2804188,37-2806152,38-2804190,39-2804192,40-2804642,41-2804796,42-2804323,43-2804320,44-2804319,45-2804317,46-2804314,47-2804739,48-2804312,49-2804310,50-2806209,51-2806211,52-2806210,53-2806208,54-2804309,55-2804747,56-2804305,57-2804302,58-2804301
1-2800270,0,0.9992239779422376,1.0013822496112423,1.0020618947973834,1.0038796305455182,1.0049905906216348,1.0047971491228072,1.0023459556744316,1.002590579848442,1.0029062164430518,1.000290903487045,1.001866984442716,1.0029003947728072,1.0021642252627518,1.0030646039882576,1.002665070237895,1.002490894701876,1.0017852670848217,1.0010894116609401,1.0019161260152514,1.0005242827681857,1.0025002576177477,1.0018717973285474,1.0019282516735561,1.0022465811221293,1.0977314640180313,1.097657117115827,1.0947143177196075,1.0929986304267325,1.0918085038430752,1.0896327191548563,1.1479818900675862,1.2550582936550365,1.3093984663965612,1.2949787597272413,1.287570696311479,1.2822984359939058,1.278648124955208,1.2687825952656133,1.2660196167961475,1.2589882197628144,1.2538650523602701,1.2495610266618373,1.2469553868061936,1.2425208977802762,1.2710268398299638,1.2990227104246248,1.352278123899614,1.4092160426665534,1.5139872124781315,1.5001268674866715,1.5101808595411317,1.5459744261502735,1.6334068031480349,1.7190103521529396,1.7059697550453659,1.6765774686617245,1.640607163749625
2-2800268,,0,1.0039856855786276,1.004193236448981,1.0076051987443617,1.0086678491798389,1.0075058514858988,1.0031170696066471,1.0033351109800113,1.0037140901306232,1.0002341552277305,1.0022064606969892,1.0034248418470466,1.002476179802856,1.0034478136345528,1.0029393181792734,1.0027087327106097,1.0020415326111338,1.0011458457507432,1.0020455704244562,1.0006328610312938,1.0026557563486984,1.0020619640762705,1.0021171394166206,1.0024477021296676,1.1046231992405184,1.1044187781286954,1.1010744149310985,1.0991167309049696,1.0977476929493752,1.0952857738113708,1.1574046203703232,1.2721862904805634,1.3306730519008043,1.3142951212759395,1.3058706521046182,1.2998674055206056,1.295752772725845,1.2846581070740624,1.2815452634375022,1.2736771555937147,1.267959317022246,1.2630976758813135,1.260179565464882,1.2552770529276782,1.285513119563408,1.3152156418135803,1.3718264361475239,1.4324984797410243,1.5441112848988539,1.5285905354801437,1.5392329433364833,1.5775341510578558,1.671360813254455,1.7634984009699743,1.7487321582866366,1.715762090714844,1.675699268020186
3-2800264,,,0,0.9979549906217147,1.0052962351982582,1.007588681687158,1.0064266569818756,1.0017412051030326,1.0022191576711525,1.0027182743169498,0.9990403207855506,1.001358096644614,1.0027815068542145,1.0018670723265852,1.0030198034274023,1.0025568335173647,1.002371587991451,1.0015784299420294,1.000803947201832,1.0017451843244802,1.0003162532269212,1.0023165180903133,1.0017332350691324,1.0017989954438438,1.0022390112862758,1.106789360506439,1.1065399614553248,1.1030525665643598,1.101009213782144,1.0995774975372634,1.0970150231376505,1.1606445562690861,1.2782896707553715,1.3383261693389148,1.3212021824744358,1.3123921991230245,1.3061124855847128,1.3018229155471577,1.2902667404246477,1.2870228846007703,1.2788425062280981,1.27290344827388,1.267865367834723,1.2649191927616448,1.2598413360528593,1.290594464133897,1.3209221183311834,1.378765389307012,1.4408132683257848,1.5549506512283673,1.5388038360027394,1.5496623212657448,1.5888919618084563,1.6850940741385627,1.7796690923288208,1.764244881821199,1.7299186931916888,1.688194625484774
4-2807245,,,,0,1.0221610511634738,1.0154400237498764,1.0043958089839993,0.9996029701469918,1.0005951151972987,1.0013029286691482,0.9973901604128446,1.0002364954426946,1.0019605660954038,1.0011047754225662,1.0025055535355742,1.0021039309091573,1.0021275209614777,1.0013227881970124,1.0002764305795588,1.0012739823950052,0.9998359354910971,1.0020416481248924,1.0014620972105053,1.001537599934674,1.0019139156878023,1.1095550332403517,1.109347242612641,1.1055764822220033,1.1035198500930021,1.1019122220971729,1.0992223212423284,1.1645753735410729,1.2857006257187755,1.3476264259852795,1.3295755171280266,1.3202873019241606,1.3136651967066204,1.3091594926001537,1.297034069983894,1.2936287565315248,1.2850643707413212,1.2788537053061486,1.2735995752293483,1.2704225562897058,1.2651344260918842,1.2966992919359395,1.3277802963350747,1.3871105630980771,1.4508214013399199,1.5680107964436072,1.5510941306756936,1.5622123918892068,1.6025672972085923,1.7016539738070005,1.7991949271218084,1.7829580247322518,1.7469617726242654,1.7033424852046681
5-2800262,,,,,0,1.0117446684855433,0.9999186015750596,0.9970065141901197,0.9986501247922887,0.9995749142226767,0.9957674858086715,0.999034757190536,1.0010144922555615,1.0002889568430442,1.0019211103297698,1.0016105775220434,1.001709290639787,1.000927503249255,0.99988720006674,1.0009172371503112,0.9996022811550626,1.0017526472913838,1.0011878224273556,1.001366881802305,1.0016665416020836,1.1107855025281121,1.1104484295578285,1.1066951674686778,1.104492589554313,1.1028487064158192,1.1001029712339059,1.1662427890528193,1.288960866482039,1.3517540629923825,1.3332770025718295,1.323769637889266,1.3169908572746483,1.3123864168055794,1.300001458099991,1.2965226796527607,1.2877838070797498,1.2814499548115073,1.276191032642729,1.2728564216765204,1.267472366959154,1.2993669389567386,1.3307904837193472,1.3907977108079543,1.4552668539860434,1.5738500589924758,1.5565799778621852,1.5678167581008327,1.6086859925692307,1.7090935057363692,1.8079952385956422,1.791382929458025,1.7546168414829186,1.710126695086593
6-2807367,,,,,,0,0.9899104785520819,0.9931032198153664,0.9960807388389358,0.9974158708064288,0.9936064389797598,0.9976273823936489,1.000015777267062,0.9994204980901527,1.0013597000587011,1.0011357847811644,1.0011537342990044,1.0003966906969037,0.99962568179147,1.0005701083865841,0.9992478994190038,1.0015930410354246,1.0009270197913394,1.0010214858123105,1.0014375877060075,1.1130533829021616,1.1126635477084938,1.1087520703777514,1.1065542818647223,1.104836889166158,1.1019784660936023,1.1696043489875274,1.2953418137756698,1.3597819630888237,1.3404758838840796,1.3305423891727162,1.3234588453440068,1.3186628264239328,1.3057746138469486,1.3021533206569464,1.2930765555563641,1.286504305720325,1.2810584146867716,1.2775967309132494,1.2720273953477976,1.3045414738658734,1.3366101198298226,1.397893354181349,1.463793285113371,1.5850036634384048,1.5670550799206568,1.5785141368910132,1.6203551906855802,1.7232620642065857,1.824742127149252,1.8074081915168354,1.7691663282827776,1.7230106132543461
7-2800265,,,,,,,0,0.9945584811646312,0.9979432120326736,0.9994066077622954,0.9943095283886831,0.9987890997380754,1.001264519712537,1.0003562372607373,1.0021888641751528,1.0017935766186759,1.0018710224273735,1.0008589157487209,1.0000252879027731,1.0009898358916647,0.9995814208438267,1.0019755349465935,1.0012582584762282,1.0014447794258634,1.0018499557981835,1.1167563872017545,1.1161710661202386,1.1121372999420507,1.109598557952744,1.1079791533677765,1.104861631383623,1.1743462278962296,1.3038815384741738,1.3703974150552918,1.3500028542057771,1.3395091004640707,1.3320248432996056,1.326977907261225,1.3134309897056873,1.3096229431056041,1.3001045561707345,1.2932209291874615,1.287531466540105,1.2839034709329937,1.278093140066705,1.3113753970496074,1.3442475466401163,1.4071219522823069,1.474808424076899,1.5992917572430794,1.5804717796106862,1.5922053889722254,1.6352626039892162,1.7413017695400372,1.8460186529522153,1.827758209176539,1.7876279733679457,1.7393478247632044
8-2803682,,,,,,,,0,1.004600232458555,1.0061718214251614,0.9941308751234592,1.00087877309756,1.0037630506198665,1.0019549629693145,1.00363236223261,1.0028618889982952,1.0027514333267877,1.0015342362723858,1.0004136807098323,1.001746138624766,1.0000090021417154,1.0025503146745633,1.0018419318000429,1.001915497018271,1.002320338514851,1.125001170849509,1.1244311320373523,1.1196137049552364,1.1169519875963574,1.1149806082482143,1.111570966132072,1.1854071197252471,1.3241186675605299,1.3956816159519492,1.3725640527528797,1.3606758712365383,1.3521967531370733,1.3465297983114461,1.3313610698947638,1.3270943780756177,1.3164955805487415,1.3088527375252605,1.302571586646048,1.2985392488138456,1.2921453951272905,1.3272458293424059,1.3620261089190455,1.428689381425548,1.5006445437995295,1.632955634980377,1.611995510826705,1.624380782603214,1.6703582631238296,1.7839492241668202,1.8965042550756759,1.8759452305051105,1.8311583052219884,1.7776766784360392
9-2807369,,,,,,,,,0,1.0100101595649313,0.9881164284270917,0.9996307218874214,1.0035674495951246,1.0015232455751086,1.003529055313809,1.0027207888226946,1.002630705778101,1.001534084176433,1.000353769614492,1.0016017963631876,0.9998012956739744,1.002466124188751,1.0017390981092622,1.0018188289935108,1.002243037912723,1.1294667180180142,1.1286547898137722,1.1236322551125002,1.1206684724173122,1.1185571337404943,1.114930646119646,1.1912454849043805,1.3351130061919312,1.4095323880313264,1.3848352485450268,1.3721426604241258,1.3630920748549995,1.3570704897757404,1.3409780052521223,1.3364509369227928,1.3252412429363027,1.3171707755413729,1.3104499904957387,1.3064039265670273,1.2996813312289068,1.3356783043879177,1.3715107073531263,1.4402693843857215,1.5145943900152252,1.6512585123258616,1.629078579938322,1.6418233225743586,1.689431469086768,1.8072567280427023,1.9242284062566644,1.9023433507423844,1.854887930635548,1.7984484777637857
10-2804135,,,,,,,,,,0,0.9813827281896697,0.9979786233473757,1.0028859185036212,1.0009162685484276,1.0032338487052868,1.0024702029680441,1.0022230005694224,1.0013291743660055,1.0001388379677778,1.0012658421767242,0.9996086256868436,1.0022094338142487,1.0016108853280319,1.00158430267323,1.0021336938110998,1.131130175180802,1.1302685089286957,1.125114556182856,1.1220727236739347,1.1200166090849566,1.1162975061581362,1.1936737443274288,1.3397587133227549,1.4154111707288712,1.3900241702165683,1.3769814018429272,1.36768242316999,1.361507084062876,1.3450149560975577,1.340375438017307,1.3289024438492172,1.3206480332840498,1.3138920774240905,1.3096426910562198,1.302676246510168,1.3392009810271035,1.3754815445003412,1.4451341313956407,1.5204720986272346,1.6589986150962004,1.6362906360902991,1.6491886688477266,1.6974957683512577,1.8171400503396247,1.936013922946331,1.913551384550195,1.86493738302718,1.8072188788868129
