순번_정류장ID,58-2800253,59-2803871,60-2804720,61-2806360,62-2803868,63-2803866,64-2803863,65-2803864,66-2800255,67-2803615,68-2803614,69-2803859,70-2806227,71-2803858,72-2803611,73-2806361,74-2807623,75-2804338,76-2804441,77-2804631,78-2807383,79-2803703,80-2803704,81-2804633,82-2803707,83-2803709,84-2806218,85-2803710,86-2803712,87-2803713,88-2804231,89-2804232,90-2806331,91-2804233,92-2804235,93-2804237,94-2804239,95-2806328,96-2804241,97-2804335,98-2804773,99-2804244,100-2806230,101-2804257,102-2804259,103-2804758,104-2804760,105-2807395,106-2804261,107-2804337,108-2807368,109-2804602,110-2803580,111-2800263,112-2800267
58-2800253,0,0.9531434557436279,0.9783275096194712,0.9890030307618478,0.9976529832484736,0.9978230543850248,0.9984338522954092,0.9998627012875737,1.00141106226504,1.0004944860307696,0.9994711252072834,1.0014605256992926,1.0015281365902418,1.0014624476511125,1.001534856354334,1.002188205653483,1.000592006045264,1.00118149030122,1.0040973667003505,1.1104402805113067,1.0940641873855081,1.079605585156749,1.1013611168332202,1.097148057657842,1.093299241026368,1.0913040724431784,1.0887315488088503,1.0879796104743455,1.0871242746787226,1.0826465747870866,1.078092302412001,1.076862671187872,1.0748579952634332,1.1046588025948798,1.1639499427182276,1.199258940770339,1.1977268947211832,1.1918720361063435,1.1862642734549942,1.177427375924634,1.1672931930629094,1.1594331063899876,1.2242940221262468,1.259746516073337,1.314127668370486,1.3672835532044447,1.4069753353024577,1.440088122882525,1.4687615996731462,1.4822143678795876,1.5355879999730246,1.5691938289258194,1.5921802666551623,1.6263274138261392,1.6574001476462572
59-2803871,,0,0.992000139279403,0.9928124992902776,1.0015399782843921,1.0015584083796385,1.0013117547079835,1.002645312321935,1.0041744421683232,1.0028177206936986,1.0012835800045925,1.0032163789826725,1.0032121428151513,1.0029539769955103,1.0029475948805375,1.0035946422034998,1.0017117239848228,1.0022990838231787,1.0031828337862094,1.0638612048211376,1.0547893614837496,1.0468879895780572,1.0699450893780946,1.0670363246244712,1.064467991784994,1.063061217226996,1.0612582576674128,1.060774442159256,1.060302742934655,1.0571291007823946,1.0541152319973188,1.0532471478605994,1.0517824469491266,1.081535466802284,1.1395012095881965,1.174004838365992,1.1732194248033325,1.1681029853008635,1.1632466028118673,1.1556055835031993,1.146780939989236,1.161231067819698,1.2267590747274817,1.2625919052369412,1.3175771696574508,1.3713479052288504,1.4115143075776606,1.4451953796519537,1.474233249437023,1.4876900060107159,1.5417580902157801,1.5758139811697631,1.5991145777102185,1.6337358835425235,1.6652324611131923
60-2804720,,,0,0.9916101622632121,1.0028110643403478,1.00215538668636,1.0017755025241042,1.00323963162455,1.004922206370972,1.003314046300405,1.001553170348435,1.003603192332277,1.0035814517994293,1.0032635474118536,1.0032388647950332,1.0039165255408136,1.0018888473891203,1.002499706806873,1.0034167358019297,1.0206274815395613,1.0180478571010336,1.0293294640578938,1.0535282953761216,1.051244781299885,1.049299982299793,1.0481771212010713,1.0467477266238496,1.0463968868606501,1.0461194230672797,1.043582949966826,1.041339297098906,1.04065050590243,1.0394519431209532,1.0696006966917193,1.1277157150005352,1.1623213243389716,1.1619034577342093,1.157059767192197,1.1524893120246338,1.1453123591957144,1.137001728136314,1.164171833820383,1.230963475411451,1.2675178988864122,1.3236511629744976,1.378592037217941,1.419662727127318,1.4541230714321072,1.4838472518918635,1.4976263902961657,1.5530226860719685,1.5879401249183502,1.6118424410386343,1.6473728979468512,1.6796830613930593
61-2806360,,,,0,1.0446279599774728,1.0222660472019232,1.0139665701803033,1.0151932320596107,1.0174577992552225,1.0114063103902553,1.0062227586713746,1.008625802423396,1.0082806328212008,1.0071086828596614,1.0067883009711036,1.0075821663818445,1.0042535159739154,1.0049591774156108,1.006001407992968,1.0266048780643637,1.0225393234610276,1.0346420217852084,1.0617502230323659,1.0588068665323231,1.0562780831502547,1.0548690948060804,1.0530795269677424,1.0526219423407681,1.0522177741486571,1.0490955884947837,1.046273304979392,1.0454381791860652,1.0440096417025257,1.0769286098955397,1.1408959817231341,1.17914571298579,1.178098241968191,1.1723941301371372,1.1668525637657046,1.1583149972491398,1.1485592088294203,1.1774662597740386,1.25001333848658,1.2898682051535348,1.3512709680721866,1.4116063004503863,1.4568612961663947,1.4949377752461654,1.5278538268916089,1.543135215898759,1.6047359811169546,1.6436924203572014,1.6704220436650703,1.7102331660309764,1.7463701643609824
62-2803868,,,,,0,0.9619035521576785,0.9823273065576379,0.9901495707322939,0.9959158407160341,0.9955183764362106,0.9954190680679549,0.9994241099354274,0.9996819571488826,0.9998993238682514,1.0001380287394053,1.0011718044560411,0.999184717302578,1.0000321211976742,1.0012973163934211,1.0233503283838814,1.019695129534691,1.0327586459133289,1.0609400081919529,1.057934827016033,1.055366193598173,1.053933420474685,1.052117461118829,1.0516565270554792,1.0512557088749859,1.0480970472172497,1.0452667317729736,1.044426580395878,1.0429872028948388,1.0767383338567857,1.1423387771764795,1.1816125644627158,1.1804501657038176,1.174456073178583,1.1688673355525019,1.160030693226493,1.1498985959844454,1.1793497205214374,1.2533375569918994,1.2940988286994866,1.3571193764120537,1.418965683478488,1.4652151923859627,1.5043059214152474,1.538120297599659,1.5538254487054772,1.6171824005725637,1.657287390111502,1.684823119168879,1.7260977128446287,1.763341440075878
63-2803866,,,,,,0,0.9999043341199195,1.0069245590819222,1.0101187253309478,1.0036949639321135,1.0001026848129162,1.004027930918868,1.0039559793712491,1.0033731344458305,1.00332502610198,1.0043643544558174,1.0014132021767665,1.0022721635235612,1.0035423519041775,1.0267959827751387,1.022297250141192,1.03540692184101,1.0644909918052088,1.0612063898106148,1.0583887131641823,1.056837385406669,1.0548721405491552,1.0543655177734454,1.0539077746388548,1.0505093250931938,1.0474362917108868,1.046536590276049,1.0450051939045935,1.0796108837371743,1.1470770638313752,1.1875207701865336,1.1861094819173124,1.1797816123106244,1.1738762785170966,1.1645574430344268,1.1539174453986285,1.1838659086620034,1.2597843886135351,1.301428814427264,1.3661082160367954,1.4296587697360579,1.4772311111279368,1.5174747027722861,1.5523101377714823,1.5687056272560782,1.6340742823642311,1.675495255647099,1.7037169568896526,1.746394930002847,1.7848826569147336
64-2803863,,,,,,,0,1.0225439650408854,1.023888573227476,1.0056059334246605,1.0001500171215192,1.0048479492408793,1.004687063310701,1.003861157385213,1.0037579247993904,1.0049107581591903,1.001546073718913,1.0024757915739169,1.0038437514742653,1.0288649538400494,1.0236685111262465,1.0371598155151205,1.0674748582798772,1.0638959069303269,1.0608231248000657,1.0591493792322861,1.0570320264592241,1.0564805304416662,1.0559695632323847,1.0523313220326973,1.0490270924168432,1.0480700483089975,1.0464494082894182,1.082125247379162,1.1518744223070179,1.1937544396373545,1.192060789930137,1.1853422866125267,1.1790693716680334,1.169194914843758,1.1579747745702156,1.1885525672050987,1.2666395328953715,1.3096937522770342,1.3762365384520885,1.4418724244537726,1.4912643743133194,1.5329337301212715,1.5690339303635696,1.5858179724007564,1.6536535027996813,1.6966921681861071,1.7262903637095544,1.7704603062696924,1.8104933154919263
65-2803864,,,,,,,,0,1.025955304824835,1.0006442945049399,0.9974600190437691,1.0031106273463462,1.0031116086663467,1.0025995845594124,1.0026245217993435,1.0038830315774794,1.0006808298773213,1.0016683908064732,1.0031205458573829,1.0290913058293167,1.0237001804754091,1.0374914324012872,1.068427331471092,1.0647274865548235,1.0615525812456932,1.0598297225946818,1.0576518828313115,1.0570832326472757,1.0565528625396303,1.0528210287825377,1.0494314321059492,1.0484528742913508,1.0467982960398408,1.0829817881635784,1.1537966654823966,1.1963491354357816,1.194530491548328,1.1876352872005258,1.1811971377063761,1.1710745731619994,1.1596673668385487,1.1903350065200107,1.2694128910221034,1.3130417020863097,1.3805110213890075,1.4471065111898525,1.4972501457863252,1.5395742207502026,1.5762560429526022,1.5933149992655027,1.6625313633158456,1.7063315487662898,1.7362117760498055,1.7811875884675554,1.8222158567725553
66-2800255,,,,,,,,,0,0.9946852018266181,0.9950448951126538,1.0015513800264337,1.0017200588758357,1.0015260118421672,1.0016710105300084,1.003012775272762,0.9999847637457839,1.0010153745041723,1.0025313371089597,1.0291659185557165,1.023657892064429,1.0376641506799515,1.0690211702421877,1.065241372086631,1.0619995171023637,1.0602442410395294,1.0580268054022353,1.0574470044395574,1.0569042934559647,1.0531115401577362,1.0496668824856847,1.0486744719013164,1.046998144741262,1.0835201615561374,1.155044998234401,1.1980458202201156,1.1962328930569972,1.189216317252523,1.1825824069808877,1.1722947987896326,1.1607176465166205,1.1915826005621903,1.2713273118808772,1.3153431955959898,1.3834371321532053,1.4506801065848545,1.501331316947091,1.5440977732465107,1.581172782821178,1.5984176485552517,1.6681708673537932,1.7124696250715479,1.7429557839670904,1.7884778593518527,1.8297194402022912
67-2803615,,,,,,,,,,0,0.9952462879040421,1.0043544798133621,1.0041748361463227,1.0031851299500987,1.003137972159646,1.0046874337158065,1.0006868110168763,1.0018314988001626,1.0034972101580102,1.0330543300456738,1.0261659217316532,1.0405860591026383,1.0737170382364105,1.0694525416808514,1.0657926188972526,1.0638406355390893,1.061379396638344,1.0607270197316785,1.0600962309708897,1.0559250475032689,1.0521149550983186,1.0510334044434442,1.0492197174210887,1.0872329502278688,1.1619858734772868,1.2070298451098727,1.204681888938401,1.1971736989605517,1.189986800469702,1.1788755008564171,1.1664499081382842,1.1981434304590628,1.2808897314246195,1.3266507513636376,1.3975642804316493,1.4677348958911725,1.520684441683371,1.5654563189042352,1.6043155018530892,1.6224046196444182,1.6956763568196531,1.7422920385391594,1.774412635421869,1.8224270249686356,1.865891689953704
