순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2803610,24-2803612,25-2806226,26-2803613,27-2803860,28-2803861,29-2800256,30-2806225,31-2803862,32-2803865,33-2803867,34-2806359,35-2804721,36-2803870,37-2800254,38-2803874,39-2803973,40-2803975,41-2805718,42-2803979,43-2806018,44-2804334,45-2803983,46-2803985,47-2803987,48-2804086,49-2804613,50-2804089,51-2806223,52-2804091,53-2804093
1-2800269,0,0.9989815947701196,1.0016723380552544,0.9953788190315304,0.9989439209921254,1.0021359445539517,0.9973750582398728,0.9984169514126175,1.0117511958386158,1.0041681022363205,1.0032962183588445,1.0028160152622954,1.0016753033034196,1.0021065968145098,1.001836687424888,1.0019763118109803,1.0018923839031812,1.0027147360384792,1.0022539956386496,1.00103317387722,1.001943061928432,1.001897312562814,1.00240433119291,1.0024258637982204,1.0020249090448494,1.001771576930365,1.0014751826557775,1.0015435479802681,1.002102238100829,1.0017715200147763,1.0007899226814416,1.001228816592592,1.0015638479443125,1.000750226032822,1.0016795868140111,1.0016333973989215,1.0015121768035542,1.002049420346347,1.0017382928057659,1.001368672471592,1.0019600792189738,1.001762074378811,1.064614942263219,1.1528728300321764,1.1549591264581582,1.1552473619351635,1.2541693386723551,1.294816518257723,1.2869101218646417,1.2789251698888466,1.270358739006112,1.2668997693772186,1.259265750701089
2-2805488,,0,1.0048549440877443,0.9937551860976039,0.9989318868348576,1.0029910926734393,0.9969835647870999,0.9982974142610239,1.0140444901412675,1.004866011382269,1.0038224776229427,1.003247977911277,1.0019421549697904,1.002378436559707,1.0020624966282123,1.0022062664046083,1.002102848700692,1.0029639022840309,1.0024617362697528,1.0011551713525448,1.002110885698878,1.002055041780775,1.0023406374279284,1.0025812813034842,1.0021522842153148,1.0018857435755697,1.0015743330137756,1.0014634107624834,1.0020447491623155,1.0018671827261392,1.000850740365799,1.001301344566035,1.0016453275046862,1.0006580234697717,1.0015550316280828,1.0017055628412594,1.0015803157189267,1.002067319463294,1.001747716846876,1.0013092750971122,1.0019743059015718,1.0018288394360413,1.0662768917509724,1.1567890810099275,1.1587663728214586,1.1591265153609638,1.2606872139524936,1.3021975828080434,1.293896963866992,1.2855300318237217,1.2766991198142938,1.272866997502617,1.2650244446848316
3-2807373,,,0,0.9869228044341957,0.9967404611782976,1.0024368597476068,0.9949410360957184,0.9968672241785842,1.0156899311576617,1.0048674320955018,1.0037037673726608,1.003078696047412,1.0016756366607023,1.0021818439145187,1.0018623942712728,1.0020223773725625,1.001923500811922,1.0028508105611245,1.0023260040792268,1.0009593188477781,1.0019726567851175,1.0019207131867927,1.0022368804603632,1.0022668155056715,1.001845788699614,1.0015767333985388,1.001263600953661,1.0013564203034102,1.001959955986535,1.0016091865944905,1.0005679522506814,1.001042942010539,1.0014025026423514,1.0005463422543708,1.0014753992676306,1.0014315559935976,1.0013066284505054,1.0018746095636772,1.0015536464940133,1.0011725298711112,1.0017956188883819,1.0015904861424079,1.0675061238036818,1.1601298566284763,1.1619283927403368,1.1623060879559186,1.2664124659867324,1.3086739465169406,1.3000176702255626,1.2914568691542927,1.2820433559553193,1.278202491275272,1.2700520653798082
4-2800272,,,,0,1.011532534672168,1.0169355100451138,1.0007846095049113,1.002321584162187,1.027490770045012,1.0095958549127968,1.0075582654518667,1.0064144461458648,1.0042485844361106,1.0044410724904687,1.0038307286483321,1.0039419565278818,1.0036996730660142,1.004564846551905,1.003889279342215,1.0022800313044786,1.0033125559738787,1.0031870924588178,1.003587778637578,1.0033233594686455,1.0030119868736311,1.002697621346535,1.0021224132243918,1.0021360951396685,1.0029145947726723,1.0025351229283683,1.0014237896659364,1.001717822470376,1.002239357931501,1.0013190324239183,1.00214020071999,1.0022170000844235,1.001940696022727,1.0025175558030668,1.0022949048740917,1.0018759989424522,1.00238065375455,1.0022832289081556,1.0705559291604192,1.1666213775807701,1.168468650708898,1.168446383071971,1.276807111988726,1.3204766467938562,1.3111724622955412,1.3019931653085277,1.2919900079491464,1.287731137229025,1.2791005982493044
5-2803582,,,,,0,1.0257610140300943,0.9907152083808235,0.9970490610444618,1.0294306913799325,1.0069517911762493,1.0049516995574377,1.0039333042991352,1.001922486283346,1.0025249346552836,1.0020877856773796,1.0022759017197762,1.0021371322832715,1.003221385447083,1.0025794486614945,1.0009659880601995,1.0021376980313936,1.0020690458080441,1.0024015263534714,1.0024278355408474,1.001947278046693,1.0016469118529105,1.0012991723810802,1.0013969904556328,1.0022376528338475,1.0016694663549377,1.000537880605043,1.001053059819967,1.0014409911014104,1.000517578380053,1.0015869557999753,1.0015373514790404,1.0014027362259328,1.002005916806091,1.0016604599939483,1.0012524139143788,1.0019106787422998,1.0016921336830178,1.0717063333715164,1.170222243819727,1.1719470042752287,1.172002387850676,1.2832660693699096,1.3277526899482566,1.3180953803558906,1.3084979712432498,1.2980496704313278,1.293606361482867,1.2845349727969992
6-2803603,,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,1.0041543068199659,1.0023820970158352,1.0015870806581493,0.9998486888160961,1.0008659353306804,1.0006140339208514,1.000873202163275,1.0008368903525455,1.0021085263335803,1.001507873418442,0.9999126773910694,1.0011939487018713,1.001176204901273,1.0016630685303123,1.0019819841908404,1.0015262290155311,1.0012287785803042,1.0006634687487783,1.000829649485283,1.001716310155743,1.001329470637472,0.999996883518764,1.000722534063913,1.001127000154955,1.0000307420656622,1.0011679589051494,1.001272727679668,1.001139213257129,1.0017579736937994,1.001414908279138,1.001008826283677,1.0016833952507715,1.0014641848561647,1.0722561246093643,1.1723289990789025,1.1742547610202805,1.174264526304964,1.2872313379440483,1.3324362378671406,1.3224088653214612,1.3125426051440383,1.3018087002502037,1.297401171878499,1.2881613143886852
7-2803602,,,,,,,0,1.0069899670698306,1.0550035537868472,1.0116849111643749,1.0083266172260454,1.0066256575856565,1.0037399054549994,1.0040771411999743,1.0033818078654442,1.0035357293774052,1.0032799742781742,1.004338991099691,1.003569474122438,1.0017499861275874,1.002957824384391,1.0028367014847732,1.0033386387127925,1.0030583356340577,1.0027405821550637,1.0024046332714445,1.001788179443071,1.0020412566191694,1.0026902580417394,1.0020945500892902,1.0010976584342595,1.0014275347643071,1.0018190051825058,1.0010193832518064,1.002070097371052,1.0020066412777748,1.0017173993963193,1.0023310535115084,1.0021024260823015,1.0015361590413692,1.0023328805279261,1.0021037456618938,1.073771406712717,1.1751844358558794,1.1768249574600145,1.1767065451825718,1.291211187992153,1.336972426726591,1.3268670251906507,1.3167560659586237,1.3056019716523248,1.3010910882620126,1.2914903161280509
8-2800274,,,,,,,,0,1.089891755286435,1.0127560379223124,1.0085637393535032,1.0065707492937577,1.0033654048614848,1.0038108555222938,1.0030997120149179,1.0032777060019133,1.0030270897816598,1.0041787019290174,1.0033773600845777,1.0014813617807874,1.002764523291247,1.0026497282643052,1.0029144431265253,1.0029186676105382,1.0026032145402957,1.002260503499524,1.0018642044959853,1.001698926155943,1.0025798607098444,1.0021659203878912,1.0009513248038082,1.0014780702910595,1.0018773071273575,1.0008866158451954,1.001742178143569,1.0016860360358344,1.0015428677115954,1.0023160410277518,1.0019443340297687,1.0015081432752226,1.0020572913706514,1.0019570148968442,1.0750531331997044,1.178118753422115,1.1797883680280525,1.179683939495152,1.2964176945617485,1.3429175418840078,1.332279335263528,1.3218336608449666,1.3104831677338997,1.3056665689637723,1.2959234587369568
9-2803847,,,,,,,,,0,0.9712435249626593,0.9777648855898521,0.9815136083779274,0.9844660643089386,0.9894328974938863,0.9909660383605227,0.9917802890456231,0.9926117374062724,0.9951514118081908,0.9949654587198022,0.9937227824514931,0.9956276336080843,0.9959686210566511,0.9974531952060574,0.9977315517900126,0.9976304546970585,0.9974161309598074,0.9974215996744716,0.9977520435231845,0.9986660845473411,0.99848951754269,0.9973134361685931,0.997850259367921,0.9985471827518354,0.9976390485711282,0.9990253950276897,0.9990410207965843,0.9989295758142125,0.999634337852637,0.9993434787709232,0.9988513751687258,0.9996213255438154,0.9995473505369644,1.0741899484625006,1.1800165590582374,1.1815123526959885,1.1815279336902946,1.3012946041463773,1.3487770903028744,1.337700243354615,1.3268419143617802,1.3149745805872768,1.3100629167577977,1.2999677029751893
10-2806301,,,,,,,,,,0,0.9937138984399775,0.9916106108188611,0.9920054572454681,0.9966601683162629,0.9971528400968619,0.997820117734951,0.9981426384980522,1.000459908422353,0.9997413192261119,0.9977096791645828,0.9996396641128094,0.9997338678979771,1.0006472666191364,1.0007804209645375,1.0003473876420357,1.0000222862059036,0.9996554500245127,0.9999765261400306,1.0010665633448494,1.0004025822745986,0.999082287146034,0.9997694985569839,1.0002654275983576,0.9992271280607048,1.0006901311249135,1.000577465178654,1.0003568025579355,1.0012272360711993,1.0007867830122545,1.0003578738425627,1.0010556012071592,1.0008900690814027,1.0039538555769285,1.1042128094313663,1.1078758103618371,1.1092667577227933,1.2228108901249062,1.2706329708697237,1.2620923252771337,1.2536906691415932,1.24462721676771,1.2410417758705368,1.2332840686866373
