순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2806302,21-2804028,22-2804703,23-2804021,24-2806407,25-2804018,26-2806405,27-2804017,28-2804015,29-2804013,30-2804010,31-2804009,32-2804007,33-2804005,34-2804003,35-2804001,36-2803999,37-2804768,38-2800288,39-2804793,40-2800291,41-2807413,42-2800297,43-2803996,44-2803994,45-2803951,46-2803953,47-2803955,48-2803957,49-2803959,50-2803961,51-2803963,52-2803965,53-2803967,54-2803969,55-2803972,56-2803867,57-2806359,58-2804721,59-2803870,60-2800254,61-2803874
1-2800269,0,0.9989815947701196,1.0016723380552544,1.0036355028961135,0.9989439209921255,1.002135944553952,0.997375058239873,0.9984169514126178,1.011751195838616,1.0024324659172101,1.0030738300188438,1.003570743227894,1.0030562542253636,1.002719927877486,1.002861628598763,1.0028216672298207,1.002088584272744,1.0014949836687443,1.0027917898371288,1.0036760282599195,1.0037106170375343,1.0037033244630063,1.002750146853335,1.002882956771778,1.0027899732606953,1.0023001857489018,1.0025339796127823,1.0027109326923396,1.0030639042215046,1.0032181632575436,1.002872795505801,1.0028294232893542,1.0024548596424534,1.0026579619621305,1.0026926066627473,1.0610297540263174,1.1593903449863157,1.2488691494443815,1.2397998631593474,1.2296895484890427,1.2230771210089628,1.2470467511923868,1.2598115957316762,1.253473197323862,1.2545072368358472,1.244953842024381,1.2837913437776203,1.3737994008281422,1.4420875760212075,1.5850994360804602,1.62853566573972,1.6075378659849195,1.581390819649625,1.5664780974973318,1.634239557921677,1.6862397649704917,1.6666796044528502,1.608716296849683,1.5951533985170283,1.5884101256624492,1.577877512989571
2-2805488,,0,1.0048549440877443,1.0060955315404359,0.9989318868348575,1.0029910926734393,0.9969835647870998,0.9982974142610237,1.0140444901412673,1.0029303383962762,1.0036256751706378,1.0041400785762769,1.0035237639940116,1.003080728208138,1.0031719844352038,1.0031195281685878,1.002307329351493,1.0016532057492704,1.0030170725836167,1.0039398698014583,1.0039614302892248,1.0039472463468841,1.0029400059982465,1.003072446274472,1.0029696987785246,1.002450301082148,1.0026894164871007,1.002868988131549,1.0032298457720772,1.003384554714017,1.0030200537526244,1.0029712368764583,1.0025790303947348,1.0027865360105164,1.0028184601817125,1.0631945834783307,1.1651620032097894,1.2585051418026536,1.2485270763480592,1.2375843654153047,1.2306988089217104,1.2550224163491053,1.26831587114055,1.261572013397041,1.2622533900184885,1.2523048329232063,1.2921219975068148,1.3852324997500993,1.4560163477917898,1.6046653932687274,1.649938542848879,1.6273864794691195,1.5995460943995834,1.583829829685586,1.6539444824992042,1.7079252813756118,1.686906524837589,1.6253889988657986,1.6113919826333245,1.6042811862540276,1.593062877141438
3-2807373,,,0,1.007095625693778,0.9967404611782976,1.0024368597476068,0.9949410360957184,0.9968672241785842,1.0156899311576617,1.0026629671214677,1.0034674904618601,1.0040563116950432,1.0033807628050633,1.0029229836203561,1.0030499176955996,1.0029976533471747,1.0021460890294855,1.0014732213864805,1.002920365923008,1.0038940777087344,1.003919483977871,1.003905791525092,1.002854686946415,1.0029961158731688,1.0028913027590611,1.002354569176659,1.0026062290282547,1.0027951834613036,1.0031719080171775,1.0033339560076704,1.0029593120238252,1.0029106536128043,1.0025080961847765,1.0027235136024402,1.0027583059991445,1.064876452871535,1.1702827078555729,1.267068221794277,1.2563277512912336,1.244704666528804,1.2373850182512567,1.2621893735347216,1.275977021001494,1.2689571378023203,1.2692016835883784,1.258640765029785,1.2994873415034367,1.3953928693876472,1.4685469299608804,1.6222021031197746,1.6688894084802708,1.6452874173166652,1.6158755691940283,1.5991938927430132,1.6711713022216343,1.7269282053470432,1.705056105551101,1.6403635147437472,1.6253647283297903,1.6179259278921383,1.6062861374979873
4-2804748,,,,0,0.9879917056706798,0.9997225865025724,0.9891898594951315,0.9930877536083578,1.018136688686714,1.0017421182283497,1.0027797807436065,1.0035403848220839,1.0028107805071218,1.0024070674951193,1.0026509320634875,1.0026075670215022,1.0017252447906557,1.0010526335524559,1.002629361489095,1.0036833984281546,1.003723422354088,1.0037146907738077,1.002607571453541,1.002766690520746,1.00266318402238,1.0021091662546142,1.002382021878739,1.0025877403657277,1.0029911159235962,1.0031669589554146,1.0027828901400526,1.002737073077026,1.002323946553619,1.002552093177304,1.0025937278127899,1.0671347245838376,1.1769996648726908,1.2781154354275288,1.2667287853527296,1.2541683386851379,1.2463601544859264,1.2716731376524222,1.2857676012719306,1.278249839157971,1.2781332324433248,1.2668729726372936,1.309069614430421,1.4086682517380062,1.4848199979888443,1.6452952114384167,1.6941940569225804,1.6686589213560652,1.6369949194609419,1.6194256615931615,1.694065009480297,1.7524796057985412,1.7290938100006061,1.6600918964551765,1.6440521590466588,1.636277072199569,1.623923328901197
5-2803582,,,,,0,1.0257610140300943,0.9907152083808235,0.9970490610444618,1.0294306913799325,1.0037044131215596,1.0048177876607989,1.0055015545247317,1.00438199354062,1.0035533518787725,1.0035667849916887,1.0034821023748846,1.0023980072200611,1.0015719950566144,1.0032505487041037,1.0043554869332953,1.0043534196377288,1.0043243705359346,1.0031179790579707,1.00326668432565,1.0031398522142763,1.0025266092923395,1.0028007751232477,1.003003690397976,1.0034105621276153,1.0035799230935198,1.0031585317663183,1.0030993824676104,1.0026535934313652,1.002884704064793,1.0029171520665883,1.0706741960091173,1.1862136637522147,1.2931322267084278,1.280536492476737,1.2667003533052394,1.2579736585761645,1.2841314258610144,1.2988800097379016,1.2906863969029856,1.289912412110112,1.2777167885997687,1.3217213691106173,1.4260661413323117,1.5059608124629984,1.67541871046604,1.7268505970580859,1.6989137079109569,1.664553123664292,1.6453450051966587,1.7235439470172986,1.7847425541907382,1.7593791776301346,1.6849040865932083,1.6677750514603842,1.6593077577342046,1.6460320953551264
6-2803603,,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,0.99991932863826,1.001689622640305,1.0029209810925535,1.0020130328605947,1.001696729517234,1.002162878453043,1.0021313603006807,1.0011591337701555,1.0004660204646487,1.0023012518745318,1.003509220787714,1.003566149071349,1.003561313044604,1.0023366333128807,1.0025242798143794,1.0024183447437531,1.0018230827959924,1.0021325199781488,1.0023659822598636,1.0028143636053357,1.0030117279572905,1.002603945481248,1.0025601457826896,1.0021227320241533,1.0023722665469923,1.00242279104937,1.071677507541388,1.189882514556395,1.2996082723013784,1.2864379637066996,1.2720004770001305,1.2631293125656915,1.289536984342917,1.3046020770230111,1.2960878356036192,1.2950100450625794,1.2823751045726905,1.3272017577422524,1.4337004489506688,1.515442273039096,1.6893202196618013,1.7418927736007341,1.712786894937607,1.6770577043906374,1.657258789510931,1.7374674088116906,1.8001673003931775,1.773527488022133,1.6963286847314631,1.6788623166112981,1.6701115833082665,1.6563857210377617
7-2803602,,,,,,,0,1.0069899670698306,1.0550035537868472,1.0081583690323275,1.0089484655413707,1.0091282824025163,1.0072589043626705,1.0055487151667166,1.0050541024691828,1.0048953676884567,1.0035222257635834,1.0024677273848968,1.0042018792357879,1.005324386984267,1.0052523023054967,1.0051919483314653,1.003883976330709,1.0040071076167145,1.003847570960794,1.0031646508198884,1.0034276225107115,1.0036168459679562,1.0040129511415292,1.0041657634762522,1.0037007487156484,1.003622318975668,1.0031399959126914,1.003367942456431,1.0033850768614447,1.073945327518379,1.1942838050764222,1.3062778024294341,1.2927135514079808,1.2775890233675764,1.2682500415632612,1.29512127485816,1.3101955649061208,1.3016290251039802,1.3000172015978746,1.2872004535430082,1.3325572029714627,1.4409817178752757,1.5242125262465203,1.7012187088090411,1.754974141527924,1.7248897922455522,1.6880147497668192,1.6674712004202668,1.7491720264687134,1.812733105401811,1.7859001624958288,1.7064120408624899,1.6882159544944881,1.6789925206022256,1.6649071394497097
8-2800274,,,,,,,,0,1.089891755286435,1.008485077966335,1.0093979237165809,1.0095244271909425,1.0073005708618477,1.0053898770776521,1.0048996849305671,1.0047361295102555,1.0032956734013545,1.0022167538167106,1.0040601830689564,1.0052454324035112,1.0051761177042655,1.0051156606090061,1.0037567474509193,1.0038904642385285,1.0037290847458413,1.003028296831231,1.0033057410083464,1.0035059605750913,1.0039201426396076,1.0040813708366374,1.003606819736792,1.003529190235205,1.0030373682745712,1.003273904853907,1.003294693390216,1.0754645244239236,1.1994213156916123,1.314895949913368,1.3004353463804987,1.284648089522746,1.2746882833490543,1.3019676349034044,1.317782418300075,1.3083281646002298,1.306643367559243,1.2930545313611312,1.33949235991261,1.4505424839064442,1.5360192100084757,1.7185649270085195,1.7739177630670544,1.742333916419104,1.7037112798659788,1.682243284521091,1.7658892285413685,1.8315701439651897,1.8032094108659562,1.7199334228680974,1.7010340514299864,1.6917151019024421,1.6773275327657489
9-2803847,,,,,,,,,0,0.9492689691034362,0.9660111027064449,0.9773500555015032,0.9812037820342053,0.9878704813095187,0.9927360558675136,0.9931884613557209,0.9933695444143726,0.9938185279770888,0.9965584417084358,0.9983644261917111,0.9988402608632962,0.9990069235417528,0.9977781515342035,0.9982134785987873,0.9982571960322393,0.9978281923173744,0.9983437545497461,0.9987571080239843,0.9994403613545034,0.9998020687173803,0.999505831338773,0.9995598629982393,0.9991980914214081,0.9995468707684126,0.9997047706372058,1.0744877031201776,1.2031901814128751,1.323721492177832,1.308141963385534,1.2913622095902197,1.2807900152045257,1.3086374741026001,1.3248724407974464,1.3151476254606644,1.3129051435844603,1.2986324347800078,1.3464616804410316,1.4614501191212912,1.5500901409323835,1.7398768298238112,1.7974899235377422,1.7638462509218322,1.722840383122996,1.7001195955451383,1.786394130321889,1.854943757968549,1.824906415654561,1.7372552307929865,1.7173760694083877,1.707587235493623,1.6922154181758073
10-2803599,,,,,,,,,,0,1.0135769334942013,1.0115628788294777,1.0058287956673644,0.9957541602799309,0.9987688990403463,0.9989373541554479,0.998112555232921,0.9977411822447629,1.0004475517276141,1.0021631996691345,1.002355334350299,1.002398134354515,1.0009122426613388,1.00122128788267,1.0011450791177476,1.0005012616260929,1.0009353652866877,1.001267096948993,1.0018596724938562,1.0021354923977628,1.0017036641058148,1.0016843018235855,1.0012147761613595,1.0015275627143616,1.0016180454936423,1.0812298240218918,1.218906080303031,1.3485740705081668,1.3308794610562167,1.3117571745301153,1.2997125257283164,1.3283958091873755,1.3455998805132348,1.3346997798552216,1.331162109073105,1.3153159449976204,1.3653353605477234,1.4873536909783849,1.5818153120226512,1.7852910938553694,1.847049874269441,1.8092743662028858,1.7634993067431715,1.738277883454261,1.7270484839461706,1.7936096592408872,1.7658283237624721,1.6849771652059953,1.6666043364188836,1.6575470903726677,1.6433830280323332
