순번_정류장ID,52-2804574,53-2804076,54-2806307,55-2804575,56-2804078,57-2806308,58-2804557,59-2804080,60-2804082,61-2806234,62-2804565,63-2804563,64-2804561,65-2804560,66-2806311,67-2804084,68-2804612,69-2804067,70-2804571,71-2804538,72-2804536,73-2804065,74-2800297,75-2800261,76-2803997,77-2800290,78-2800289,79-2803934,80-2800286,81-2803932,82-2803596,83-2800283,84-2800281,85-2800280,86-2800278,87-2806663,88-2804031,89-2800260,90-2800275,91-2804713,92-2803598,93-2803600,94-2800273,95-2803601,96-2804331,97-2803581,98-2800271,99-2805489,100-2807150,101-2804581,102-2804582,103-2800267,104-2804032
52-2804574,0,1.0004410775131314,1.0002510957101869,0.998478657354745,1.0010211482188456,1.000161587085991,1.0009677505940129,1.000970242039124,1.0009309697829012,1.000902120286912,0.9998406671909186,1.0000386982891716,0.9990626880416643,0.9987357355881287,0.9996786230425889,0.999898622606669,0.9998718132587415,1.032034633885139,1.2721180727490122,1.3915819644424026,1.362586243574223,1.3539064241059384,1.3290827193928938,1.3196351491616405,1.306011060590331,1.2888902465862797,1.27764767386654,1.2655978578863742,1.2358444153432488,1.2185032252401768,1.2137835845720715,1.1983343460945637,1.1907398463304903,1.1831825017709865,1.1762947299412976,1.1749282884425178,1.164519949038648,1.1589255331908828,1.1565291865405276,1.154002390602211,1.1521002958463025,1.1492952864510284,1.1445946243540615,1.142624863190561,1.141864633162317,1.1398120192428638,1.1361989029572335,1.1332114036414003,1.130359558490558,1.1289338049519964,1.1274524550459881,1.1250402019749057,1.1770270970382097
53-2804076,,0,0.9997253573623843,0.9962251941328731,1.0013376668028986,1.000027398714658,1.001139028786575,1.0011169835904297,1.0010570368518843,1.0010099543907713,0.9997119178318274,1.0001898236695725,0.999029007031818,0.9986532482504817,0.9997422396744978,0.9999877094051074,0.9999510395876866,1.0357706235093582,1.3085662516179406,1.4470018672791547,1.409779449791107,1.3985371749940783,1.3672702642328622,1.3556117762378135,1.3381329669994566,1.3173083511654406,1.303826402812643,1.2894247686875475,1.2544125976690712,1.2342704073473307,1.228837601050848,1.2113086128178,1.2026029779294132,1.1941774782835362,1.1865401333992398,1.1849207838442293,1.1733473906315994,1.1671203251242857,1.1644843261700055,1.1615417152252878,1.159532492628908,1.1563853180335464,1.1513464336403272,1.149144286171659,1.1482881969932324,1.1460538691670454,1.1421827062539964,1.1390305336844961,1.1358353493909736,1.1343177821130592,1.1325885142939303,1.1299898031880187,1.184263261431617
54-2806307,,,0,0.9937159545842359,1.0017359439124212,1.0000905912357476,1.0013286198752764,1.0012726788735309,1.0011941729221796,1.0011290588754818,0.9997105048579608,1.0002247110988867,0.9989815101837831,0.9985871465303897,0.999743021262785,1.0000013801727148,0.9999618873936734,1.0373902430138087,1.3244051421820102,1.47129752207316,1.430176544645705,1.4177291609565175,1.3834851166216948,1.3708206903528448,1.351582568306636,1.329108340477506,1.3146405155805458,1.299210340889764,1.262054963598958,1.2408676161413725,1.235127385894851,1.2165729665482514,1.2074741305392176,1.198702239870145,1.1906343834858093,1.1888593278780129,1.1768117536129516,1.170401247255745,1.1676674382576948,1.1646080109294545,1.1625283853778583,1.1593073712952082,1.1540387861476187,1.1517671099825662,1.1508714172910488,1.1485632811515514,1.144625068056092,1.141181757309508,1.1380116907279842,1.13637827530207,1.1346487613303216,1.1319200319404819,1.187113234058401
55-2804575,,,,0,1.004724679692149,1.0017767211312216,1.0025397239566431,1.0022387985129126,1.0020574809732279,1.0018839577004897,1.0005125385422715,1.0007119625896022,0.9992888917799733,0.9988244240249137,1.0000638560224189,1.000314668055923,1.0002468669453888,1.0401476520163857,1.3496415800704111,1.5101611790452834,1.4624639568786058,1.4479958367664387,1.4088273464711594,1.3945189593424143,1.3723979897539962,1.3472688689427323,1.3312277664738799,1.3141643845109863,1.2733275594458038,1.2503809460100737,1.2440658597116916,1.2243322421204645,1.2146393547762966,1.2051229887490427,1.196540928058163,1.1946541213964113,1.1819744996534505,1.1751784187501877,1.1722990641168716,1.1690660671660644,1.1668819198110616,1.1633137766889805,1.1579426240966446,1.1556345260057146,1.154679479756098,1.1521967389327663,1.1480714433092283,1.1444588704766883,1.141154898847022,1.1394331537373135,1.137506321733954,1.1348369257239512,1.1912218439131415
56-2804078,,,,,0,0.9904285300142099,0.9998890932802,1.0002183992673577,1.0002274198952479,1.0002772761943308,0.9982401358185259,0.9988616252862232,0.9973194497257611,0.9970137144662086,0.9986530357993478,0.9990933073723074,0.9991296842008304,0.9995655765688035,1.1358927985197125,1.274086563453498,1.249176431065718,1.2425193900000848,1.2225740366512745,1.2148379549755663,1.2064109545180226,1.193230625595049,1.184493003675763,1.1754854587673715,1.1536757293253026,1.1408582722112415,1.1375530132129916,1.1267235012302173,1.1207786584636612,1.1162474917841774,1.1114644938049167,1.11043349499639,1.1032552707172338,1.0996656619080918,1.0980231682337214,1.096311829731088,1.094971633285251,1.0935941829429978,1.0900265923202914,1.0886242127626564,1.0882673907936555,1.086833234596945,1.0843559064806232,1.0825254929772097,1.0805160407209964,1.0798238927153365,1.0788085233436155,1.0772218571608085,1.131489558210795
57-2806308,,,,,,0,1.002271674564067,1.0018249000594261,1.001585990047863,1.001400318106319,0.999457289163981,0.9995368820019482,0.9977967351680933,0.9974060577230729,0.9990986891592648,0.9995122141754282,0.9995089950246902,0.9999079366119534,1.062233974773721,1.1910890044002465,1.1738857926813973,1.1698554814647675,1.1564606050417927,1.1509863700887213,1.1471936926798105,1.138150945205644,1.1319583815803933,1.1257587025754971,1.110573673443515,1.101475232610689,1.099095771164255,1.0914599847922375,1.086938893958891,1.0840868290582122,1.080733352401447,1.0800065277371906,1.074789609285214,1.072434627679445,1.0711410354964364,1.069907778234798,1.0688713659725906,1.0682474006204772,1.065501696343076,1.0642227215013098,1.0641610186081707,1.0630808010931887,1.0612977527429526,1.0600816547094913,1.0585169206373777,1.0581914941281312,1.0575546175222008,1.056305935514094,1.1095272447950342
58-2804557,,,,,,,0,1.0009871160096337,1.000746162540295,1.0006783595384776,0.9976952674710633,0.9988193150017333,0.9965523469635965,0.996267416250616,0.9985561555072049,0.999140455098023,0.9991807693049871,0.9997039246616948,0.9986487861307866,0.9991102277027875,0.9980027842671279,0.9993919252185385,0.9999447199250051,0.9993177330202614,1.0057744798371457,1.0059347515462598,1.0053622036119862,1.0054281598705606,1.0052181747207452,1.0043168230660053,1.0044003738923692,1.0041887224877144,1.0026213208547026,1.0041004315277056,1.003801034965938,1.0038667088974895,1.0033233785665454,1.003832652415754,1.0034184807709554,1.0036188539121924,1.003249350495885,1.004516139059781,1.003326761097326,1.0028982425367405,1.0034094445667026,1.0031293822453953,1.0029922098832171,1.003173588497346,1.0026388478777086,1.003218939209285,1.0033807347079904,1.0031367644429667,1.0546411580974715
59-2804080,,,,,,,,0,1.0002846195019583,1.0004333671383383,0.9960397287923425,0.9980982880874149,0.9954245627776399,0.9953296258541525,0.9981384407749164,0.9988716407444892,0.9989530341268544,0.999571372581787,0.9984469421492714,0.9989592169915652,0.9977833641222287,0.9994373997843501,0.9998768487803585,0.9993535169665096,1.0061868422692348,1.0062055309906424,1.0054733744980495,1.0055371001629483,1.0052064907896268,1.004360057705857,1.0044456988949446,1.0042228671549283,1.0026778570700663,1.0041288688800525,1.0039605502777382,1.0039565376930464,1.0033259618245862,1.0037863051181646,1.0036102540642649,1.003751372546063,1.0033100620402124,1.0046082427040153,1.0033862175994923,1.002946180325438,1.003413774524535,1.0031818552036895,1.0030401062181824,1.0031721640586204,1.0026765386994592,1.0033193784200918,1.0034833331675124,1.0031346363632212,1.0558308770478038
60-2804082,,,,,,,,,0,1.0005402419184997,0.9945092897915675,0.9976342798618073,0.9946719110591699,0.9947501919995073,0.9979247803722371,0.9987542595149166,0.998858281509632,0.9995303917567647,0.9983593761702476,0.999088274492314,0.9976825580477607,0.9994044236343619,1.0000132828564663,0.9993215151106338,1.0063749065529415,1.0063814278062961,1.005741901884115,1.0057934197799885,1.0055218490138658,1.0045395414100737,1.0046224445352534,1.0043809774558092,1.0028804976096302,1.0043468552868033,1.0040226321756338,1.0040179506164086,1.0034404227065634,1.0039030977855912,1.0035332024301646,1.0037397960140426,1.0034147036537895,1.0046684702012816,1.0035440302352259,1.0030390103075117,1.0035685512989474,1.0032755616642681,1.0029665549222802,1.0032608823434366,1.0028093360231125,1.0034067085420952,1.00352099414797,1.0032663144062723,1.056487566261793
61-2806234,,,,,,,,,,0,0.9884349349810938,0.9964160732907257,0.9930613031313351,0.9936246399212054,0.9975040968355443,0.998520764956455,0.9986733947539709,0.9994426170099705,0.9982044689687708,0.9987930931301782,0.9975127383058979,0.9991646991623572,0.9998271003183323,0.9991070844052077,1.0065031052610858,1.0066333601051354,1.0058295800884711,1.0058783716137487,1.0054828794743542,1.0046629987048379,1.004652984268674,1.0044868343094095,1.0028613764065073,1.004365479827326,1.0041064584587704,1.0041008332893244,1.0035050926273474,1.0039749927046395,1.0035962120704882,1.003805792876349,1.0034733203078636,1.0047502315344483,1.0035428895559453,1.0030283080745035,1.0035678960397079,1.0033263187823172,1.003010428571279,1.0033086986496986,1.002742958042387,1.0033515132550206,1.003570771003026,1.003260809633173,1.0573695505199692
62-2804565,,,,,,,,,,,0,1.0021062782873613,0.9947953190112487,0.9948658375640116,0.999227644936342,1.0000252208544367,0.9999276904246304,1.0004822724935405,0.9989457167761417,0.9997284769247143,0.9978895749124784,0.9999968489353666,1.0006150203611424,0.9998286036051666,1.0075252206697238,1.007447520021631,1.0067018317703185,1.0067036912617762,1.0062870979648082,1.0051761013649618,1.0052470220652638,1.0049384475761969,1.0033350907454246,1.0046150677080308,1.0043389766219517,1.0045553522576254,1.0039161620303512,1.0043789659751718,1.0040516708810312,1.0041917054087024,1.0037203231242227,1.0050153162426103,1.0038974787180932,1.0032498168465225,1.0037974255776212,1.0036637330989016,1.0032765477346515,1.0036824475551125,1.0029383207315108,1.003553880337097,1.0038776656297572,1.0035568709841132,1.0585338378013407
63-2804563,,,,,,,,,,,,0,0.9867004694380087,0.9912098343642923,0.9981814459695093,0.9994746242345519,0.9994756695672341,1.0002342817056777,0.9985690491224396,0.9994710109742084,0.9976938750106461,0.9998019740634618,1.000491487708456,0.9996475553266707,1.0079189997542481,1.0078051217094197,1.0069936991005575,1.0069783299666755,1.0065004715423016,1.0053185597709147,1.0053886791572464,1.0050548016969338,1.003383560244023,1.0048723197651692,1.004653181959667,1.0045640557777964,1.0039755255830152,1.0043812038605093,1.0040437915144587,1.004188215494815,1.0038341696911062,1.005163115628583,1.0039478217556046,1.0033425485654328,1.0039042678364927,1.0037058459926478,1.003365044153603,1.0036665144925032,1.0030691571453543,1.0036976004899747,1.0038672362030325,1.0035913023808767,1.0599593966166188
64-2804561,,,,,,,,,,,,,0,0.9949903997917243,1.0037926989951365,1.0034862827158104,1.002422205942352,1.0023997713985764,1.0,1.000592241323086,0.9985115331301339,1.0007737071217055,1.0016053024945966,1.000649058864646,1.0092376603812556,1.0090062388724022,1.008079937383918,1.007995488794636,1.0072211900672232,1.0061331671833726,1.006182420354912,1.0056681556585618,1.0038199638036043,1.0055047487397175,1.0050872860849913,1.0050705462104084,1.0044286436340848,1.0048257618895011,1.00454128263812,1.0046788476087922,1.0043089595105996,1.0056585387193686,1.0043336262740312,1.0037077363274958,1.004279838946053,1.0040096174451278,1.0037703730908558,1.0040672953652225,1.003447714904055,1.0040835843238232,1.0041964106675456,1.0039080205086417,1.0616013546360068
65-2804560,,,,,,,,,,,,,,0,1.016103293195996,1.0085763376917736,1.0052434283420002,1.0041477807645467,1.0008414276187767,1.0014241064524856,0.9989636702162528,1.0014782339588941,1.0020931898709204,1.0010173539370417,1.0105406645687642,1.010171677289862,1.0091045359490336,1.0089448912617072,1.0080947243380363,1.0066340409457013,1.0066704750587403,1.006182697581494,1.0042269965202897,1.0058715147680135,1.0055035232879102,1.00548130945598,1.0047080711460312,1.005180268368707,1.0048072755305848,1.004943558429628,1.0045576869431088,1.0059436287324792,1.0045677379075544,1.0039834939114238,1.00457048303262,1.0042872545041999,1.003971692628095,1.0042712720097393,1.0036297501368014,1.0042799040848434,1.004448495051061,1.0040925438039632,1.0633716851911816
66-2806311,,,,,,,,,,,,,,,0,1.0029354895786924,1.0011975387928387,1.0017218260938328,0.9987583596214512,1.000018253695951,0.9975178016968352,1.0003542966546253,1.0011721593150873,1.000057977284054,1.0103525488403646,1.0099783014708699,1.0088597423092713,1.0087086828769347,1.0077284000093683,1.0062459457430242,1.0062962650331029,1.0058286812329558,1.0038221928417048,1.005544569754785,1.005181593799712,1.0051624640474457,1.0043915727375172,1.0048913113003588,1.0045136803329522,1.0046602540211789,1.0042684051988617,1.0056975645773232,1.0042970294756062,1.0037030202997952,1.0043065764273134,1.0040213269764433,1.0037068139134333,1.0040207702355923,1.003371480065731,1.004039739144046,1.0042156911921987,1.0038575619929941,1.0643186244616973
67-2804084,,,,,,,,,,,,,,,,0,0.9994794685099524,1.0012711971732882,0.997828190139461,0.999468507780355,0.9966727264323388,0.9999775998695815,1.000954258623077,0.999721822928963,1.0111165102585145,1.0106273215833483,1.009368769364483,1.0091666661029526,1.008039956027528,1.0064374641494653,1.0066040570077044,1.0060805666824215,1.0039664245675324,1.0057562616032985,1.0052764653921895,1.0052553859433504,1.0044476144419514,1.0050412741989627,1.0046473272755363,1.004795832692962,1.0043885724702566,1.0058614479995973,1.0044102599657105,1.003795661038061,1.0044172005384735,1.004054945076704,1.0037300188071077,1.0041145517077967,1.00344464903621,1.0040705032036867,1.0042507977066761,1.003939648367896,1.0660669869481565
68-2804612,,,,,,,,,,,,,,,,,0,1.0023489562800039,0.997347465478449,0.9994659262432231,0.9961468789680159,1.0000638743944708,1.0011649393064812,0.9997543006563563,1.0124700284481565,1.01177335654944,1.01031013661257,1.0100118614016091,1.0087921080201248,1.0071338328745951,1.0069039013407948,1.0065452587971075,1.0041936742984474,1.0060523175261267,1.0056298014668568,1.005603313040453,1.0048204449574505,1.0053365121781364,1.0049221196974931,1.0049134615004593,1.0045665837608344,1.0061585916929299,1.0046485400206946,1.0040099005696008,1.0046493887160177,1.0043397390664084,1.003995431380196,1.0042550004061321,1.0036245926917604,1.0042036401602377,1.004507226203612,1.0040639682763175,1.0680343461620772
69-2804067,,,,,,,,,,,,,,,,,,0,0.9926680843443084,0.997610621923543,0.9933413269522005,0.9991398801880781,1.0007954747730463,0.9990101934810122,1.0148961921891697,1.0137160626094226,1.0118068492690369,1.0113119135754145,1.0096460710317632,1.007685290917269,1.0076906336638192,1.0068290484812306,1.0043632761283179,1.0063675313410616,1.0058926844931415,1.0058606076186096,1.004906941049879,1.0054534643392483,1.0050090378419083,1.005163410454439,1.0047905550309977,1.0063936656411439,1.0047096425036572,1.0041072710491232,1.0047825491000646,1.0044528370587582,1.0040858156283528,1.0043561097532543,1.0036247681756125,1.0043620730618823,1.0045512126737297,1.0041473002388648,1.0712433347636647
70-2804571,,,,,,,,,,,,,,,,,,,0,1.005869474562135,0.9928681455293107,1.003159473595441,1.0042665967529258,1.0012869851143258,1.022135200244703,1.0193223054493576,1.0163163407602602,1.0151745470799913,1.012051745374252,1.009627416707064,1.0093849345646129,1.00833161527614,1.005507691305656,1.0077385622466601,1.007019963570063,1.0069680926638762,1.005830869954529,1.0064597103594999,1.0057755862222757,1.0059195690136484,1.0055073336250278,1.0072784691676389,1.0054470594561276,1.004712562240304,1.0055027692167153,1.0051375418673016,1.004574709313498,1.0049869180809197,1.0042661704280926,1.004963159847662,1.005151088046741,1.0046455178771854,1.0755966529248973
71-2804538,,,,,,,,,,,,,,,,,,,,0,0.9832390372339296,1.0017254006280956,1.0037935567896985,1.0001349748723962,1.0251573971706522,1.0213063299626535,1.0176658315929885,1.0162172534263099,1.0125535342381136,1.0097041704490843,1.0096134638645415,1.0084686838905512,1.0054888170468652,1.007702301999025,1.0070710821282496,1.0070161402647615,1.0058292388764967,1.0063841991410096,1.0058673645873943,1.0060137184047888,1.0054947834151733,1.0072380105419512,1.005433576819401,1.004676272109035,1.005410357901472,1.0050359721321815,1.0046132624277113,1.0049621021273012,1.0041506541660083,1.0049389228241385,1.0051321976037773,1.0046811649685417,1.0774304673021735
72-2804536,,,,,,,,,,,,,,,,,,,,,0,1.0479903381642512,1.01478454104068,1.0068197049777212,1.0378533845508247,1.0297850033261247,1.0241036807886077,1.0213934675127763,1.015920177973457,1.0119957664076207,1.0117753323839744,1.0102022747736765,1.0068803056405786,1.0091183863563953,1.0083468496615149,1.0082672062870015,1.0068847365087736,1.0074009152275294,1.0068335994310162,1.0069572207521336,1.0063965755578377,1.0081813877345378,1.0062581911733595,1.005452695999288,1.0062074347720493,1.0058002301055187,1.0053309317245471,1.0056661590948284,1.0048042108736865,1.0056063790229763,1.0057926843294938,1.0053089545346254,1.0807447678390116
73-2804065,,,,,,,,,,,,,,,,,,,,,,0,1.002916297597033,0.9962074898961852,1.0362897276351577,1.0277783546298234,1.02190331922953,1.0193546738899433,1.0142615649450786,1.0106799050520725,1.01032787613268,1.0089342869939706,1.0055970427781096,1.008019021693836,1.0073069702947015,1.007243071728007,1.00593663349347,1.0065261946655588,1.005968083124238,1.006121555592063,1.0055645539181337,1.0074209515063055,1.0054934768944968,1.0046875832266078,1.0054669454633343,1.005068662624123,1.0046200739443671,1.0049881691752225,1.0041317854230316,1.0049624165336863,1.0051652286284949,1.0046905244336706,1.0812337588484102
