순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2804585,21-2804587,22-2804722,23-2804725,24-2807143,25-2807144,26-2804785,27-2806426,28-2804787,29-2804789,30-2804793,31-2800291,32-2807413,33-2800297
1-2800269,0,0.9989815947701196,1.0016723380552544,0.9953788190315304,0.9989439209921254,1.0021359445539517,0.9973750582398728,0.9984169514126175,1.0117511958386158,1.0024324659172101,1.0030738300188435,1.0035707432278937,1.0030562542253634,1.0027199278774859,1.0028616285987628,1.0028216672298205,1.002088584272744,1.0014949836687443,1.0027917898371288,1.0038317483538914,1.003533059572999,1.0036293843329191,1.0029832567810273,1.0032706595366399,1.003137143991487,1.0028161597125884,1.0028451696897256,1.0026923930157057,1.1099833764492153,1.136810515372625,1.1309695413423677,1.1273696598810656,1.1270795599542316
2-2805488,,0,1.0048549440877443,0.9937551860976039,0.9989318868348576,1.0029910926734393,0.9969835647870999,0.9982974142610239,1.0140444901412675,1.0029303383962764,1.003625675170638,1.004140078576277,1.0035237639940116,1.003080728208138,1.0031719844352038,1.0031195281685878,1.002307329351493,1.0016532057492704,1.0030170725836167,1.004078014012625,1.0037551485347622,1.0038486850101145,1.0031627441258166,1.0033521684781954,1.003207972774208,1.003058846824787,1.0029000376275496,1.0027391748259094,1.1139152831496675,1.1417680264258185,1.1354145311513897,1.131736252023357,1.1311221483805731
3-2807373,,,0,0.9869228044341957,0.9967404611782976,1.0024368597476068,0.9949410360957184,0.9968672241785842,1.0156899311576617,1.0026629671214677,1.0034674904618601,1.0040563116950432,1.0033807628050633,1.0029229836203561,1.0030499176955996,1.0029976533471747,1.0021460890294855,1.0014732213864805,1.002920365923008,1.004043039204435,1.0037077035628792,1.0038068757480954,1.0030960444263028,1.0032954959994358,1.0032496320149844,1.0029011356934083,1.0029285410058741,1.0027612105243198,1.1175666453473951,1.146151024353733,1.1394089705645263,1.1354925935125317,1.1347395317235551
4-2800272,,,,0,1.011532534672168,1.0169355100451138,1.0007846095049113,1.002321584162187,1.027490770045012,1.0072508182856668,1.0078404032967971,1.0080848447335822,1.0068602354147034,1.0056242293618487,1.005204041232465,1.0050678406798985,1.003890747817213,1.0029355913355291,1.004415722992875,1.005388734004392,1.0049692229487894,1.0050290480631692,1.004202542719515,1.0043640512693293,1.004240289163593,1.0038374484005492,1.003726220256294,1.0035064024430262,1.124649622608222,1.1549964558737225,1.1474887234162374,1.143099735410784,1.142051851314975
5-2803582,,,,,0,1.0257610140300943,0.9907152083808235,0.9970490610444618,1.0294306913799325,1.0037044131215596,1.0048177876607989,1.0055015545247317,1.00438199354062,1.0035533518787725,1.0035667849916887,1.0034821023748846,1.0023980072200611,1.0015719950566144,1.0032505487041037,1.0044719447203394,1.0040729573915501,1.004170473412473,1.0033543965270606,1.003682788517468,1.0034936285200882,1.00320742102288,1.0031218242382207,1.0029283506990974,1.1283209832799657,1.1599594070656338,1.1519449565844009,1.1472487933949225,1.1460208232472668
6-2803603,,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,0.99991932863826,1.001689622640305,1.0029209810925535,1.0020130328605947,1.001696729517234,1.002162878453043,1.0021313603006807,1.0011591337701555,1.0004660204646487,1.0023012518745318,1.0037302475136647,1.0033531225244303,1.003482507121886,1.0026826633123658,1.0029314303229382,1.0027938446902085,1.002525879494811,1.0024713286336413,1.002311192702451,1.1306053058071508,1.1630187900479718,1.154673735757315,1.1499914590264182,1.148536867662489
7-2803602,,,,,,,0,1.0069899670698306,1.0550035537868472,1.0081583690323275,1.0089484655413707,1.0091282824025163,1.0072589043626705,1.0055487151667166,1.0050541024691828,1.0048953676884567,1.0035222257635834,1.0024677273848968,1.0042018792357879,1.005329971627196,1.0048655042063428,1.0049359941497262,1.0040299701676851,1.004340955440721,1.0040925244827736,1.0036601543429782,1.0036540176372357,1.0034212393674344,1.1340279683156829,1.167070286741382,1.158265796768456,1.1532676828585573,1.1518801229457014
8-2800274,,,,,,,,0,1.089891755286435,1.008485077966335,1.0093979237165809,1.0095244271909425,1.0073005708618477,1.0053898770776521,1.0048996849305671,1.0047361295102555,1.0032956734013545,1.0022167538167106,1.0040601830689564,1.0052612734010604,1.004782036386643,1.00485872263875,1.00392558894687,1.004252410320691,1.0038843455557946,1.0036758818825124,1.003560171822205,1.0033270330729147,1.1373573510804427,1.1713496690066072,1.162212056025479,1.1568295961855553,1.1552762809439963
9-2803847,,,,,,,,,0,0.9492689691034362,0.9660111027064449,0.9773500555015032,0.9812037820342053,0.9878704813095187,0.9927360558675136,0.9931884613557209,0.9933695444143726,0.9938185279770888,0.9965584417084358,0.9993069040386797,0.9991191842531791,0.9994534025690078,0.9988289805862105,0.9994496272187491,0.9995862705590352,0.9994209619601672,0.9995257494451156,0.9995372059944148,1.1387046947692099,1.174037427006521,1.164420087762717,1.1587616168189405,1.1569701249172661
10-2803599,,,,,,,,,,0,1.0135769334942013,1.0115628788294777,1.0058287956673644,0.9957541602799309,0.9987688990403463,0.9989373541554479,0.998112555232921,0.9977411822447629,1.0004475517276141,1.0026401628479595,1.0022377890433638,1.0024508412947144,1.0015571662735265,1.0019218169524025,1.0018491306535218,1.0015753835728964,1.0015656413777645,1.0014416129939356,1.1500133817069236,1.187862487651608,1.1768574651945214,1.1703484672545377,1.1679821191235176
11-2804712,,,,,,,,,,,0,1.0100542835167436,1.0029424875760617,0.9928431937147508,0.9973661315114888,0.9976470179718173,0.9970138137364567,0.9968384519699881,0.9997801205430271,1.0022099117702126,1.0018187202055573,1.0020606647825183,1.0011667795524284,1.0015662397730551,1.001523977315921,1.0012572159364324,1.001265642025514,1.0011593402406342,1.1530177113424396,1.1918262280179193,1.1803408869103071,1.1735440359223255,1.1709955156783032
