순번_정류장ID,30-2804062,31-2800299,32-2800293,33-2803938,34-2804530,35-2804532,36-2803935,37-2804070,38-2804545,39-2804546,40-2804068,41-2804542,42-2804538,43-2804536,44-2804065,45-2800296,46-2800298,47-2805077,48-2800301,49-2804454,50-2800294,51-2806305,52-2804529,53-2804056,54-2804604,55-2804598,56-2804053,57-2804051,58-2804596,59-2804050,60-2804594,61-2804047,62-2806409,63-2804592,64-2804044,65-2804590,66-2804042,67-2804040,68-2804038,69-2804036,70-2804033,71-2800268,72-2804528,73-2804527,74-2800270
30-2804062,0,0.9827569623453499,0.9944813319773838,1.0021590220717291,0.9991451349343896,0.9999627500700572,1.3607430084627024,1.3909974220945267,1.364919633534801,1.3282756728014957,1.3134713239445157,1.2880416566830755,1.3879306128018247,1.3474513520146076,1.3359428435207334,1.4650172981795964,1.5727811301603718,1.9817603926610234,2.415766854481786,2.868553274166346,3.42664752053311,4.2816654456691685,5.147726733314553,3.6354006049977046,3.352103079353613,2.858905795610445,2.7398627500599337,2.4139817752945585,2.252028296952053,2.1224181715559327,1.9039572840485397,1.8659838419161128,1.8276454798454724,1.7550249556977413,1.6947169834517157,1.6814939207020545,1.6654940510518956,1.6506727809963162,1.63485594441196,1.6261118933392809,1.597713522398386,1.5767463358883256,1.561305490232778,1.5830668972836857,1.6327650122651134
31-2800299,,0,1.0121899079120464,1.012496069860737,1.005223619885136,1.0052009426168573,1.3273115359875642,1.3667836722810935,1.338366905253339,1.299686000901096,1.2842889547342358,1.2584446519090486,1.3719234925149089,1.3291928510629631,1.3560930603580688,1.5364917901907647,1.6646599222070655,2.166759796207051,2.7283032877884206,3.3484363031904643,4.16521054994323,5.545166591363094,7.128914914846756,4.313519903347062,3.8782252717068153,3.1733959476133955,3.0125698526991758,2.582966751701897,2.3830158240762893,2.226674543843534,1.9706425818025266,1.9270163207521211,1.8832701997117771,1.8010759400605447,1.7336541240961594,1.7189135880199893,1.7011008035879853,1.684702644257989,1.6672446642570191,1.657594083300811,1.6263595748849367,1.6034075506406797,1.5865358006824457,1.6093686916017163,1.661821893680483
32-2800293,,,0,1.007870335949698,1.0001460836499692,1.0012656597265386,1.0019324032042334,1.044526762740084,1.040775975598207,1.0374119933253294,1.035027948265645,1.0323236691132327,1.1524987421203914,1.277944149824236,1.3884470015156984,1.58506455664361,1.7286737647067718,2.304800559928088,2.975802823605807,3.75180552095128,4.834035620092045,6.838254286018384,9.45801784234917,4.887137799520379,4.300946058487381,3.4053869744850136,3.2097468157010347,2.69789773893806,2.4698116639773615,2.2942963454622434,2.0123064783039526,1.9648863502993617,1.917541923306357,1.8290550275155881,1.7570288495516504,1.7413141155965972,1.7223413286703482,1.7049383827822155,1.686438314364621,1.6762137773858987,1.6431915102929047,1.618995914834471,1.601231630861504,1.6248314853508359,1.6789007441367398
33-2803938,,,,0,0.9877630944160133,0.9952502767716069,0.9992645908723373,1.0021722610450832,1.0009229637940444,1.0018865463024584,1.000848254150956,1.0009880456895768,1.146151255969925,1.1270457234210456,1.14625467776431,1.3412418217474171,1.4662237369485422,1.9621435404822798,2.529353552377301,3.17176187817508,4.044835809688028,5.593606816294112,7.495571443066429,4.227523365620279,3.769022068816412,3.050105666959669,2.889988244978174,2.473007169506096,2.2801466950095155,2.1308446269151315,1.8888481206864234,1.847973883193815,1.8070431175291408,1.7304747019443987,1.667728694549181,1.6541085419611532,1.637697007271834,1.62249657637112,1.6063270809899464,1.5974271473818558,1.5686237486143575,1.547448385998377,1.5319336305166238,1.554952014399115,1.607004948924203
34-2804530,,,,,0,1.005096987103229,1.0037422806253733,1.0062012132601525,1.004220081292142,1.0048735790396088,1.0034400188863781,1.0033020332580127,1.1709874856598173,1.1459765965117454,1.1410247176329238,1.1623530039611756,1.2713027611385366,1.591051771150888,2.014616240618075,2.470767666983487,3.054483854994657,3.9972939586031195,5.0179462314792564,3.3451057607417307,3.0614769276141462,2.587639537168995,2.476884401145365,2.1886121959148572,2.0440907247219755,1.9302524389139788,1.74133564079571,1.7089800332426905,1.676357744521405,1.615061738748491,1.5641123767386258,1.5531185907238718,1.5399021717835857,1.5274640832995647,1.5142086085400661,1.5069530965342472,1.4833733870091073,1.465925404891218,1.4531685387091835,1.4750160534894126,1.5239166700945919
35-2804532,,,,,,0,1.0031716433528384,1.0064986504818556,1.004013186015329,1.0048303005885901,1.0031458651790972,1.0030262754475745,1.1934379218637587,1.1622097053154603,1.1558095579445242,1.1763707697785628,1.296328592793356,1.3788349581483277,1.7122950991228394,2.0760388538959886,2.5262196889345887,3.21853209779299,3.923675167299693,2.84934239392945,2.648369523858644,2.29988992970411,2.2160257852853307,2.000833645017358,1.8853711723921898,1.7934167792228646,1.638290622680448,1.6114852502729196,1.5843141342113196,1.5331367994912029,1.490099741050958,1.4808781150967616,1.469822988441942,1.4592601484512773,1.4479880578612034,1.4418541145488413,1.421849020163076,1.4069635088590697,1.396108478910245,1.4171949742477248,1.4638180174242508
36-2803935,,,,,,,0,1.0124677792108558,1.0050823302943044,1.0062177572631008,1.0031263108921313,1.0029421560340648,1.2837513510076928,1.222250797100848,1.2090779849698412,1.2229699826010574,1.3807539778206366,1.4785630571606436,1.4126919132400575,1.4212161422108922,1.6920558308030977,2.077767768328179,2.4370986864019475,2.02779623679932,1.9377943918230447,1.7713646828353524,1.729171625238328,1.6322867963283907,1.567156329987398,1.5142982498373638,1.4218866910681012,1.4056806980274743,1.3890135433182809,1.3575774599083552,1.3302246830189859,1.324542248004506,1.317817237857321,1.3110300879332368,1.303765680999584,1.2999027920450221,1.300767714268381,1.329272228856211,1.3952849197558503,1.4330182061475174,1.4534012520619326
37-2804070,,,,,,,,0,0.9871652980265165,1.0007536005358937,0.9967346498355121,0.9984550118372446,0.9993350137956541,0.9960837647014786,0.9999603132797538,1.0611764134921418,1.2061172874921646,1.316556497000978,1.2737103985316955,1.2455845269606185,1.3796631147763483,1.676567000163248,1.9446906585971266,1.707547126467549,1.6515414510750837,1.5453184288443635,1.5178073132323455,1.4644190454517738,1.4191576741975098,1.3822374631499177,1.316444565057864,1.3048748926048162,1.292846710700645,1.27024585338337,1.2500339799252367,1.24597580786849,1.241245042011118,1.2362060996742723,1.230804401252436,1.22799959093898,1.2666895702707857,1.2952130572835623,1.360136443791634,1.3973246000034127,1.4175694116258524
38-2804545,,,,,,,,,0,1.0084130264559774,1.0004956030881262,1.0011764822084503,1.0007974394367463,0.9969187432600173,1.0010610674071674,1.0660044816482388,1.2214654557551818,1.337742627114945,1.2894400042802923,1.258263718077039,1.2711205613615881,1.539946875321926,1.7801174494499514,1.5943252197063233,1.549094132519402,1.4625340794179968,1.4399401520945492,1.4013430728988574,1.3630651981910218,1.3318241499129735,1.2756855411455235,1.265819630420447,1.2555035310667555,1.2361826489139744,1.218642852267681,1.215194337904382,1.2112133462526729,1.2068335316813135,1.2021353397570018,1.1997305170963313,1.2704093894388404,1.2991345720280036,1.3651153042993343,1.4028009870110583,1.4234086020767875
39-2804546,,,,,,,,,,0,0.9822904368358913,0.995773238561866,0.9987339861420176,0.9946293576705638,0.9997368946727878,1.073541828855548,1.2517232289253797,1.3801613566711242,1.3197607231929869,1.2820850542830415,1.2542592380432003,1.3274111272982032,1.527576590013683,1.4137762155691227,1.384290739229163,1.3270926611896492,1.3119780032962316,1.2961528836702498,1.2688894181332298,1.2467017257424793,1.2061709480016474,1.199088672062207,1.191579471740174,1.1776620325825193,1.1649452538000977,1.1625029585475988,1.1598303563637804,1.1565402265333604,1.1530067571924416,1.177387257493509,1.2766131929630884,1.3060652592123176,1.3738532965701513,1.4126134501844596,1.433733939635393
