순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2804245,16-2804774,17-2804243,18-2804242,19-2806329,20-2804240,21-2804238,22-2804236,23-2804234,24-2806330,25-2803714,26-2803715,27-2803720,28-2803719,29-2803711,30-2806217,31-2803708,32-2806218,33-2803710,34-2803712,35-2804341,36-2804214,37-2804216,38-2804221,39-2806332,40-2807154,41-2804222,42-2804224,43-2804226,44-2807152,45-2804228,46-2804230,47-2807140,48-2807121,49-2806979,50-2807407,51-2806980,52-2806981,53-2806982,54-2806983,55-2806984,56-2806985,57-2807003,58-2807125,59-2807126,60-2807128,61-2807130,62-2807132,63-2806962
1-2800270,0,0.9992239779422376,1.0013822496112423,1.0020618947973834,1.0038796305455182,1.0049905906216348,1.0077218009886506,1.006047238499847,1.006423710170188,1.0057222919608373,1.0041544159839988,1.0060389494688227,1.0041680692006627,1.0046924881448562,1.0025340716939997,1.0023024146239168,1.0022970741007957,1.002258430295647,1.0020092463353831,1.0022453371366045,1.00299098187626,1.0028010140620405,1.002194069890416,1.002210787687701,1.0023762943790613,1.0022349099284866,1.0022238783867703,1.0236799077709904,1.061886052255262,1.0814072350166524,1.1429735377689416,1.1622843993890084,1.160684003587959,1.158632795774535,1.2413253072427566,1.22841665445418,1.2219065866222614,1.2094647441681097,1.2056711120088235,1.19702363244812,1.1948354255687292,1.189719202139609,1.1853922875889342,1.2190492048592623,1.2510840473135654,1.3030705757451346,1.3624675920259297,1.346324193204822,1.334224309672476,1.3212528931138354,1.309989329176921,1.304705813148322,1.299500723663394,1.295758015616251,1.2879678426749277,1.284376359188314,1.274920374692336,1.2689128195834554,1.2558278147497222,1.249789778336986,1.2424669200925915,1.2349254060802404,1.2310188785477363
2-2800268,,0,1.0039856855786276,1.004193236448981,1.0076051987443617,1.0086678491798389,1.0120999527945258,1.0092144390852897,1.0093240497654428,1.0079343594054135,1.0055054158798171,1.0077215490158613,1.0051058088959437,1.0056767926017844,1.0029420502643693,1.0025715382769016,1.0025256326518823,1.0024553949066408,1.0021662043280557,1.002416566626205,1.0031030779663528,1.0028930205878321,1.0023373489759753,1.002444605741517,1.0026150849890632,1.0023638122448064,1.0023416525245876,1.0252048073460571,1.0660973782363654,1.0869858545801934,1.1529412599293796,1.1732427865550383,1.1714125245622142,1.1690515957055916,1.2576169568254263,1.242972762066353,1.23562723996319,1.2216640602720192,1.2173956313256897,1.2077521218588148,1.2052902493072448,1.199695312049905,1.194831176518623,1.1906235631077988,1.1878552349425804,1.201472501014751,1.2560149659595277,1.2496111463272068,1.241225576802051,1.2321394750879628,1.2241748980816494,1.220528238253591,1.21688865573977,1.2142732183105827,1.208818167973455,1.2062844291239725,1.1996130330448205,1.1954027722975378,1.1860656701855472,1.1818823771211326,1.176697637774945,1.1713845585904075,1.1687037885465177
3-2800264,,,0,0.9979549906217147,1.0052962351982582,1.007588681687158,1.01226273393144,1.0086718074405308,1.0088951641369572,1.0073402812647523,1.0046498797702965,1.0072903082540898,1.004501168024614,1.0051751585933095,1.0023206504771343,1.0020978267491165,1.0021232269897518,1.0021004194233754,1.0018270272018461,1.002105616505104,1.00283499635683,1.0026264866145902,1.001958203539614,1.002095921080933,1.0022824711102287,1.0020325650748192,1.0020371807542703,1.0254314300029934,1.0672801349170467,1.0886715438400745,1.1562829276826008,1.1769522660542842,1.1750370291101098,1.172561886591097,1.2633002578530754,1.2480074081532877,1.2403516682418674,1.2258276810391742,1.2213852072367315,1.211378377440949,1.2088170126395472,1.20302168973163,1.1979907565636319,1.193640854955843,1.1907815553443786,1.2046819375792455,1.2602516935946189,1.2533806728249473,1.244737419337889,1.2353132979105585,1.2271306658889822,1.223448393882239,1.2197075227618643,1.2170218603948422,1.2114234228097343,1.2088251182651815,1.201987235580747,1.1976733236454453,1.188119136634191,1.1838391317747632,1.1784910102551978,1.1731133349294522,1.1703268125563455
4-2807245,,,,0,1.0221610511634738,1.0154400237498764,1.0128520675484607,1.00782691561777,1.008305054990846,1.0064917120638879,1.0034175829101646,1.0067429977037439,1.0037186789014738,1.0045438707929049,1.001537416139254,1.001524560388826,1.0016449904989904,1.0016834336080012,1.001430498077161,1.0017444548875059,1.0025269566429393,1.0023203294375262,1.0017589000615974,1.0018105983144685,1.0020128805262694,1.001761758873473,1.001880399618478,1.0258252158887384,1.068934799292032,1.090844580178069,1.1604811191812028,1.1815866502500785,1.1795640457577636,1.1769443206704902,1.270449414372719,1.2542281106685322,1.2461844911869235,1.230960693843202,1.2263011839430726,1.2158427258205684,1.2132437216007594,1.2071968508366204,1.2018762552296964,1.197350367837309,1.194378848189008,1.208605375935213,1.2654132496588262,1.2578844165524534,1.2489288202491287,1.2393140855688787,1.2307933219159186,1.2268596791854134,1.2231251446539337,1.2203538511910388,1.214520177920332,1.211844205045408,1.2048062232085661,1.2003117997478654,1.1905533389773284,1.186157541197045,1.180671787093988,1.1752070991353831,1.172347915232928
5-2800262,,,,,0,1.0117446684855433,1.0107004947303415,1.0049155471136628,1.0062088556427182,1.0046387761408577,1.0016262101866142,1.0056296688741722,1.0026632791771894,1.00363939638103,1.000669803533561,1.0009126498537104,1.0011384753564123,1.0012453399864534,1.0010220195604072,1.0013668526290394,1.0021895768121556,1.0019902249860435,1.0013223090110994,1.001514846670847,1.0017302436561593,1.0014826299470758,1.0015346986240512,1.0258694518618716,1.0694151055209487,1.0917010613612337,1.1622647267286188,1.183572709720216,1.1815015427774802,1.178816606327855,1.273422353825727,1.2569439093366637,1.2487237321626816,1.2331826304969444,1.22842509102401,1.2177630968440643,1.2150224092315927,1.2088668705091685,1.2035369908186953,1.198932411022154,1.1959107406670784,1.210172800437492,1.2675330265394813,1.2598307086876646,1.250735166855336,1.2409051619270814,1.2322009493752393,1.2284118175749068,1.2244303460690231,1.2216865024675767,1.2158388683684436,1.2131284695607047,1.2060019229804428,1.2013956586847379,1.1914727241789573,1.1871325724380886,1.1815363582016476,1.1760145796060766,1.173077796305795
6-2807367,,,,,,0,1.0099432150802012,1.0009149866298466,1.0041074525521054,1.0026917156203554,0.9994972945616102,1.0047056584994585,1.0016082507483288,1.0028046007590334,0.9997522146028862,1.0002951771776278,1.0006398319283722,1.0008202658609107,1.0006234632815232,1.0010056117858037,1.0018811899880797,1.0018120106352655,1.0011343540221183,1.001346832488887,1.0015738841543904,1.0013238647455465,1.0013910876044065,1.026186464597133,1.0708382184151144,1.0935565621336125,1.165879500415093,1.1875561742507248,1.1853890229818924,1.1825749139881057,1.2794805336539623,1.2623871540007467,1.2537119636029412,1.2375530328049449,1.23260438675743,1.2216370702814114,1.218697408126546,1.2123250445677098,1.206898852438283,1.2020582014500927,1.198939208047667,1.2133304948731904,1.2717326994639182,1.263690788486676,1.254322908495747,1.2442083037436336,1.2354067470640617,1.2313787916102001,1.2272905401398495,1.2244104115933674,1.2184778089329515,1.2156392625190895,1.2083427684004235,1.2037438467204975,1.1936483947746457,1.1891023123826474,1.1834890171315036,1.1777510663880548,1.1747046205233607
7-2804336,,,,,,,0,0.9629843698119704,0.9976951044275213,0.9982883529796521,0.9952284004076614,1.0033272012375123,1.0000184243084742,1.001622537427612,0.9984378132254323,0.9994718973218576,0.9999947245558733,1.0002808771466203,1.0001198541953156,1.0005548655808614,1.0015058720288117,1.0013144512784444,1.000637328019623,1.0008985170882168,1.0011505230577096,1.0009025740014057,1.0010101279770498,1.0267053458097721,1.0727262915785576,1.0963204717685262,1.171220085561122,1.1934210489434316,1.191109419519017,1.1881009011203687,1.288368462560895,1.2700768082652696,1.2609985230222944,1.2439202897583541,1.2386877501472082,1.2270438274424205,1.2240342250554361,1.217341926106389,1.2115680279773111,1.2065858917621612,1.20332393892562,1.2179290864831662,1.2778347770561505,1.268980409601986,1.2591504277761516,1.2487100880236697,1.2395830596749104,1.2354070942279953,1.2311688435154189,1.228186147603421,1.221982520804122,1.2191123523764746,1.2115750639910994,1.2068268009917045,1.1963665388081512,1.1916840354692202,1.185961743622174,1.1800631394369467,1.1770762610746155
8-2804260,,,,,,,,0,1.009984374931994,0.9939276042105784,0.9921294876334624,1.0019062492070936,0.9988587557113241,1.0006841965193514,0.9976179129216561,0.9989550947847392,0.9995845164789913,0.9999356367316086,0.9998028179744219,1.0002641752009929,1.0013855668581109,1.0010632399092243,1.0003946276109994,1.0006778701853905,1.0009402339540865,1.0008035113359257,1.0008231324473507,1.0267098729878057,1.0730694400349137,1.0968430305682244,1.1723390869064858,1.194664748544977,1.1923203899997386,1.1892678229469558,1.2903148614193198,1.2717734884414247,1.2625777056212997,1.2453929171372382,1.2399933376622436,1.2282169479629588,1.2252634420037714,1.218406964738309,1.212573707255617,1.2075412424482581,1.204247322342488,1.2190855003513752,1.2793496601197656,1.270231338452097,1.2602324954959427,1.249700847446805,1.2404997073007618,1.236221784998419,1.232084640993087,1.2290118359777216,1.222824608240545,1.2199949062343634,1.2122777856206677,1.2076129678090317,1.1970207227256733,1.192359258729199,1.186493559609601,1.1806088079102874,1.1776021447066694
9-2807394,,,,,,,,,0,0.9795470491931083,0.9843879738522623,1.0000352818312679,0.9971374431326917,0.9994687065906548,0.9964051178623641,0.9982702619696087,0.9990678039069597,0.9995137284455703,0.999414283896014,0.9999191696138332,1.0011047385433152,1.0009195599662128,1.0001108804500125,1.0004256700381369,1.0007046390590777,1.0005706736233657,1.0006125308891862,1.0271786505430578,1.0744980900389778,1.0988328835450063,1.176196931116367,1.1988910369611188,1.196438930861318,1.1932412948360185,1.2967207465258352,1.277371048206458,1.2677951641345298,1.2498310559127241,1.2443257303675672,1.2321208279829843,1.2289576531190929,1.2219605338126938,1.2159353224470961,1.2107399859888164,1.2073426462370314,1.2223902425669915,1.2838171923236052,1.2740633388537546,1.2638578132241907,1.2530301412925178,1.2435181997298899,1.2392011257748636,1.234955461858892,1.2319395559279178,1.225401438530332,1.22244118047091,1.2146725894753252,1.2098996463175178,1.1991344520591953,1.1942081774216229,1.1883836135472923,1.1822288442451496,1.1792120811399358
10-2804761,,,,,,,,,,0,0.9889308341746779,1.0071817825831575,1.0008107474505414,1.0028719191973012,0.9984781196749167,0.9996653387704161,1.000214618865983,1.000495809679639,1.0002986947508,1.0007600823972447,1.0017730253104011,1.0015564258742762,1.0008133361017215,1.0010771287949753,1.001338657431044,1.001069636068169,1.0011673784272614,1.0282832697193671,1.0769613169440047,1.1019642425543523,1.1815565529540966,1.2046425036676656,1.2020504571195167,1.1986636478039179,1.3050252423062378,1.284655277960219,1.2746000319321087,1.2557828838980212,1.2500137542413097,1.2372682627193443,1.2339560252159865,1.2266649610664733,1.2203976528321019,1.2149966343832044,1.2114687492895302,1.226580635693939,1.2893468770684915,1.2789030241833288,1.268509768490239,1.2572408870063327,1.247507103947584,1.242984594658748,1.2385370086989989,1.2354309390661713,1.2288360314067976,1.2257259095693718,1.2177409004637578,1.2126546150308015,1.2016775060450637,1.1967386033473528,1.1907163827876333,1.184519677494035,1.1813764560154845
