순번_정류장ID,44-2806497,45-2806499,46-2806432,47-2807109,48-2805773,49-2807228,50-2806723,51-2806721,52-2805032,53-2805030,54-2806669,55-2803663,56-2802597,57-2802594,58-2802591,59-2802590,60-2805039,61-2804863,62-2805788,63-2805012,64-2805011,65-2805397,66-2805059,67-2805587,68-2806638,69-2806639,70-2807323,71-2807088,72-2806766,73-2806761,74-2806763,75-2806765,76-2803770,77-2805655,78-2802345,79-2802359,80-2803520,81-2807446,82-2806725,83-2805822
44-2806497,0,0.9971389149455518,1.0019163869392738,1.0041972536441102,1.0053527415863095,1.0039663728547914,1.004939133434213,1.004352181407114,1.0040340735257058,1.0032855622090997,1.0033362698512778,1.049378786837769,1.0419857898128368,1.0411410231428224,1.0406827227761033,1.049148236890752,1.0553293886223767,1.0538704360515392,1.0666647621999699,1.1469848524607544,1.1755762329633606,1.2136711555230186,1.2084338288729457,1.2036732720047927,1.500866389734832,1.5012585108847532,1.4894497898556407,1.6797881547423748,1.6941402565274877,1.802952925671634,1.8745047261057577,1.9368774166673735,2.0937135042822805,2.317710771601902,2.2881413768431376,2.6240901538702026,2.9071292305350194,3.341434360888798,3.336681429178193,3.187774870007194
45-2806499,,0,1.003534971490154,1.0061421245216222,1.0072703242516017,1.0053872071660368,1.0064440546131732,1.005594860382156,1.0050674438282041,1.0041328054577316,1.004137230927831,1.0556782809519027,1.0469858324146313,1.0458895361293314,1.045260683493773,1.0542499157491811,1.0610872780368328,1.0592805044090272,1.0733539827715832,1.1617342055878592,1.1934018567176767,1.235567876024906,1.2292460383744803,1.2234730733913357,1.5551614754675909,1.5545810206104607,1.5384735658277342,1.753331658856021,1.7681790019625279,1.8921693787343985,1.974315716573255,2.0463983104755603,2.229120431549874,2.4901648303649764,2.4519889428621644,2.8541736069689145,3.2023027499881813,3.75107435692183,3.7286123141508303,3.5277317217930038
46-2806432,,,0,1.0175104025442403,1.0155489452470112,1.0083366545732446,1.0102933921191164,1.007725984490192,1.0062838502591314,1.0045428654947817,1.0045086765301094,1.0844942222323624,1.0682982783681971,1.0656875953069866,1.0640358170993482,1.0765227251737424,1.0848313641886294,1.0811183486230806,1.1001300457044327,1.2265171984644385,1.2727989441672127,1.3342948841107165,1.3217656945880367,1.310267299906915,1.8125456992721027,1.8047126420177821,1.7614685338224438,2.104955172761157,2.1178414724373775,2.3230537976698025,2.4645436378471874,2.592672195624555,2.93199328966982,3.4226139965204254,3.31875340421395,4.184843500839059,5.04651250868383,6.677526848524212,6.394086821624559,5.661194898395726
47-2807109,,,,0,1.007660125529705,0.9998225836974848,1.0046868200199177,1.0029266395237253,1.0021136260368741,1.0007211098170206,1.0011292796923423,1.093323043689653,1.0739694065637162,1.0707487480964946,1.06869759061293,1.0826770736131215,1.091225135893913,1.086793301703248,1.107751952664101,1.247452876367479,1.2991030419364322,1.3677166956307467,1.3525452916639848,1.3386495337795588,1.906528404797699,1.894943747316272,1.8385464610530504,2.2338378491991144,2.2446420447133035,2.484813367053244,2.652306169898724,2.8057827198531577,3.2191844138554475,3.823088087220068,3.6818123386223873,4.80493184144963,5.998052727987151,8.4915299971202,7.936029413357066,6.768572278922666
48-2805773,,,,,0,0.9899293350685365,1.0025065735774665,1.0008769975475778,1.000583901428513,0.9991831586354607,0.9998842797960238,1.1073962724833184,1.083290397904426,1.0790882819871648,1.076387701864319,1.0918483029116772,1.1006783174935715,1.0951965051204373,1.117971139896873,1.2743325038235218,1.3326251472339958,1.410027065658679,1.391252055716514,1.374112835988786,2.025080665350943,2.0079723662604625,1.933581373204861,2.396351541147453,2.403451334330385,2.689653089845604,2.8926072017549513,3.0813340609857796,3.6010262720179833,4.372711892908857,4.171488429357486,5.70684546150269,7.500853939000377,11.916253590259364,10.64304876552087,8.52499543187441
49-2807228,,,,,,0,1.016490909029905,1.0053164229391407,1.003562030656576,1.0011533762539147,1.0016551362447577,1.1245631658934483,1.0946562466193002,1.0892076245862155,1.085681511700242,1.1024903317773593,1.1113146069298705,1.104618753932954,1.129506906577713,1.301741466576759,1.3666493475082233,1.4527872230320136,1.4300764880931898,1.409429012843472,2.1105173390799945,2.0885968363090344,1.9871490637344678,2.5013845374368557,2.504855186742092,2.8498044685566613,3.08373892311693,3.3047805685768306,3.9255027425748468,4.9893667940065445,4.709393429542057,6.796277190097825,8.960335581806833,16.222453693388587,13.700513753996859,10.249667130842289
50-2806723,,,,,,,0,0.9964886925723127,0.9994242050238964,0.9977426995795106,0.9989617397884553,1.059451392723416,1.039405862561397,1.0375729687197466,1.0367080888883942,1.027915672562624,1.0305300126091128,1.028338157155817,1.0505738478537612,1.1684273571629613,1.2263709088184052,1.3048121803110646,1.2901693373068488,1.2771052400374374,1.907673463487078,1.8941421783546026,1.8187942203281091,2.2760672565228997,2.286644108254982,2.590625669814576,2.7950184740185913,2.987243037537608,3.516929692072652,4.418098930553807,4.199564376538014,5.891546488451166,7.544147391213319,12.430093923971485,10.96723255962135,8.635507918857137
51-2806721,,,,,,,,0,1.0015364132878513,0.9982810244883991,0.9997596336975169,1.0719009848625825,1.0457282897732427,1.0430805632502307,1.041736988036535,1.0313166441335748,1.0339143065413472,1.0312023115214741,1.0557337811174932,1.1363043012044785,1.1900527655096202,1.273165641810096,1.2588174734231596,1.2464950129488546,1.6161803070626317,1.6132194059837048,1.5425224391394485,1.90231861477779,1.955471739189844,2.2189318366578696,2.3848060531466446,2.5373330270651664,2.9530647146533866,3.653099588670045,3.50659099702489,4.736635455407522,5.8498955584790195,8.694241345637177,7.545393140851288,6.373721082799801
52-2805032,,,,,,,,,0,0.9934468943977799,0.9983153097270325,1.0196526710277518,0.999704218058385,1.0014314628119751,1.002559916837105,0.993232963813108,1.0010182078971825,1.0010377988505712,1.030600846654437,1.1232659118790387,1.185663458114612,1.282438294287669,1.2649581846481854,1.2511274028100121,1.4547843183856535,1.457015021734829,1.4050847063545675,1.5079357451070563,1.6866682590118083,1.8956861353071826,2.0337437596733396,2.1598139561199527,2.497547267965514,3.229655996803517,3.2982938884720063,3.660300883701066,4.388365928392873,5.540430965074011,5.1110672167597615,4.582991234278869
53-2805030,,,,,,,,,,0,1.0042037697133912,1.0312938707447605,1.002045732108753,1.0033737941662733,1.0050531531791076,0.9936205023913914,1.0026772656726275,1.0021991558755297,1.0357629366455539,1.1427916415150077,1.2145004314423404,1.3273803099747954,1.3051722334476288,1.2860649469167236,1.5121720524184092,1.5129931083942656,1.4480058078349496,1.5606933328960153,1.762860110463956,2.004303710630402,2.164819718583509,2.3137278162664905,2.7201077571763035,3.6333291977050792,3.7147865457678435,3.2938896094350656,3.921606539314912,4.830324212080901,4.515505996325678,4.142049030262456
