순번_정류장ID,1-2806160,2-2807302,3-2804858,4-2804819,5-2804820,6-2804822,7-2805193,8-2800592,9-2805250,10-2805408,11-2804947,12-2804948,13-2805315,14-2805052,15-2804893,16-2805038,17-2804895,18-2805744,19-2807267,20-2804912,21-2800626,22-2800637,23-2800647,24-2800666,25-2800678,26-2803556,27-2800345,28-2803643,29-2803791,30-2801474,31-2801178,32-2801179,33-2801439,34-2801584,35-2801628
1-2806160,0,1.588179376284638,1.132854473454134,1.1146081042239115,1.1036108227993782,1.0830658084159765,1.0725716416811484,1.0662202413353132,1.137850282498937,1.1272974640371314,1.1259168969066577,1.2497191752405887,1.4730999663759368,1.4339776705246423,1.4086468273870192,1.3806846499911378,1.3635002451405493,1.3318114911868473,1.2846844096732286,1.2767851938532047,1.2704886296106672,1.2594777147619234,1.2528389348565698,1.2409880427425433,1.2341448338978975,1.2224115025419737,1.2240743851274098,1.211026173226746,1.1781461191235691,1.2079749682485452,1.220239684277559,1.2102523487742862,1.228854578606583,1.2114584861389972,1.2166170291880885
2-2807302,,0,0.9824800650688316,0.9929549983148758,0.992975991406809,0.9957577961386912,0.9954998069871344,0.996223799017459,1.084608269549105,1.0785272409710478,1.0799050603911216,1.215363728627287,1.4607103413088613,1.4189333632740133,1.392251953900065,1.363164504611098,1.3455015236743426,1.3132620532099537,1.266744005683483,1.25903854970187,1.2521693934646598,1.2412543275347918,1.2346587483920062,1.2228915460292216,1.2160403782967792,1.2056237656483053,1.2072043208600103,1.1943198811749396,1.1630580192383086,1.1938764806561486,1.2071572525371164,1.1975224472326012,1.2166956789935952,1.1996564388300708,1.2055532618746645
3-2804858,,,0,1.029629531058711,1.0164835913186192,1.0103378735949757,1.0062651947314036,1.0056198986193987,1.0449250834755306,1.0423105407877802,1.0470236934828003,1.2283098853957768,1.566366573230649,1.497778087680388,1.4565403940161303,1.4134098968516977,1.3880377138846882,1.343550609916759,1.2831016589738007,1.2734934813735341,1.265778280346739,1.2522548183186102,1.243677664024197,1.2297257548852343,1.2215085968323027,1.2086812965512452,1.2115769859583398,1.197063537982547,1.162088637358535,1.1957464946463288,1.2100525012567624,1.1993700155381815,1.2203294273307308,1.201611715385478,1.2078091934200692
4-2804819,,,,0,0.9931437589778483,1.0003060919587698,0.9982199705329071,0.9991487543675548,0.9951801281473182,1.0001182489405807,1.0088744883811402,1.2051759966116469,1.5739259070083336,1.49855942221849,1.4540997307959018,1.4082597748447658,1.3816178664101741,1.335445699053836,1.2735237262844041,1.2640330113009053,1.2560898042289432,1.2426724360608152,1.2341194757621647,1.2206131345253892,1.2128009540728253,1.1999168826366817,1.202517719274527,1.1880327353543183,1.153856235292383,1.1878921470568808,1.2029472710814253,1.1923885314438574,1.187069586465845,1.1712763016836911,1.178955600378584
5-2804820,,,,,0,1.0027842720510094,0.9992892976588628,1.000098664884719,0.9953843041648581,1.0007000926755563,1.0100651721866196,1.2217261542524274,1.6237554481764955,1.5356430638744007,1.4846924919451499,1.4328229383329174,1.402946736050468,1.3517770557676199,1.2836204455390714,1.273205738352318,1.2657470786822722,1.2503885789720222,1.24222508967693,1.2279122259055841,1.218414588775171,1.2049255064502888,1.207779493667024,1.1925666496848333,1.157292607041763,1.1920349558947865,1.2072280247105023,1.1962469626137866,1.1907311435218249,1.1743459023802503,1.181915852944212
6-2804822,,,,,,0,0.9938497162777679,0.9978367198559098,0.9923558114772584,1.0000379189853086,1.0121039514212151,1.285505545628079,1.8285084482434242,1.6790510661777323,1.5990682593538814,1.5215397956261694,1.478423769701414,1.407596896954432,1.318501682685373,1.3054636355435345,1.2959610553941237,1.2784065938592322,1.2664672828659864,1.250299143603887,1.23955969807017,1.2227734477852559,1.225896418594749,1.207486774355756,1.1671150936177654,1.2040631577547307,1.219559529900223,1.2073831938239423,1.2011476293463565,1.1829552453469607,1.190561968381175
7-2805193,,,,,,,0,1.0025388479752237,0.991821782789602,1.001625149216763,1.0161086294155541,1.3526638237234587,2.0528641351780967,1.8223049418819615,1.7079654891072937,1.6021725039863979,1.5452449978279652,1.454986179456062,1.3483870867154015,1.3315465651303526,1.32024741826025,1.2999497964889135,1.287095181847012,1.266702435682578,1.2541457564248044,1.2374882110184058,1.2387142593579048,1.2189764290079839,1.1738574279395002,1.2130128751384786,1.228751754987023,1.2155839183302193,1.2088850526492545,1.1894312392286002,1.1967601529314782
8-2800592,,,,,,,,0,0.9871730935748279,1.0013712055181845,1.0192097199399772,1.4376093952499525,2.3629252234031335,1.9989414711804696,1.8349651520881733,1.6914284871940564,1.6171040026002934,1.5036531174969383,1.375782288970492,1.3579262879123566,1.3434880067156332,1.3203516762944378,1.305409544315045,1.2838600875834916,1.2690981440736298,1.2499217385972328,1.251796024195112,1.2300234720903072,1.1808023853782945,1.2208954354940005,1.2368427492872263,1.2226315466260818,1.2156290449406295,1.1948249001299227,1.2021772908104755
9-2805250,,,,,,,,,0,1.021930938907495,1.0237104515265334,1.3162647603712168,2.8098759980866173,2.9183455473545044,2.389873222786381,2.030208748141325,1.871292264832777,1.6526185142041614,1.4509907250031873,1.4253320301492987,1.4049828278193779,1.3728482118041432,1.3530045512957314,1.3245332255101419,1.3047086389918383,1.2807201368721917,1.281084416049329,1.2542310726153247,1.1946879246108668,1.2217843038841578,1.238982038981279,1.2239375850605585,1.216433616584072,1.194095795744426,1.2020023053433035
10-2805408,,,,,,,,,,0,1.0119289367085915,0.9884476119317199,3.1163917845592883,5.102663402970251,3.253176878458564,2.433343621554073,2.139993063299259,1.7906048658773863,1.511671259306535,1.478743234118164,1.4522828154724159,1.4129086200658314,1.3876752341490233,1.3540591417737362,1.3291386713428928,1.3014705019749524,1.301815760699557,1.270700711043625,1.2039024597276433,1.2325098657553146,1.2499108491795758,1.2331360810236656,1.2249836993314043,1.201006230996823,1.2087203869115402
