순번_정류장ID,1-2801795,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2804871,17-2801387,18-2801368,19-2801353,20-2801350,21-2801330,22-2801287,23-2801270,24-2801057,25-2801035,26-2801027,27-2800998,28-2800971,29-2800841,30-2800840,31-2800839,32-2800981,33-2800992,34-2800526,35-2800528,36-2800532,37-2800535,38-2800544,39-2804975,40-2800560,41-2800569,42-2807222,43-2800563,44-2806626,45-2807223,46-2806160,47-2807520,48-2807504,49-2803359,50-2803214,51-2805065,52-2803360,53-2805324,54-2803380,55-2803377,56-2805199,57-2805233,58-2805235,59-2805245,60-2805244,61-2805238,62-2805240,63-2805241,64-2805201,65-2805942,66-2803372,67-2803369,68-2803364,69-2805057,70-2805247
1-2801795,0,1.0185415530997572,1.0109883908669386,1.0081365911567106,1.0023051873960873,1.0027204604874285,1.0048096874817698,1.0051558239373497,1.0087483945098012,1.006840116348786,1.0055810043369529,1.0045316530056316,1.0049198846516816,1.003883036953638,1.0153772579316425,1.014426767338755,1.0139169784177575,1.0137044962596835,1.0614905689917509,1.0630896067679363,1.1147728836822193,1.1084093211752786,1.1018618445590385,1.0910953691923924,1.087663854458415,1.0858855206369167,1.0824387538427407,1.0792626125095304,1.090447572077428,1.1556436445510159,1.2068838141100642,1.235221145080348,1.2338679543042275,1.3173282538818318,1.387826171971563,1.4752235023568605,1.5786677253784427,1.7206404837547253,1.6994661231639896,1.6447768592802612,1.669527109216192,1.650614712515106,1.6309404155147595,1.6037501754287924,1.5754744975366146,1.5548909963603585,1.7285259373981778,1.4388226677721843,1.399110800930331,1.396908794777139,1.3933067442099434,1.475574369011356,1.4641853758207084,1.4842247526862578,1.4758852049784061,1.46934736586296,1.4643452011371032,1.4563189896259756,1.4456639087548877,1.4684385099694441,1.4673879373169807,1.461494895624324,1.4724805805155659,1.4642731105577294,1.4591766099721768,1.4568836721409102,1.4878716338455036,1.5256621352920732,1.5662147992798845,1.6078501730631456
2-2801793,,0,0.9979817891673707,1.0011439970958793,0.9955967792298203,0.9988154434833071,1.0015590604109517,1.003196816457213,1.0076266439032195,1.00531624476604,1.0040283988168248,1.0031233509456592,1.0034895103510628,1.0026655269827505,1.0151275731557723,1.0141220763060803,1.0135922140885518,1.0135501560038414,1.0642974778349055,1.066103023239767,1.1211423283731718,1.1138218965187379,1.106753172233054,1.0948429677663274,1.0909586535254439,1.0891589796425116,1.0852842224414694,1.0819777435193332,1.0935028340311024,1.161222105692928,1.2148582550559195,1.244362332319325,1.2426770722703766,1.2354380458770147,1.3009935373577914,1.3820941858501459,1.477789455043809,1.6105786960154393,1.5933657831109944,1.551135090002299,1.577213850140527,1.5615901837639048,1.5451182683402802,1.5222330938164403,1.498750164375027,1.4813508291874784,1.6532897414121488,1.3983800052788002,1.392139132575878,1.3900491591842346,1.386574486735243,1.4689554029541276,1.4575948636750873,1.4781959461945708,1.469927597112998,1.463448960871611,1.4584929991221827,1.4505015787269344,1.4399866406569846,1.4627856981243388,1.4618440905242658,1.456003475754937,1.4670389199182903,1.4589017895441612,1.4538840794757453,1.4492949925585121,1.4636235495455945,1.5007134589339346,1.5403904231448289,1.5812637016525837
3-2801779,,,0,1.0031680139829582,0.99484388195884,0.9989861991996217,1.0021291976168762,1.0038051822294856,1.0085725380838957,1.0059163046066049,1.0044807205896893,1.0034423007347948,1.0037888978982932,1.002903062614313,1.015950968266497,1.014847040420967,1.0142558938940345,1.014174298610675,1.066913610836367,1.0687272210292582,1.1259231103658156,1.1180203139884446,1.1104662213839689,1.0977275239744695,1.0936055787200516,1.0917028587047437,1.0876020649858393,1.0840021471685328,1.0957158568400642,1.1653820973002726,1.22032538155305,1.2505500186081009,1.2485022439216846,1.2282706695879464,1.2942273439660403,1.3761456838047488,1.4727486556848874,1.606849603070697,1.589693808157944,1.5514722548756188,1.5269884354764869,1.5127605085107947,1.4979755976702631,1.4774989518532369,1.4566523904040667,1.4410377338805327,1.611953564232383,1.375661426814275,1.3755344626586719,1.3735056947328077,1.3701553337524646,1.4515853853690988,1.4407178426242402,1.4623312074873744,1.45437765628661,1.4481516183787095,1.4433895184274186,1.4357393248879406,1.425598853171475,1.4482662927248169,1.4473913157890834,1.4417344502225413,1.4527780621012651,1.444938730644966,1.440068653747179,1.4357078905102985,1.449802117951588,1.4864721553310545,1.5257321352952118,1.5661902286357947
4-2801766,,,,0,0.9867431742496525,0.9970181826594469,1.0017847651145881,1.0039464402986888,1.0095504762883705,1.0063190773858839,1.004653941007226,1.0034714159423934,1.0041010205902876,1.0028800500363793,1.016987852306591,1.0157280051794095,1.015044787905721,1.0149097416991544,1.0712927299593595,1.07292511567601,1.1338478513381134,1.1249141028667347,1.1165110968774083,1.1023417874186898,1.0978152785578317,1.095737980552003,1.091255578751317,1.087479825997207,1.0994958882487091,1.1719020653117462,1.2292282580606442,1.2606530127773359,1.2581976090655413,1.2120890662773551,1.2456205599061188,1.324803326620366,1.4180819920173673,1.5486362977437973,1.5330597810197055,1.5010425396487468,1.4774599906461745,1.4647249319659377,1.4519117054340152,1.4334901675479412,1.4147390655883234,1.4006651491888296,1.571918024462518,1.352695703419526,1.3497876708378915,1.3478763761921422,1.3447784030904149,1.424680701208157,1.4146069622291344,1.4377177123661493,1.4302843822624842,1.4244071029700243,1.41994208890662,1.4128295014999164,1.4033189787179037,1.4256898502348505,1.4249736841889,1.4196889042655794,1.4306178183723717,1.4232700510585403,1.4186802614405754,1.4144958991756105,1.435872881126273,1.4723071526143117,1.5112763625721606,1.5511067795988724
5-2801756,,,,,0,1.0066402847258518,1.0095565239963795,1.0090501876191098,1.0147598653558387,1.0097893326196112,1.0074703526257194,1.005542695837203,1.0056492822052234,1.004443681010919,1.0197380329731704,1.018164074192214,1.0172771769528068,1.0169861360258567,1.0772062522302255,1.0789954148989482,1.1443001047879342,1.1339964755791385,1.1244851124790998,1.1084442864316368,1.1033949634492999,1.1010934253055007,1.0961190451690526,1.091838063451318,1.1042742330151651,1.1797437790867407,1.2398931467801015,1.2726514511024922,1.2698305475286438,1.2200078266354215,1.2136459498558045,1.2470130679671823,1.334024403636504,1.4570682781225754,1.4448301279553728,1.4220856432639697,1.4037087798786536,1.3935750703458742,1.3826139411040768,1.3673298935075087,1.3523942611188033,1.3403104967178703,1.5096784911257115,1.3175676210855682,1.3242429447195456,1.3225239687618235,1.3196710477417526,1.398076041738969,1.388731876615582,1.4133685979727155,1.4063288587110325,1.400866946950141,1.396691622146428,1.3899606173316164,1.3810694480310195,1.4031807602176274,1.4026893879055216,1.3976657553740983,1.4086188637549921,1.4017173670048213,1.397402281309616,1.393425215726453,1.4145148557796166,1.450201659742393,1.488397949173849,1.5277939622199945
6-2801749,,,,,,0,1.0131474506510898,1.0101676801647141,1.0173791564132106,1.0105247678180536,1.0076378627444875,1.0053754592367645,1.0058411362533857,1.0044786986689471,1.021146341332848,1.0193003017903743,1.0182553059884134,1.0178702497487626,1.0833427862933191,1.0848802559150394,1.1556025369114817,1.1436106610109364,1.1327608735776187,1.1145260787070814,1.1088794262365274,1.1063235523140513,1.1007979701567436,1.0960927805221459,1.1089019171025898,1.1882329995943282,1.2513879650779218,1.2857050210014986,1.2821403012430477,1.2282047214717207,1.2213569146940901,1.2145820344691678,1.2598458310703229,1.376907647522354,1.3669001379458965,1.348410991046437,1.3289185260960896,1.32074901340578,1.3120314522628886,1.300363624603495,1.2886415764320889,1.2790459226811601,1.4462634066266717,1.281213532404997,1.297188170203545,1.2956278329852142,1.2930297764806349,1.3698244127493184,1.3612787976886844,1.3874186698190758,1.3809071319022013,1.3758745946408941,1.3719664005123005,1.3656755859337284,1.357430942422717,1.3792684625620566,1.3789037699557818,1.3742607248748742,1.385164380636985,1.3786983995084485,1.3747042076109797,1.3710752258726748,1.3918601700099487,1.4268754099079142,1.4643797099081086,1.5028281302088489
7-2801743,,,,,,,0,0.993649814930688,1.0100893318392565,1.0041487206150117,1.0017432851239667,1.0008125291652255,1.0021786936054555,1.0007262200861031,1.0195197967324223,1.0176638319212843,1.0166554733063047,1.01636414074288,1.0862801412208036,1.0880665215710226,1.1637413646290307,1.1502895798998112,1.1383070514782823,1.1182971421918324,1.1121830261189238,1.1094302042308344,1.1034853689124364,1.0986025598380587,1.1116443073578504,1.1941759724546925,1.2600321002702672,1.295699318249687,1.2916289838693962,1.2341559813740512,1.2267965135033494,1.2196340282614295,1.2663801129147485,1.3872312414151275,1.376770589750736,1.356722009953414,1.336047438254993,1.327598220556812,1.318388289605209,1.3061019561078386,1.2940412775613404,1.2840697082668955,1.4544902807612026,1.2843647633537374,1.2757103635652742,1.2742374217401322,1.2718382686508771,1.347438554624668,1.339482756429317,1.3668193648743365,1.3606557007309452,1.3559308678098878,1.3522948163873423,1.3464095743687166,1.338636762199783,1.3602918144528116,1.3600528846358928,1.3556800088506455,1.3665769265071912,1.3604447690689576,1.35661219187465,1.3655071103314813,1.394470375568648,1.4297892246690687,1.4675914750396686,1.5065324723715823
8-2801185,,,,,,,,0,1.017751171940942,1.003833957208991,1.000351162418368,0.9996425582025013,1.0011639172643392,0.9999149108605413,1.0223237743641391,1.0198594325849741,1.0185113494085263,1.0180178139742908,1.097803036944708,1.0991529574179466,1.1851278737755366,1.167987097586826,1.1532149662142281,1.1288030144156584,1.12154475767882,1.1183131238156558,1.1113389098343536,1.1055392703064035,1.119114107264176,1.2079293421879116,1.2790187986482828,1.317235267994472,1.312029731627353,1.247120312478837,1.238929752409543,1.2310654141023167,1.224952870560332,1.3454839512917554,1.3359731163562523,1.3197338871693478,1.3011895042212764,1.2934815433831568,1.2852419460873032,1.274236453048089,1.2633930260800161,1.2545224569265936,1.427005110064311,1.266872662537086,1.2410678910993767,1.2398261229188605,1.237740159060021,1.3113750432423763,1.3042773636975549,1.3335624105129384,1.328006935765143,1.3237687980493857,1.3205080440973231,1.315211819916952,1.3082424627960731,1.3295165308013543,1.3294774185083722,1.3255351672020514,1.3363650468025134,1.3308184391660227,1.3334528953549707,1.3554181587918923,1.3842481415954455,1.4194820949580094,1.457267389365874,1.4961006621044468
9-2801687,,,,,,,,,0,0.9925479518975455,0.9913626931120194,0.9946308541548536,0.997840069392519,0.9968426518861568,1.0230303005968575,1.0201459693041064,1.0186047539326837,1.0180472251396762,1.1061737573074715,1.1076363043846604,1.2027933594872144,1.182176421111192,1.1648684715866857,1.1366055693083308,1.1283849492922966,1.1247554644686006,1.1169358477507254,1.1106735011478805,1.1246661137794354,1.2180908365544505,1.2935822357030107,1.3338458965580675,1.3278595292183202,1.2567063053847773,1.2479860344652296,1.2393468093891111,1.2299714805506416,1.2973335811781843,1.289462124604874,1.2779084350941743,1.2618028249043807,1.2551508001523894,1.2479954366819672,1.238655156141777,1.2294971713224472,1.2216718543087235,1.3943854777748694,1.2473988000258818,1.2170528508620928,1.2159094110180961,1.214069356881636,1.2863255870563346,1.2799317400593069,1.3104457979945332,1.3053371905742293,1.3013322201920168,1.2983278258831483,1.2934657344984122,1.2870451435759949,1.308079069705296,1.3082381163362158,1.3045890127447424,1.3152799968766014,1.3102244593463857,1.3219259133314718,1.3438029461885896,1.372437377942058,1.4074291254042062,1.4449535031854075,1.4834971759705196
10-2801184,,,,,,,,,,0,0.9892787848550365,0.9957100743427098,1.0002683416348646,0.9985680467589556,0.9994691096926227,0.9993962584576573,0.9998664157841929,1.0012861009421659,1.1240799958897756,1.1246116049520758,1.234258326403002,1.207178858443457,1.1853220777435498,1.1502737950341286,1.1404025857893365,1.1360976986244353,1.1268417568176698,1.1193667945634818,1.1339528506142778,1.234475928246818,1.3032452893171762,1.3460039014716823,1.338927703223439,1.26210778620302,1.2527990536089597,1.243593416349796,1.2336497420890842,1.2486860621634854,1.2420480099975502,1.2348555801429812,1.221281240062523,1.2157742273858054,1.2096958146775267,1.2018383030144402,1.194379557490346,1.187768756645041,1.3615658597464673,1.2273415688065925,1.18828356296387,1.1872963193841524,1.1856723197817227,1.2563891025057154,1.2507015058505964,1.2826201296722841,1.2780002210323684,1.2744536039577476,1.2716888504031607,1.2672708618372217,1.261560052933233,1.2823632717430689,1.282620341473924,1.2792599897593078,1.2900130138276946,1.2860007820517754,1.310216119640438,1.3319366031487894,1.360406646048452,1.3951953710399652,1.4324329196260326,1.4708393206077912
