순번_정류장ID,48-2801658,49-2801672,50-2801684,51-2801718,52-2801745,53-2801752,54-2801759,55-2801768,56-2801790,57-2801977,58-2802024,59-2802051,60-2802098,61-2802129,62-2802158,63-2802168,64-2801848,65-2802825,66-2802870,67-2802906,68-2802937,69-2802951,70-2802613,71-2802982,72-2802977,73-2802973,74-2802967,75-2802963,76-2802956,77-2802984,78-2803020,79-2802429,80-2802369,81-2802529,82-2802539,83-2802558,84-2802569,85-2802560,86-2802555,87-2802556,88-2802566,89-2802366,90-2802585
48-2801658,0,0.999323915988973,1.000413078747036,1.0017780600342971,1.0062541427421885,1.015338512793573,1.0937141998834132,1.0803351676218769,1.0757735763637528,1.0616522814615235,1.0579291895342875,1.05498295787551,1.0511704280592404,1.0472426192028412,1.040395816066243,1.0399213683010564,1.0353520046185032,1.0457711685905668,1.0427433370922985,1.056011726447804,1.0529512415202205,1.0789521685447685,1.1376010910240026,1.1448662580261997,1.1413006532962267,1.1949646816371513,1.2132312953570226,1.2016879559607947,1.1966973470163806,1.1935967286479057,1.2152709353993612,1.2094409885635342,1.1923901509444326,1.1881057621791389,1.1886890913862527,1.2126740899891857,1.3311837957254475,1.464125869734962,1.5014304810485346,1.4888301885918451,1.4755624301198793,1.4642995053787264,1.4952835987658022
49-2801672,,0,1.0013123150285133,1.0027454089995897,1.007961818087858,1.0184601465451302,1.1095926275974888,1.0925876460767945,1.0854218049883715,1.068281752779057,1.0634644168352674,1.0599864455350638,1.0553604318951768,1.051033855371028,1.0433525185145849,1.0423187394350883,1.0374160145443048,1.0483232387312489,1.045019501145071,1.0589142959353728,1.0555079853647715,1.0827653839377258,1.1437325608009699,1.1512955342467257,1.1473003051269008,1.2034874045595125,1.2224307658492994,1.2097998648279493,1.2040878520706968,1.2005459383472235,1.2230855726847878,1.216442473717234,1.1982930026131318,1.1939818736149375,1.1942788337892496,1.2186991122305209,1.3410719339504347,1.4789182239965744,1.5177630795212467,1.5040850165799624,1.4894812505128412,1.477905541652554,1.5097395969483576
50-2801684,,,0,0.9916679515248695,1.0049463971668793,1.0040842654261475,1.0038635768343884,0.9969168205129143,1.0062785686336932,1.0012703053300884,1.0041185300482536,1.0034649782499778,1.0046015428496007,1.0041478287992218,1.0007554336643265,1.0025061369486101,1.0013243750758432,1.014276035094398,1.01232946250473,1.061463650836655,1.0576710672998626,1.0861412573252802,1.1507542729388802,1.1581184611643305,1.1537482921848197,1.213321348554541,1.232997892232645,1.2191440787423529,1.2130911792449919,1.209096362634988,1.2322026572098996,1.224534820345806,1.2050100399377692,1.2004307833485386,1.2004109223379669,1.225705774589381,1.3531001827165072,1.4968109526507791,1.5371523816441452,1.522691950218094,1.501966407085103,1.4892070494046004,1.4999568356426471
51-2801718,,,,0,1.0166608923417941,1.0103643862798237,1.0079349662249122,0.9984199189119339,1.0095471804861444,1.002993746789251,1.0060472344238167,1.0051862879226683,1.006262712262768,1.005607183619455,1.0016978714338995,1.0035594057892447,1.0019809395633124,1.0159685082251866,1.0139463499695431,1.0668321515104775,1.062196660787825,1.0928118573154775,1.1610013637804326,1.169017791263794,1.1639405650168713,1.2271993878352296,1.2482616705925282,1.2326714218016412,1.2254776275885426,1.2203927005776711,1.2448503265351298,1.235473452241513,1.2142199434020218,1.2091796238529704,1.2093938532574167,1.2353650151471436,1.3686163719747964,1.5203491712029533,1.5628697317996711,1.5464496248709816,1.5235162512145604,1.5099131792987714,1.5210273781207344
52-2801745,,,,,0,0.9946306418790576,0.9993120922082611,0.9870735780283858,1.0052720153233514,0.998115535749069,1.0026245250501096,1.001832345420088,1.0035603925016219,1.0028063274155707,0.998980225108727,1.001038320953353,0.9999933068968887,1.0153274151670304,1.013324327610864,1.0182541946303387,1.0176624777249401,1.0499512297500246,1.1110972629642042,1.120642746580187,1.1167593834923677,1.1804039007357048,1.2023336246067118,1.1893901289019297,1.1837337835206427,1.1787803236268388,1.2063407820183305,1.2004491640346289,1.1818598656054686,1.1774153870080426,1.1782963150349353,1.2054472442495074,1.339048784950278,1.4911970169819393,1.534070239586348,1.5186619521685005,1.5238514475759406,1.5097914710241265,1.5454766428696716
53-2801752,,,,,,0,0.98727152425782,0.9722837363740562,1.002285159002494,0.9943880912506043,1.0004665939329065,0.9997155737050621,1.0020292001513516,1.0016702188192546,0.9975891865753784,0.9997151971679642,0.9987558256495871,1.0156197404194718,1.0132518976360052,1.018529303921794,1.017718204591238,1.052312630902595,1.11681451177606,1.126744418913879,1.1226250686370514,1.1898789915214272,1.2129240320245434,1.1986141824384695,1.1922953225340798,1.1866426826331713,1.215312468341249,1.2083460927827387,1.1882902539207727,1.1836721013908318,1.184342337218083,1.2122808247660903,1.3515137146421106,1.5106927761040574,1.5552990576017953,1.538640246513214,1.543456451751011,1.5280341513482736,1.565446047973538
54-2801759,,,,,,,0,0.9410888939434667,1.0086031418963013,0.9948654448740053,1.0026255002153315,1.0014516351241443,1.0039243759256362,1.0032381037575682,0.9979607845076491,1.000634354118825,0.9991832931965448,1.0179162021908708,1.0151467769966243,1.0208867242799151,1.0199520015546708,1.0571860790520764,1.1265329744686015,1.136748049593654,1.1320202413643314,1.2047751133141753,1.2293392610299494,1.212899358835178,1.2055379362927934,1.1987707719674854,1.2290537391608554,1.220233537635417,1.198109290991576,1.1928474767958819,1.193454252603351,1.2223939847004477,1.3690110822160344,1.537810562891702,1.585141765603237,1.566680292232421,1.5708923982477239,1.553905182802786,1.5931388692688802
55-2801768,,,,,,,,0,1.0427259311284747,1.0076883553369278,1.0129296315020397,1.0103617264416316,1.0111900666220004,1.009338407993239,1.0025539840614828,1.0049842288448987,1.0027545442989705,1.0223367157876901,1.0191086917609713,1.0244445309762082,1.0231143042906266,1.0618212321866343,1.1338574458409454,1.1442284948106736,1.1392637394174638,1.2149848851435932,1.2403292895220641,1.2225287680416155,1.214488323935688,1.206979061651803,1.2376745337343875,1.228031786471174,1.2044384133611692,1.1991653646920462,1.199405801076198,1.2288132682028208,1.3795744249531843,1.5534099684625262,1.6021037713418367,1.5827871338538433,1.5861208903410255,1.5685756452493875,1.6088433361720782
56-2801790,,,,,,,,,0,0.9745733810657043,0.9971342021080686,0.9961524743570085,1.0012140156526836,1.0007879827842125,0.994518263711494,0.9986074233553079,0.9972200531272305,1.0197173590098059,1.0160615079684128,1.022566867376501,1.0213199641100839,1.063330037882115,1.141380300005138,1.1523375089488472,1.1465166060292091,1.2287802646041228,1.2559392232607163,1.235626729639605,1.226390943362494,1.217636694458361,1.250015287591786,1.2383723308676224,1.2125904627683939,1.2068881259465847,1.206950598287556,1.2374897245334955,1.396485358217202,1.5810832885993797,1.6328526634097538,1.6112819791235744,1.6143730841866466,1.5947196249881401,1.6369978536436818
57-2801977,,,,,,,,,,0,1.0252901953396643,1.0147033376913022,1.0144867926280114,1.0104927211877905,1.000429563467497,1.004227311807059,1.0013839305752716,1.0273177101553586,1.0227037067683977,1.0288158858623426,1.0266653397890053,1.0734460412776763,1.1052424333458366,1.1180854108801284,1.1131990866735557,1.198490910234186,1.2277229498299373,1.2085363292920848,1.2002554517612203,1.1928571428571428,1.2273881640667232,1.2177978815259098,1.1934816369359917,1.1878727226820518,1.1885436176648139,1.2206216603414046,1.3833912525765595,1.5734120196212735,1.6265135490985494,1.6046399013355768,1.6534887774866132,1.6311660132945873,1.676566811628907
