순번_정류장ID,1-2801795,2-2803544,3-2801806,4-2801954,5-2801977,6-2802024,7-2802051,8-2802098,9-2802129,10-2802158,11-2802168,12-2802175,13-2801848,14-2802825,15-2802870,16-2802378,17-2802395,18-2802399,19-2802406,20-2802412,21-2802372,22-2802474,23-2802487,24-2802530,25-2802544,26-2802365,27-2804851,28-2802597,29-2802594,30-2802591,31-2802596,32-2802602,33-2803624,34-2804420,35-2807598,36-2803359,37-2803214,38-2805065
1-2801795,0,1.0136348701319071,1.0096586879087135,1.0116116296958022,1.0005390764279938,1.0045969508214723,1.003677955908551,1.0051335157563914,1.0042246755528228,1.0002473401348675,1.0022018599623304,1.059535681789093,1.1909205430551812,1.3266083798004422,1.3018606861306867,1.277874801188187,1.3176135734851855,1.2907507133990523,1.2625828985805856,1.2703452870160583,1.2528205441234026,1.2399574076315405,1.232243520301717,1.2220254863886606,1.2087419943297528,1.2602447284981015,1.2357620612068125,1.2029626476032917,1.2471469108766817,1.2871396365430376,1.3056365698123944,1.319414927893815,1.4405891808883478,1.5061782336151526,1.2429611660307736,1.3006883469205603,1.2990127624386327,1.2962518270899341
2-2803544,,0,1.003141298059726,1.0089063323648375,0.9942881812678023,1.000891055467336,1.0000460885922149,1.002448204000246,1.0020184520680988,0.99769433806677,0.9999034705553016,1.0023763190404071,1.0744455594042217,1.208951153586855,1.191913272577669,1.1795425399473074,1.2237623208829067,1.2045930623931622,1.1848321233700214,1.195616669613587,1.1827652064886387,1.1734911947752773,1.1674991698168566,1.1606121341766662,1.1508039964964476,1.205032584808126,1.185795908028742,1.1599099001014175,1.2035873611655468,1.243197874866287,1.2623484165730452,1.2767157688807556,1.3968621706813997,1.4620985909954731,1.2244626553987872,1.2864039233426476,1.2848380133093147,1.282228450161993
3-2801806,,,0,1.0164143472133005,0.9876765653565277,0.999749182229561,0.9986751789030064,1.0022112056229957,1.0012706927160793,0.9960683906220043,0.9992172798650315,1.0019474248821219,0.9978661049403156,1.023084980088883,1.0194804574550687,1.047074649311588,1.0749389626070602,1.0690535588573653,1.0633435501299355,1.0784981156226767,1.07344482937481,1.0699499284927227,1.0672349331949498,1.065492345659975,1.0613604046999043,1.118404488111632,1.1078924326236665,1.0930895508063978,1.1352412970565553,1.1734086325855708,1.1930057334286601,1.208204621565872,1.324023592897127,1.3870304921319667,1.195482634099274,1.2635363133170288,1.2620952234809768,1.2596855992451124
4-2801954,,,,0,0.9490641625123983,0.9891263294150148,0.9895356900833551,0.9971560274200726,0.9975174626531044,0.992006445542643,0.9958755496472795,0.9994549589650166,0.9952423204846954,1.0188223619661758,1.0153613417919742,1.050793602798543,1.0441908120693408,1.0405405353775974,1.0375743745368224,1.0546172552715656,1.0509407838471232,1.0486855952001926,1.046206012414387,1.0456371412648844,1.0424149914699667,1.102581577670912,1.093417611821163,1.0802517044293263,1.0788415560960627,1.114564900458617,1.134451324820182,1.15017746508976,1.2619972312642647,1.3226126128894473,1.1706249331976577,1.2439363416365146,1.2426035811975482,1.2403312070394072
5-2801977,,,,,0,1.0252901953396643,1.0147033376913022,1.0144867926280114,1.0104927211877905,1.000429563467497,1.004227311807059,1.0072479095120046,1.0013839305752714,1.0273177101553583,1.0227037067683975,1.0611604035163182,1.0526537872757473,1.047866621412087,1.04384006857591,1.0617785358190217,1.0573445526650715,1.0545748327086812,1.0519129022785287,1.0508483742216574,1.0472623543439243,1.1101642895062642,1.0996655594474993,1.085068418693763,1.0836037235408715,1.091703992203178,1.1119668982049393,1.1282437163375225,1.239931432046231,1.3005818830563889,1.1613636654844763,1.2368894724940838,1.2355532300928709,1.2334072150606343
6-2802024,,,,,,0,0.991260460924424,1.0073082040733694,1.003266984350028,0.9928867506697706,0.9988348605021462,1.003279961904279,0.9968524191906026,1.0272609446743561,1.0220096166695007,1.0652859010409172,1.0553766462473657,1.0498265268680194,1.0452116598199528,1.0645422233811583,1.0595591552197992,1.0564547812443015,1.053547009104601,1.0523174795785222,1.0484192349845984,1.1148354642676843,1.1032819083334826,1.0874955891300389,1.0858110925681053,1.0846359479922323,1.0939535871728527,1.1108039535700165,1.224066341182812,1.2854945798739166,1.15434661367077,1.2318796350445975,1.2306352670312877,1.2284808197679393
7-2802051,,,,,,,0,1.0119517874806954,1.0048722529365266,0.9923869055955653,0.9991169943611989,1.0039399860218046,0.9968911614749627,1.029585635036041,1.0237260570325966,1.0693331038176346,1.0584225822594233,1.0522699426584656,1.0471515987386522,1.067124073476648,1.0617566691212872,1.0584068908522173,1.0553370122536645,1.0539615801304727,1.0498412307190792,1.1179351123802137,1.1057560641041555,1.0891548596672107,1.0874005724888025,1.0861740898490952,1.0958388768836411,1.1128647321698308,1.228271056298623,1.2911404446822188,1.1554876456247363,1.2332954969949068,1.2319619864117402,1.2298203587268022
8-2802098,,,,,,,,0,0.9936036449876078,0.9814618298268348,0.9935218304149326,1.000971153292517,0.9926415145515204,1.0328876259750985,1.0255043998649995,1.0781425915004927,1.0645160603550976,1.0568428939820333,1.0505387455548814,1.0722842607254341,1.065981069776644,1.0620542724462376,1.058597867304217,1.0569060430328272,1.0522822955519944,1.1247167031791163,1.1110104422254212,1.092729900028176,1.0909200219764907,1.0895689562567379,1.0993830092988115,1.117324298141847,1.2383779602968803,1.3045677227566672,1.1580194584586536,1.2363065936724453,1.2350135870927021,1.2327784101024792
9-2802129,,,,,,,,,0,0.9710356194556755,0.992310582519454,1.0024477602405395,0.9917211898085602,1.0407524304229603,1.0308142879861726,1.0905625887327892,1.0732606853296096,1.0634999855804914,1.05556211014318,1.0789283677265202,1.0714893085832826,1.066855242305039,1.0629554664965357,1.0608478544269322,1.0556338936451617,1.132034222924966,1.1167090684941343,1.0969183993282208,1.0948146882962164,1.0933318895615087,1.1034450682517585,1.1217785329076535,1.247923033646769,1.3171237893529242,1.1604449560370926,1.2390926555993396,1.2377694000740918,1.2354462738717005
10-2802158,,,,,,,,,,0,1.027998620632927,1.027707510600739,1.0033924024232055,1.01826002087264,1.0098922663095262,1.1233772755936655,1.0959958292771823,1.0805961707909926,1.0683526704778774,1.0942156237691807,1.0841833913860783,1.07793197310945,1.0730856561512456,1.069980964318549,1.0634884754396365,1.1462038737364282,1.1277614053622955,1.1046877053199613,1.102251550727733,1.1005223427397308,1.111060039931685,1.1304315985262263,1.264728043316683,1.338782317445635,1.1646135438691823,1.2436239299686889,1.2422142041566018,1.2398509705208354
11-2802168,,,,,,,,,,,0,1.027439477309999,0.9909197464648263,1.0150381920676887,1.0053958459528405,1.1420402665119875,1.106388215179542,1.087110870411162,1.0723535633360683,1.1003242819814385,1.088760129254467,1.08162721528427,1.0762556282295375,1.072690065248755,1.0655675474893178,1.152748393823116,1.1324868240887531,1.1074828611979648,1.1048798158721445,1.1029028554098042,1.1138833986269312,1.1338833898336542,1.2735362939214239,1.3505713499734704,1.1663601186774684,1.2457598441238982,1.2443238889943171,1.241917958858254
12-2802175,,,,,,,,,,,,0,0.9428383565538812,1.0064390597146131,0.9961828205431313,1.1583978088419562,1.111788429911578,1.0885010890014228,1.071745836442857,1.1027173593870097,1.0897822194738398,1.0819560143744935,1.07614491720244,1.0723338066037633,1.064786208314563,1.1573148268069868,1.135314431631512,1.1085710806997295,1.10596828397126,1.1040206513439421,1.1153953777956036,1.1359923253782869,1.2813852373946368,1.362062401736111,1.1676326713890504,1.2475748362599948,1.2460733775197903,1.243665790789614
13-2801848,,,,,,,,,,,,,0,1.0603724221910098,1.0193031101252368,1.1720727296350717,1.1138312175056617,1.087211495212681,1.069225677196508,1.1030231177119612,1.089103612721607,1.08083884253322,1.074734424683161,1.0708418722808268,1.0630706190288632,1.1600486514532307,1.1367466145242904,1.1090116976772004,1.1061770991197624,1.1043026076573965,1.1157335812391294,1.137042140625921,1.2869358732164473,1.3701807308445513,1.168287206032439,1.2487399531533236,1.2472200042362516,1.2447433159082137
