순번_정류장ID,1-2801796,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2801438,17-2805321,18-2801462,19-2804438,20-2803644,21-2803555,22-2800688,23-2805582,24-2800715,25-2800729,26-2807073,27-2807056,28-2800799,29-2800804,30-2803056,31-2802651,32-2802638,33-2803669,34-2803046,35-2803045,36-2803071,37-2803082,38-2803093,39-2803107,40-2803121,41-2803125,42-2803232,43-2803181,44-2803254,45-2803258,46-2803263,47-2806495,48-2802802,49-2802806,50-2802840,51-2802886,52-2802934,53-2802984,54-2803020,55-2802429,56-2802467,57-2802470,58-2802465,59-2802463,60-2802460,61-2802450,62-2802455,63-2802438,64-2803517,65-2802422,66-2802418,67-2802415,68-2802412,69-2802372,70-2802474,71-2802487,72-2802530,73-2802546,74-2802562,75-2802571,76-2802581,77-2804851,78-2802588,79-2806672
1-2801796,0,2.7714934319302458,2.0484677591902263,1.6417388476754897,1.4546525610037533,1.3499417713831652,1.2962138160853904,1.2360767911904476,1.2102225560876487,1.1801678905353479,1.1662459219296146,1.1413558876133503,1.1269237594876675,1.1184861673387705,1.1247602034409718,1.155680708480192,1.2835987673556515,1.4242971993083886,1.6034227259226588,2.1628395816405037,2.345534510072167,2.461125963667122,2.6191413559119154,2.7673713397411626,2.854098576283152,2.8317623411741515,3.292078215823629,3.839115437167181,4.19373152186217,4.43668845017978,3.980380988923376,3.8095759619523997,3.5717431283044894,3.3924628599998825,3.327840862395308,3.253351628327027,3.1219030311565623,2.971217296710056,2.8821974095149354,2.8238295973334333,2.7479402755828817,2.8238806231218905,2.7274762755773114,2.655903107929951,2.8570759333213176,3.013235591204939,3.242568372346652,3.4501196555305147,3.5650298311191886,3.6273975958419906,3.457203887488412,3.2856647711014286,3.2098773346486933,3.181917935363387,2.9585471212303425,2.831828461778687,3.0142744233744057,3.1587578131650114,3.2664092644198797,3.410074363958833,3.6606754003427224,3.8988012322172265,3.802463573460276,3.6809987780319835,3.8318585978247657,4.0233176883318045,4.2866967013807,4.455286293182235,4.228171093540096,4.055704140831868,3.963667609210854,3.8145481478113936,3.6453184756884336,3.54605221514106,3.464948133899831,3.3673299215772348,3.345383617955385,3.258065925476376,3.249062344469539
2-2801793,,0,0.9979817891673707,1.0011439970958793,0.9955967792298203,0.9988154434833071,1.0015590604109517,1.003196816457213,1.0076266439032195,1.00531624476604,1.0040283988168248,1.0031233509456592,1.0034895103510628,1.0026655269827505,1.0151275731557723,1.0527801836230914,1.1870307111290532,1.3312489858176741,1.51866871372849,2.039813027330108,1.9935195011751645,2.102628683734627,2.234189039042377,2.3567011373293694,2.4326100579388963,2.433873390510951,2.8133036675984555,3.258142019256971,3.5397891876287457,3.742207375303123,3.408541646302351,3.28220168312474,3.10256294406331,2.966694841213402,2.9171076938192027,2.859444389509125,2.7571822683590415,2.640206786756236,2.570192197049381,2.5242277614789095,2.4703909188465234,2.5424774796159375,2.464779059667786,2.5470197567607276,2.744145968513468,2.8976562035060964,3.122900472831359,3.32754888855369,3.441916941976078,3.5047930544407038,3.3424334109557043,3.176865847077059,3.1041665757435837,3.0791096481455162,2.8651816615621652,2.744090414151392,2.9242157452154443,3.0663098512507956,3.1724821709298507,3.314748451233707,3.561799157159943,3.797221760837041,3.703965544796154,3.585661827613872,3.73637848116484,3.9258987914871044,4.186856142966629,4.354578632385246,4.132508201623595,3.9630306154683987,3.872951854139255,3.7272033566710037,3.561895542809691,3.4649988611955065,3.385898579213977,3.290891592349955,3.2708454838966383,3.1857516159538073,3.1775318776957997
3-2801779,,,0,1.0031680139829582,0.99484388195884,0.9989861991996217,1.0021291976168762,1.0038051822294856,1.0085725380838957,1.0059163046066049,1.0044807205896893,1.0034423007347948,1.0037888978982932,1.002903062614313,1.015950968266497,1.0552924129653927,1.1958705829211338,1.3478825584352028,1.546039307055362,2.0970554042005904,2.0207047508784077,2.1338141484201025,2.271974873398842,2.4010549273742607,2.4806211430135394,2.295499097724169,2.6168525934705285,3.014251093763404,3.263511170984982,3.446919253281506,3.1658228118825473,3.0574229266455797,2.903321893682126,2.785942433158699,2.743938439261708,2.6933354843012722,2.6035413430790317,2.501378807636268,2.440001524143622,2.39903465473043,2.353190910553461,2.423166329459344,2.3537504650651746,2.432455445448986,2.616673410727242,2.759665321514475,2.968837721076591,3.1586477745366768,3.267334794357656,3.32917136069923,3.182239203680711,3.0348036338799127,2.9684981998247926,2.9485856129434027,2.754757396790333,2.64317773464814,2.8149961325369484,2.9495358463800883,3.0496105155995545,3.1831274233086884,3.415375817027158,3.6355575480613016,3.551015377509018,3.4433067986050414,3.587007861890927,3.764547560667125,4.008302906348978,4.165526677027871,3.9623453474936117,3.8076445266926817,3.7248429551994993,3.590682590677766,3.4379113794458944,3.3480982602095346,3.274679627429124,3.186533292668242,3.1697008455115667,3.0902777024771635,3.0829173721678425
4-2801766,,,,0,0.9867431742496525,0.9970181826594469,1.0017847651145881,1.0039464402986888,1.0095504762883705,1.0063190773858839,1.004653941007226,1.0034714159423934,1.0041010205902876,1.0028800500363793,1.016987852306591,1.0593133118644533,1.2110579133426431,1.3770358332521087,1.5946115938919636,1.948464422606454,1.8892739477432507,1.999961215265834,2.1284017724958244,2.2480513519855507,2.323572882443857,2.1624134113745237,2.39035961908126,2.740302834345339,2.9569710462108962,3.1194759791166025,2.891803182448882,2.802526424119237,2.674766484131439,2.576732313362264,2.5410536631979177,2.498603153922665,2.423561415877176,2.3361518141048982,2.28379303180658,2.2488007692774548,2.2139842623529637,2.2799273302426033,2.220416782875106,2.2670291269781377,2.4334244754727563,2.562205671911299,2.749479441272474,2.917520147954368,3.01748194071029,3.078589669011849,2.954591205165469,2.828772149122231,2.7732178860544776,2.7599874243827274,2.5938078715052963,2.4963675205937066,2.6552054185261382,2.7785484846416866,2.8700219980369055,2.991860561636407,3.20277797950733,3.4017714630153018,3.3298785892136338,3.2360616925797854,3.369814300206859,3.530648556064295,3.7505470793090523,3.8932166316388717,3.7167174777268652,3.581563551881981,3.508853220594092,3.3908323058434533,3.2556325700382884,3.1758023198614,3.110416721928409,3.0319999004868414,3.019682750447821,2.948359089651525,2.942218931849481
5-2801756,,,,,0,1.0066402847258518,1.0095565239963795,1.0090501876191098,1.0147598653558387,1.0097893326196112,1.0074703526257194,1.005542695837203,1.0056492822052234,1.004443681010919,1.0197380329731704,1.06556142517893,1.2308248460436966,1.4141823466247776,1.656158573996534,1.7173499558550591,1.6837704898764378,1.7879633879450514,1.89853701375402,2.00083925981022,2.0681083023472318,1.9467983977977363,2.1460140607813427,2.4449131884550646,2.628292088002247,2.7695828917212455,2.5949513451794703,2.5240988887450944,2.424330781744838,2.345535355482374,2.317802301799375,2.2831026434615453,2.2229910415622,2.15216207625248,2.109118923663382,2.0805294116186235,2.0560090242402955,2.1191015875658485,2.0694352739094324,2.11417447329934,2.2649197177793723,2.382603484979467,2.550698325929433,2.701040576123854,2.7930106207928196,2.8531159887092543,2.7471685203568152,2.6415475667494537,2.5940753002874763,2.585812944236228,2.443430637138488,2.3587465728082573,2.5061676282931753,2.619512108261707,2.7033351042967517,2.8144844262730087,3.006939558690421,3.186977138148868,3.126740904834457,3.04456958099867,3.169408083526491,3.3151547821747482,3.5146581129222896,3.6441335226596854,3.4905870470227653,3.3728069902636966,3.308496810380077,3.2050002396085504,3.0849720061108736,3.014333359798955,2.956106397440537,2.8861098301492967,2.878060440092707,2.8140391368560356,2.8087364426664045
6-2801749,,,,,,0,1.0131474506510898,1.0101676801647141,1.0173791564132106,1.0105247678180536,1.0076378627444875,1.0053754592367645,1.0058411362533857,1.0044786986689471,1.021146341332848,1.0715271008951819,1.2541125377721611,1.4602885255687377,1.7348984560982157,1.5060768860584588,1.4933468528965357,1.5910653734471958,1.6863401855703086,1.7739221715718263,1.8340135025769502,1.745574910233203,1.919900665272063,2.1764959312438474,2.3317041681848543,2.454633581522426,2.3214580100100055,2.2680969548225582,2.1900017070446647,2.1287277412425794,2.1066550881361197,2.0800309954876486,2.0321441823778894,1.97581723439231,1.9413020849740712,1.9186353562441303,1.9032070801330456,1.9627042384717068,1.9229153364285259,1.9643650588204193,2.1005844882914833,2.206993681524576,2.3580718596998005,2.491564670717974,2.5775873953634005,2.6349083405122107,2.547395129283811,2.4573066818681215,2.418181635361782,2.4147057704860244,2.294332783997673,2.2217782235965298,2.358046125218533,2.4618979847966407,2.5384852464746315,2.6402055263971014,2.8147099139293696,2.977903720540656,2.9271003792088526,2.8560650288163676,2.972410952853938,3.104883601052222,3.284641130775707,3.402381408032144,3.2701379234681758,3.1674948557584055,3.1117215832981686,3.0209830535907014,2.915817343588405,2.8532049644474653,2.8017552387839264,2.740045293917327,2.735463568279668,2.6786842256689924,2.674672720847957
7-2801743,,,,,,,0,0.993649814930688,1.0100893318392565,1.0041487206150117,1.0017432851239667,1.0008125291652255,1.0021786936054555,1.0007262200861031,1.0195197967324223,1.0743971739627152,1.2734367450795563,1.501800843558733,1.80887213783836,1.4811549986271728,1.4249025908890802,1.4501207089442383,1.5351795439954736,1.6130052089065616,1.6682247552091394,1.6009352579021148,1.7587615616239787,1.9870663939821673,2.1234851288704046,2.2350849588000767,2.129168111662921,2.085323080221733,2.022278276967332,1.9725398920810646,1.954173286612837,1.9321270840727562,1.892693307765543,1.8466732558584777,1.817721101442075,1.7986841725797817,1.7902844881997586,1.8467254779016244,1.8132165162942142,1.8532187273745206,1.9791825193510015,2.077144902861318,2.2160234166948327,2.3389220613295314,2.4192090787160874,2.4756641220064,2.399321914485176,2.321798256438817,2.2876999445856834,2.2874910148039636,2.183210300681261,2.1184520755173546,2.2470357637980083,2.344068021838037,2.415474853280975,2.510223607014488,2.672214299500822,2.82321966644007,2.7792357972015993,2.7162894587989617,2.826209447746234,2.948985104917728,3.115129901049119,3.224996579660993,3.1068207415722533,3.015066963973214,2.9650139357568763,2.8835496410312857,2.7886990288869264,2.7320498865239715,2.685452369559293,2.629930023621103,2.6279942848705544,2.57602504831421,2.572539531191833
8-2801185,,,,,,,,0,1.017751171940942,1.003833957208991,1.000351162418368,0.9996425582025013,1.0011639172643392,0.9999149108605413,1.0223237743641391,1.0865653008396385,1.3040658407056422,1.367246652324811,1.6718189964925974,1.3953583472817128,1.3485492665396883,1.3142432224503464,1.3646190738637225,1.433150365361869,1.4838564503911624,1.4373880613414693,1.5274134503303685,1.718133169896666,1.8305748423966501,1.9264487411812312,1.8540849126649506,1.8241293384205188,1.7797980855943818,1.744512480672775,1.7315078783541429,1.716205051573001,1.688049414071366,1.6549585915933125,1.6341584160794096,1.620428956803488,1.620378323946453,1.6731660365761958,1.6488618574652667,1.6865405449464501,1.7978926099855046,1.8850954101244557,2.006922205421228,2.114143512437358,2.1872680556289197,2.2406579619604026,2.1810559316382494,2.1199109167135273,2.093185480523278,2.0971716900420163,2.0145682940264327,1.9617845298971317,2.078605269813156,2.1657366267317455,2.229423525122769,2.3143375379411606,2.458371752004493,2.5919941486958846,2.5575003795653513,2.505473327117673,2.6375823163033547,2.7487760022668795,2.8987563814810864,2.9987856204871934,2.8977016758116614,2.8188820105722274,2.7756616415025768,2.705332587885728,2.622954077907687,2.5735597164322703,2.532890670001932,2.484647676779868,2.4859793079208172,2.4402621496641594,2.4294204788831717
9-2801687,,,,,,,,,0,0.9925479518975455,0.9913626931120194,0.9946308541548536,0.997840069392519,0.9968426518861568,1.0230303005968575,1.0962961113043326,1.3454561154860571,1.3089943445911554,1.496344310415845,1.295526469014494,1.2611251923353752,1.2355653738967225,1.2842666316036748,1.3495631108730008,1.3989297637504037,1.3609587650113277,1.3858378134263742,1.5554633966824056,1.6543717895537684,1.7416627405333995,1.6871040981438468,1.66428097878718,1.6301731393337655,1.6035155878065495,1.593707709734655,1.5818063122196342,1.5602063141662657,1.5342399472012491,1.5181627054152422,1.5073264049044526,1.512171454931259,1.5623763966518087,1.5435142347639186,1.5794304946421622,1.6817393116283565,1.7623076710872723,1.8734389244585699,1.9707788646602118,2.0399660206803927,2.0917375422299815,2.0420234218154434,1.9903130493606687,1.9679645252274123,1.9745335844044818,1.9049064214390619,1.8589565300928759,1.9690651255499003,2.050263535465897,2.1095621487047835,2.1876444592003534,2.3211554413542985,2.4437107294076346,2.4153524544347187,2.369856513256079,2.494105380500756,2.596625778938336,2.7345431309960566,2.827186421918042,2.7382319834340803,2.6691572441371303,2.63095230684115,2.568567900152867,2.495432396291084,2.451436217092348,2.415188008990958,2.3721775793880435,2.3758647034264544,2.3350446287674367,2.325305631369002
10-2801184,,,,,,,,,,0,0.9892787848550365,0.9957100743427098,1.0002683416348646,0.9985680467589556,0.9994691096926227,1.033666336870622,1.3118251288730407,1.275548639560356,1.229850265805787,1.1418851377868977,1.1262959354050472,1.1140692039714548,1.1429096911163075,1.2006868659742138,1.2461557053131151,1.2236784687090005,1.2313973380901873,1.3793029548306242,1.4647485868475776,1.5425499327327892,1.5060965037362182,1.4900905613468887,1.4669872211267496,1.4478962501002186,1.440898070270229,1.4328674652825477,1.4175628415852082,1.3999898155207204,1.3881156686624792,1.3807763608258399,1.390596012935446,1.4379511076800906,1.4244507097543415,1.4587074264276307,1.5514369194092725,1.6246082929228496,1.725142405505851,1.8125603317901777,1.8764650966990217,1.9269696946759876,1.8863175946152286,1.844561084633891,1.8268185032602724,1.8363843630843055,1.7808923530695104,1.7429457403872581,1.8447373795718034,1.9186793080248534,1.9729034224223452,2.0450299892326886,2.1657416329091714,2.2773526262737738,2.254626228246791,2.2161055288163647,2.3829197053548614,2.479572657863643,2.6093867652510934,2.6971360699501408,2.6169688048526587,2.5541207156948738,2.519393838870355,2.4629771465146577,2.3963112414628256,2.356118879546154,2.323002793482878,2.284069862194174,2.289522115940396,2.2518779017498933,2.243255573846416
