순번_정류장ID,1-2802586,2-2802349,3-2802577,4-2802581,5-2804851,6-2803664,7-2806670,8-2806089,9-2805031,10-2806722,11-2806724,12-2807231,13-2805770,14-2806725,15-2805822,16-2805054,17-2803769,18-2804876,19-2803770,20-2803820,21-2806041,22-2805551,23-2804418,24-2803624,25-2805039,26-2805309,27-2805206,28-2805004,29-2805552,30-2802568,31-2802551,32-2802377,33-2802356,34-2802518,35-2802493,36-2802471,37-2805716,38-2802464,39-2802451,40-2802426,41-2803019,42-2803578,43-2802646,44-2803032,45-2803031,46-2803025,47-2803023,48-2803016,49-2802995,50-2802957,51-2802933,52-2802891,53-2802879,54-2802621,55-2803274,56-2803264,57-2803257,58-2803253,59-2803249,60-2803230,61-2803135,62-2803124,63-2803099,64-2803044,65-2803041,66-2803066,67-2806058,68-2805447,69-2805651,70-2800369,71-2800373
1-2802586,0,1.017663254904078,1.0117619813299494,1.0079791762960082,2.524310558776138,1.4500083088956468,1.3148152880783588,1.2877090971497291,1.2546226917606282,1.2461144523947356,1.2222287009646613,1.245808181696947,1.395073253095092,1.5249687584948537,1.6140070064507817,1.54119938119377,1.5646621519059105,1.7713009707076652,2.0680224387338053,2.2784491435458545,2.480802663737752,2.666158450810075,3.0892301713516663,3.471144981254527,3.68676791312755,3.437311759906671,3.193618085082525,3.1007915119105935,3.1215775611509455,5.341132054101501,4.504538572842891,3.931820550071121,3.702279695133558,3.4784194475599177,3.4355493328961457,3.7513650740950975,3.682361021663693,3.5562375164695994,3.3919724830910765,3.2784524908041752,2.951731217996269,2.8697284719345966,2.7663921271136624,2.696146779486054,2.6397505222183093,2.604605920700691,2.5823650960670936,2.575448889382731,2.557817198514141,2.5118966590625122,2.5607372159770043,2.612479724478488,2.5738685038114433,2.586145933691323,2.528345905599986,2.4570823758709164,2.423012896957799,2.3614000967902857,2.3241022776503915,2.266805413989573,2.3914366862923573,2.35753001355794,2.411444135985644,2.3570593728849425,2.3322217239714638,2.313281734759956,2.3508068102560364,2.322091055437085,2.2994120683591186,2.219065885508335,2.182803162638786
2-2802349,,0,1.0031679669976459,1.0000364651705527,1.2209795730018356,1.11881650225165,1.0891295809020265,1.0831816265535472,1.0725757621935732,1.0913546620572487,1.083201401133781,1.113284241212901,1.2473397746288213,1.3624105003679863,1.4453030029291085,1.3953339739671051,1.4242949656002952,1.6106893548274188,1.872694296363776,2.057197191997703,2.2317190042678186,2.3915598755558345,2.7507253794434092,3.0704733250286362,3.2531117847825257,3.062333238869496,2.8712719080228535,2.864706807641086,3.188251746725685,5.611837480498016,4.66991458989495,4.03965833391484,3.790903420207653,3.550217441668193,3.5044898659725656,3.8372960124562177,3.763104348964076,3.6280456180559613,3.4536350243536287,3.332657188253312,2.9868926159390163,2.901941893262733,2.793641548805936,2.7201394462444064,2.6615467447771604,2.625083932469447,2.6023805163842697,2.595029199312981,2.576323825575462,2.5288196813238053,2.579556435950275,2.6322089857491835,2.591964028373175,2.6042863892652743,2.544881945399227,2.4711646126112137,2.4363346275530886,2.372998923915254,2.334472593432296,2.2761598895617468,2.4024945290850206,2.367931308257791,2.4230484188808603,2.3673078963923695,2.3418765427964514,2.3228970229437254,2.3609869811273883,2.331016024096597,2.3080295840607152,2.225983895076462,2.188839535957933
3-2802577,,,0,0.9959988312532424,1.0048796400093967,0.99899484243594,1.0023779551276033,1.004171122965103,1.001271158058482,1.0295724092534595,1.0274369733315185,1.060004022710802,1.1899668290042977,1.3014082985370394,1.3826727697520085,1.3401459756999332,1.3714195015014612,1.552516635281393,1.8054438565011894,1.9832566920753112,2.1514796669219223,2.304485754716848,2.648567341875397,2.9541893669141293,3.1308763181357913,2.9527065203616085,2.774637227818914,2.7059777082229877,2.9653237087648066,5.078143218912576,4.29977725502881,3.7660451122536807,3.551140139281868,3.34116327106074,3.3027238119290456,3.606238066844945,3.5435882690587177,3.424763578124399,3.2698673918101004,3.163625919598215,2.855373433053358,2.777849460916758,2.6800097773629137,2.6131173517508346,2.5600619845118393,2.5264583685069413,2.505631511196319,2.499765583838276,2.4832287393574246,2.4397349309332004,2.4882045782662825,2.5392281422760696,2.5019216460664,2.5152890582767062,2.460344946691644,2.392691120357972,2.360585804988296,2.3013895452017974,2.2658919916918876,2.211502362865455,2.334436093460427,2.3019568055877957,2.3556013613485716,2.3033521131746353,2.279773102701085,2.2618112508840125,2.2998119473203564,2.2714982237769488,2.249737535207655,2.1730706040193586,2.1381613476703096
4-2802581,,,,0,1.0056193844330836,0.9987730538141188,1.0027177204337034,1.004277222400504,1.001240619396903,1.030597514258334,1.0282925108711536,1.0618440088087462,1.1962072678931426,1.3117793989440258,1.3959187319753597,1.3505834818723188,1.3820190898119604,1.5696547412342636,1.8329920087471236,2.019062445004601,2.19594152646254,2.3574056792200233,2.722748724867257,3.0496658665144207,3.238268647954282,3.0425174525431946,2.8484759363433216,2.7734619184485356,2.808390717979367,4.720448812917013,4.044707571132665,3.5746061413290877,3.382102832347066,3.192689482656685,3.2040097568083654,3.4951150631110237,3.4375520591542825,3.325885664656668,3.1799826245603473,3.042079975215053,2.7590445667125585,2.6873812912679695,2.596970352509141,2.5344135487817314,2.4850457454447015,2.4540323140702243,2.4345393952952277,2.430011880760368,2.4152908589217903,2.3740867533277696,2.42091846116376,2.469891945195211,2.436038807377507,2.4496402833395003,2.398354254274704,2.3344022317907607,2.304265139226709,2.2486273838933797,2.214932325429524,2.163538446234562,2.28365011157876,2.252804554652389,2.305773662268891,2.255804760609213,2.233233743322009,2.230507909358106,2.2675154926155776,2.239929149504228,2.219224591971425,2.1450187078122407,2.1113707442832994
5-2804851,,,,,0,0.994059294890981,1.0007494661707652,1.003245550716775,0.9993954438334643,1.0340552974009192,1.0310217767104057,1.06891463103047,1.223946811814115,1.358690196656945,1.45630661802091,1.3972994251708182,1.4304929872569168,1.6475416843714392,1.9603837470442858,2.1869651092964264,2.407239858588311,2.6118682733735197,3.0889622405995163,3.53065590094726,3.7857820062434295,3.4887316837232367,3.2061590564737887,3.1002454726585422,2.925554677028367,4.010546624399441,3.5126758388980766,3.1568096660705947,3.007145460841861,2.857861086960189,2.8340415480116734,3.077226909117128,3.037497799062772,2.9513548825236713,2.8377621032906166,2.7615578478683807,2.5317354854932987,2.473089163400003,2.3970075887423294,2.3448416736270796,2.303157080969472,2.277085483828278,2.2605092780010447,2.2578055236821104,2.2465040689847546,2.211952828514288,2.255577790697596,2.3027710369706615,2.273396394771378,2.2880654753272274,2.2443160411949057,2.1894684463527097,2.163560539276915,2.1154740685876,2.086595143034422,2.0420650864708234,2.1562049042563425,2.1301253151254427,2.180450909297862,2.1368039463665927,2.117143851956293,2.1020931771470917,2.139072136203458,2.115379167655112,2.097179549233347,2.0320354618705503,2.00317979453461
6-2803664,,,,,,0,1.0113422174828341,1.014429699394307,1.0047032779415386,1.062275863356788,1.0525671289520107,1.1086231382579603,1.3550417412720264,1.584023961726503,1.7443218752730574,1.5996833696652828,1.5814525886737352,1.9120255153557635,2.4421563322991466,2.863761652867093,3.313395732024849,3.7659628451520084,4.136522622017892,5.088746708314571,5.645772501417282,4.836052752172304,4.171322234745511,3.947162343796023,3.5946551683043237,3.23501640074927,2.890719233535927,2.6429985094132995,2.535468627265174,2.426852423380998,2.373757868286612,2.3019300235978246,2.272780936039193,2.303800636264519,2.23764184951753,2.3925445099696865,2.2213282588448084,2.1765717943316814,2.117834101008436,2.0768987804971997,2.0451798241333563,2.024995181789591,2.0114311147779453,2.012094691445402,2.0050729903219247,1.9782457766137527,2.018428657636757,2.0635745371049916,2.0402720273336072,2.057071377158442,2.022265116955392,1.9782675076257799,1.9579349508281079,1.9192791947171748,1.896400953769053,1.8603176773983578,1.9684889136334993,1.9478878998807971,1.9960469612529326,1.9603151953918536,1.943819045005739,1.931668433953344,1.9598999254257257,1.940398388177111,1.9251244340891436,1.8717876229469588,1.848242194971833
7-2806670,,,,,,,0,1.0202502458818856,0.9944927220588768,1.0046257000178225,1.0029991631799164,1.0043819886411576,1.1945254380352976,1.3637724925690242,1.3372248001350222,1.2729492304598793,1.2900343014024602,1.584091925812838,2.0395934910965923,2.3996075248647313,2.778657176035099,3.1580273602530218,3.128700584281367,2.8885923866796617,3.1365732544008833,2.8880288045995677,2.6567892809340523,2.5717504451486897,2.432286500242001,2.3538686275003258,2.1835718802666557,2.0590304369909838,2.000559498556278,1.939603157082132,1.9096303233889995,1.868455258942457,1.8557179674427047,1.883830074641082,1.8444847836895806,1.9656023417589032,1.8647293436076204,1.8366116158741337,1.7992349004896193,1.772885740003208,1.7523103465928915,1.7390570533674488,1.7302065950836873,1.73391720213613,1.73175858323472,1.7140546869756,1.7480239007819054,1.7884609205550759,1.7726773568202956,1.7908646036027975,1.7673800981911587,1.7369938014992892,1.7234217299224748,1.696374188353507,1.6801576644042404,1.6552357815057681,1.7518261234242047,1.7374485822856431,1.781236648037589,1.75517088449452,1.7433844229572741,1.7342071348069916,1.7619535031213724,1.7475621698417438,1.736271429228766,1.696990620248053,1.6790594156739884
8-2806089,,,,,,,,0,0.9737703285848658,1.0004803999415917,0.9997589944317926,1.0020731525325766,1.0004601049969057,1.0851793868331714,1.0921779249817964,1.075431380301749,1.1106326625905085,1.3633115125318913,1.739976497441213,2.0301342375367866,2.3261689232593006,2.6180376646467582,2.6239997045281074,2.4599161676901877,2.667114770998531,2.4927119931316875,2.3271093923274346,2.2640163523644823,2.1608700851332023,2.132851555926925,1.9987533449368977,1.901316565915724,1.8541185319659248,1.8043755894446085,1.7799312302702395,1.7461865706784119,1.7374104302703335,1.7646478324285888,1.7319747462454482,1.8445660127549057,1.761158597774262,1.737809336426986,1.7055492980136877,1.6833401901819456,1.6656099304908185,1.6544331440631126,1.6467218974884545,1.6508916667847187,1.6499633407156276,1.6347911869041882,1.6670594914282626,1.7061177882085496,1.6923792744126627,1.710503874049651,1.6904402772005618,1.6634758694916523,1.6519286999817375,1.6281373471307616,1.6141980941551903,1.5921627411135097,1.685236998700975,1.6729731467562878,1.7154103282015492,1.6922620176805945,1.6814806021313966,1.673486336953595,1.7008036666911734,1.6879580909964076,1.6776565195287954,1.6423783724222603,1.6263804833969304
9-2805031,,,,,,,,,0,1.0123161620336216,1.0068707889805844,1.007737577797712,1.0047166554288112,1.0035287352033209,1.008887122844446,1.0063266623252107,1.0050021780729304,1.1402386068929216,1.4445380683021956,1.6737835808277224,1.8999694318202933,2.1183135959409407,2.150446274459224,2.0509933493056787,2.2179613443905994,2.104730786814453,1.9947230797521769,1.9517531502224053,1.8812497677404794,1.898086904756729,1.7991437522206646,1.728882599789904,1.6930761956288523,1.6547850283965226,1.6360244256137317,1.6099664789632075,1.6052617430191032,1.6314695846267335,1.6055878628584723,1.708602880497463,1.643910860646087,1.625019442861016,1.5988991744224645,1.5805847246415952,1.5663108045165295,1.5568960811179926,1.5505850657926568,1.5560569617402396,1.5561550324667732,1.544170843973701,1.5740939520559039,1.6115571647142723,1.6000594528544028,1.6188715818870862,1.6017551532637588,1.5791755282915412,1.56942433125937,1.5493614355576915,1.537639523340338,1.5188580897527562,1.608023557628474,1.5979287004890714,1.638422946397851,1.6185322098863495,1.6092970505739819,1.6021204310724604,1.6294221074095148,1.6180673771095884,1.6090272473064333,1.5784881680432388,1.5644587378211365
10-2806722,,,,,,,,,,0,0.995924321974384,1.0029546554683129,0.999719284435769,0.9988958932673156,0.9992863143879599,0.9981883881815891,0.9979587663375261,1.0144041695771895,1.3252985749284867,1.405081963356408,1.3693202286666424,1.48117459338278,1.5326996449038428,1.498532490402747,1.6208286704005699,1.5722920539888,1.5240308113802963,1.503892050522846,1.471911130224402,1.5432950441036757,1.4899811434038701,1.4555780708213555,1.4355258666847182,1.413317165390615,1.4026272866868896,1.3875874439375184,1.3887349904861914,1.4133710804006183,1.397873097286378,1.486579984759413,1.4493391182295476,1.4375431407544255,1.4203605335475376,1.4080821397856724,1.3988090664937411,1.3929821134665388,1.3881822149311551,1.3950242053642803,1.3969538001362685,1.389304892367501,1.4165532607019773,1.4512905822601434,1.4432598744307903,1.4622667751060436,1.4508397149959327,1.4344314845295598,1.4281810228589547,1.413682141203657,1.405484392075651,1.3919952830450801,1.4750593275912047,1.4679053368457982,1.5063581964657478,1.4911372811746615,1.4842840899810061,1.4790091943514863,1.5058132229641499,1.497049706683551,1.4900409019069534,1.4666429910954382,1.456267254033608
