순번_정류장ID,1-2804802,2-2800361,3-2800359,4-2800357,5-2805323,6-2804950,7-2800355,8-2800341,9-2800353,10-2800467,11-2800449,12-2800441,13-2800436,14-2800433,15-2800431,16-2806186,17-2800417,18-2800404,19-2800401,20-2800893,21-2800895,22-2800897,23-2800898,24-2805292,25-2805297,26-2800888,27-2800905,28-2800910,29-2800915,30-2800918,31-2800922,32-2800924,33-2800926,34-2800933,35-2800939,36-2800948,37-2800841,38-2800964,39-2800840,40-2805652,41-2800985,42-2800838,43-2801042,44-2801072,45-2801103,46-2801283,47-2801315,48-2801356,49-2801414,50-2801492,51-2801524,52-2801602,53-2801647,54-2801634,55-2801671,56-2801661,57-2801656,58-2801649,59-2801642,60-2800164,61-2803661,62-2801697,63-2801724,64-2801915,65-2801923,66-2801926,67-2801922,68-2801940,69-2801951,70-2801962,71-2801991,72-2802003,73-2802033,74-2802057,75-2802105,76-2803811,77-2806842,78-2806513,79-2807111,80-2806524,81-2806523,82-2806522,83-2805906,84-2806422,85-2806424
1-2804802,0,0.9860900914042496,1.00202827857633,0.9902972937680294,0.9990107244699755,1.0010227523324484,0.9987897895694726,1.0009022771849725,1.0006132851798166,1.0014981111531682,0.9984860704007728,1.0025305257084356,1.004612678408126,1.0040817836080906,1.001161557384475,0.9998140809936469,0.9987309862522907,0.9995764413474149,1.0035687859044422,1.0036318859738114,1.0037217096818707,1.0041291292657268,1.0044023826804271,1.0185840010576221,1.0365306149889204,1.050293883932888,1.049647798553458,1.0471572052823888,1.0467374355101684,1.0458483780412258,1.0445800132435528,1.0434147285504682,1.0569230018383253,1.1072610791028592,1.140139217106041,1.1678307455757588,1.2373392698503056,1.269155033407766,1.3195540304972535,1.354128398281049,1.3946747667477624,1.3808141218122114,1.3756143660469027,1.3664259106193262,1.3594033048302898,1.3396024115028269,1.3308623403085051,1.3215925525138323,1.3120167676975822,1.2988240668259288,1.2935226799687325,1.286450925481582,1.2778285881949405,1.2861395323905636,1.2822251352843426,1.2775754719136512,1.2735004692832161,1.2699302266999142,1.2815340087646432,1.268848772115674,1.3133828841335857,1.3058138046757894,1.298301332071883,1.2820171400193923,1.3296799636057592,1.3418531894153383,1.379345941809036,1.4125546190667122,1.4345047230874122,1.4589865906634407,1.4768200124432755,1.4683183325466977,1.457457095748563,1.4550411893451356,1.4478178862053246,1.4357020349436074,1.4313082695694481,1.4101013828746463,1.4050305218475019,1.3981844924958444,1.3920323184904693,1.3884272261697335,1.3839770004328105,1.3790675735973554,1.405307467397579
2-2800361,,0,1.03627824704585,0.9946117536717698,1.0047432227052628,1.0059753262194893,1.0025284865903494,1.0045430928558892,1.0036798897755326,1.0040735930679197,1.000162032326675,1.0045441665525519,1.0068119589204099,1.0061154788043651,1.0026545263395388,1.001045721005733,0.999757793151888,1.0006492107389935,1.004995094393861,1.0050127059749436,1.0049166510679572,1.005385439129223,1.0055465025407784,1.020696517284488,1.039785742439772,1.054315438666834,1.0535942354881782,1.0507954761935248,1.0502993362455983,1.0492596670574277,1.0477994591361923,1.046364364715358,1.0605755219085,1.1137176477016917,1.1486680363139854,1.177845627164524,1.2517746664664198,1.2854686451667392,1.3394597475004826,1.3765569570537728,1.4197136850439707,1.4041022832956183,1.3979084935602926,1.3877251365830063,1.37976050344159,1.3578850514632361,1.348103965099266,1.337981894641688,1.3274104020179178,1.3128719257933399,1.3072389770694568,1.2995005175345575,1.2898710601960732,1.2986024696706406,1.2942385039950461,1.2890651676085267,1.2847162720846608,1.2807187911787015,1.2926544587649254,1.2791009764080572,1.3254578255816558,1.317279529588291,1.3091621140029794,1.29172774681151,1.3411529485123248,1.353677738312007,1.3924505916918974,1.4271361564332588,1.4501044206454539,1.4756723484313163,1.4941994720372858,1.4850112982217711,1.4733915392407513,1.4707992660101294,1.4628947477197545,1.450092570811471,1.4454054902919486,1.4226608118618704,1.4175120479828418,1.4101312626780445,1.403679142500248,1.3997997191082499,1.3951965993079871,1.3900126101783732,1.417106996113684
3-2800359,,,0,0.9565553047519473,0.9953454229992827,0.9998074506350143,0.9964494422352533,0.99999197175664,0.9997351231152504,1.0010355766874912,0.9972788911323921,1.0022373544814227,1.0049788733356988,1.004137079492837,1.0006693921552396,0.9991307931216135,0.9980721036049846,0.9990706123312045,1.0036641232560612,1.0037241174700966,1.003710604093881,1.0042668991744679,1.0044673722905575,1.020165688647374,1.0398047591102944,1.0547786060441013,1.0541094600762702,1.0510417630892688,1.050610692611617,1.049533766020218,1.0479481228680996,1.046699973974456,1.0611850265229106,1.1157110918929267,1.1515267016695196,1.1816037231181282,1.2576946752018772,1.2924194151394672,1.3479067062349468,1.3864397893204372,1.4309693592426813,1.4143742480238768,1.40785079906811,1.3970243484186449,1.3887474314123671,1.3658159118173212,1.3555720881073148,1.3449999029950572,1.3339529083177257,1.3186514431893732,1.3127970172450116,1.3049013696270142,1.294967986232203,1.3036290375959763,1.299034500925024,1.293816339485202,1.2893113481373417,1.285146497021949,1.2972782863642351,1.2831450543833813,1.3304826436078745,1.321897937800504,1.3136522491232363,1.2956328084567594,1.3458814153183456,1.3586891269898127,1.3981040933987745,1.4334183447614126,1.4566849790689096,1.4828792557177362,1.5017421896209326,1.4923967855132676,1.4802173442988467,1.4776736286089283,1.4695963256168216,1.456349289639094,1.451463231505362,1.4281332234772084,1.4227924763817488,1.4152668311384267,1.4087042109265546,1.404719899704408,1.399947123122221,1.3946870643896327,1.4221390207102906
4-2800357,,,,0,1.0153898794248692,1.0129525449913328,1.006881796103541,1.0085630477856562,1.0067230987188536,1.0067110832193888,1.001809287210427,1.0064099148506311,1.0089228309209322,1.0080177894394096,1.0038953475633847,1.0019866954013041,1.0004758380818473,1.0014334148334356,1.006205415683144,1.0060746786781316,1.0058963317669343,1.0064486372900106,1.0064858945006412,1.022731511715361,1.0429075104139471,1.058288356144654,1.0573033695292633,1.0542598752691243,1.053681368382208,1.052480028494618,1.050735695537044,1.049318979762309,1.064216653114067,1.1204095939958127,1.1573684558804282,1.1883404502991226,1.2672337052454388,1.3032092350507132,1.3608793705105866,1.4004408025985429,1.4467230638335153,1.4290911527940298,1.4218565756680117,1.4104254149268514,1.4014931701247768,1.3771723094658836,1.3664104917003583,1.3550607537614765,1.3433861520919241,1.3275295571828165,1.3212936799641801,1.3128295297161021,1.3024732191330077,1.3114309528087789,1.3065036605978835,1.3009722145085367,1.2961204116675966,1.2917949340740273,1.3042760422822495,1.2895247876586617,1.3377341925018746,1.3289043286764164,1.3202034607651922,1.3014887505436363,1.3528129077413136,1.365824221371379,1.4061298447664692,1.4421167065071523,1.4658884376177728,1.4926671765142732,1.5117770226831815,1.5021378457034318,1.4895719058301733,1.4869931837169883,1.4786186145285967,1.464761936890168,1.4598875066638366,1.4355032309382862,1.430048410443862,1.4224376114369046,1.4156128747349577,1.411441742488297,1.4065726274574701,1.4010480321015184,1.428973333071162
5-2805323,,,,,0,0.9968806225979197,0.98931185685491,0.9988910146792406,0.9987492154195268,1.000511872123753,0.9956906606007876,1.0025721391431395,1.006106697428771,1.0051982594433517,1.000747282482863,0.9988600608549842,0.9972804496054722,0.9986653954926119,1.0041209523703227,1.0042621076493496,1.0042052970319038,1.0048051718708286,1.004901990796467,1.0227083379056625,1.0443925322155225,1.0609927550589677,1.059744384050084,1.0564672876737073,1.0556297813492923,1.054463291401112,1.05252637677083,1.0509828883878283,1.0666635099022033,1.1263790084945475,1.1660076045505243,1.199033601349023,1.2835703975036528,1.3222956805206434,1.384426020011369,1.4275091284187982,1.477620520547561,1.4574504283292062,1.4487868496514906,1.4359314806150367,1.425805824776912,1.3983925006021622,1.3863406274557175,1.3738238415630728,1.3607335954767517,1.3431355616046898,1.3364519935234374,1.327133371304865,1.3156837140558582,1.3249099350682325,1.3194104003497842,1.3133895148795307,1.3082557577062923,1.3034770866580427,1.3161604279619992,1.3002645426497403,1.350742813696034,1.3411655863075755,1.3317332408470204,1.3117532274205288,1.3648076055606886,1.3787568242118127,1.4207560353215252,1.458101716956299,1.4829451123963726,1.5108161857058997,1.531052058277452,1.5205803931002053,1.5071458929263508,1.5041493039868896,1.4951691790879234,1.4805238501238978,1.4752333736693877,1.4493038206807,1.4433809058272704,1.4352092987965381,1.4279123677124992,1.423419234116637,1.418255424169131,1.4126256703989553,1.441492220716845
6-2804950,,,,,,0,0.9706227709671481,1.0004308165672753,0.9996282130330966,1.0017138322946384,0.9949887766625346,1.0035872682517106,1.0073258167083508,1.0061956804671381,1.0010215612500335,0.9988842804117122,0.9973222296656236,0.9986664857635725,1.0046433965846528,1.0047185516911603,1.0046198377662348,1.0052318215648575,1.0054389014355,1.0242580850549732,1.0473314206155204,1.064648350413109,1.0634066029992886,1.0595841175722072,1.0588433339242662,1.0572324964440813,1.0551757143424367,1.0535027285445295,1.0698128183716478,1.1324909511183485,1.1739260065416484,1.208973582701394,1.2979311087762668,1.3388863488454104,1.4050016214565872,1.450653369867045,1.5036312764420559,1.4812613675569477,1.471704136408211,1.457392286190088,1.4461185818326137,1.4162731134241455,1.403121546249853,1.3895397367135118,1.3754242266703354,1.3564236493259356,1.34913805134406,1.3391047422976958,1.326886002738808,1.3363634075945545,1.3302309250589424,1.3238041915565517,1.3182477286410956,1.3130932138800304,1.326272652584299,1.3093699407298718,1.361346509611489,1.351161330744734,1.3412551431514779,1.3200900029184148,1.374943495235311,1.3890683004237399,1.4323363099831719,1.471011705456841,1.4967543730683588,1.5257327576378301,1.5463817159229372,1.535223779531638,1.5210433660416198,1.517874054604436,1.5084099536251643,1.4929835127348612,1.487412657706305,1.4602291442706838,1.454088230070231,1.4453944969985253,1.4378260299434305,1.433061546628296,1.42788989448672,1.4217853577825073,1.4515165333938722
7-2800355,,,,,,,0,1.0138344359640172,1.0064623757592777,1.0072099575194162,0.9980455354799184,1.0064970783621356,1.0102488230081466,1.0088309981058072,1.0029735978247054,1.0005074984033087,0.9986954050644309,1.000025156114809,1.0061930079637769,1.0060330290688837,1.0058193550011851,1.0063611945315647,1.0065318540055725,1.0258181830155875,1.0491130097317718,1.066760462069042,1.065412714422622,1.0615094297757568,1.060719554752586,1.0589164641103364,1.056838080392307,1.055007223962026,1.0715720516395464,1.135405502145143,1.1780059776693264,1.2136087763070662,1.3048268708698607,1.346650358735083,1.4142901076526968,1.4611287303680076,1.5155721464234064,1.4921813299932698,1.481821194698783,1.4669068454651362,1.4554164036846808,1.4241791608276544,1.4105354131485688,1.3964788042824225,1.3820636919898828,1.3622445336090532,1.354911940270777,1.3445553131109098,1.3317877118888846,1.3415341259348386,1.3351479453996473,1.3283828393498731,1.3226722809831666,1.3173507044915234,1.3306769364127846,1.3134747628092767,1.3661464465650597,1.3556889454574121,1.3454061391348378,1.3238778448930815,1.379386915693445,1.3934247948451026,1.4373914092717646,1.4766429402744274,1.5027362298441145,1.5318860667248424,1.5529581370133232,1.5415357781905734,1.5271076121805762,1.5237889517502703,1.5144768167382494,1.4986293605988104,1.4926606409512004,1.4650370490394178,1.4588991982382824,1.450025450071655,1.4423109797347247,1.4373343055585242,1.4318339862298053,1.4258471347106783,1.4557227972577393
8-2800341,,,,,,,,0,0.9983474658975081,1.0026892675469536,0.9925445244005985,1.0045450138718426,1.0092017506292665,1.0076306233011907,1.001143361398254,0.9986053019102514,0.9968311196545945,0.9984036580827944,1.005244780692127,1.0052290698406579,1.005072991815122,1.0057105667445365,1.0059184765867033,1.0264504213572194,1.0512840454357975,1.0698136895824781,1.0681632838317983,1.0638140492965986,1.0629431612330131,1.0611744892253852,1.0587089267465168,1.0570319900396112,1.0742482758632428,1.1409226923538522,1.1853709454921704,1.2229652255651953,1.3187494014501384,1.3630222086281754,1.434586051440156,1.4845677083901367,1.5418797914664546,1.5160662124603195,1.504574694143009,1.4882138347582756,1.4753597306738662,1.4416565487656163,1.4268512818053432,1.4117880271542802,1.3958993251181722,1.3749332589017578,1.366794102664355,1.3557136677925352,1.3421730403554308,1.3520850499715589,1.3451415755883283,1.3381283884357862,1.3320664252297214,1.3264431954152922,1.3401165660984105,1.321700975732662,1.3759657325379933,1.364906937638862,1.354230654570475,1.3314710628143445,1.3885450128197119,1.4032005946611998,1.4484843236383522,1.4889871386716047,1.5158966723803262,1.5458217069110614,1.567522254060725,1.555567193877501,1.5403157740024969,1.5368985686081809,1.5266668636730971,1.5102703579303463,1.504227855166846,1.4751105027418405,1.4686431461338147,1.4594403097066015,1.4513464063265353,1.446517734144654,1.4406681483881227,1.4343224126326433,1.4650970953106648
9-2800353,,,,,,,,,0,1.0066482629880402,0.9902705687465491,1.0060009221214907,1.011433312882998,1.0093458693085307,1.0015593119282038,0.998638131113844,0.9966642614143835,0.9984094439239104,1.005922700509289,1.00578412633664,1.0055622473328205,1.0062015046543817,1.0064016777994775,1.0281700775882419,1.0473963058261635,1.066974571534969,1.0653657334051596,1.0610941837084529,1.060130586746095,1.0583954163608862,1.0559658179018623,1.054195726813432,1.0721252819452858,1.1412990026365155,1.187439268212139,1.2264034047723589,1.3263205257439068,1.372562185631268,1.4474597543026286,1.4997247144537138,1.5599281201382342,1.532140561630011,1.519795848855416,1.5022764590837627,1.488537430876364,1.4527007031493062,1.4369984463453338,1.4209685383093371,1.4043090263366225,1.382165273754983,1.373731356033251,1.3621160873939946,1.3479493620760392,1.3580900219544123,1.3507582590243505,1.3434513258186829,1.3371384696695199,1.331177600154049,1.3451561531353031,1.3261122081801848,1.381694649737542,1.3701993804036439,1.3591374466129769,1.3355935998363668,1.3937607635220464,1.4088221039486355,1.455239801956695,1.4966219168129444,1.5241898807733596,1.5549496683590647,1.5770842654815478,1.5647460453032869,1.5488448187637602,1.54545436533459,1.5349285089290008,1.5176496510017603,1.511542891858751,1.481455365836835,1.4747874091801647,1.4651671081527924,1.456837231093439,1.4516785696103063,1.4460241116773915,1.439320784356669,1.470735344930184
10-2800467,,,,,,,,,,0,0.9779359420004946,1.0057762689159595,1.0128262841827007,1.0100316190035743,1.000567132967428,0.9973380816086281,0.995296254669876,0.9973604275070337,1.0058350425073672,1.00570026963302,1.0054680933026956,1.006166102396145,1.0063831136600954,1.0297182601115555,1.0320130776357017,1.0532213674805293,1.0521267783687034,1.0483158500420482,1.0477890869894342,1.0463556869707802,1.0445233231635123,1.042876125071271,1.0409515951816253,1.0998969694946477,1.1452298594392358,1.1837387465336904,1.282224907627739,1.327683681122399,1.4016825846431848,1.4532307513389624,1.5129295883325569,1.4873506735383737,1.4764552182547481,1.4603417305337558,1.447730227299425,1.4145653686590272,1.4002843538551502,1.3853885732812699,1.3702544726618808,1.3497834007973024,1.3421180362863396,1.3314853067195382,1.3185248974652697,1.3287997279388863,1.3225509161693536,1.3158067290027775,1.3099968230545211,1.304598380730305,1.3187512104133325,1.3011474131422502,1.3565934065622167,1.3458258993510934,1.3355182629545763,1.3134770818796604,1.3715335364434313,1.3863509574943522,1.4324539744395874,1.473396367651153,1.500788440991679,1.5315854346595352,1.5536688283435338,1.5418127684325793,1.5265838530275426,1.5234160875400127,1.5129037790018511,1.4965895044351696,1.4905144874767553,1.4616271426454337,1.4552086472554397,1.4461055304598969,1.4381407328937235,1.4333748570834872,1.4276451737215872,1.4214209826251754,1.452318980138205
