순번_정류장ID,1-2803031,2-2803025,3-2803016,4-2802985,5-2802957,6-2802946,7-2802943,8-2803287,9-2803281,10-2803275,11-2803251,12-2803242,13-2803231,14-2803229
1-2803031,0,1.0176873601789709,0.9982727550366179,0.9986552905596089,1.0053962023125422,1.00332701310285,1.0499745816495698,1.0588735225923065,1.1571701714103995,1.1305434335395013,1.143690674179096,1.1343770063904473,1.1156436560200265,1.109867165555246
2-2803025,,0,0.9879454244660482,0.9933828383104609,1.0028115731456175,1.0006606605307775,1.0551848300240674,1.0626167180177406,1.1685773259537093,1.1383011954105844,1.1510668149974115,1.140712558659755,1.1201881830148746,1.113890776338569
3-2803016,,,0,0.992604243357205,1.0084462186773444,1.0041420412217532,1.08155751993205,1.077320640366799,1.2007310196570564,1.1600882465570925,1.1707957194381715,1.157675308160699,1.1324936171623727,1.1248411979415212
4-2802985,,,,0,1.0221223347494313,1.0088239793510423,1.0075514978760793,1.009694252604981,1.009286042751398,1.0038067136093731,1.1377218279301695,1.1265442015389941,1.1051513174646077,1.0989445698487978
5-2802957,,,,,0,0.9844882694840783,0.9980421206855206,1.0076007003768976,1.007713309359395,1.0020051678870134,1.148034704481577,1.1349903488461568,1.1106601463236574,1.103673873359654
6-2802946,,,,,,0,1.0055501942823297,1.0099439485544477,1.0093798746794276,1.0029996562403367,1.1586039991411088,1.1438991816079398,1.1169549976090982,1.1092456886587452
7-2802943,,,,,,,0,1.0109274441027116,1.0099485829172588,1.0027084535697837,1.1742277584745628,1.1565142855014403,1.1250779065568095,1.1162033598197572
8-2803287,,,,,,,,0,1.0034720424030497,0.9917914761929069,0.9939675406613475,0.9960120038435215,0.9969159814846946,0.9985715938614299
9-2803281,,,,,,,,,0,0.9763134893901564,0.988379480092347,0.9923049864066513,0.9946173592076375,0.9969291347948471
10-2803275,,,,,,,,,,0,0.9936788426817077,0.9980546170509091,0.9986973932522208,1.0009893527420042
11-2803251,,,,,,,,,,,0,1.0082873169157223,1.0022035329500498,1.0049079104438816
12-2803242,,,,,,,,,,,,0,0.9996116237842337,1.0039029464716533
13-2803231,,,,,,,,,,,,,0,1.013817600797186
14-2803229,,,,,,,,,,,,,,0
