순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565,73-2802290,74-2802292,75-2802287,76-2802283,77-2802272,78-2802273,79-2802274,80-2802275,81-2802296,82-2801865
37-2802694,0,0.9958172013274336,1.0002249376459613,1.0012252589751924,1.002832374376678,1.002116636591608,1.001909750569282,1.0017076154653013,1.0028815912070093,1.0036238594973543,1.0027184351622918,1.0020178102156427,1.002922372547555,1.0821942714709705,1.0793525545552678,1.0782162293823108,1.0694207549980062,1.0645689230526378,1.1024471684864423,1.2463945688892863,1.2898527270605782,1.2703109519693476,1.2607551990674997,1.2518969609027624,1.2759711568066372,1.2689171388131981,1.364991887829296,1.458082327640175,1.4460107752537759,1.4344208029079195,1.4304654507660666,1.4134947650944747,1.4036738965416742,1.3881673194006403,1.392233888712745,1.6183223647035847,1.7369195614441566,1.7199304217679883,1.6862429340307532,1.6679642674240707,1.8926688893537713,2.031227314450149,2.0425738943593985,2.0147755793423303,1.9240075183293828,2.053307331698915
38-2802692,,0,1.0070055921586627,1.0050851265243368,1.0064033756180868,1.004542814078169,1.0038468747179925,1.003349369400709,1.004651620773471,1.0049704372277526,1.003764549362757,1.0028882976182785,1.003872643442324,1.0928764127360562,1.0892855867988513,1.0875955082986137,1.0770854316294602,1.0714470723293172,1.1125434854587934,1.2718946619628242,1.3199822963907832,1.2964086440527856,1.284950262664374,1.2743489852934469,1.2998216728305942,1.2827266188011226,1.2728420910394178,1.3290624998687188,1.3200464541060906,1.3120456153959958,1.312095214986177,1.3002046633047224,1.2930450423861382,1.3863588160296152,1.3992593330359597,1.6660067618295435,1.7947426884189384,1.775119880816446,1.7361617871440433,1.714932060818642,1.9609150952617371,2.114084713951407,2.124970354338693,2.092668892361631,1.9867339190188105,2.127603306841532
39-2802713,,,0,1.003420509491187,1.006105553686932,1.003719372894474,1.0030232078232977,1.00253974663225,1.0041936267329137,1.0047130680362157,1.0034099736068165,1.0024745462394993,1.0035740640901034,1.1003827892848361,1.096178253000735,1.0940350927415246,1.0821737333274268,1.0759293742717781,1.1194653795262735,1.2906589384593181,1.3423170207764044,1.3154727937921424,1.302491401164976,1.2905064448482064,1.316975431009181,1.2979850392790946,1.286918760615483,1.3458258933670753,1.3360999739770714,1.3272980199273805,1.3266644614771657,1.3138102871380772,1.3060095335376234,1.40426712633114,1.417663869146058,1.7005404230453778,1.8368299689406167,1.8149780605821888,1.7721214843386586,1.749012564441613,2.0105558725115453,2.174833775554148,2.1852601292612572,2.149439063277971,2.0317503021851078,2.1812301011667734
40-2802744,,,,0,1.0096817738508141,1.0039071537290716,1.0028521146228773,1.002237246281795,1.0044171106841677,1.0049338858468824,1.0034084506746344,1.002350382509491,1.0035930453207615,1.1112764033213391,1.1061178494775503,1.1032514329628644,1.0893850336834294,1.0822657192193406,1.1289800592842827,1.3162635219833791,1.3727707128037445,1.3411800228421904,1.3260141893915665,1.3120583936508525,1.3397394522919537,1.3181060618847114,1.3053938989797953,1.3682225977395919,1.357053393364702,1.3471561902676825,1.3457845711278262,1.3313947408364828,1.3229077647187986,1.427391775549691,1.441407736692255,1.745468673206782,1.8916615904727572,1.8664488768940428,1.818569055233941,1.7923597423030575,2.0749846618232275,2.2541290385210764,2.263791688310267,2.223129145525286,2.08940278761857,2.250165105033456
41-2802767,,,,,0,0.9987562869407252,0.9995916379785926,0.9996536922680354,1.0029535838463204,1.004235538268893,1.002645128603914,1.001549711747972,1.002970440159823,1.1206263242473875,1.1145472426608616,1.11098016882308,1.0952636381587144,1.087357205091389,1.1367979444118406,1.338232785981587,1.3990141769542326,1.363014304706195,1.3458475026701961,1.33010192007807,1.3587492522833253,1.334762731377522,1.3205923618904174,1.3863103572045954,1.374499137099131,1.3636380198779563,1.3615939418715517,1.3456730455696324,1.3364551276347862,1.4462852700613877,1.4608042266536334,1.782846460564987,1.9374484993712204,1.9094902599293588,1.8569722748331576,1.8282623177836408,2.1286819572861044,2.3206985984049036,2.329581622330959,2.2846239113118814,2.1368036945555096,2.307126948543864
42-2802785,,,,,,0,1.0005537373958429,1.0002238844315905,1.004854185283509,1.0053167302506831,1.0032594414426133,1.0019392930924993,1.003516113844251,1.1346554420656076,1.127134271146169,1.1224395121163917,1.1039679792511197,1.0949242805000035,1.1477504868396255,1.3679052111472778,1.4343293481057784,1.392073872092724,1.3721050679428994,1.3538723169421725,1.3836131557984828,1.356430560998889,1.3402822093215978,1.4098646698845956,1.3963974673099397,1.3842740214571594,1.3813140516418287,1.3640550478701396,1.3536740845891246,1.4702051944598662,1.4853254778709881,1.8302265287380075,1.9954914980933303,1.9642142122777992,1.9052485485477375,1.873552754832533,2.196398321972913,2.405085612334762,2.4127902612655148,2.3621268897902516,2.195749992655895,2.378179189870306
43-2802812,,,,,,,0,0.991664526752997,1.0033299997644372,1.004924083618996,1.0026326098219513,1.0012145676838176,1.003048780487805,1.1487018133622597,1.1395393571527488,1.1335661107389452,1.1121282327950315,1.10189808837395,1.1580734045962653,1.3973132819693126,1.4695081548948887,1.4205113760249568,1.397574840260857,1.376735215962203,1.4074550131252461,1.3769971386248292,1.3588358796830462,1.432138719528521,1.417225989550413,1.4040731047709678,1.3999235171357478,1.380727336665523,1.3694006833173713,1.492579965762374,1.508259454107134,1.875478494387825,2.0511670335791177,2.016190730345939,1.9510394683608203,1.916082929440757,2.2612169789453413,2.4865333057159273,2.492908781086632,2.4364248116564253,2.251328812488371,2.4455489945950943
44-2802844,,,,,,,,0,1.0162387030695166,0.9969301661686062,0.9964275408703123,0.9957583881363696,0.9982841861950921,1.1581949136891505,1.147598929453252,1.1405626170666898,1.1166766443341662,1.1054960666808489,1.164774256390281,1.4209492786234355,1.4983279811892738,1.443207447448704,1.4176302283160132,1.3945023693163607,1.4260696564762425,1.3927837113665822,1.3729092625332493,1.41017813395684,1.3954993784423853,1.3828226875366014,1.3794972698735124,1.3610397931690683,1.3781406089324189,1.5099242595394562,1.5260762904850511,1.912372550090917,2.097036592341739,2.0588025543961805,1.987903101493534,1.9501421611734522,2.314802438482274,2.554652674856212,2.559775644630522,2.498130072332927,2.296642849565161,2.500952821400087
45-2802867,,,,,,,,,0,0.9926754603563145,0.9933888654794991,0.9931408283586993,0.9962207477320597,1.1720925527455142,1.1595224765233458,1.1509682423751715,1.1238632577528338,1.1114666146741448,1.1738577384614959,1.4488024519226288,1.531893184135007,1.4694908743569024,1.440809938002133,1.415008281023016,1.447314071816231,1.4107976518472398,1.388963581838808,1.403945317865865,1.3891050185397984,1.376072817302754,1.3584343192300263,1.3414590713856165,1.391345535198625,1.5289694922299342,1.545587125375192,1.9521374338940547,2.1462854802550737,2.1044497335620185,2.027618558632726,1.9867792354822225,2.3718799698312214,2.6273869289918883,2.631017889225126,2.5636944735013927,2.3443160484535497,2.5592703771994554
46-2802393,,,,,,,,,,0,0.9950215248514193,0.9937831855067252,1.000083409521251,1.3155459278985653,1.2763933044777263,1.247917120834394,1.1869460120517183,1.1632455037919829,1.2434553824073196,1.6559662917644487,1.780967357049891,1.654331846114474,1.59996250101957,1.5528138834296956,1.5871673327377587,1.5267479488970213,1.490693748061862,1.5024351902066793,1.4803934632208873,1.4612150159835784,1.434495210629313,1.4088958462920995,1.4704618776472416,1.6427852510431997,1.6617943047047325,2.1940685969369014,2.4470337879257187,2.380132736053962,2.263825221113174,2.2025691808151455,2.7155438050074046,3.073944009119152,3.065113255104277,2.958378408216962,2.619140446535352,2.899094945042147
