순번_정류장ID,1-2802511,2-2802454,3-2802250,4-2807320,5-2802229,6-2802236,7-2802254,8-2803792,9-2801817,10-2805668,11-2801889,12-2807321,13-2807322,14-2802306,15-2803637,16-2802324,17-2805421,18-2806664,19-2806665,20-2805423,21-2805016,22-2804853,23-2805042,24-2805063,25-2803817
1-2802511,0,0.9974744066783627,1.007890133157142,1.0069475738959295,1.0014801750302442,1.001593268771136,1.201175684772847,1.2710227064610875,1.2313138545398434,1.2064468116095282,1.3675075015056386,1.3377548962898993,1.3082613623486714,1.291582018505619,1.2813632365014018,1.2993925000056363,1.2730833962913373,1.2601323736998251,1.2490689794427812,1.2403548412040981,1.2343646072260162,1.2458391215536482,1.365062587828808,1.4317295690925993,1.6280403319036274
2-2802454,,0,1.0198969994888363,1.0115704529223348,1.0028760975466748,1.0027299805457446,1.2565906320074112,1.3406538595379798,1.282659344380903,1.247030536055637,1.2188126450757824,1.2096536589773712,1.1909457081386772,1.2111725941097122,1.1960957581481937,1.1899502129532926,1.1731326197010208,1.1649083741160764,1.1587742915952768,1.1528781953938625,1.2240466420319018,1.2703041320944304,1.4034024019105311,1.4784312712826977,1.7019628212733182
3-2802250,,,0,1.0024843397867018,0.993761464041687,0.9960596139005947,1.3288719358556653,1.4307349138288685,1.3438475731416941,1.2925192976139086,1.2532580524944275,1.2370875785383266,1.2135325928910066,1.2352795669331247,1.216707744474865,1.209000561562236,1.1886115884112158,1.1785081095986023,1.1709160830118543,1.1642313768432255,1.2424500481657825,1.293456676715857,1.4412638306329344,1.5252932763882245,1.7787722954675698
4-2807320,,,,0,0.9811601292877851,0.9901204253866367,0.990707868647206,1.0196019079324672,1.0027752970118105,0.9988823212287703,0.999032353623399,1.0247308131702244,1.0218282913240695,1.0496536471917095,1.0443027683414519,1.0438326276825916,1.0395133572228803,1.03786648702293,1.0371168272800142,1.0356922074250143,1.1093322722772814,1.1568241871774916,1.2946913026723608,1.3730480530312,1.609116380804843
5-2802229,,,,,0,1.0021737816360787,0.9961836883258566,1.0340266672331078,1.0094139586860333,1.0034959515858108,1.0029450435406033,1.0316444196766035,1.0275625167363431,1.0592580044831605,1.0524770570643087,1.051570319330822,1.0462035155120895,1.0435423595232223,1.0428339774086897,1.0412382794955015,1.1215668168811503,1.173950262603791,1.3272531660268347,1.4152240101613895,1.6840617856368556
6-2802236,,,,,,0,0.9916392352950513,1.0494546453674698,1.0119152224094532,1.003854868127915,1.0031134956513943,1.0370862935779233,1.031698183225524,1.0673951645135185,1.059006594515606,1.0576470393067758,1.0507165515126078,1.0479788231531204,1.046475962095313,1.0445675084316626,1.1328175422991735,1.1905956241385638,1.3612168676513243,1.460179561852077,1.7675389475308025
7-2802254,,,,,,,0,1.1516451940637136,1.0288785231473696,1.010664315386143,1.0077745905895583,1.0497546042430115,1.041036385078101,1.0849302321784946,1.0729192837880845,1.070428521827243,1.0608911509104422,1.0563782002154585,1.0546204479159964,1.0515193976634987,1.1528487208237084,1.2197413288549488,1.4202673671150958,1.5386908454906967,1.9168998658334062
8-2803792,,,,,,,,0,0.9185350140056022,0.9457085627723653,0.9648437427348694,1.0303515258539817,1.0238166641675412,1.0748765965200477,1.062503891006467,1.0604364089201885,1.0514225663616104,1.0475884997064975,1.0463236318349638,1.0437104150541394,1.1529537620931418,1.2258950196577636,1.4469622639873245,1.579224499960345,2.010425585725038
9-2801817,,,,,,,,,0,0.9742874397914242,0.9878581511313552,1.0608546619708368,1.046046695445978,1.040058428043764,1.0310268558056168,1.031178887029671,1.025854563710195,1.0243669716284975,1.0245459934336274,1.0230836759306763,1.0978008479524284,1.1711443336165457,1.3946441115019268,1.5290922730784393,1.9711152423905904
10-2805668,,,,,,,,,,0,1.0000158354381272,1.093435040655105,1.0655247631789797,1.0544991047587506,1.0414827200573284,1.0407166115734725,1.0332898083267859,1.0308660004514514,1.0304910681998987,1.0284756605340197,1.0305308552565677,1.0473522370693613,1.2521126747380975,1.37482909045699,1.7754916776457887
