순번_정류장ID,41-2802694,42-2802692,43-2802713,44-2807035,45-2802749,46-2802741,47-2802145,48-2804880,49-2802150,50-2802161,51-2802171,52-2802825,53-2802870,54-2802378,55-2802395,56-2802397,57-2802399,58-2802406,59-2802412,60-2802372,61-2802474,62-2802487,63-2802530,64-2802542,65-2802546,66-2802562,67-2807041,68-2802373
41-2802694,0,0.9958172013274336,1.0002249376459613,1.002700673866728,0.9992812588754145,1.0023604870646141,1.001266216091931,0.9993943948821251,1.0180385325885823,1.0095989088517405,1.0075130077247503,1.1193868400296678,1.106283537269181,1.1024804709387461,1.1593439832319659,1.1484988714910898,1.1432889740532122,1.127653832993299,1.1425920682011168,1.1318950835815027,1.1244756492417174,1.1193618493888224,1.1143895800916477,1.114248780448481,1.1312926815227409,1.1254027706161804,1.119056220264238,1.1472308215576892
42-2802692,,0,1.0070055921586627,1.0089783348515697,1.001299753195315,1.00553926763581,1.0033142391204715,1.0005525099442953,1.024109068858912,1.012959512337956,1.010016896721226,1.1455371024490086,1.1271150764201465,1.1195269086962047,1.1841319693805619,1.1699334552371339,1.1630123739657132,1.1429220407609402,1.158777910399009,1.1456491200518142,1.136607756198089,1.1305795497554265,1.1244840740811302,1.1165833576848883,1.1153162259992753,1.109677627341624,1.1064776672331509,1.1574900547221425
43-2802713,,,0,1.011846545063328,0.9978207075447547,1.0048624774089867,1.0021202475493125,0.998832456370051,1.0278015658853357,1.0140805120377914,1.010503711184593,1.1676334383813058,1.1438956722356368,1.132571634011826,1.203492760154278,1.1862947689374181,1.1778666533770787,1.1539872351964051,1.1704975799866606,1.1553988196651097,1.1450705818771523,1.1383309400968729,1.13136610226296,1.1226473047375616,1.1211750057682628,1.1149691442617558,1.111383406967783,1.1644234831333748
44-2807035,,,,0,0.9877122463540459,1.001620947866761,0.999342411545624,0.9959151953272685,1.0305797269076762,1.0144124766024343,1.0103359922796902,1.186799870245836,1.1579113098670075,1.1430156887395808,1.2190480537724357,1.1992180377220873,1.1894834873762552,1.1624053911392596,1.1793830164744699,1.1626841390766551,1.15132607572934,1.1440253920493895,1.1363766046552468,1.1270250879205912,1.1253934135465082,1.1187534320979973,1.1148731216200516,1.1694094296927933
45-2802749,,,,,0,1.0267965830502708,1.0069781611899318,0.9996182654672074,1.0442403514599718,1.0007363032642531,0.9984804125234842,1.1045007883763038,1.0856378473700663,1.0840188290278607,1.1680297924149734,1.1518940061156655,1.1444527140184997,1.1235021471971822,1.1432994580042002,1.129542899261912,1.1203903348804403,1.1141861460431,1.1084383533368927,1.1004943707990744,1.0994588934565421,1.0939596565261862,1.0911222942609573,1.1484626217061402
46-2802741,,,,,,0,0.9956973890837134,0.9905902918792931,1.0479669847961082,0.9964710814826155,0.994839318243181,1.0020301684227286,0.998244728374505,1.000666226450592,1.0328955550580803,1.029351149089354,1.0290399345368813,1.0266215645306378,1.0508037062589284,1.0462019245288987,1.043571514287415,1.0407252272832976,1.0401900772511654,1.0363914964342618,1.0368806409371876,1.0345823161370795,1.034458233002951,1.0942004559904506
47-2802145,,,,,,,0,0.9834331921317204,1.0793721492109145,0.9967832391499939,0.9945889051363017,1.0034223772251272,0.9987071169531898,1.0017769984613076,0.9978129647141128,0.9975852507100554,0.9991160298975517,1.0013792869610192,1.0282852128490785,1.0256623379308027,1.0245099217276987,1.022356290968898,1.023107121796562,1.020181350068228,1.0210799348952422,1.0194983705301577,1.0200621828814789,1.0826312760179806
48-2804880,,,,,,,,0,1.151374453432792,1.002180643701334,0.9975230160987225,1.007142366866613,1.0009798700741497,1.003795265598612,0.9995038950784313,0.9983959268320907,1.0003172192244592,1.0025181576170772,1.030960355167848,1.0276884248762408,1.0263146491289838,1.0241835758870521,1.0248313616162747,1.0216797768204873,1.0225764480748771,1.0208570892729174,1.0213765662682683,1.0857812088153023
49-2802150,,,,,,,,,0,0.8218422605872803,0.9113842394707934,0.9575880846751823,0.96227301657146,0.9768412848633303,0.9773058286418509,0.9789454383142676,0.9820884212412088,0.9878971246787055,1.0197250807605118,1.0177000525026378,1.0171006142887191,1.0150498975225888,1.016456341342254,1.0136724842305576,1.0148310410137735,1.0134475225704176,1.0143625948663102,1.0824162045207835
50-2802161,,,,,,,,,,0,0.9888492445953623,1.011371043885214,1.000279555227633,1.0043983034931965,0.9982317996019687,0.997870195287845,0.9998814376169604,1.0025806793458831,1.0356327023613483,1.0318469339253902,1.0298971965121915,1.0270739085068419,1.0275592591590783,1.023866754147588,1.0246087469773142,1.022595937490368,1.0232460826701413,1.0934517846948777
51-2802171,,,,,,,,,,,0,1.0303974890320422,1.0054834805426525,1.008306030213225,1.000548373677828,0.9992910112291753,1.0014643407603854,1.004106677864655,1.0407651619258291,1.0356837331796294,1.0331931535981587,1.0299762263447767,1.030236768033556,1.0261119739391817,1.027037159414396,1.0247582452435429,1.0251451195005898,1.0987506644541905
52-2802825,,,,,,,,,,,,0,0.9763702870537528,0.998951998566133,0.992217310219324,0.9921608015353282,0.9955439857601764,1.0001245557850649,1.0421961327251987,1.0363079388014569,1.033486732900696,1.0299343580978093,1.0302224363815695,1.0257600621056262,1.0267698138121144,1.0243391313596797,1.0247777277377572,1.1031099583192598
53-2802870,,,,,,,,,,,,,0,1.0117839572039329,0.9971898168931361,0.99601383776535,0.9996140432084314,1.0036616046686868,1.0510131001823584,1.0430458755760612,1.0391267039645664,1.0348785606184865,1.0346716036257702,1.0294933219903586,1.0304490817504,1.0275956778008677,1.0278584613632453,1.1104275406069075
54-2802378,,,,,,,,,,,,,,0,0.979185716241944,0.9841416389129624,0.9923550078489585,1.0007776193149702,1.0631126263354158,1.0507561450445553,1.0448778151249112,1.0393575488050133,1.038565678072584,1.032210646319939,1.0332004390341354,1.0297414377396825,1.029885812734691,1.1215838588234244
55-2802395,,,,,,,,,,,,,,,0,0.9919011539645268,1.004683003076516,1.0095054929356133,1.0910905493867928,1.0686394627654467,1.0583797628564722,1.0505811680379622,1.0480651577161726,1.0397423026485038,1.0405300584871038,1.0359890632553164,1.0356591233486545,1.135955798070334
56-2802397,,,,,,,,,,,,,,,,0,1.0236826950763027,1.0156329929815229,1.1179211439358432,1.0832122271992666,1.0684256677382806,1.0585176489296522,1.0544568638670884,1.0445156666895536,1.0451447764157273,1.0397672381399437,1.0390913618180573,1.1458818079856918
57-2802399,,,,,,,,,,,,,,,,,0,1.0131710460145837,1.1388791375412655,1.0919285904112157,1.0734868716105814,1.0620028884499562,1.0570070934982303,1.0460142133556722,1.0466075761410376,1.0407506535482172,1.0399491905101022,1.1518196814127097
58-2802406,,,,,,,,,,,,,,,,,,0,1.456339861693836,1.1593252580716644,1.1058677475117815,1.08328582451272,1.0714372436078536,1.0545917943506713,1.054779096706523,1.0464158697635186,1.037859580717756,1.0822183781871815
59-2802412,,,,,,,,,,,,,,,,,,,0,1.0014412969027544,1.0057789712223573,0.9991169977924944,1.008366213946815,1.001618130053923,1.005817694708774,1.0035273307406094,0.9995801896541588,1.055853575947675
60-2802372,,,,,,,,,,,,,,,,,,,,0,1.01081731076742,0.9974046067012177,1.01145218093287,1.0016764642162859,1.0071209485502284,1.0040385209443592,0.999193366273549,1.0215481522603316
61-2802474,,,,,,,,,,,,,,,,,,,,,0,0.9569957893078183,1.0054373046933773,0.9940100681832663,1.002310002716099,0.9994879892518703,0.9944391001017653,1.014418618817191
