순번_정류장ID,1-2805836,2-2803035,3-2803034,4-2803029,5-2803026,6-2803019,7-2802965,8-2802959,9-2802641,10-2803003,11-2803008,12-2806040,13-2802980,14-2802954,15-2802913,16-2802915,17-2802930,18-2802925,19-2802905,20-2806494,21-2802921,22-2802901,23-2802885,24-2802851,25-2802823,26-2802783,27-2802757,28-2802733,29-2802706,30-2802628
1-2805836,0,1.0407246281936073,1.0137583629813607,1.0103496188013112,1.0070584738006125,0.9962768795707476,0.9961463504637128,1.0707843660705474,1.4234577267340163,2.019011825220066,3.0846156193293286,3.7392971476062042,3.391068699360044,3.0695690168037566,2.6820473165792147,2.539940082294173,2.458432111574738,2.358735153617989,2.225160162735907,2.1598575071434625,2.1487488648117927,2.121605014466618,2.1728566880036193,2.06588220307427,2.054647315770429,1.9274417404371782,1.8547698753990507,1.908104783778751,1.8237857199051235,1.8239678813671445
2-2803035,,0,0.9898468049626115,0.9994982459870309,0.9992748837337296,0.9902781537166545,0.9917166670806264,1.073271544936434,1.461118092732854,2.1416296623400264,3.4475590617751037,4.284389553125143,3.7947606912829137,3.3647749836122642,2.8707632787037807,2.696174858643361,2.591198014576345,2.4696502567708474,2.314183371219949,2.238785034372793,2.2238828315992776,2.191606514613788,2.2466497888871286,2.125414850964694,2.1114559641589947,1.9709057473517597,1.8900346741163614,1.9465819510630318,1.854705994459292,1.8538991527264332
3-2803034,,,0,1.0060066796271372,1.0026001194901013,0.9903546542748464,0.9919526549978057,1.0818571610895533,1.5199422195669627,2.331237099430811,4.062985789380488,5.256270150022806,4.468597870182556,3.8309761107847984,3.1509911771319308,2.9234156105007045,2.7802901332269845,2.6248153937666863,2.4368338920327783,2.3467029569696347,2.326065573698858,2.2862941988490832,2.345149627193454,2.2057744250306226,2.1871062947984816,2.028310022896155,1.9374733888934728,1.9962803970427387,1.895480004998873,1.8928138193551205
4-2803029,,,,0,0.9988690826700568,0.9846801457632237,0.9887181764260599,0.9997532033849735,1.242082626155687,1.8287603673403168,3.0397695478268822,3.847427234087003,3.4108354329176245,3.0304086095917455,2.5983528003649283,2.4466652657697137,2.3657284051252003,2.265651774241878,2.1303072369508653,2.065494895619235,2.05717479501431,2.0321175117577206,2.0877364365176203,1.981924400088352,1.9729308039447904,1.8487124296279258,1.780060413575521,1.836862206272039,1.7560802148058257,1.7580633016526777
5-2803026,,,,,0,0.9776595169917336,0.9860195850264363,0.9999091835393787,1.287477490723339,1.6787028616063249,2.1583637737750347,2.675684034158571,2.473997816098239,2.283612025629813,2.0525774257219536,1.9667774320959759,1.939241540014454,1.8894932640256596,1.8046966017201396,1.7645708793039399,1.7676511412508782,1.756819967314312,1.8093928612984778,1.7370862426740024,1.736835061064398,1.6490256782732422,1.6043230509944229,1.658073743405757,1.598144344610883,1.605232824343319
6-2803019,,,,,,0,0.9957327533047057,1.0122387137267983,1.4751339954606335,2.157115543136754,1.7588693482362707,1.6012192315750067,1.547480880203412,1.4913492047429837,1.4205809281442727,1.392614403634445,1.4127594959321759,1.411184302155424,1.3780676643402225,1.364067305699844,1.3790792572729493,1.3836470659514277,1.4312712798583376,1.397870860883849,1.4075046260107666,1.3631290720631788,1.347976535701485,1.3976712265836921,1.3648476384919237,1.3779589142750845
7-2802965,,,,,,,0,1.0272811813397371,1.0082460378102585,1.4091826896410922,1.2766782821722256,1.2223555162007242,1.29828419803799,1.3283005841805775,1.2787482488614743,1.2593527241001214,1.2910386692912976,1.2992286216077775,1.274460641951982,1.257353813359005,1.2435261529279733,1.2914060403776277,1.3415771720337777,1.3231467438618227,1.3354207083860556,1.297391397189203,1.2881248157847562,1.3395746217869844,1.3106287139475212,1.3396764184470535
8-2802959,,,,,,,,0,0.9763047548314225,1.001873389037559,0.9982665589720326,1.129288967776458,1.4199109777166388,1.4525616674059463,1.3609527140251076,1.3281499862145025,1.3614673952890193,1.3645704032956751,1.3275184372141529,1.3033455221568022,1.2838228804757308,1.3408196336433846,1.4001118337886493,1.3628448384758183,1.3756311362074918,1.3274443111215912,1.3136055826201996,1.3711922069479958,1.336312252757329,1.3521322301475462
9-2802641,,,,,,,,,0,1.0243809409642854,1.0075873092173264,1.0630597122538261,1.4169499061817608,1.4574373539306413,1.3486283284460734,1.312022712188322,1.3517883811699152,1.3563623810942254,1.3162617447025986,1.2905107750381504,1.2701192074624277,1.3324787284815995,1.3972417185908101,1.3577105661917972,1.371234631650982,1.3203415532256255,1.3064416077168113,1.3675412865271377,1.3311408457477703,1.3479662385761846
10-2803003,,,,,,,,,,0,0.9919539501210839,0.9950273759967144,0.9981859039157898,0.9953608783429828,0.9987443107472669,0.9995233446042472,1.071987745535391,1.106834638088315,1.0963629507028974,1.0960513978244837,1.1268509727852358,1.1447820183377297,1.208277775979805,1.1887958417766424,1.2087073857832653,1.1799987729979364,1.181805074228747,1.241922726169203,1.218810862241381,1.2391123409074214
11-2803008,,,,,,,,,,,0,0.9990399194856616,1.0036656417437217,0.997508879715849,1.0016176279584503,1.0022806144080518,1.0969482051359107,1.137718366584544,1.1204999384456653,1.1182078483547386,1.1541563023881558,1.1739715836662266,1.2487384325243618,1.2216359118111677,1.243324295373226,1.205585629539204,1.204523957566163,1.2717158220294085,1.243157328092509,1.2643155824171108
12-2806040,,,,,,,,,,,,0,1.0132075858254057,0.9960769378440807,1.0028544062215572,1.0035347097220533,1.1276772605466894,1.1736789783458215,1.1466355880525905,1.1283541708634974,1.116810468464954,1.2032720573851778,1.2919209600857895,1.2548571156817527,1.2773726130594139,1.2296162880185628,1.2248502253090925,1.299110191209276,1.2643325767106455,1.2871519640287428
