순번_정류장ID,31-2802625,32-2802694,33-2802692,34-2802713,35-2802724,36-2802732,37-2802755,38-2802776,39-2802813,40-2802853,41-2802878,42-2802903,43-2802919,44-2802922,45-2802904,46-2802924,47-2802931,48-2802923,49-2802914,50-2802912,51-2802949,52-2802978,53-2803006,54-2803002,55-2804818,56-2802956,57-2802984,58-2803020,59-2804978,60-2807337,61-2803033,62-2805834
31-2802625,0,0.9780411731936763,0.9893055156837449,0.9944702477773205,0.9990895425588885,1.6170998571314477,2.7309089439475844,2.160777240961021,1.8448416669676317,1.7453885436346495,1.6609932134979792,1.6017413633171085,1.5590747715142572,1.5799805035996517,1.6868341633642139,1.6239870238418037,1.5716443962228095,1.5544020526296158,1.7050435294428563,1.7910436988547183,1.721915631105438,1.6801503843766956,1.600552093020221,1.5558590364731193,1.6683726060107662,1.6564188167844145,1.611175732596566,1.636017601928424,1.8224605664018985,1.9268019230661113,2.191926669272399,2.1465423275049442
32-2802694,,0,0.9958172013274336,1.0002249376459613,1.0049903414170098,1.0463305416362958,1.714141749675371,1.5245351630159139,1.4032832406746885,1.3655776589553004,1.3303092721706313,1.3051757189424962,1.2843804968916954,1.307811649828679,1.3969483498958861,1.363542356068597,1.3363062675239104,1.3284804173440368,1.4534534436851874,1.5263744494982312,1.4847181933789366,1.4589250161016099,1.4101474623791057,1.3811759319686068,1.4842691807662083,1.4810037168398398,1.4534504183293466,1.4827159393213512,1.6486993670502146,1.7400603509044543,1.9739135603324027,1.939377171371038
33-2802692,,,0,1.0070055921586627,1.0136302023624084,1.0036555650044183,1.0040850294413708,1.000193268501523,1.0000038978925394,1.0078795688644602,1.0088205842191222,1.0119260538918027,1.0084974148532992,1.036059406086889,1.1112107817959533,1.1025385593174726,1.0943365334524078,1.0913829859103203,1.1942983391574928,1.2582029000331318,1.2385367764746706,1.2265813118469584,1.2062716871629477,1.1908644577886978,1.2867019623407048,1.291623741708923,1.2743887305902175,1.3152912675094168,1.4627369394359686,1.5435849367636967,1.7505575865753455,1.7254990320012036
34-2802713,,,,0,1.0240860557205487,1.0016704173723405,1.0031145411533837,0.9985532547726428,0.9987215978233859,1.008021919873186,1.009085515305517,1.0125866490608233,1.0086853900228079,1.0396493445270263,1.1248021586112802,1.1136208521141806,1.1036840638846694,1.100371081909347,1.2145768924698792,1.2855022124241895,1.2619868489087247,1.2479572249326274,1.223145629871384,1.2056702561154302,1.3090306972786647,1.3133542254100505,1.292979388575415,1.3359407807906891,1.4951168171563174,1.5833602097699875,1.809227140571393,1.780495486753084
35-2802724,,,,,0,0.9882201972049813,0.9975316775886206,0.9939623661040654,0.995394648379723,1.0015686270526976,1.0034824114419267,1.0044999879613998,1.0011947093840796,1.03475792614696,1.1262059681400045,1.1136953909909282,1.104149595505431,1.1045670671247723,1.2285999291389997,1.305119901034593,1.2782920294607198,1.2620647867842862,1.2341167144564038,1.2149621966705109,1.3238924722985728,1.3277533745785566,1.3053647679008806,1.3494912415007096,1.517310196709336,1.6103303762433678,1.8505248055225458,1.8183542570776199
36-2802732,,,,,,0,1.0007245155855096,0.9941626003373825,0.9951872872744713,1.0034703685604183,1.005507040975496,1.0064902054227838,1.0020363243210506,1.0410212460481465,1.1484679412920593,1.1322139313451258,1.1188316727509475,1.1190499608147066,1.26128795324134,1.3494050245736309,1.3148068724529463,1.294288419786227,1.2590639268712387,1.236176204988844,1.35588188918059,1.358496583735438,1.3311530668716678,1.3777067447912155,1.561700627244252,1.664677412802037,1.932410960794965,1.8938592411971462
37-2802755,,,,,,,0,0.9817282627232197,0.9899284277441252,1.0028432121876412,1.005695434947862,1.0069423600030203,1.0012572528939658,1.0497452357727122,1.1869356038443568,1.161961455171118,1.141948253303447,1.1345396466375006,1.2136726809144132,1.3112981274626772,1.2770870754528698,1.2571715357945925,1.2244045834987203,1.202561555516939,1.3314014116781754,1.3355306670265767,1.3088244460245078,1.3593535718878453,1.5546786358718316,1.6647607717590576,1.9535049150134287,1.9111138036626394
38-2802776,,,,,,,,0,0.997119313422119,1.015035213942639,1.0158555391100197,1.0156240037851967,1.007140109978832,1.070094692180168,1.2491742785743944,1.2078518215258263,1.1777433716853078,1.1663450878124437,1.1905672447874605,1.301341652304806,1.2640958233730186,1.2429248372549806,1.2093193233214223,1.1869151462340284,1.3269510101276587,1.331683654616616,1.303455553916924,1.3577839214949392,1.5677806598345816,1.687185950125837,2.003292585055461,1.954958687660539
39-2802813,,,,,,,,,0,1.0495565236726592,1.0333823103141524,1.0275830446864107,1.0123823365008386,1.1046731394833456,1.3808244182491574,1.2929066240993672,1.2371792174635492,1.21697961980947,1.2453213084609616,1.3906046606120346,1.3305133224381995,1.2981779752611986,1.2479040217602486,1.217843428344176,1.3814937531760667,1.3832850299823565,1.3445060137457043,1.4035408067128923,1.6467407663671334,1.7876878306878305,2.1666967446380228,2.1017508018108333
40-2802853,,,,,,,,,,0,0.9987194194701597,1.0060405500458645,0.9909250951045161,1.1171640221075758,1.4965293059384002,1.3524080532884337,1.2720914300646133,1.244469107261493,1.218122407416536,1.344735028424311,1.2875102530850904,1.2748564115679124,1.225964341366851,1.1965215504372604,1.3697659286091255,1.372491945780383,1.3249574921534306,1.395679997459289,1.6503563891038597,1.7989804486576522,2.2019230415664968,2.1312463535954973
