순번_정류장ID,1-2801920,2-2801928,3-2801931,4-2801949,5-2801960,6-2801974,7-2801964,8-2801953,9-2801952,10-2801788
1-2801920,0,1.08113847112912,1.037209035661048,0.9960955884637469,1.0037345630200574,1.0010305415700909,1.0039268698696975,1.0060534420663727,1.0908757473334485,1.4771397870435687
2-2801928,,0,0.95917844810286,0.9604511747232416,0.9796408405611502,0.9828966585293578,0.9905852874668195,0.9965165915944894,0.998407089837191,1.2189617140408064
3-2801931,,,0,0.9608422339591024,0.9839873192508007,0.9863609486893108,0.9939698747291066,0.9993918610650373,1.0009437145212112,1.1018533435377047
4-2801949,,,,0,1.0350083633707918,1.0092538263594073,1.0117205217367402,1.0121978322380918,1.0115618288165666,1.04773001513643
5-2801960,,,,,0,0.9915772115882048,1.0042415135681524,1.0081504518739601,1.0083604500157908,1.048965538701464
6-2801974,,,,,,0,1.01537958301334,1.01392905910914,1.0125282936452815,1.0584265985505426
7-2801964,,,,,,,0,1.0129744695319478,1.0114056913225007,1.0683534904224035
8-2801953,,,,,,,,0,1.0006914290455513,1.0949996069190313
9-2801952,,,,,,,,,0,1.0271007742268363
10-2801788,,,,,,,,,,0
