순번_정류장ID,1-2802647,2-2806710,3-2806712,4-2806714,5-2806717,6-2802663,7-2802664,8-2802675,9-2802681,10-2802676,11-2802670,12-2802692,13-2805075,14-2802721,15-2802123,16-2802116,17-2802112,18-2802094,19-2802098,20-2802129,21-2802158,22-2802168,23-2802175,24-2801848,25-2802172,26-2802162,27-2802153
1-2802647,0,0.9664629833941554,0.977181905292216,0.9901003392806268,0.993323948353957,1.0259856083622132,1.023223453089765,1.020556648782298,1.0189607772417537,1.0177297956590585,1.0154079192891854,1.0137052702500375,1.01426903108448,1.0128526530180166,1.0110382344262194,1.0114300897455428,1.0092032076407202,1.0106891936613762,1.0278896622690163,1.0258921576226534,1.0268089282587713,1.0377917887389367,1.134397054729844,1.217333191428977,1.2867599284207907,1.3962094659648634,1.425276094909579
2-2806710,,0,0.9951208862890327,1.006988484746496,1.0064559390723808,1.0047968708408836,1.0039182767771662,1.002537064064046,1.001809066321678,1.0021312355905019,1.0017630793506658,1.001595246477972,1.0032065658891176,1.006308154453392,1.0046211817763735,1.0054902867147457,1.0032066775763695,1.0054067996546274,1.0044953800757879,1.0040211738197757,1.0237237772332697,1.0357040987234327,1.14047971001224,1.23109463111547,1.3068362292327564,1.427737966211426,1.4590955075972323
3-2806712,,,0,1.0169762788103103,1.0115519785823077,1.0073956492191793,1.0059196275774582,1.0040204314940464,1.0030387936868894,1.0032621637378762,1.0026509345071513,1.002033550889476,1.0040479183795192,1.007595720075634,1.005453983440968,1.0065880846595168,1.003649311313784,1.0059657196134861,1.0051178145176882,1.0047406677174155,1.0254025298790637,1.0381574824244952,1.1493360063282654,1.2460344317215237,1.3266323762708965,1.4567265757139467,1.4894694664979682
4-2806714,,,,0,1.0053311940859286,1.0029051248477405,1.0018237401104741,0.9999813670125731,0.9991440077138264,1.0000099739103503,0.9999460822258593,0.999690421710184,1.001911542847584,1.0067064333745208,1.004631424489323,1.005678825420937,1.0029368294032377,1.0055532595526075,1.0044830282783948,1.0039395936065296,1.0263748598945026,1.0398522698711292,1.1596370808118406,1.2646192512607861,1.3518495965084905,1.4946960100729134,1.5298940573494912
5-2806717,,,,,0,0.9925205163974633,0.9941280935266958,0.9932772712909206,0.9930908057387683,0.9953293466889878,0.9963920376278184,0.9971935807172666,0.9996536793461468,0.9994663235115607,0.9976927948849416,0.9994378899621426,0.9964465813102373,0.9998286126790514,0.9997013111095743,0.9994579943744404,1.0234842744870825,1.0379233802114656,1.1657884343841465,1.278253921131211,1.3717449572291347,1.5267117562745078,1.5639860254915194
6-2802663,,,,,,0,0.9977469901196131,0.9941738849079507,0.9935943965134405,0.9970451232314302,0.9979499103391992,0.9985953744407194,1.0019317648498285,1.0009522321079718,0.9987043054206229,1.0003951227259547,0.9971349099105281,1.0009339286273327,1.0004242619609638,0.9998813257319417,1.0271912312547433,1.0430320227759347,1.1858299378471102,1.3132800166483154,1.4188845170749989,1.5980800812476095,1.6385011111297598
7-2802664,,,,,,,0,0.9901947545639476,0.9884351999678687,0.9953313775131174,0.9971440982573293,0.9975253568237008,1.0019659956316807,1.0008776213542745,0.9980521779532009,1.0002822359107029,0.9967534818485612,1.0011640146575027,1.000346685385713,1.0000040483207564,1.0283256918765646,1.0449081798715032,1.1957753157242261,1.3314719372095656,1.4427072278462083,1.6353984127374137,1.6779427389874284
8-2802675,,,,,,,,0,0.9860362335154094,0.9979121391381993,0.9988321739774906,0.9993960745544216,1.003505063597647,1.0015361993629264,0.999192834718044,1.0007825831104404,0.997649164250689,1.0022253944139794,1.0006927164107977,1.0005378590647984,1.030455014150012,1.0475090466799575,1.2062956758606316,1.3501047390371235,1.467614104441612,1.6735322592779738,1.7177428539616186
9-2802681,,,,,,,,,0,1.0048657916108479,1.0016166126936326,1.0003890859800932,1.0047304333364202,1.0033140839227113,0.9997268013951052,1.0017950677736727,0.9976354217776435,1.0024567011972845,1.0013655311001817,1.0008952995907061,1.031915893466986,1.0497351952097187,1.2146255634737912,1.3649928584557323,1.4879256398121556,1.7051299156767967,1.7506255985418544
10-2802676,,,,,,,,,,0,0.9996943984674801,0.999066951121963,1.0046996416388556,1.0030580444321258,0.9994856348007084,1.001848548129094,0.9971710537290207,1.0025641913528232,1.0013634112626568,1.0008569625279702,1.0337993969157542,1.052691968770962,1.2296221894471893,1.3926719125994418,1.5254026764317834,1.7647475093088825,1.812587842104808
