순번_정류장ID,1-2801174,2-2801729,3-2801714,4-2801712,5-2801701,6-2805300,7-2801168,8-2801686,9-2801182,10-2801679,11-2801662,12-2801655,13-2801660,14-2801669,15-2801633,16-2801192,17-2801636,18-2801601,19-2801541,20-2801577,21-2801607
1-2801174,0,0.9754004084923849,1.0151117931313345,1.0057740807621787,1.0016902808849117,1.0029515599016205,1.0030330972513783,0.9988501351498377,0.9986760733118639,0.9993066565664944,1.0010371648507732,1.0817539434658787,1.4464140534038799,1.8975006156493508,1.8875268555475804,2.078256796915117,2.3397664071190216,2.15840522473449,1.9810931414175672,2.2039346162219564,2.6812350536266925
2-2801729,,0,1.0421276275816362,1.0213567601738112,1.0101255914803196,1.0105521918522853,1.0095877323629416,1.003289040405997,1.0024927479425099,1.0027988276135047,1.004172977032355,1.0944702084634315,1.5139948108204613,2.0583821088744347,2.013513887875946,2.2362814533648008,2.542574259835349,2.307475445382061,2.085595365674602,2.338718144346285,2.8999530820968844
3-2801714,,,0,0.9576162562165673,0.9791254456825202,0.987138726953884,0.9906912221529264,0.9872550743784637,0.9890307377900139,0.9912900773987096,0.9952453924106848,1.0174324353120328,1.4793659722982095,2.1126596129110515,2.0487879664448947,2.126701592698806,2.4460161083766647,2.21512731815436,2.002132762376442,2.2600944099332416,2.8346379007039437
4-2801712,,,,0,0.9879143103647016,0.995556086139813,0.997667682624596,0.9915082979563508,0.9926535294100257,0.9945813083534544,0.9981375970863742,1.0215178287913032,1.5238488297969222,2.238967839842115,2.137550186845208,1.9719145979954156,2.2078601366824313,2.0264373820984845,1.9095331089395338,2.282426626551917,2.652824928499648
5-2801701,,,,,0,1.0131683862082297,1.0080625640070755,0.993452541793191,0.9945146434037762,0.9966752611549982,1.0005056887966872,1.0282599630666587,1.6650855121384982,2.695892735263537,2.423168609822664,2.1730264966143014,1.939422119841879,1.8041656683244018,2.0383844727482456,2.4903447177022113,2.9482611678907222
6-2805300,,,,,,0,1.0036712753872155,0.9874065862985831,0.9906821506344278,0.9940728540783439,0.9990915444374185,1.0296983113974147,1.7492101237195687,3.0125936986031423,2.593435942324993,2.2858346963458733,2.009803609569214,1.8550721707944515,2.1045591390470606,2.600945676944164,3.109599030883862
7-2801168,,,,,,,0,0.9783995488877552,0.9866053569875641,0.9919162552682856,0.9984081255885542,1.032941978815059,1.8808161288902585,3.5753700049094657,2.8531122604267205,2.4493172704951336,2.1073122430141815,1.9239348997887251,2.1938872895235892,2.753258265468628,3.335665230051724
8-2801686,,,,,,,,0,0.9973403054132313,1.0011444733981956,1.0015358061220894,1.006636628802135,1.6990620766732125,3.506630262625995,2.760128449773922,2.3542806709505633,2.0210673921087157,1.845807652221374,2.1253494665155883,2.6963360056777272,3.2996863189189782
9-2801182,,,,,,,,,0,1.0052967726386364,1.0031736454215265,1.0091549908151174,1.136104562837236,2.1300125159517034,2.026377630217316,1.827916914264638,1.6512126267399554,1.5509579150223496,1.8005471297869944,2.250398501839076,2.72169391670143
10-2801679,,,,,,,,,,0,1.00199152154686,1.0104277340503192,1.0076477622157816,1.444125569780428,1.566303578019172,1.471547213698015,1.3830924682128254,1.329160331755289,1.5564321047665342,1.926157629529093,2.3127984471433813
11-2801662,,,,,,,,,,,0,0.9919024335702828,0.998576157264826,1.0011957801637543,1.0182191004396879,1.0174417655466863,1.0185193256650251,1.016117119602136,1.2121814737936756,1.4839305656600295,1.769817172041697
12-2801655,,,,,,,,,,,,0,1.0031301477864336,1.0045564817118686,1.0186215416121192,1.0176657621534813,1.0188296478579975,1.0161381371862008,1.2324714157507397,1.5389600132990362,1.8669685040263901
13-2801660,,,,,,,,,,,,,0,1.0061590441745292,1.0241143141577482,1.0217603891752365,1.022243577259652,1.0185175534781121,1.274560966724651,1.653697885260961,2.073949672064942
14-2801669,,,,,,,,,,,,,,0,1.0323706065042209,1.0269678270810434,1.0260929984473353,1.020915563475736,1.3268312186491389,1.8057785883827266,2.3626313418588603
15-2801633,,,,,,,,,,,,,,,0,1.0126564953101727,1.0175967963876966,1.0114292809086667,1.3497592478804141,2.171124249744201,3.333159120064618
16-2801192,,,,,,,,,,,,,,,,0,1.0210180633136723,1.010962902675554,1.0662204858867181,1.7554369641839238,3.6188896518937193
17-2801636,,,,,,,,,,,,,,,,,0,0.9987536155310344,1.051831043296222,1.6497936765964816,2.922736209792578
18-2801601,,,,,,,,,,,,,,,,,,0,1.085646541753412,2.228113193232683,1.6184423700936537
19-2801541,,,,,,,,,,,,,,,,,,,0,0.994869676256291,0.9930047521323235
20-2801577,,,,,,,,,,,,,,,,,,,,0,0.9883674263047367
21-2801607,,,,,,,,,,,,,,,,,,,,,0
